,
,
Description,Charge
16 French,16.64
18 French,16.64
90792 - Psych Eval with Medical Svcs,343.2
99212 - Est Straightforward/Minor,187.2
99213 - Est Expanded/Low,218.4
99214 - Est Detailed/Moderate,249.6
99215 - Est Comprehensive/High,301.6
Fingerstick Glucose POC,21.28
High Complexity,249
High Complexity,366
Low Complexity,125
Low Complexity,183
Moderate Complexity,180
Moderate Complexity,274
Successful Donation,526.14
Successful Phlebotomy,485.95
"Water-Seal 20 cm suction, initiated",200.36
"Water-Seal gravity, initiated",200.36
"Waterless, 1 way valve",237.12
.Lab Chg Analygesics Non-Opiod 3-5,95.91
.Lab Chg Anti-Dep Tricy. 3-5,89.85
ABO 83405043,35.76
ACC E&M Estab. Patient Level 1,135.2
ACC E&M Estab. Patient Level 2,187.2
ACC E&M Estab. Patient Level 3,218.4
ACC E&M Estab. Patient Level 4,249.6
ACC E&M Estab. Patient Level 5,301.6
ACC E&M New Patient Level 1,135.2
ACC E&M New Patient Level 2,187.2
ACC E&M New Patient Level 3,218.4
ACC E&M New Patient Level 4,249.6
ACC E&M New Patient Level 5,301.6
ACUITY Steerable LVA Dual Electrode IS-1 Passive 80c part of item 64244,16211.52
ANCA P-Atyp Add on cpt 86021,180
ANCA-CP Add on cpt 86021,37.11
ANTIBODY; BORRELIA BURGDORFERI (LYME DISEASE) 84100014,266.16
ANTIBODY; BORRELIA BURGDORFERI (LYME DISEASE) 84100013,266.16
ARC-PCRYOT Add-on,139.69
ARC-PPLCL Add on P9031,257.94
Abscess Drainage Under X-Ray 75989,1004.98
Acid Fast Bacilli Culture,88.76
Acid Fast Culture and Smear 84105584,83.26
Acid Fast Concentration,55.3
Acid Fast Stain,76.02
Additional Pathogen - Campy,23.25
Additional Pathogen - Yersinia,23.25
Additional Pathogen - Ecoli,23.25
Additional Culture ID 83605840,92.64
Additional Culture ID 83605832,88.06
Additional Culture ID 83605824,92.64
Additional Culture ID 83605816,88.06
Additional Culture ID 83605808,88.06
Additional Culture ID 83605790,88.06
Additional Culture ID 83605782,88.06
Additional Culture ID 83605774,88.06
Additional Culture ID 83605766,88.06
Additional Urine ID 83605865,96.38
Additional Urine ID 83605857,56.57
Additional Urine ID 83605899,96.38
Additional Urine ID 83605881,56.57
Additional Urine ID 83605873,56.57
Additional Urine ID 83605931,96.38
Additional Urine ID 83605923,56.57
Additional Urine ID 83605915,56.57
Additional Urine ID 83605907,56.57
Additional Ana ID,84.44
Aldosterone/Renin Activity,31.55
Alkaline Phosphatase ISO 84106392,26.66
Allergen Specific IgE 86003,14.41
Ammonia Urine 84105011,43.43
"Anaplasma phagocytophilium Ab (IgG, IgM)",37.44
Arthrogram Ankle Right 81411258,1144.51
Arthrogram Ankle Left 81411258,1144.51
Arthrogram Elbow Bilateral 81411266,733
Arthrogram Elbow Left 81411266,733
Arthrogram Elbow Right 81411266,733
Arthrogram Hip Left 81411274,822
Arthrogram Hip Right 81411274,822
Arthrogram Knee Left 81411415,908.18
Arthrogram Knee Right 81411415,908.18
Arthrogram Shoulder Left 81411522,692
Arthrogram Shoulder Right 81411522,692
Arthrogram Wrist Left 81411241,1250.45
Arthrogram Wrist Right 81411241,1250.45
