"Victor Valley Global Global Medical Center
OSHPD No. 106361370
Chargemaster 06-30-2018",,,,,,
CDM#,CDM Description,Facility,gl_account_id,Rev Code,Price,CPT/HCPCS
1,ROOM & BED ICCU,VICTOR VALLEY GLOBAL MEDICAL CENTER,3010,200,5580,
2,ROOM & BED MEDICAL PRIVATE,VICTOR VALLEY GLOBAL MEDICAL CENTER,3170,111,2550,
3,ROOM & BED MEDICAL SEMI PRIV,VICTOR VALLEY GLOBAL MEDICAL CENTER,3170,121,2320,
4,ROOM & BOARD MEDICAL WARD,VICTOR VALLEY GLOBAL MEDICAL CENTER,3170,151,2320,
5,ROOM & BED OB/GYN PRIVATE,VICTOR VALLEY GLOBAL MEDICAL CENTER,3380,112,2550,
6,ROOM & BED OB/GYN SEMI PRIVT,VICTOR VALLEY GLOBAL MEDICAL CENTER,3380,122,2320,
8,ROOM & BED NURSERY LEVEL I,VICTOR VALLEY GLOBAL MEDICAL CENTER,3530,171,780,
9,ROOM & BED NICU,VICTOR VALLEY GLOBAL MEDICAL CENTER,3070,174,5580,
10,ROOM & BED PEDIATRICS PRIVATE,VICTOR VALLEY GLOBAL MEDICAL CENTER,3290,113,2550,
11,ROOM & BED PEDIATRICS SEMI PRI,VICTOR VALLEY GLOBAL MEDICAL CENTER,3290,123,2320,
12,ROOM & BED PEDIATRICS WARD,VICTOR VALLEY GLOBAL MEDICAL CENTER,3290,153,2320,
16,ROOM & BED SURGICAL PRIV,VICTOR VALLEY GLOBAL MEDICAL CENTER,3170,111,2550,
17,ROOM & BED SURGICAL SEMI PRIV,VICTOR VALLEY GLOBAL MEDICAL CENTER,3170,121,2320,
18,ROOM & BED SURGICAL WARD,VICTOR VALLEY GLOBAL MEDICAL CENTER,3170,151,2320,
20,TELEMETRY RM & BED/INTERM CARE,VICTOR VALLEY GLOBAL MEDICAL CENTER,3170,206,3780,
21,ROOM & BED BOARDER BABY,VICTOR VALLEY GLOBAL MEDICAL CENTER,3530,179,780,
22,NURSERY NEWBORN-LEVEL II,VICTOR VALLEY GLOBAL MEDICAL CENTER,3070,172,1950,
23,NURSERY NEWBORN-LEVEL III,VICTOR VALLEY GLOBAL MEDICAL CENTER,3070,173,3120,
5092,XCHANGE OF PREV PLCD DRAIN,VICTOR VALLEY GLOBAL MEDICAL CENTER,4630,320,438,75989
7616,PROTEIN ELEC OP,VICTOR VALLEY GLOBAL MEDICAL CENTER,4500,309,0,84165
10060,WC-Incision Drainage,VICTOR VALLEY GLOBAL MEDICAL CENTER,4431,361,428,10060
10061,WC-Incision Drainage ABS MULTI,VICTOR VALLEY GLOBAL MEDICAL CENTER,4431,361,535,10061
10450,"PT-PHYSICAL THERAPY, RE-EVALUATION",VICTOR VALLEY GLOBAL MEDICAL CENTER,4770,424,226,97164
10451,"PT-PHYSICAL THERAPY EVAL, 20 MIN",VICTOR VALLEY GLOBAL MEDICAL CENTER,4770,424,210,97161
10452,"PT-EVALUATION, 30 MIN",VICTOR VALLEY GLOBAL MEDICAL CENTER,4770,424,210,97162
10453,"PT-EVALUATION, 45 MIN",VICTOR VALLEY GLOBAL MEDICAL CENTER,4470,424,210,97163
10454,PT-TEST & MEASUREMENTS,VICTOR VALLEY GLOBAL MEDICAL CENTER,4770,420,87,97750
10463,D=2017 PT-PHYSICAL THERAPY RE-EVALUATION,VICTOR VALLEY GLOBAL MEDICAL CENTER,4770,424,226,97002
10464,PT-MOBILITY CURRENT/SEVERI TY G8978-CH,VICTOR VALLEY GLOBAL MEDICAL CENTER,4770,420,0.01,G8978CH
10465,PT-MOB CURRENT G8978/SEVERI TY MOD CI,VICTOR VALLEY GLOBAL MEDICAL CENTER,4770,420,0.01,G8978CI
