HospitalCode,Description,Price
BBH PRINCETON,triamcinolone 0.1 % Oint 15 g Tube,73.62
BBH PRINCETON,triamcinolone 0.1 % Oint 453.6 g Jar,134.98
BBH PRINCETON,triamcinolone 0.5 % Oint 15 g Tube,13.81
BBH PRINCETON,triamcinolone 0.5 % Oint 15 g Tube,13.81
BBH PRINCETON,triamcinolone 0.5 % Oint 15 g Tube,13.81
BBH PRINCETON,triamcinolone 0.1 % Pste 5 g Tube,73.62
BBH PRINCETON,triamcinolone 0.1 % Pste 5 g Tube,73.62
BBH PRINCETON,triamterene 100 MG Cap 100 each Bottle,27.61
BBH PRINCETON,triamterene-hydrochlorothiazide 75-50 mg Tab 100 each Bottle,12.27
BBH PRINCETON,triamterene-hydrochlorothiazide 75-50 mg Tab 100 each Bottle,12.27
BBH PRINCETON,triamterene-hydrochlorothiazide 75-50 mg Tab 1 each BLIST PACK,12.27
BBH PRINCETON,triazolam 0.25 MG Tab 100 each BLIST PACK,69.02
BBH PRINCETON,divalproex 500 MG Tb24 100 each Bottle,19.94
BBH PRINCETON,divalproex 500 MG Tb24 1 each BLIST PACK,19.94
BBH PRINCETON,divalproex 500 MG Tb24 100 each Bottle,19.94
BBH PRINCETON,divalproex 500 MG Tb24 1 each BLIST PACK,19.94
BBH PRINCETON,divalproex 500 MG Tb24 80 each BLIST PACK,19.94
BBH PRINCETON,budesonide-formoterol 80-4.5 mcg/actuation Hfaa 6.9 g AER W/ADAP,411.07
BBH PRINCETON,budesonide-formoterol 160-4.5 mcg/actuation Hfaa 6 g AER W/ADAP,607.40
BBH PRINCETON,diphenhydrAMINE-phenylephrine 6.25-2.5 mg/5 mL Liqd 118 mL Bottle,21.47
BBH PRINCETON,trifluoperazine 1 MG Tab 1 each BLIST PACK,12.27
BBH PRINCETON,trifluoperazine 10 MG Tab 1 each BLIST PACK,12.27
BBH PRINCETON,trifluoperazine 2 MG Tab 1 each BLIST PACK,12.27
BBH PRINCETON,trifluoperazine 5 MG Tab 100 each Bottle,12.27
BBH PRINCETON,trifluoperazine 5 MG Tab 1 each BLIST PACK,12.27
BBH PRINCETON,trihexyphenidyl 2 MG Tab 100 each BLIST PACK,12.27
BBH PRINCETON,trihexyphenidyl 2 MG Tab 100 each Bottle,12.27
BBH PRINCETON,trihexyphenidyl 2 MG Tab 100 each Bottle,12.27
BBH PRINCETON,trihexyphenidyl 5 MG Tab 100 each Bottle,12.27
BBH PRINCETON,trihexyphenidyl 5 MG Tab 100 each Bottle,12.27
BBH PRINCETON,retapamulin 1 % Oint 15 g Tube,144.18
BBH PRINCETON,colloidal oatmeal Pack 8 each Packet,12.27
BBH PRINCETON,triprolidine-pseudoephedrine 2.5-60 mg Tab 100 each Bottle,12.27
BBH PRINCETON,tropicamide 1 % Drop 15 mL DROP BTL,12.27
BBH PRINCETON,tropicamide 1 % Drop 15 mL DROP BTL,12.27
BBH PRINCETON,tropicamide 1 % Drop 15 mL DROP BTL,12.27
BBH PRINCETON,rivastigmine 4.6 mg/24 hr Pt24 30 each Box,23.01
BBH PRINCETON,rivastigmine 4.6 mg/24 hr Pt24 1 each Box,23.01
BBH PRINCETON,rivastigmine 4.6 mg/24 hr Pt24 30 each Box,23.01
BBH PRINCETON,rivastigmine 4.6 mg/24 hr Pt24 1 each Box,23.01
BBH PRINCETON,rivastigmine 9.5 mg/24 hr Pt24 30 each Box,23.01
BBH PRINCETON,rivastigmine 9.5 mg/24 hr Pt24 1 each Box,23.01
BBH PRINCETON,rivastigmine 9.5 mg/24 hr Pt24 1 each Box,23.01
BBH PRINCETON,rivastigmine 9.5 mg/24 hr Pt24 1 each Packet,23.01
BBH PRINCETON,cholecalciferol (vitamin D3) 1000 units Tab 100 each Bottle,12.27
BBH PRINCETON,cholecalciferol (vitamin D3) 1000 units Tab 100 each Bottle,12.27
BBH PRINCETON,cholecalciferol (vitamin D3) 1000 units Tab 100 each Bottle,12.27
BBH PRINCETON,cholecalciferol (vitamin D3) 1000 units Tab 100 each BLIST PACK,12.27
BBH PRINCETON,cholecalciferol (vitamin D3) 1000 units Tab 100 each BLIST PACK,12.27
BBH PRINCETON,valproic acid 250 mg Cap 100 each Bottle,12.27
BBH PRINCETON,"neomycin-bacitracin-poly-HC 3.5-400-10,000 mg-unit/g-1% Oint 3.5 g Tube",102.77
BBH PRINCETON,"neomycin-bacitracin-poly-HC 3.5-400-10,000 mg-unit/g-1% Oint 3.5 g Tube",102.77
BBH PRINCETON,verapamil 120 MG Tab 100 each Bottle,12.27
BBH PRINCETON,verapamil 120 MG Tab 100 each BLIST PACK,12.27
BBH PRINCETON,verapamil 40 MG Tab 100 each Bottle,12.27
BBH PRINCETON,verapamil 40 MG Tab 100 each Bottle,12.27
BBH PRINCETON,verapamil 80 MG Tab 100 each Bottle,12.27
BBH PRINCETON,verapamil 80 MG Tab 100 each BLIST PACK,12.27
BBH PRINCETON,verapamil 240 MG Tbsr 100 each Bottle,15.34
BBH PRINCETON,verapamil 240 MG Tbsr 1 each BLIST PACK,15.34
BBH PRINCETON,"neomycin-bacitracin-polymyxin 3.5mg-400 unit- 5,000 unit/gram Oint 14.2 g Tube",12.27
BBH PRINCETON,"neomycin-bacitracin-polymyxin 3.5mg-400 unit- 5,000 unit/gram Oint 14.2 g Tube",12.27
BBH PRINCETON,"neomycin-bacitracin-polymyxin 3.5mg-400 unit- 5,000 unit/gram Oint 14 g Tube",12.27
BBH PRINCETON,"bacitracin-polymyxin B 500-10,000 unit/gram Oint 14.17 g Tube",65.21
BBH PRINCETON,"bacitracin-polymyxin B 500-10,000 unit/gram Oint 14.2 g Tube",65.35
BBH PRINCETON,"bacitracin-polymyxin b 500-10,000 unit/gram Oint 3.5 g Tube",56.75
BBH PRINCETON,"bacitracin-polymyxin b 500-10,000 unit/gram Oint 3.5 g Tube",56.75
BBH PRINCETON,"bacitracin-polymyxin b 500-10,000 unit/gram Oint 3.5 g Tube",56.75
BBH PRINCETON,baclofen 10 MG Tab 100 each Bottle,12.27
BBH PRINCETON,baclofen 10 MG Tab 100 each Bottle,12.27
BBH PRINCETON,baclofen 10 MG Tab 100 each BLIST PACK,12.27
BBH PRINCETON,baclofen 10 MG Tab 1 each BLIST PACK,12.27
BBH PRINCETON,baclofen 10 MG Tab 100 each BLIST PACK,12.27
BBH PRINCETON,baclofen 10 MG Tab 100 each Bottle,12.27
BBH PRINCETON,baclofen 20 MG Tab 100 each Bottle,15.34
BBH PRINCETON,baclofen 20 MG Tab 100 each BLIST PACK,15.34
BBH PRINCETON,baclofen 20 MG Tab 1 each BLIST PACK,15.34
BBH PRINCETON,baclofen 20 MG Tab 100 each BLIST PACK,15.34
BBH PRINCETON,baclofen 20 MG Tab 100 each Bottle,15.34
BBH PRINCETON,vitamin A 10000 UNIT Cap 100 each Bottle,18.41
BBH PRINCETON,vitamin E 200 UNIT Cap 100 each Bottle,15.34
BBH PRINCETON,warfarin 10 MG Tab 100 each BLIST PACK,12.27
BBH PRINCETON,warfarin 2 MG Tab 100 each BLIST PACK,15.34
BBH PRINCETON,warfarin 2 MG Tab 100 each BLIST PACK,15.34
BBH PRINCETON,warfarin 2.5 MG Tab 100 each BLIST PACK,12.27
BBH PRINCETON,warfarin 2.5 MG Tab 100 each BLIST PACK,12.27
BBH PRINCETON,warfarin 2.5 MG Tab 1 each BLIST PACK,12.27
BBH PRINCETON,warfarin 2.5 MG Tab 100 each BLIST PACK,12.27
BBH PRINCETON,warfarin 5 MG Tab 100 each BLIST PACK,15.34
BBH PRINCETON,warfarin 5 MG Tab 100 each BLIST PACK,15.34
BBH PRINCETON,warfarin 7.5 MG Tab 100 each BLIST PACK,12.27
BBH PRINCETON,warfarin 7.5 MG Tab 100 each Bottle,12.27
BBH PRINCETON,warfarin 7.5 MG Tab 100 each Bottle,12.27
BBH PRINCETON,brimonidine-timolol 0.2-0.5 % Drop 5 mL DROP BTL,239.28
BBH PRINCETON,levocetirizine 5 MG Tab 90 each Bottle,12.27
BBH PRINCETON,zileuton 600 mg Tm12 120 each Bottle,19.94
BBH PRINCETON,"insulin glulisine U-100 100 unit/mL Soln 1,000 Units Vial",1534.00
BBH PRINCETON,verapamil 100 MG Cpct 100 each Bottle,19.94
BBH PRINCETON,verapamil 100 MG Cpct 100 each Bottle,19.94
BBH PRINCETON,Al hyd-Mg tr-alg ac-sod bicarb 80-14.2 mg Chew 100 each Bottle,12.27
BBH PRINCETON,pseudoephedrine-brompheniramine-dextromethorphan 2-30-10 mg/5 mL Syrp 473 mL Bottle,12.27
BBH PRINCETON,pseudoephedrine-brompheniramine-dextromethorphan 2-30-10 mg/5 mL Syrp 118 mL Bottle,98.53
BBH PRINCETON,pseudoephedrine-brompheniramine-dextromethorphan 2-30-10 mg/5 mL Syrp 118 mL Bottle,98.53
BBH PRINCETON,pseudoephedrine-brompheniramine-dextromethorphan 2-30-10 mg/5 mL Syrp 118 mL Bottle,98.53
BBH PRINCETON,pseudoephedrine-brompheniramine-dextromethorphan 2-30-10 mg/5 mL Syrp 118 mL Bottle,98.53
BBH PRINCETON,carbidopa-levodopa-entacapone 50-200-200 mg Tab 100 each Bottle,13.81
BBH PRINCETON,carbidopa-levodopa-entacapone 50-200-200 mg Tab 100 each Bottle,13.81
BBH PRINCETON,raltegravir 400 mg Tab 60 each Bottle,61.35
BBH PRINCETON,oseltamivir 30 MG Cap 10 each BLIST PACK,92.60
BBH PRINCETON,oseltamivir 30 MG Cap 10 each BLIST PACK,92.60
BBH PRINCETON,zinc oxide 20 % Oint 28.35 g Tube,18.41
BBH PRINCETON,zinc oxide 20 % Oint 454 g Jar,14.78
