Procedure Number,Description,Standard Charge
109058,HC RX 250 WO HCPCS,$29.47 
109060,HC RX 250 W HCPCS,$64.73 
109064,HC RX 258,$90.05 
109068,"HC RX 634 (EPOETIN < 10,000 UNITS)",$28.61 
109070,"HC RX 635 (EPOETIN > 10,000 UNITS)",$32.06 
109072,HC RX 636 W HCPCS,$79.91 
109076,HC RX 636A W HCPCS,$28.77 
109078,HC RX 636B WO HCPCS,$610.83 
109080,HC RX 636B W HCPCS,$26.11 
109082,HC RX 636D W HCPCS,$90.82 
109084,HC RX 636G W HCPCS,$26.02 
109086,HC RX 636H W HCPCS,$10.28 
109094,HC RX 637 WO HCPCS,$125.31 
109096,HC RX 637A WO HCPCS,$0.40 
109098,HC RX 637A W HCPCS,$9.76 
109100,HC RX 637B W HCPCS,"$10,076.89 "
109102,HC VACCINE ADMIN INFLUENZA,$99.47 
109104,HC VACCINE ADMIN PNEUMOCOCCAL,$98.49 
109106,HC VACCINE ADMIN HEP B,$126.14 
109133,HC OXYGEN DAILY,$193.97 
109135,HC SLING,$9.16 
109143,HC BALLOON,$960.33 
109145,HC BALLOON DILATE NON-VAS,$809.41 
109147,HC BALLOON TISSUE DISSECT,"$2,074.24 "
109149,HC CATH ANGIO/GUIDE NON-LASER,$551.74 
109153,HC CATH ATHERECTOMY DIRECT,"$11,941.65 "
109155,HC CATH ATHERECTOMY ROTAT,"$6,777.00 "
109157,HC CATH BRACHYTHERAPY,$279.36 
109161,HC CATH DRAINAGE,$243.42 
109163,HC CATH EP <= 19 ELEC,$174.95 
109173,HC CATH GUIDING,$646.71 
109175,HC CATH HEMODIAL SHRT TERM,$539.07 
109177,HC CATH INFUSION,$707.16 
109181,HC CATH INTRASPINAL,"$6,637.65 "
109183,HC CATH INTRAVENOUS US,"$2,981.55 "
109187,HC CATH OCCLUSION,"$3,223.77 "
109191,HC CATH THROMB/EMBOL,"$7,314.34 "
109193,HC CATH URETERAL,$27.62 
109195,HC SHEATH/INTRDCR,$367.54 
109197,HC SHEATH/INTRDCR IC EP FC NP,$692.58 
109199,HC SHEATH/INTRDCR IC EP FC P,"$1,344.24 "
109205,HC SHEATH/INTRDCR NON-LASER EP,$191.72 
109207,HC SUPPLY ABLATION/RF,$917.13 
109209,HC SUPPLY ABLATION/RF CRYO,"$4,207.50 "
109217,HC SUPPLY BONE EXT FIXATION,"$1,581.43 "
109221,HC SUPPLY CARDIAC SURG,"$64,817.81 "
109223,HC SUPPLY CAUTERIZATION DEVICE,"$1,602.10 "
109225,HC SUPPLY CEMENTING,"$1,954.69 "
109227,HC SUPPLY DISP INST,"$1,312.80 "
109229,HC SUPPLY DISP INST DAVINCI,$974.04 
109231,HC SUPPLY DISP INST MAZOR,"$4,284.00 "
109235,HC SUPPLY DISP INST RETRIEVAL,$815.35 
109237,HC SUPPLY DRAIN/COLLECTOR,$550.67 
109239,HC SUPPLY ENDOSCOPIC,$643.69 
109241,HC SUPPLY ENT/PLAS SUPPLY,$953.84 
109243,HC SUPPLY GENERAL/GYN SURG,$720.82 
109245,HC SUPPLY GUIDEWIRE,$354.79 
109247,HC SUPPLY HEMOSTATIC,$712.13 
109249,HC SUPPLY INFUS PUMP NON-IMP,$486.01 
109253,HC SUPPLY NEEDLE BRACHYTHERAPY,$279.36 
109255,HC SUPPLY NEEDLE SPECIALTY,$662.10 
109257,HC SUPPLY NEURO DEVICE,"$2,785.58 "
109259,HC SUPPLY NEURO STIM PROGRAM,"$3,255.57 "
