No.,General Description,Charge
11000001,HC PRIVATE ROOM DLY,9963.00
11200001,HC OB PRIVATE ROOM DLY,9963.00
11300001,HC PEDS PRIVATE ROOM DLY,10422.00
11300003,HC PEDS PVT ROOM DLY TRANSITIONAL,17005.00
12000001,HC GENERAL ROOM DLY,9963.00
12200001,HC OB ROOM DLY,9963.00
12300002,HC GENERAL PED ROOM DLY - PED UNIT,10422.00
12400001,HC PSYCH ROOM DLY,3130.00
13000001,HC ADULT SP 3-4 BED DAILY,9963.00
14000001,HC ADULT FAMILY SUITE DAILY,10721.00
15000001,HC ADULT WARD ROOM DLY,9963.00
17000001,HC NURSERY ROOM DLY,5448.00
17200001,HC NURSERY LEVEL 2 RM DLY,11383.00
17300001,HC NURSERY LEVEL 3 RM DLY,21978.00
17400001,HC NURSERY LEVEL 4 RM DLY,34986.00
20000001,HC ICU ROOM DLY,27363.00
20300001,HC ICU PED ROOM DLY,32044.00
21000001,HC ICU CARD ROOM DLY,27363.00
23000000,HC GASTROSTOMY TUBE CHANGE,705.00
23000001,HC INSERT NG TUBE,570.00
23000002,HC SPEC NURSING CARE,5801.00
23000003,HC NEONATAL PRAC TRNSPRT 1 HR,644.00
23000004,HC NEONATAL PRAC TRNSPRT 1 1/2 HR,960.00
23000005,HC NEONATAL PRAC TRNSPRT 2 HR,1282.00
23000006,HC NEONATAL PRAC TRNSPRT 2 1/2 HR,1603.00
23000007,HC NEONATAL PRAC TRNSPRT 3 HR,1925.00
23000008,HC NEONATAL PRAC TRNSPRT 3 1/2 HR,2243.00
23000009,HC NEONATAL PRAC TRNSPRT 4 HR,2564.00
23000010,HC NEONATAL PRAC TRNSPRT 4 1/2 HR,2884.00
23000011,HC NEONATAL PRAC TRNSPRT 5 HR,3211.00
23000012,HC NEONATAL PRAC TRNSPRT 5 1/2 HR,3525.00
23000013,HC NEONATAL PRAC TRNSPRT 6 HR,3848.00
23000014,HC NEONATAL PRAC TRNSPRT 6 1/2 HR,4175.00
23000015,HC TRACHEOSTOMY TUBE CHANGE,570.00
23000016,HC NEONATAL PRAC TRNSPRT 1/2/ HR,323.00
23000017,HC NEONATAL PRAC TRNSPRT 7 HR,4496.00
23000018,HC NEONATAL PRAC TRNSPRT 7 1/2 HR,4806.00
23000019,HC NEONATAL PRAC TRNSPRT 8 HR,5128.00
23000020,HC NEONATAL PRAC TRNSPRT 8 1/2 HR,5457.00
23000021,HC NEONATAL PRAC TRNSPRT 9 HR,5778.00
23300001,HC ORGAN HARVEST HRLY,241.00
