Procedure ID,Procedure,Charge
CDM10001,COMPUTED TOMOGRAPHY (CT) OF BRAIN BLOOD FLOW VOLUME AND TIMING OF FLOW ANALYSIS WITH CONTRAST,2115
CDM10002,COMPUTERAIDED DETECTION AND COMPUTER ALGORITHM ANALYSIS OF BREAST MRI IMAGE DATA,456
CDM10003,HARVEST AND INJECTIONS OF PLATELET RICH PLASMA USING IMAGING GUIDANCE,408
CDM10004,CONTACT LENS  GAS PERMEABLE  TORIC  PRISM BALLAST  PER LENS,513.7999878
CDM10005,EXTERNAL EKG RECORDING FOR MORE THAN 48 HOURS UP TO 21 DAYS WITH ANALYSIS REPORT REVIEW AND INTERPRETATION,1492
CDM10006,EXTERNAL EKG RECORDING FOR MORE THAN 48 HOURS UP TO 21 DAYS,407
CDM10007,ANALYSIS AND REPORT OF EXTERNAL EKG RECORDING FOR MORE THAN 48 HOURS UP TO 21 DAYS,1638
CDM10008,IMAGING OF HEART MUSCLE,2953
CDM10009,IMAGING OF HEART MUSCLE WITH SPECT,2953
CDM10010,ULTRASOUND WITH ELASTOGRAPHY,461
CDM10011,INJECTION OF ANUS FOR FECAL INCONTINENCE USING AN ENDOSCOPE,5262
CDM10012,INTERROGATION DEVICE EVALUATION (IN PERSON) OF LEADLESS HEART PACEMAKER SYSTEM,113.4300003
CDM10013,HIGH DOSE RATE ELECTRONIC BRACHYTHERAPY,661
CDM10014,HIGH DOSE RATE ELECTRONIC BRACHYTHERAPY,2147
CDM10015,HEALTH AND BEHAVIOR INTERVENTION FOR PREVENTION OF DIABETES MINIMUM 60 MINUTES PER DAY,138
CDM10016,MEASUREMENT AND RECORDING OF NERVE CONDUCTION PATTERNS USING VISUALLYEVOKED STIMULATION FOR GLAUCOMA TESTING,328
CDM10017,INJECTION OF MEDICATION INTO SPACE ABOVE CHOROID MEMBRANE OF EYE,715
CDM10018,INSERTION OF BREATHING SENSOR ELECTRODE OR ELECTRODE ARRAY INTO CHEST WALL,3325
CDM10019,SCREENING OF BOTH EYES BY RETINAL POLARIZATION SCAN,258
CDM10020,OCT SCAN OF SKIN LESION WITH INTERPRETATION AND REPORT,3325
CDM10021,EVALUATION AND INITIAL PROGRAMMING OF RETINAL PROSTHESIS WITH PATIENT TRAINING REVIEW AND REPORT,674
CDM10022,EVALUATION AND REPROGRAMMING OF RETINAL PROSTHESIS WITH PATIENT TRAINING REVIEW AND REPORT,283
CDM10023,RECORDING OF FETAL MAGNETIC HEART SIGNAL WITH ELECTRONIC SIGNAL TRANSFER OF DATA AND STORAGE,257
CDM10024,RECORDING OF FETAL MAGNETIC HEART SIGNAL WITH SIGNAL EXTRACTION TECHNICAL ANALYSIS AND RESULT,257
CDM10025,RECORDING OF FETAL MAGNETIC HEART SIGNAL WITH REVIEW AND INTERPRETATION OF REPORT,424
CDM10026,INJECTION OF PATIENT'S OWN WHITE BLOOD CELL CONCENTRATE,815
CDM10027,MEASUREMENT OF BLOOD FLOW IN HEART MUSCLE AT REST AND UNDER STRESS,2623
CDM10028,OPTICAL SCAN OF ONE EAR,78
CDM10029,OPTICAL  SCAN OF BOTH EARS,78
CDM10030,BIOMECHANICAL MAPPING ACCESSED THROUGH THE VAGINA,257
CDM10031,ONLINE/ELECTRONIC PROGRAM FOR PREVENTION OF DIABETES USING STANDARDIZED DIABETES PREVENTION PROGRAM CURRICULUM,237
CDM10032,HARVESTING AND PREPARATION OF PATIENT'S OWN FAT CELLS FOR CELL THERAPY FOR SCLERODERMA OF HANDS,6516
CDM10033,CELL THERAPY FOR SCLERODERMA OF HANDS USING PATIENT'S OWN FAT CELLS,3258
CDM10034,LASER TREATMENT OF OPEN WOUND,755
CDM10035,LASER TREATMENT OF OPEN WOUND,374
CDM10036,NEARINFRARED SPECTROSCOPY OF LEG WOUND,520
CDM10037,CONNECTION OF EXTERNAL PATIENTACTIVATED EKG EVENT RECORDER,91
CDM10038,REVIEW AND INTERPRETATION OF EXTERNAL PATIENTACTIVATED EKG EVENT RECORDINGS,575
CDM10039,EXAMINATION OF BLADDER AND URETHRA WITH MECHANICAL DILATION AND DRUG DELIVERY FOR NARROWING OF URETHRA USING AN ENDOSCOPE,3907
CDM10040,INFECTIOUS AGENT DETECTION BY NUCLEIC ACID (DNA OR RNA); HUMAN PAPILLOMAVIRUS (HPV),274
CDM10041,ANALYSIS OF DATA FROM CT STUDY OF HEART BLOOD VESSELS TO ASSESS SEVERITY OF HEART ARTERY DISEASE WITH INTERPRETATION AND REPORT,2882
CDM10042,ANALYSIS OF DATA FROM CT STUDY OF HEART BLOOD VESSELS TO ASSESS SEVERITY OF HEART ARTERY DISEASE,3170
CDM10043,ANALYSIS OF DATA FROM CT STUDY OF HEART BLOOD VESSELS TO ASSESS SEVERITY OF HEART ARTERY DISEASE,3487
CDM10044,ANALYSIS OF DATA FROM CT STUDY OF HEART BLOOD VESSELS TO ASSESS SEVERITY OF HEART ARTERY DISEASE,3836
CDM10045,FINE NEEDLE ASPIRATION,755
CDM10046,FINE NEEDLE ASPIRATION USING IMAGING GUIDANCE,3343
CDM10047,FLUID COLLECTION DRAINAGE BY CATHETER USING IMAGING GUIDANCE ACCESSED THROUGH THE SKIN,1658
