Hospital Name:  Mercy St Francis SF,,,
OSHPD Facility No: 106380960,,,
"Effective Date of Charges: July 1, 2018",,,
,,,
"CDM
Number",Billing Description (25 char), Price ,Zero Price Inicator
0005009,ROOM ICU GENERAL         ," 10,728.00 ",
0009001,ROOM PVT GENERAL         ," 2,620.00 ",
0010009,ROOM RATES               , -   ,2
0011007,ROOM PVT GENERAL         ," 6,522.00 ",
0011056,ROOM PVT GENERAL         ," 6,522.00 ",
0012005,OUTPT IN A BED NC        , -   ,1
0012013,OUTPT IN A BED NC        , -   ,1
0013003,ROOM PVT PSYCH           ," 7,283.00 ",
0015008,ROOM PVT GENERAL         ," 7,459.00 ",
0015016,ROOM WARD GENERAL        ," 6,527.00 ",
0016006,ROOM PVT GENERAL         ," 6,522.00 ",
0017004,ROOM PVT REHAB           ," 6,280.00 ",
0018002,ROOM PVT GENERAL         ," 6,522.00 ",
0018051,ROOM PVT GENERAL         ," 6,522.00 ",
0021006,OUTPT IN A BED NC        , -   ,1
0021055,OUTPT IN A BED NC        , -   ,1
0021063,OUTPT IN A BED NC        , -   ,1
0026005,OUTPT IN A BED NC        , -   ,1
0028001,OUTPT IN A BED NC        , -   ,1
0035006,ROOM INTER ICU/TELE      ," 11,773.00 ",
0036004,ROOM SEMI 3-4 M/S/G      ," 5,192.00 ",
0041004,ROOM PVT DLX GEN         ," 7,642.00 ",
0045005,ROOM ICU GENERAL         ," 24,000.00 ",
0046003,ROOM PVT DLX GEN         ," 7,642.00 ",
0051052,ROOM INTER ICU/TELE      ," 11,773.00 ",
0055004,ROOM ICU BURN            ," 11,050.00 ",
0055012,ROOM INTER ICU/TELE      ," 11,773.00 ",
0056002,ROOM INTER ICU/TELE      ," 11,773.00 ",
0058008,ROOM INTER ICU/TELE      ," 11,773.00 ",
0058057,ROOM INTER ICU/TELE      ," 11,773.00 ",
0061002,ROOM SEMI GENERAL        ," 6,522.00 ",
0065003,ROOM SEMI PVT PED        ," 7,459.00 ",
0065029,ROOM SEMI PVT PSYCH      ," 7,283.00 ",
0066001,ROOM SEMI GENERAL        ," 6,522.00 ",
0067009,ROOM SEMI PVT REHAB      ," 6,280.00 ",
0073007,ROOM SEMI PVT PSYCH      ," 7,283.00 ",
0075002,ROOM ICU BURN 1:1        ," 19,050.00 ",
0075010,ROOM ICU GEN 1:1         ," 16,017.00 ",
0076000,ROOM PVT GENERAL         ," 6,718.00 ",
0078055,ROOM CCU GEN 1:1         ," 16,017.00 ",
0081059,ROOM ICU GENERAL         ," 16,017.00 ",
0085001,ROOM ICU GENERAL         ," 16,017.00 ",
0085019,ROOM ICU GENERAL         ," 16,017.00 ",
0088054,ROOM CCU GENERAL         ," 16,017.00 ",
0095000,ROOM ICU BURN            ," 24,720.00 ",
0095018,ROOM ICU BURN            ," 9,857.00 ",
0210005,P-CARE CONSULT NC        , -   ,1
0502104,ER LEVEL 1               , 856.00 ,
0502153,ER LEVEL 2               ," 1,391.00 ",
0502203,ER LEVEL 3               ," 2,386.00 ",
0502252,ER LEVEL 4               ," 3,531.00 ",
0502302,ER LEVEL 5               ," 7,422.00 ",
0502328,ER CRITICAL CARE 30-74MIN," 11,717.00 ",
0502344,ER CRITIC CARE ADD 30MIN ," 7,538.00 ",
0502401,LEFT WO BEING SEEN NC    , -   ,1
0502427,OP/ED PSYCH SITTER/HR NC , -   ,1
0502559,ER LEVEL 1 W/PROCEDURE   , 856.00 ,
0502609,ER LEVEL 2 W/PROCEDURE   ," 1,391.00 ",
0502658,ER LEVEL 3 W/PROCEDURE   ," 2,386.00 ",
0502708,ER LEVEL 4 W/PROCEDURE   ," 3,531.00 ",
