St. Vincent Medical Center # 106190762,,,
SVMC Dept#,Charge Number,Charge Description, 06/01/18 Default Price 
94,9459330,(KIDNEY) COLLINS SOLUTION 1000ML, $375.00 
12,1204049,+CRITICAL CARE E & M EA ADDL 30 MIN," $2,748.00 "
12,1214055,+ER LEVEL 6+:CRITICAL CARE," $6,936.00 "
12,1200021,12 LEAD EKG TRACING ONLY, $577.00 
09,0900217,24 HR AMB BP MONITOR ANALYSIS, $822.00 
09,0900209,24 HR AMB BP MONITOR RECORDING, $713.00 
39,3900297,24 HR AMB BP MONITOR RECORDING, $713.00 
39,3900305,24 HR AMBUL BP MONITOR ANALYSIS, $822.00 
09,0902510,2D ECHO WITH CONTRAST," $2,784.00 "
18,1802131,A D OMNI FLUSH CATHETER, $111.00 
48,4802146,AB COXIELLA BURNETII Q FEVER [AP, $13.20 
01,0103093,AB EPSTEIN-BARR VIRUS VCA, $148.00 
01,0103101,AB EPSTEIN-BARR VIRUS VCA, $148.00 
48,4804597,AB EPSTEIN-BARR VIRUS VCA [AP, $15.82 
48,4804399,AB HERPES SIMPLEX NON-SPEC [AP, $11.87 
48,4811519,AB HLA CLASS HIGH DEF PNL QUAL [AR, $404.00 
48,4811527,AB HLA CLASS HIGH DEF PNL QUAL [AR, $440.00 
41,4101630,AB ID RBC ANTIBODIES EA PANEL, $541.00 
94,9464561,ABACAVIR 20MG/1ML ORAL SOL 15ML, $70.00 
94,9420258,ABACAVIR 300MG TABLET, $67.00 
12,1215011,ABDOMINAL BINDER, $39.00 
19,1905959,ABDOMINAL BINDER, $68.00 
29,2900322,ABG KIT, $16.00 
38,3801206,ABLAT EXTREM RADIOFREQ 1ST VEIN LT," $18,856.00 "
38,3801214,ABLAT EXTREM RADIOFREQ 1ST VEIN RT," $18,856.00 "
03,0300111,ABLATE 1+ RENAL TUMOR PQ UNI RF," $14,918.00 "
53,5381207,ABLATE 1+ RENAL TUMOR PQ UNI RF," $14,918.00 "
18,1802792,ABLATE ARRHYTHMIA ADD ON," $18,823.00 "
19,1974708,ABLATE PEN PACE SENSE ATR," $6,885.00 "
03,0300947,ABLATE RENAL TUMOR(S) UNI PERC/CRY," $14,918.00 "
03,0312074,ABLATION 1 OR MORE LIVR TUM PERQ RF," $13,813.00 "
53,5304415,ABLATION 1 OR MORE LIVR TUM PERQ RF," $13,813.00 "
18,1802800,ABLATION ATRIAL FIB PULM VEIN ISOL," $37,646.00 "
19,1974963,ABSORBABLE HEMOSTATIC (101-150), $603.00 
29,2900389,ACAPELLA/ VALVE FLUTTER, $163.00 
94,9420290,ACARBOSE 50MG TABLET, $16.25 
04,0400275,ACE BANDAGE, $53.00 
94,9453218,ACETAMINOPHEN 1GM/100ML IV, $235.00 
94,9420373,ACETAZOLAMIDE 250MG TAB, $27.50 
94,9420381,ACETAZOLAMIDE 500MG CAP, $65.00 
94,9402041,ACETAZOLAMIDE 500MG INJECTION, $242.00 
94,9419128,ACETIC ACID 0.25% IRRIG 1L, $37.00 
94,9419136,ACETIC ACID 2% OTIC SOL 15ML, $223.00 
94,9463613,ACETIC ACID 3% IRRIG SOL 500ML, $290.00 
94,9420431,ACETYLCHOLINE 1% INTRAOC 2ML, $266.25 
94,9420449,ACETYLCYSTEINE 10% SOL 10ML, $90.00 
94,9466475,ACETYLCYSTEINE 10% SOL 2ML, $42.00 
94,9420456,ACETYLCYSTEINE 10% SOL 30ML, $73.00 
94,9420464,ACETYLCYSTEINE 10% SOL 4ML, $76.00 
94,9462110,ACETYLCYSTEINE 20% INH SOL 2ML MDV, $30.00 
94,9462144,ACETYLCYSTEINE 20% INH SOL 3ML MDV, $40.00 
94,9462128,ACETYLCYSTEINE 20% INH SOL 4ML MDV, $51.25 
94,9462136,ACETYLCYSTEINE 20% INH SOL 6ML MDV, $72.50 
94,9420472,ACETYLCYSTEINE 20% SOL 10ML, $90.00 
94,9420480,ACETYLCYSTEINE 20% SOL 30ML, $133.00 
94,9420498,ACETYLCYSTEINE 20% SOL 4ML, $43.00 
94,9400094,ACETYLCYSTEINE 6G/30ML INJ, $868.75 
19,1914944,ACL PACK DISP STRYKER," $2,118.00 "
94,9446733,ACTHIB VACCINE 0.5ML INJ, $111.25 
94,9425133,ACTIV CHARCOAL-SORBITOL 50G, $72.50 
48,4800199,ACTIVATED PROTEIN C RESISTANCE [AP, $16.68 
18,1810076,ACUNAV DIAGNOSTIC US CATH," $10,085.00 "
18,1810068,ACUNAV STERIL COVER, $33.00 
02,0206839,ACUTE GASTROINTEST BLOOD LOSS IMG," $2,313.00 "
01,0131326,ACUTE HEPATITIS PANEL, $500.00 
94,9420514,ACYCLOVIR 200MG CAPSULE, $15.00 
94,9420530,ACYCLOVIR 200MG/5ML SUSP, $47.00 
94,9420548,ACYCLOVIR 400MG TABLET, $22.50 
94,9420555,ACYCLOVIR 5% CREAM 5G," $2,767.50 "
94,9420563,ACYCLOVIR 5% OINTMENT 15G, $776.25 
94,9454638,ACYCLOVIR 5% OINTMENT 30G," $3,050.00 "
94,9447095,ACYCLOVIR 500MG INJECTION, $246.25 
94,9420571,ACYCLOVIR 800MG TAB, $39.00 
18,1803675,ADAPT/EXT PACNG/NEURO LEAD(101-150), $603.00 
18,1803725,ADAPT/EXT PACNG/NEURO LEAD(11-50), $166.00 
18,1809672,ADAPT/EXT PACNG/NEURO LEAD(201-250), $832.00 
18,1809624,ADAPT/EXT PACNG/NEURO LEAD(51-100), $384.00 
