USC VHH CDM Price Increase,,,,,,,,,,,,
Gross Revenue Change (old to new),,,,,,,,,,,,
"July 1, 2017 - June 30, 2018",,,,,,,,,,"Gross Revenue
(old price)","Gross Revenue
(new price)","New Gross Revenue based on Price increase on April 1, 2018"
,,,,,,,,,,"77,975,535","107,133,849","29,158,314"
,,,,,,,,,,,,
,,,,,,,,,,,,
Charge Code,Charge Code Description,"Dept
Code","Dept
Description","Rev
Code",Medicare Inpatient Rev Code,"OP
Rev","Current
Price","Implemented 
(new) Price",Quantity (Apr'18-Jun'18,"Gross Revenue Apr18-Jun18 
(old price)","Gross Revenue Apr18-Jun18
 (new price)","FY18 CDM
Reconciliation"
0001008,ROOM/CARE ICU-NON ICU ISOLATION,3010,INTENSIVE CARE-ROOM/CARE,120,120,120,"2,760","2,900",0,0,0,Room & Board
0001107,ROOM/CARE TELE-NON ICU ISOLATION,3130,TELEMETRY UNIT-ROOM/CARE,214,214,214,"3,240","5,315",0,0,0,Room & Board
0002006,ROOM/CARE ICU-NON ICU ISOLATION,3010,INTENSIVE CARE-ROOM/CARE,214,214,214,"2,760","2,900",1,"2,760","2,900",Room & Board
0002204,ROOM/CARE ER-NON ICU ISOLATION,3183,SIXTH FLOOR-ROOM/CARE,120,120,120,"2,760","2,900",0,0,0,Room & Board
0004002,ROOM/CARE 4THF-NON ICU ISOLATION,3184,FOURTH FLOOR ROOM/CARE,120,120,120,"2,760","2,900",37,"102,120","107,300",Room & Board
0006007,ROOM/CARE OBS5-NON ICU ISOLATION,3380,OBSTETRICS-ROOM/CARE,120,120,120,"2,760","2,900",0,0,0,Room & Board
0007005,ROOM/CARE NURSERY-NON ICU ISOL,3530,NURSERY-ROOM/CARE,171,171,171,"2,020","2,425",0,0,0,Room & Board
0008102,ROOM/CARE 5SOU-NON ICU ISOLATION,3182,FIFTH FLOOR - SOUTH,214,214,214,"3,240","5,315",92,"298,080","488,980",Room & Board
0008300,ROOM/CARE MED SURG-NON ICU ISOLATIO,3183,SIXTH FLOOR-ROOM/CARE,120,120,120,"2,760","2,900",52,"143,520","150,800",Room & Board
0008359,ROOM/CARE 3SUR-NON ICU ISOLATION,3183,SIXTH FLOOR-ROOM/CARE,120,120,120,"2,760","2,900",0,0,0,Room & Board
