WATSONVILLE COMMUNITY HOSPITAL,,,
,,,
SVCCD,DESC, PRICE1 , PRICE2 
20602,FUNCT CAP EVAL 30MIN," 1,048.02 ", -   
20676,ESTIM UNATTENDED WC, 220.45 , -   
20701,MCD INITIAL RN VISIT, 221.55 , -   
20702,MCD INT COMP CR PLAN, 221.55 , -   
20703,MCD INT MED/NUT THER, 58.80 , -   
20704,MCD CLIENT ORIENTATN, 58.80 , -   
20705,MCD RN FOLLOW UP, 186.90 , -   
20706,MCD RD FOLLOW UP, 50.40 , -   
20707,MCD RN FOLLOW UP 30M, 116.55 , -   
20708,MCD RN FOLLOW UP 15M, 58.80 , -   
20709,MCD SUBS NUTR ASSESS, 47.25 , -   
20710,MCD SUBS PSYC/SOCIAL, 47.25 , -   
20711,MCD SUBS HLTH ASSESS, 47.25 , -   
20712,MCD INT PSYC/SOC 30M, 116.55 , -   
20713,MCD INIT HLTH AS 30M, 116.55 , -   
20714,MCD INIT NUTR AS 30M, 116.55 , -   
20715,MCD NUTRITION FLWUP, 93.45 , -   
20716,MCD PSYC/SOC FU 15M, 47.25 , -   
20717,MCD HLTH ED FLLW 15M, 47.25 , -   
20718,MCD PERINATA ED 15M, 47.25 , -   
20719,MCD PP NUT ASSES 15M, 47.25 , -   
20720,MCD PP PSY SOC ASSE, 47.25 , -   
20721,MCD  HLTH ASSESS 15M, 47.25 , -   
20722,MCD PRENATAL ED, 3.15 , -   
20723,MCD 10TH ANTPRTM VIS, 124.95 , -   
20724,MCD GROUP PRENTL ED, 12.60 , -   
115120,R&B M/S SEMI PRIVATE," 5,048.62 ", -   
115125,R&B HOSPICE SEMI PVT," 1,102.50 ", -   
115164,R&B ISOLATION," 5,356.85 ", -   
135120,R&B M/S SEMI PRIVATE," 5,048.62 ", -   
135164,R&B ISOLATION," 5,356.85 ", -   
135207,R&B SEMI PVT TELEM," 5,491.04 ", -   
145120,R&B M/S SEMI PRIVATE," 5,048.62 ", -   
145164,R&B ISOLATION," 5,356.85 ", -   
145207,R&B SEMI PVT TELEM," 5,491.04 ", -   
165123,R&B PEDIATRIC SEMI," 6,835.84 ", -   
182500,OBSERVATION 1ST HOUR, 624.56 , -   
182501,OBSRVATION ADDL HOUR, 229.26 , -   
182502,DIRECT ADMIT TO OBS," 1,167.20 ", -   
215121,R&B GYN SEMI PRIVATE," 5,048.62 ", -   
215122,R&B OB SEMI PRIVATE," 5,187.44 ", -   
215164,R&B OB/GYN ISOLATION," 5,871.79 ", -   
245171,R&B NURSERY LEVEL 1," 2,571.29 ", -   
245172,R&B NURSERY LEVEL 2," 9,274.70 ", -   
245173,R&B NURSERY LEVEL 3," 10,076.47 ", -   
245191,R&B SICK BABY LVL 1," 9,274.70 ", -   
245192,R&B SICK BABY LVL 2," 9,274.70 ", -   
247191,R&B HLTH BOARDER," 2,959.55 ", -   
255172,R&B NURSERY LEVEL 2," 9,274.70 ", -   
255173,R&B NURSERY LEVEL 3," 10,076.47 ", -   
255174,R&B NICU," 10,076.47 ", -   
255274,R&B NICU LVL 2," 10,884.64 ", -   
282179,AUDITORY EVP-EVR-CNS, 182.72 , -   
282801,LABOR LEVEL 1 PER HR, 303.98 , -   
282802,LABOR LEVEL 2 PER HR, 392.00 , -   
282803,LABOR LEVEL 3 PER HR, 478.38 , -   
282804,THERAPEUTIC DX SQ IM, 661.77 , -   
282807,AUD EVP-EVR-CNS LIM, 129.59 , -   
282811,DELIVERY LEVEL 1," 4,787.13 ", -   
282812,DELIVERY LEVEL 2," 6,527.89 ", -   
282813,DELIVERY LEVEL 3," 8,268.69 ", -   
282821,L&D REC LEV 1 PER HR," 1,245.78 ", -   
282822,L&D REC LVL 2 PER HR," 1,993.25 ", -   
282824,IMM ADM HEP B VACCIN, 140.70 , -   
282831,LDR PROCEDURE MINOR, 451.79 , -   
282832,LDR PROCEDURE-INTERM, 813.25 , -   
282833,LDR PROCEDURE-MAJOR," 1,265.04 ", -   
282841,L&D OBSERV 1ST HOUR, 574.71 , -   
282842,L&D OBSERV ADDL HOUR, 227.55 , -   
282843,EXTERNAL CEPHALIC VE," 4,331.88 ", -   
282844,FETAL CONTRACTION ST," 1,061.40 ", -   
282845,FETAL NON STRESS TES," 1,061.40 ", -   
282851,PAT EVAL/MGM LEVEL 1, 947.61 , -   
282910,IMM ADM 1ST VACCINE, 101.41 , -   
282911,IMM ADM EA ADD VACC, 86.43 , -   
282920,IV HYDRATION 1 HR," 1,006.87 ", -   
282921,IV HYDRAT EA ADD HR, 362.46 , -   
282930,IV THERAPY DX 1 HR," 1,006.87 ", -   
282931,IV THERAPY EA AD HR, 362.46 , -   
282932,IV THER AD SEQ 1 HR, 362.46 , -   
282933,CONCURRENT IV THER, 362.46 , -   
282940,THERAPEUTIC IV PUSH," 1,241.17 ", -   
282941,THERA EA AD IV PUSH," 1,241.17 ", -   
282942,THER AD IVP SAME MED, 446.83 , -   
282950,IMM ADM FLU VACCINE, 140.70 , -   
315200,R&B ICU," 12,338.05 ", -   
335200,R&B ICU/CCU," 12,338.05 ", -   
335214,R&B INTERMED CCU," 8,279.67 ", -   
385164,R&B TELEMETRY ISOL," 5,356.85 ", -   
385207,R&B TELEMETRY SEMI," 5,491.04 ", -   
1010014,"NI-EKG, 12 LEADS"," 1,379.55 ", -   
1010015,NI-STRESS TEST," 3,302.08 ", -   
1010017,"NI-EKG, 1-3 LEADS", 703.86 , -   
1010045,NI-HOLTER RECRD TO48," 2,347.47 ", -   
1010046,NI-HOLTER W-SCAN 48," 7,835.22 ", -   
1020030,EEG 41-60 MIN," 4,098.72 ", -   
1020031,EEG GT 1 HOUR," 4,098.72 ", -   
1020032,EEG AWAKE DROWSY," 4,098.72 ", -   
1020033,EEG AWAKE ASLEEP," 4,069.80 ", -   
1020034,EEG ASLEEP," 4,098.72 ", -   
1020035,EEG EVAL CEREBR," 5,369.10 ", -   
1020046,AMB EEG MONITORING," 6,308.46 ", -   
1040024,RESP FX TRN SGL 15MN, 711.59 , -   
1050009,NI-TEE PROB PLAC WO," 2,201.44 ", -   
1050025,US-CAROTID DPLX SCAN," 2,857.95 ", -   
1050032,NI-LW EXT DPX ART BI," 7,779.15 ", -   
1050034,NI-UP EXT DPX ART BI," 7,061.73 ", -   
1050037,NI-EXT VEINS DPLX WC," 6,330.83 ", -   
1050075,NI-ECHO STRESS W-WO," 12,337.59 ", -   
1050078,NI-TEE COMPLETE WWO," 10,622.39 ", -   
1050080,NI-ECHO WO DOPPLER," 6,640.23 ", -   
1050086,NI-TTE STRESS WO," 12,337.59 "," 8,266.19 "
1061202,CC-ENDOMYO BX," 13,365.87 ", -   
1061229,CC-ILIAC ANG W-CATH," 1,578.66 ", -   
1061230,CC-PERICARDIO INI," 14,675.54 ", -   
1061265,P-INS GEN-LEAD ATR," 45,659.29 ", -   
1061266,P-INS GEN-LEAD VEN," 45,659.29 ", -   
1061267,P-INS DUAL PAC SYS," 47,395.68 ", -   
1061268,P-INS TMP PAC LD SGL," 16,633.49 ", -   
1061269,P-INS TMP PAC LD DUA," 21,088.33 ", -   
1061270,P-INS-RPL GEN SNGL," 42,245.98 ", -   
1061271,P-INS-RPL GEN DUAL," 45,659.29 ", -   
1061272,P-UPGRD SNG TO DUAL," 45,659.29 ", -   
1061274,P-INS LEAD SNGL," 42,245.98 ", -   
1061275,P-INS LEAD DUAL," 45,659.29 ", -   
1061276,"P-REPAIR LEAD, SNGL"," 42,245.98 ", -   
1061277,"P-REPAIR LEAD, DUAL"," 45,659.29 ", -   
1061278,P-REVSE POCKET PACE," 45,659.29 ", -   
1061280,P-INS LV LEAD EXIST," 37,696.75 ", -   
1061283,P-REMOV PACE GEN," 12,103.64 ", -   
1061286,P-REMOV ICD GEN," 8,251.46 ", -   
1061288,P-IMPLNT LOOP REC," 22,153.40 ", -   
1061289,P-REMOV LOOP REC," 8,197.30 ", -   
1061325,S-INTROCATH AORTA," 34,552.64 ", -   
1061327,S-THORACIC 2ND ORDER," 15,894.80 ", -   
1061330,S-ABDOMEN 1ST ORDER," 37,987.25 ", -   
1061409,EP-COMP EP W- ARRY," 22,023.17 ", -   
1061454,P-INSERT ICD GEN," 89,069.55 ", -   
1061467,S-INS-REP PACE-DEFIB," 99,999.99 ", -   
1061479,NI-TEMP EXT PACE," 6,536.05 ", -   
1061480,NI-CARDIOVERSION," 2,131.09 ", -   
1061501,CC-RHC," 40,432.82 ", -   
1061502,CC-LHC VENT PUNC," 46,455.77 ", -   
1061503,CC-R-L CATH LV PUNC," 54,601.49 ", -   
1061504,CC-ANGIO CORON ONLY," 42,907.36 ", -   
1061505,CC-S-I VNT ATR ANGIO," 46,664.71 ", -   
1061506,CC-R HRT CORONRY ART," 83,340.20 ", -   
1061507,CC-R HRT ART-GRF ANG," 87,097.53 ", -   
1061508,CC-L HRT ARTERY-VENT," 54,148.38 ", -   
1061509,CC-L HRT ART-GRF ANG," 57,905.73 ", -   
1061510,CC-R-L HRT ART-VENT," 62,294.14 ", -   
1061511,CC-R-L HRT ART-ANGIO," 66,051.46 ", -   
1061513,S-ILIAC REVASC," 52,497.29 ", -   
1061514,S-ILIAC REVAS W STNT," 52,497.29 ", -   
1061517,S-FEM POP REVAS TLA," 52,497.29 ", -   
1061518,S-FEM POP REVAS ATHR," 52,497.29 ", -   
1061519,S-FEM POP REVAS STNT," 52,497.29 ", -   
1061520,S-FEM POP STNT ATHR," 55,218.57 ", -   
1061521,S-TIB PER REVAS W TL," 52,497.29 ", -   
1061522,S-TIB PER REVAS ATHR," 52,497.29 ", -   
1061523,S-TIB PER REVAS STNT," 52,497.29 ", -   
1061524,S-TIB PER REV STN AT," 55,218.57 ", -   
