Procedure ID,Description,Amount
4712,PASTE BNE DBM ORIGEN 5ML,2948
4888,CARDIOVERSION EXTERNAL  ,3310.5
5221,CARDIOVERSION EXTERNAL  ,3310.5
6363,PLATE BNE TI 4HL MATRIX ,374
10002,ALPRAZOLAM .5MG         ,23
10003,AMANTADINE HCL T        ,18
10010,DILTIAZEM 30MG T        ,16.5
10011,DILTIAZEM 60MG T        ,16.5
10012,FLUOROMETH .1% OP SUS5ML,95.75
10016,LIDO TOP 4% 50CC        ,130.75
10023,TOBRA-DEX .3-.1%OS 2.5ML,538
10024,TRIPLE SULFA VAG CR     ,230.5
10025,REMERON 30MG TAB        ,50.25
10028,VANCOMYCIN 500 MG VL    ,72.5
10033,HEPARIN 1000 U INJ      ,81.75
10036,ACYCLOVIR 500 MG INJ    ,142.75
10102,TRAZODONE 50MG T        ,16.5
10113,PIROXICAM 10MG          ,29.75
10148,PHENYLEPH 2.5% E GTT    ,356.5
10160,CHLORPROPAM 100MG T     ,16.5
10251,MICONAZOLE 100MG VAG SUP,36.75
10502,CYTARABINE 500 MG INJ   ,257.5
10524,CEFOTAN 2GM IVPB        ,362.25
10557,RAMIPRIL 2.5MG T        ,45.75
10568,AUGMENTIN 125MG/5ML SUSP,639
10580,DISOPYRAMIDE 100MG C    ,432.5
10591,BACITRACIN 50000 U V   ,665.25
10604,LIORESAL 10MG T         ,16.5
10637,LITHIUM CARBONATE CR    ,18
10659,NICARDIPINE 25MG/10ML IJ,237.5
10682,CHROMIUM PICOL 200MG TAB,7.25
10717,FAMVIR 500MG TB         ,246
10728,FELBAMATE 600 MG TAB    ,89.25
10739,FLUCONAZOLE 2MG/ML 200ML,389.5
10740,TRIAM/HCTZ 75/50 TB     ,19.75
10808,LEVOTHYROID 0.112MG TAB ,16.5
10831,NALOXONE 0.4 MG INJ     ,84
10842,NEPHRO-VITE             ,16.5
10864,PREDNISOLONE LIQ        ,37.75
10897,PIPER/TAZO 3GM I        ,53.5
10900,PRAMOSONE2.5 CR 60GM    ,1021.75
10933,PROZAC 20MG/5ML LIQ     ,185.25
10955,SANDIMMUNE 25MG         ,42.75
10966,SANTYL                  ,583.25
10977,SILVER NITRATE APPL     ,47.25
10988,NACL 10ML VL            ,33
10999,SUSPHRINE IH            ,88
11014,TIMOPTIC-XE 0.5% 2.5ML  ,248.5
11047,TOPROL XL 50MG T        ,24.75
11058,ZEBETA 5MG T            ,59.5
11070,BUNNELL'S SOLN          ,267.25
11081,HUMALOG INS R           ,32.75
11092,INDOMETHACIN 1MG INJ    ,7331.25
