Service Description,CPT/HCPCS Code,Charge
3D REPORT WITH WORKSTATION,76377,1493.00
3D REPORT WITHOUT WORKSTATION,76376,1194.00
3-DIMENSIONAL RADIOTHERAPY PLAN INCLUDING DOSE-VOLUME HISTOGRAMS,77295,7626.00
ABDOMINAL PARACENTESIS WITH IMAGING GUIDANCE,49083,2525.00
ABDOMINAL PARACENTESIS WITHOUT IMAGING GUIDANCE,49082,1668.00
ABL1 GENE ANALYSIS KINASE DOMAIN,81170,1306.00
ABLATION 1 OR MORE LIVER TUMOR(S) PERCUTANEOUS RADIOFREQUENCY,47382,11253.00
ABLATION 1 OR MORE RENAL TUMOR(S) PERCUT UNILATERAL RADIOFREQUENCY,50592,11727.00
ABLATION ENDOVENOUS EXTREMITY LASER 1ST VEIN,36478,5968.00
ABLATION ENDOVENOUS EXTREMITY LASER EACH ADDL,36479,3082.00
ABLATION ENDOVENOUS EXTREMITY RADIOFREQUENCY 1ST VEIN,36475,6851.00
ABLATION ENDOVENOUS EXTREMITY RADIOFREQUENCY EACH ADDL,36476,2230.00
ABLATION SOFT TISSUE OF INFERIOR TURBINATES INTRAMURAL,30802,3365.00
ABLATION THERAPY BONE TUMOR PERCUTANEOUS RADIOFREQUENCY W/IMAGING GUIDE,20982,11530.00
ABLATION THERAPY>=1 PULMONARY TUMOR(S) W/GUIDE RADIOFREQ UNILAT,32998,15887.00
ABORTION INDUCED W/SUPPOSITORY VAG,59855,1446.00
ACETAMINOPHEN-TYLENOL),80329,266.00
ACETONE KETONES QUANTITATIVE SERUM,82010,140.00
ACID FAST CULTURE,87116,230.00
ACNE SURGERY,10040,281.00
ACOUSTIC IMMITTANCE TEST W/TYMPANOMTRY ACOUST RFLX THRESHOLD/DECAY,92570,417.00
ACOUSTIC REFLEX TESTING THRESHOLD,92568,108.00
ACTH ADRENOCORTICOTROPIC,82024,334.00
ACTH STIMULATION PANEL 21 HYDROXYLASE DEFICIENCY,80402,717.00
ACTH STIMULATION PANEL 3 BETA-HYDROXYDEHYDROGENASE DEFICIENCY,80406,646.00
ACTH STIMULATION PANEL ADRENAL,80400,269.00
ACTIGRAPHY TESTING REC/ANALYSIS/INTERP & REPORT 3-14 DAYS,95803,193.00
ACTINOTHERAPY (ULTRAVIOLET LIGHT),96900,91.00
ACTIVITY THERAPY 360 MIN,G0176,320.00
ACYLCARNITINES QUALITATIVE,82016,114.00
ACYLCARNITINES QUANTITATIVE,82017,365.00
ADAPTIVE BEHAVIOR TREATMENT BY PROTOCOL ADMIN BY TECHNICIAN 1ST 30 MIN,0364T,556.00
ADAPTIVE BEHAVIOR TREATMENT SOCIAL SKILLS GROUP ADMIN MD/QHP MULT PTS,0372T,346.00
ADAPTIVE BEHAVIOR TREATMENT W/PROTOCOL MODIFICAT ADMIN MD/QHP 1ST 30 MIN,0368T,468.00
ADDING WALKER TO PREVIOUSLY APPLIED CAST,29440,340.00
ADDL LINEAR/FOCAL INTRACARDIAC CATH ABLATION LT/RT ATRIUM ISOL PULM VEIN,93657,16281.00
ADENOSINE CYCLIC (AMP),82030,103.00
ADENOVIRUS ANTIBODY,86603,170.00
ADENOVIRUS ANTIGEN INFECTIOUS AGENT IMMUNOASSAY TECHNIQUE,87301,144.00
ADENOVIRUS ASSAY W/DIRECT OPTICAL OBSERVATION,87809,99.00
ADJACENT TISSUE TRANSFER/REARRANGEMENT ANY AREA 30.1 SQCM-60.0 SQCM,14301,7176.00
ADJACENT TISSUE TRANSFER/REARRANGEMENT EYELID/NOSE/EAR/LIPS <=10 SQ CM,14060,4531.00
ADJACENT TISSUE TRANSFER/REARRANGEMENT FHEAD/HAND/FOOT/GENIT <=10 SQ CM,14040,2700.00
ADJACENT TISSUE TRANSFER/REARRANGEMENT FHEAD/HAND/FOOT/GENT 10.1-30 SQCM,14041,4453.00
ADJACENT TISSUE TRANSFER/REARRANGEMENT SCALP ARMS LEGS <=10 SQ CM,14020,3333.00
ADJACENT TISSUE TRANSFER/REARRANGEMENT TRUNK <=10 SQ CM,14000,3104.00
ADJACENT TISSUE TRANSFER/REARRANGEMENT TRUNK 10.1 SQ CM-30.0 SQ CM,14001,8481.00
ADMIN IMMUNIZATION ADDL,90472,83.00
ADMIN IMMUNIZATION ONE,90471,73.00
ADMIN INDIVIDUAL EMESIS W/CONTINUED OBSERVATION,99175,198.00
ADMINISTRATION OF HEPATITIS B VACCINE,90471,73.00
ADMINISTRATION OF INFLUENZA VIRUS VACCINE,90471,22.00
ADMINISTRATION OF PNEUMOCOCCAL VACCINE,90471,22.00
AEROSOL INHALATION PENTAMIDINE TREATMENT/PROPHYLAXIS,94642,401.00
AFP-L3 FRACTION ISOFORM & TOTAL AFP,82107,636.00
AL HYD-MG TR-ALG AC-SOD BICARB 80 MG-14.2 MG CHEWABLE TABLET,,0.21
ALBUMIN OTHER SOURCE QUANTITATIVE EACH,82042,95.00
ALBUMIN SERUM PLASMA WHOLE BLD,82040,67.00
"ALBUMIN, FLUID",82042,95.00
ALC =>3 DEFINITIVE ASSAY,80322,259.00
ALC BIOMARKER 1-2 DEFINITIVE ASSAY,80321,238.00
ALCOHOL,80320,232.00
ALCOHOL (ETHANOL) BREATH,82075,136.00
"ALCOHOL-ETHYL, URINE",80320,232.00
ALDOSTERONE,82088,465.00
ALDOSTERONE SUPPRESSION EVALUATION,80408,1036.00
ALK PHOS HEAT STABLE,84078,48.00
ALKALINE PHOSPHATASE,84075,101.00
ALKALOIDS DEFINITIVE ASSAY,80323,292.00
ALLERGY TEST PERCUT/INTRACUT SEQ/INCREM W/DRUGS/BIOL IMMED REACT INT&REP,95018,128.00
ALLERGY TEST PERCUT/INTRACUT SEQ/INCREMENT W/VENOMS IMMED REACT INT&REP,95017,128.00
ALLOGENEIC LYMPHOCYTE INFUSIONS,38242,3732.00
ALPHA 2 ANTIPLASMIN,85410,59.00
ALPHA FETOPROTEIN,82105,222.00
ALPHA FETOPROTEIN AMNIOTIC,82106,145.00
ALPHA-1 ANTITRYPSIN PHENO,82104,232.00
ALT/SGPT,84460,130.00
"ALUM, AMMONIUM (BULK) POWDER",,43.25
ALVEOLECTOMY INCLUDING CURETTAGE OF OSTEITIS OR SEQUESTRECTOMY,41830,7065.00
ALVEOLOPLASTY EACH QUADRANT,41874,7065.00
AMALGAM FOUR+ SURFACE PRIMARY OR PERMANENT,D2161,227.00
AMALGAM ONE SURFACE PRIMARY OR PERMANENT,D2140,140.00
AMALGAM THREE SURFACE PRIMARY OR PERMANENT,D2160,265.00
AMALGAM TWO SURFACE PRIMARY OR PERMANENT,D2150,189.00
AMBULANCE ADVANCED LIFE SUPPORT EMERGENCY TRANSPORT LEVEL 1,A0427,1429.00
AMBULANCE ADVANCED LIFE SUPPORT LEVEL 1 NON EMERGENCY,A0426,1460.00
AMBULANCE ADVANCED LIFE SUPPORT LEVEL 2,A0433,1984.00
AMBULANCE ADVANCED LIFE SUPPORT PER MILE,A0390,32.00
AMBULANCE BASIC LIFE SUPPORT EMERGENCY TRANSPORT,A0429,1202.00
AMBULANCE BASIC LIFE SUPPORT NON-EMERGENCY TRANSPORT,A0428,714.00
AMBULANCE BASIC LIFE SUPPORT PER MILE,A0380,32.00
AMBULANCE CONVENTIONAL AIR SERVICES TRANSPORT ONE WAY ROTARY WING,A0431,4759.00
AMBULANCE MILEAGE GROUND PER MILE,A0425,32.00
AMBULANCE MILEAGE NON-COVERED PER MILE,A0888,32.00
AMBULANCE OXYGEN W/SUPPLIES LIFE SUSTAINING,A0422,199.00
AMBULANCE RESPONSE AND TREATMENT NO TRANSPORT,A0998,204.00
AMBULANCE ROTARY WING AIR MILEAGE PER STATUTE MILE,A0436,79.00
AMBULANCE SPECIALTY CARE TRANSPORT,A0434,2323.00
AMBULANCE SUPPLIES BASIC LIFE SUPPORT ROUTINE DISPOSABLE,A0382,296.00
AMBULANCE WAITING TIME 30 MIN INCREMENTS,A0420,179.00
AMBULATORY BLOOD PRESSURE MONITORING >=24 HRS SCAN ANALYSIS & REPORT,93788,387.00
AMBULATORY BLOOD PRESSURE MONITORING AND RECORDING 24 HOURS OR LONGER,93790,203.00
AMBULATORY BP MONITORING FOR 24 HOURS OR LONGER RECORDING ONLY,93786,342.00
AMIKACIN THERAPUTIC DRUG ANALYSIS,80150,133.00
AMINES VAGINAL FLUID QUALITATIVE,82120,31.00
AMINO ACIDS 2-5 ACIDS QUANTITATIVE,82136,139.00
AMINO ACIDS 6 OR MORE QUANTITATIVE,82139,843.00
AMINO ACIDS QUALITATIVE MULTIPLE,82128,114.00
AMINO ACIDS QUALITATIVE SINGLE,82127,114.00
AMMONIA,82140,169.00
AMNIOCENTESIS DIAGNOSTIC,59000,1073.00
AMNIOCENTESIS THERAPEUTIC AMNIOTIC FLUID REDUCTION,59001,1119.00
AMPHETAMINES <=2 DEFINITIVE ASSAY,80324,186.00
AMPHETAMINES =>5 DEFINITIVE ASSAY,80326,206.00
AMPHETAMINES 3-4 DEFINITIVE ASSAY,80325,111.00
AMPUTATION FINGER OR THUMB SINGLE W/DIRECT CLOSURE,26951,3856.00
AMPUTATION METATARSAL WITH TOE SINGLE,28810,7018.00
AMPUTATION TOE INTERPHALANGEAL JOINT,28825,5723.00
AMPUTATION TOE METATARSOPHALANGEAL JOINT,28820,3601.00
AMYLASE,82150,152.00
"AMYLASE, SERUM",82150,152.00
ANA PROFILE,86038,290.00
ANA SERUM SCREEN,86038,290.00
ANABOLIC STEROIDS =>3 DEFINITIVE ASSAY,80328,259.00
ANABOLIC STEROIDS 1-2 DEFINITIVE ASSAY,80327,221.00
ANALGESICS NON-OPIOD =>6 DEFINITIVE ASSAY,80331,259.00
ANALGESICS NON-OPIOD N-OPIOD 3-5 DEFINITIVE ASSAY,80330,259.00
ANALYSIS INTRATHECAL/EPIDURAL IMPLANTED PUMP REPROGRAMMING,62368,656.00
ANALYSIS INTRATHECAL/EPIDURAL IMPLANTED PUMP WITH REPROGRAMMING/REFILL,62369,850.00
ANESTHESIA GENERAL 1ST 15 MINUTES,,876.00
ANESTHESIA GENERAL EACH ADDITIONAL 15 MINUTES,,216.00
ANESTHESIA MAC 1ST 15 MINUTES,,667.00
ANESTHESIA MAC EACH ADDITIONAL 15 MINUTES,,136.00
ANESTHESIA REGIONAL 1ST 15 MINUTES,,334.00
ANESTHESIA REGIONAL EACH ADDITIONAL 15 MINUTES,,113.00
ANESTHESIA TRAY,,129.02
ANGIOGRAPHY ADRENAL BILATERAL SELECTIVE RAD S&I,75733,11416.00
ANGIOGRAPHY BRACHIAL RETROGRADE RAD S&I,75710,6085.00
ANGIOGRAPHY EXTREMITY BILATERAL RAD S&I,75716,2727.00
ANGIOGRAPHY EXTREMITY UNILATERAL RAD S&I,75710,6085.00
ANGIOGRAPHY ILIAC DURING CARDIAC CATH,G0278,936.00
ANGIOGRAPHY INTERNAL MAMMARY RADIOLOGICAL S&I,75756,3268.00
ANGIOGRAPHY PELVIC SELECTIVE/SUPRASELECTIVE RAD S&I,75736,5936.00
ANGIOGRAPHY PULMONARY BILATERAL SELECTIVE RAD S&I,75743,6440.00
ANGIOGRAPHY PULMONARY BY NONSELECTIVE CATHETER/VENOUS INJECTION RAD S&I,75746,1986.00
"ANGIOGRAPHY PULMONARY UNILATERAL,SELECTIVE RAD S&I",75741,4818.00
ANGIOGRAPHY SELECTIVE EACH ADD VESSEL STUDIED AFTER BASIC EXAM RAD S&I,75774,1813.00
ANGIOGRAPHY SPINAL SELECTIVE RAD S&I,75705,7516.00
ANGIOGRAPHY THRU EXISTING CATH FOLLOW-UP STUDY TRANSCTH THERPY EMBOL INF,75898,1075.00
ANGIOGRAPHY VISCERAL SELECTIVE/SUPRASELECTIVE RAD S&I,75726,7523.00
ANGIOTENSIN 1 ENZYME (ACE),82164,173.00
ANOPLASTY PLASTIC OPERATION FOR STRICTURE ADULT,46700,4952.00
ANORECTAL EXAM SURGICAL REQ ANESTHESIA DIAGNOSTIC,45990,5437.00
ANORECTAL MANOMETRY TEST,91122,1613.00
ANOSCOPY DIAG W/HI-RES MAG/CHEMICL ENHANCE INCL COLLECT SPCMN BRUSH/WASH,46601,690.00
