2019 Detailed Line Item,
 2019 Price ,Transparency Description
 $31.05 ,"(ABELCET)PER10MG,AMPOTHERCIN B"
 $475.79 ,"(ADCETRIS)PER 1MG,BRENTUXIMAB"
" $19,347.00 ","(NEULASTAONPRO)PER 6MG,PEGFIL"
" $1,468.83 ",(PROLIA) DENOSUMAB 60MG/ML
 $267.00 ,(RECOTHROM)THROMBIN TOPICAL
 $233.94 ,(RENFLEXIS)PER10MG INFLIXIMAB
" $1,346.11 ",(XOLAIR)OMALIZUMAB 150MG
" $2,475.25 ","2d tte w or w/o fol w/con,co"
 $918.75 ,"2d tte w or w/o fol w/con,fu"
 $394.00 ,3D radiographic procedure with computerized image postprocessing
" $1,298.44 ",ABATACEPT (WITH MALTOSE) 250 MG INTRAVENOUS SOLUTION [85656]
 $412.75 ,Abdominal ultrasound of pregnant uterus
 $414.25 ,Abdominal ultrasound of pregnant uterus (greater or equal to 14 weeks 0 days) single or first fetus
 $412.75 ,Abdominal ultrasound of pregnant uterus (less than 14 weeks 0 days)
 $631.50 ,Abdominal ultrasound of pregnant uterus (less than 14 weeks 0 days) single or first fetus
 $631.50 ,Abdominal ultrasound of pregnant uterus single or first fetus
" $1,034.25 ",ACCESSORY KIT
 $1.04 ,ACEBUTOLOL 200 MG CAPSULE [6512]
 $1.39 ,ACEBUTOLOL 400 MG CAPSULE [6513]
 $0.50 ,"ACETAMINOPHEN 1,000 MG/100 ML (10 MG/ML) INTRAVENOUS SOLUTION [120085]"
 $41.25 ,ACETAMINOPHEN 1000MG IV SOL
 $0.83 ,ACETAMINOPHEN 120 MG RECTAL SUPPOSITORY [6427]
 $0.21 ,ACETAMINOPHEN 160 MG/5 ML (5 ML) ORAL SUSPENSION [114834]
 $0.37 ,ACETAMINOPHEN 300 MG-CODEINE 30 MG TABLET [39227]
 $0.14 ,ACETAMINOPHEN 300 MG-CODEINE 30 MG/12.5 ML (12.5 ML) ORAL SOLUTION [134214]
 $0.83 ,ACETAMINOPHEN 325 MG RECTAL SUPPOSITORY [6725]
 $0.03 ,ACETAMINOPHEN 325 MG TABLET [2671]
 $0.01 ,ACETAMINOPHEN 500 MG TABLET [2672]
 $0.44 ,ACETAMINOPHEN 650 MG RECTAL SUPPOSITORY [6312]
 $0.12 ,ACETAMINOPHEN 650 MG/20.3 ML ORAL SOLUTION [114839]
 $7.00 ,"ACETAMINOPHEN,650 MG TAB"
 $2.98 ,ACETAZOLAMIDE 250 MG TABLET [7412]
 $4.44 ,"ACETAZOLAMIDE ER 500 MG CAPSULE,EXTENDED RELEASE [44772]"
 $116.89 ,ACETYLCHOLINE CHLORIDE 1 % (10 MG/ML) INTRAOCULAR KIT [47973]
 $0.41 ,ACETYLCYSTEINE 100 MG/ML (10 %) SOLUTION [2549]
 $8.92 ,ACETYLCYSTEINE 200 MG/ML (20 %) INTRAVENOUS SOLUTION [55511]
 $0.42 ,ACETYLCYSTEINE 200 MG/ML (20 %) SOLUTION [2550]
 $0.26 ,ACTIVATED CHARCOAL 25 GRAM/120 ML ORAL SUSPENSION [56187]
 $132.00 ,Activated protein resistance assay
" $2,138.25 ",Acute digestive tract blood loss imaging
 $588.25 ,Acute hepatitis panel
 $1.01 ,ACYCLOVIR 200 MG CAPSULE [5086]
 $2.33 ,ACYCLOVIR SODIUM 50 MG/ML INTRAVENOUS SOLUTION [26614]
 $3.88 ,ADENOSINE 3 MG/ML INTRAVENOUS SOLUTION [42660]
 $241.75 ,ADH (antidiuretic hormone) level
 $128.25 ,Administration of 1 vaccine
 $30.00 ,Administration of first vaccine or toxoid component through 18 years of age with counseling
 $53.00 ,Administration of hepatitis b vaccine
 $52.00 ,Administration of influenza virus vaccine
 $61.74 ,Administration of pneumococcal vaccine
 $97.75 ,Administration of vaccine
 $30.00 ,Administration of vaccine or toxoid component through 18 years of age with counseling
" $3,708.12 ",ADO-TRASTUZUMAB EMTANSINE 100 MG INTRAVENOUS SOLUTION [135742]
 $397.25 ,Adrenocorticotropic hormone (ACTH) level
" $1,980.00 ",Aflibercept injection
" $63,526.50 ","Aicd, dual chamber"
" $101,805.75 ","Aicd, other than sing/dual"
" $52,939.25 ","Aicd, single chamber"
 $162.00 ,Air and bone conduction assessment of hearing loss and speech recognition
 $115.00 ,Air tone conduction hearing assessment screening
 $73.00 ,Albumin (protein) level
 $1.44 ,"ALBUMIN, HUMAN 25 % INTRAVENOUS SOLUTION [17292]"
 $10.00 ,ALBUTEROL INHLTN SOL PER 1MG
 $7.29 ,ALBUTEROL SULFATE 2 MG TABLET [647]
 $3.32 ,ALBUTEROL SULFATE HFA 90 MCG/ACTUATION AEROSOL INHALER (PED) [613117]
 $0.28 ,"Albuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose, 1 mg"
 $207.25 ,Aldolase (enzyme) level
 $436.75 ,Aldosterone hormone level
 $21.16 ,ALENDRONATE 70 MG TABLET [45120]
 $59.75 ,Alkaloids levels
 $106.00 ,"Allergy testing with drugs or biologicals into or within the skin, immediate type reaction, including test interpretation and report"
 $38.00 ,"Allergy testing with venoms into or within skin, immediate type reaction, including test interpretation and report"
 $0.28 ,ALLOPURINOL 100 MG TABLET [6395]
 $0.76 ,ALLOPURINOL 300 MG TABLET [6396]
 $197.50 ,Alpha-1-antitrypsin (protein) blood test
 $0.62 ,"ALPHA-1-PROTEINASE INHIBITOR (HUMAN) 1,000 MG INTRAVENOUS SOLUTION [48981]"
 $279.50 ,"Alpha-fetoprotein (AFP) level, amniotic fluid"
 $100.00 ,"Alpha-fetoprotein (AFP) level, serum"
 $0.67 ,ALPRAZOLAM 0.25 MG TABLET [668]
 $0.79 ,ALPRAZOLAM 0.5 MG TABLET [669]
" $10,921.60 ",ALTEPLASE 100 MG INTRAVENOUS SOLUTION [46614]
 $189.95 ,ALTEPLASE 2 MG INTRA-CATHETER SOLUTION [49213]
 $235.75 ,Aluminum level
 $0.10 ,ALUMINUM-MAG HYDROXIDE-SIMETHICONE 200 MG-200 MG-20 MG/5 ML ORAL SUSP [35974]
 $0.10 ,ALUMINUM-MAG HYDROXIDE-SIMETHICONE 400 MG-400 MG-40 MG/5 ML ORAL SUSP [42579]
 $2.09 ,AMANTADINE HCL 100 MG CAPSULE [7377]
 $241.50 ,Ambulatory continuous glucose (sugar) monitoring for a minimum of 72 hours
 $422.00 ,"AMI ACID 4.25% D5W SOL,1000ML"
 $422.00 ,"AMI ACID 4.25% D5W SOL,2000ML"
 $293.50 ,Amikacin (antibiotic) level
 $1.71 ,AMIKACIN 500 MG/2 ML INJECTION SOLUTION [117935]
 $0.28 ,AMILORIDE 5 MG TABLET [6466]
 $0.05 ,AMINO ACID 5 % IN 15 % DEXTROSE INTRAVENOUS SOLUTION [49112]
 $364.50 ,"Amino acid level, multiple amino acids"
 $0.41 ,AMINOCAPROIC ACID 250 MG/ML INTRAVENOUS SOLUTION [3803]
 $197.50 ,Aminolevulinic acid (protein) level
 $0.43 ,AMINOPHYLLINE 500 MG/20 ML INTRAVENOUS SOLUTION [3954]
 $0.37 ,AMIODARONE 200 MG TABLET [5218]
 $0.29 ,"AMIODARONE 360 MG/200 ML (1.8 MG/ML) IN DEXTROSE, ISO-OSMOTIC IV [123486]"
 $1.50 ,AMIODARONE 50 MG/ML INTRAVENOUS SOLUTION [38735]
 $0.33 ,AMITRIPTYLINE 10 MG TABLET [6289]
 $0.66 ,AMITRIPTYLINE 25 MG TABLET [6290]
 $0.59 ,AMLODIPINE 10 MG TABLET [47061]
 $0.41 ,AMLODIPINE 2.5 MG TABLET [45715]
 $3.60 ,AMLODIPINE 5 MG TABLET [45846]
 $0.53 ,AMMONIA AROMATIC 15 % (W/V) SOLUTION FOR INHALATION [7948]
 $168.75 ,Ammonia level
 $0.04 ,AMMONIUM LACTATE 12 % LOTION [20296]
 $0.13 ,AMOXICILLIN 250 MG CAPSULE [2352]
 $0.07 ,AMOXICILLIN 250 MG/5 ML ORAL SUSPENSION [2366]
 $2.96 ,AMOXICILLIN 250 MG-POTASSIUM CLAVULANATE 125 MG TABLET [45621]
 $0.89 ,AMOXICILLIN 250 MG-POTASSIUM CLAVULANATE 62.5 MG/5 ML ORAL SUSPENSION [44887]
 $0.71 ,AMOXICILLIN 400 MG-POTASSIUM CLAVULANATE 57 MG/5 ML ORAL SUSPENSION [38060]
 $0.21 ,AMOXICILLIN 500 MG CAPSULE [2353]
 $3.80 ,AMOXICILLIN 500 MG-POTASSIUM CLAVULANATE 125 MG TABLET [38056]
 $0.95 ,AMOXICILLIN 875 MG TABLET [28148]
 $5.07 ,AMOXICILLIN 875 MG-POTASSIUM CLAVULANATE 125 MG TABLET [38057]
 $7.32 ,AMPICILLIN 1 GRAM SOLUTION FOR INJECTION [1478]
 $9.85 ,AMPICILLIN 2 GRAM SOLUTION FOR INJECTION [1481]
 $3.05 ,AMPICILLIN 500 MG SOLUTION FOR INJECTION [1475]
 $4.83 ,AMPICILLIN-SULBACTAM 1.5 GRAM SOLUTION FOR INJECTION [41966]
 $9.57 ,AMPICILLIN-SULBACTAM 3 GRAM SOLUTION FOR INJECTION [41967]
" $3,000.00 ",Amputation of foot
 $146.75 ,Amylase (enzyme) level
 $196.25 ,Analysis for antibody (IgM) to Cytomegalovirus (CMV)
 $219.50 ,Analysis for antibody (IgM) to Toxoplasma (parasite)
 $128.00 ,Analysis for antibody (IgM) to West Nile virus
 $366.25 ,Analysis for antibody bacteria
 $49.50 ,Analysis for antibody bordetella (respiratory bacteria)
 $315.00 ,Analysis for antibody Borrelia burgdorferi (Lyme disease bacteria)
 $98.25 ,Analysis for antibody to aspergillus (fungus)
 $51.50 ,Analysis for antibody to Bartonella (bacteria)
 $98.25 ,Analysis for antibody to blastomyces (fungus)
 $31.75 ,Analysis for antibody to Brucella (bacteria)
 $98.25 ,Analysis for antibody to Coccidioides (bacteria)
 $214.25 ,Analysis for antibody to Cytomegalovirus (CMV)
 $214.25 ,Analysis for antibody to Diphtheria (bacteria)
 $246.75 ,Analysis for antibody to Enterovirus (gastrointestinal virus)
 $163.75 ,Analysis for antibody to Epstein-Barr virus (mononucleosis virus)
 $148.25 ,Analysis for antibody to Giardia lamblia (intestinal parasite)
 $181.50 ,Analysis for antibody to Helicobacter pylori (gastrointestinal bacteria)
 $200.00 ,Analysis for antibody to helminth (intestinal worm)
 $219.50 ,Analysis for antibody to Hepatitis D virus
 $110.75 ,Analysis for antibody to Herpes simplex virus
 $83.00 ,"Analysis for antibody to Herpes simplex virus, type 1"
 $51.25 ,"Analysis for antibody to Herpes simplex virus, type 2"
 $98.25 ,Analysis for antibody to histoplasma (fungus)
 $100.75 ,Analysis for antibody to HIV -1 virus
 $250.75 ,Analysis for antibody to Influenza virus
 $196.50 ,Analysis for antibody to Leptospira
 $113.00 ,Analysis for antibody to mumps virus
