PROCEDURE,DESCRIPTION,DEPARTMENT,CHG CAT,STD AMOUNT,CPT,HCPC
10600300,INTERMEDIATE ICU ROOM,28314537106,206," $3,039.87 ",,
10800018,SEMI PRIVATE ROOM,28314537108,120," $3,945.09 ",,
10800026,PRIVATE ROOM,28314537108,110," $3,088.02 ",,
10800300,INTERMEDIATE ICU ROOM,28314537108,206," $4,477.95 ",,
10800310,INTERMEDIATE CCU ROOM,28314537108,214," $4,477.95 ",,
11100018,ICU,28314537111,200," $5,083.57 ",,
11400010,RECOVERY RM 0-30,28314537114,710, $556.50 ,,
11400020,RECOV RM EA ADDTL 30,28314537114,710, $433.65 ,,
11600001,PROCEDURE RM-1ST 30 MIN,28314537116,761," $4,916.10 ",,
11600002,PROCEDURE RM-EA ADDTL 30,28314537116,761, $565.95 ,,
11600010,O.R. 0-30 MINUTES,28314537116,360," $1,263.15 ",,
11600020,O.R. EACH ADDTL 30 MIN,28314537116,360, $632.10 ,,
11600110,CENTRAL LINE INSERTION,28314537116,761," $2,387.70 ",36569,
11600150,PARACENTESIS,28314537116,360, $158.55 ,,
11600156,PEG TUBE INSERTION - OR,28314537116,360," $2,423.40 ",43246,
11600510,PIC LINE INSERTION,28314537116,761," $1,262.10 ",36569,
11690002,MINOR SURGERY 1 HOU,28314537116,360," $8,852.55 ",,
11690003,SURGERY FIRST HOUR,28314537116,360," $18,022.20 ",,
11690004,RECOVERY ROOM 1 HR.,28314537116,360," $1,061.55 ",,
11691221,BLUE BOWL 32 OZ,28314537116,270, $8.00 ,,
11691237,STERILE MED LABES KE,28314537331,270, $8.00 ,,
11691412,BREATHING CIRCUIT,28314537331,270, $105.00 ,,
11691415,3-WAY STOP COCK,28314537331,270, $24.00 ,,
11691416,SPINAL NEEDLE,28314537331,270, $31.80 ,,
11691422,BOVIE TIP,28314537331,270, $50.00 ,,
11691423,BOVIE EXTENSION,28314537331,270, $61.00 ,,
11691424,BOVIE CLEANER,28314537331,270, $17.00 ,,
11691425,BOVIE GROUNDING PAD,28314537331,270, $40.00 ,,
11691426,BOVIE PENCIL,28314537331,270, $59.00 ,,
11691435,MEDIPORE DRESSING,28314537331,270, $36.00 ,,
11691440,DERMACARRIERS,28314537331,270, $88.00 ,,
11691442,"TRACH TUBE, ALL",28314537331,270, $366.00 ,,
11691443,SNARE WIRE,28314537331,270, $12.00 ,,
11691447,NASAL AIRWAY,28314537116,270, $56.40 ,,
11691471,PULSATING IRRIGATION,28314537331,270, $358.00 ,,
11691490,BAIR HUGGER MACHINE,28314537331,270, $248.40 ,,
11691532,ASEPTO SYRG DISP,28314537331,270, $31.00 ,,
11691538,PERMACATH,28314537331,270, $750.00 ,,
11691540,RECOVERY ROOM 1/4 HR,28314537331,270, $408.00 ,,
11691555,DG APPOSE SKN STAPL,28314537331,270, $261.00 ,,
11691563,JCKON PRT FLT DRAIN,28314537331,270, $437.00 ,,
11691564,JACKSON/BLAKE RESVR,28314537331,270, $252.00 ,,
