BILL ITEM ID,LONG DESCRIPTION,CPT-4,HCPCS,REVENUE, TMMC Standard Price Schedule ,TMMC OP Lab Price Schedule
6974915,ROOM/BED: Med/Surg,,,120," $3,633.00 ",
6974906,ROOM/BED: Labor and Delivery,,,122," $3,633.00 ",
6974919,ROOM/BED: Obstetrics,,,122," $3,633.00 ",
6974918,ROOM/BED: PEDS,,,123," $3,633.00 ",
6974907,ROOM/BED: Nursery,,,171," $1,212.00 ",
6974916,ROOM/BED: NICU Level 2,,,172," $5,982.00 ",
6974917,ROOM/BED: NICU Level 3,,,173," $7,476.00 ",
6974912,ROOM/BED: NICU Level 4,,,174," $9,209.00 ",
6974910,ROOM/BED: Nursery Boarder,,,179," $1,212.00 ",
6974911,ROOM/BED: TCU,,,190," $2,335.00 ",
6974909,ROOM/BED: ICU/CCU,,,200," $9,233.00 ",
6974908,ROOM/BED: Burn,,,207," $9,233.00 ",
6974913,ROOM/BED: PCU,,,214," $6,068.00 ",
699205,SOL SRGPRP 4OZ 7.5% PVP IOD 29904-004,,,250, $17.00 ,
699277,LUB JLY 2OZ TUBE STRL 2OZLUB,,,250, $25.00 ,
719390,SOL PRP PVP 4OZ ANMC NIRR 29906-004,,,250, $2.70 ,
737992,Bretylol 500 mg/ 10 ml Vial,,,250, $501.00 ,
738007,"THROMBIN 10,000 UNIT VIAL",,,250, $866.00 ,
738022,POTASSIUM CHLORIDE 20 MEQ,,,250, $145.00 ,
738052,INDIGO CAMINE 5 MLl AMP,,,250, $234.00 ,
738079,ACETIC ACID 5% 500ML IRRIGATION,,,250, $269.00 ,
738090,Cetacaine Spray  56 gm,,,250, $291.00 ,
738096,DEXTROSE 50% VIAL 50 ML,,,250, $145.00 ,
738135,Xylocaine Ointment  5%  35 gm,,,250, $135.00 ,
738295,TIMOPTIC 0.25% 15 ML (TIMOLOL),,,250, $722.00 ,
742743,CLEOCIN 900 MG   PB,,,250, $474.00 ,
742771,NEOSPORIN OPHTH OINTMENT,,,250, $132.00 ,
765441,tobramycin Forte 15mg/mL Eye Drop 6mL,,,250, $380.60 ,
765447,"bupivacaine-EPI 0.5% -1:200,000 30mL",,,250, $253.30 ,
765470,tobramycin (Nebcin) Powder 1.2gm,,,250," $2,533.52 ",
765505,captopril 0.6mg/mL Ped Oral Syr,,,250, $134.28 ,
765524,isoniazid (Nydrazid) 1000mg/10 mL,,,250, $382.41 ,
765541,aztreonam (Azactam) 1gm for PB,,,250, $382.41 ,
765543,aztreonam (Azactam) 2gm for PB,,,250, $492.11 ,
765570,bumetanide (BUMex) 0.25mg/mL 2mL Amp,,,250, $121.86 ,
765579,bumetanide (BUMex) 0.25mg/mL 4mL vial,,,250, $156.79 ,
765580,bumetanide (BUMex) 0.25mg/mL 10mL,,,250, $287.19 ,
765586,flumazenil (Romazicon) 0.1mg/mL 5mL Vial,,,250, $471.15 ,
765587,flumazenil (Romazicon) 0.1mg/mL 10mL Vial,,,250, $660.29 ,
765693,ethacrynate (Edecrin) 1mg/mL Ped IV,,,250," $2,078.42 ",
765696,timolol (Timoptic) 0.25% Oph 5mL,,,250, $312.29 ,
765698,timolol (Timoptic) 0.5% Oph 5mL,,,250, $319.54 ,
765702,Indomethacin 1 mg Vial,,,250," $4,002.47 ",
765703,indomethacin 0.5mg/mL Ped IV,,,250," $4,002.47 ",
765708,famotidine (Pepcid) for infus,,,250, $253.30 ,
765709,timolol (Timoptic-XE) 0.25% Oph Gel Soln 5mL,,,250, $272.19 ,
765720,dexamethasone 0.1% Oph Sol 5mL,,,250, $227.17 ,
765863,neomycin Solution 125mg/5mL 120mL,,,250, $151.61 ,
765874,carboprost (Hemabate) 250mcg/1mL amp,,,250, $320.31 ,
765878,dinoprost (Prepidil) Cervical Gel 0.5mg/2.5mL,,,250," $1,376.72 ",
765897,Indigo Carmine 5 ml Amp,,,250, $236.74 ,
765904,latanoprost (Xalatan) 0.005% Oph Soln 2.5mL,,,250, $381.89 ,
765922,nafcillin 2gm Vial,,,250, $382.41 ,
765923,nafcillin 2000mg Vial,,,250, $382.41 ,
765924,nafcillin 1gm Vial,,,250, $352.65 ,
765925,nafcillin 1000mg Vial,,,250, $352.65 ,
765926,nafcillin 500mg Vial,,,250, $221.48 ,
765943,ampicillin 125mg/5mL 200mL,,,250, $145.93 ,
765947,hydrocORTisone (Cortifoam) 20gm,,,250, $501.17 ,
765950,colonic lavage (Golytely) Solution 4000mL,,,250, $377.23 ,
765952,Poly-Pred (neom-polym-pred) Oph Sus 5mL,,,250, $223.03 ,
765953,Pred G (gent-prednis) Oph Sus 5mL,,,250, $291.08 ,
765956,sulfacetamide-prednisolone(Blephamide)OphOint 3.5gm,,,250, $188.88 ,
765957,fluorometholone (FML) Ophth Oint 3.5gm,,,250, $291.08 ,
765964,Polytrim (polymyxinTMP) Ophth Soln 10mL,,,250, $291.08 ,
765966,brimonidine 0.2% 5mL,,,250, $271.41 ,
