MS DRG,Atmore MS DRG DESC2, Average of TOTAL CHARGES2 
54,NERVOUS SYSTEM NEOPLASMS W MCC,"$18,858.30 "
57,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,"$16,632.20 "
64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,"$27,639.75 "
65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,"$17,455.92 "
66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,"$10,479.20 "
69,TRANSIENT ISCHEMIA W/O THROMBOLYTIC,"$16,741.21 "
70,NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,"$10,364.40 "
71,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,"$6,851.42 "
74,CRANIAL  PERIPHERAL NERVE DISORDERS W/O MCC,"$10,303.00 "
91,OTHER DISORDERS OF NERVOUS SYSTEM W MCC,"$14,626.37 "
92,OTHER DISORDERS OF NERVOUS SYSTEM W CC,"$15,836.61 "
100,SEIZURES W MCC,"$27,892.15 "
101,SEIZURES W/O MCC,"$11,601.51 "
102,HEADACHES W MCC,"$7,169.71 "
103,HEADACHES W/O MCC,"$9,373.91 "
133,OTHER EAR- NOSE- MOUTH  THROAT O.R. PROCEDURES W CC/MCC,"$12,771.92 "
137,MOUTH PROCEDURES W CC/MCC,"$14,307.90 "
147,EAR- NOSE- MOUTH  THROAT MALIGNANCY W CC,"$16,027.45 "
149,DYSEQUILIBRIUM,"$13,236.45 "
153,OTITIS MEDIA  URI W/O MCC,"$11,196.15 "
156,OTHER EAR- NOSE- MOUTH  THROAT DIAGNOSES W/O CC/MCC,"$8,446.57 "
158,DENTAL  ORAL DISEASES W CC,"$7,999.09 "
167,OTHER RESP SYSTEM O.R. PROCEDURES W CC,"$16,015.94 "
175,PULMONARY EMBOLISM W MCC,"$25,318.76 "
176,PULMONARY EMBOLISM W/O MCC,"$10,337.37 "
177,RESPIRATORY INFECTIONS  INFLAMMATIONS W MCC,"$35,120.08 "
178,RESPIRATORY INFECTIONS  INFLAMMATIONS W CC,"$12,168.17 "
181,RESPIRATORY NEOPLASMS W CC,"$12,190.20 "
186,PLEURAL EFFUSION W MCC,"$20,203.47 "
187,PLEURAL EFFUSION W CC,"$15,412.60 "
189,PULMONARY EDEMA  RESPIRATORY FAILURE,"$20,856.24 "
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"$17,861.25 "
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,"$16,851.74 "
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,"$11,464.19 "
193,SIMPLE PNEUMONIA  PLEURISY W MCC,"$24,619.90 "
194,SIMPLE PNEUMONIA  PLEURISY W CC,"$19,294.56 "
195,SIMPLE PNEUMONIA  PLEURISY W/O CC/MCC,"$8,468.56 "
197,INTERSTITIAL LUNG DISEASE W CC,"$15,321.07 "
199,PNEUMOTHORAX W MCC,"$41,864.85 "
202,BRONCHITIS  ASTHMA W CC/MCC,"$13,063.07 "
203,BRONCHITIS  ASTHMA W/O CC/MCC,"$11,491.41 "
204,RESPIRATORY SIGNS  SYMPTOMS,"$8,892.50 "
208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,"$17,679.08 "
280,ACUTE MYOCARDIAL INFARCTION- DISCHARGED ALIVE W MCC,"$6,835.72 "
282,ACUTE MYOCARDIAL INFARCTION- DISCHARGED ALIVE W/O CC/MCC,"$9,006.81 "
291,HEART FAILURE SHOCK W MCC,"$18,490.70 "
292,HEART FAILURE  SHOCK W CC,"$14,545.80 "
293,HEART FAILURE  SHOCK W/O CC/MCC,"$12,970.49 "
300,PERIPHERAL VASCULAR DISORDERS W CC,"$9,775.32 "
303,ATHEROSCLEROSIS W/O MCC,"$13,201.46 "
308,CARDIAC ARRHYTHMIA  CONDUCTION DISORDERS W MCC,"$19,669.24 "
309,CARDIAC ARRHYTHMIA  CONDUCTION DISORDERS W CC,"$15,241.10 "
310,CARDIAC ARRHYTHMIA  CONDUCTION DISORDERS W/O CC/MCC,"$11,057.84 "
312,SYNCOPE  COLLAPSE,"$14,683.74 "
313,CHEST PAIN,"$10,639.77 "
315,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,"$6,412.40 "
326,STOMACH- ESOPHAGEAL  DUODENAL PROC W MCC,"$24,195.73 "
329,MAJOR SMALL  LARGE BOWEL PROCEDURES W MCC,"$63,353.27 "
330,MAJOR SMALL  LARGE BOWEL PROCEDURES W CC,"$42,653.25 "
337,PERITONEAL ADHESIOLYSIS W/O CC/MCC,"$23,500.44 "
