Charge / Procedure Number,Billing Description,CDM Price
0,DD T2024 U2 Billable Unit,573.36
0{10},BH 90837-GT (60MIN) VTC NB,503.20
0{100},BH H0031-GT Non-billable unit,184.00
0{101},FIT 97760 Unit(s),160.70
0{102},FIT 97760 Non-billable,160.70
0{103},BH T1023 AST Non-billable VTC,150.90
0{104},BH AST Billable Unit,150.90
0{105},BH 90846-U7-GT (30MIN) VTC,147.10
0{106},BH 90846-U7-GT (30/90) VTC NB,147.10
0{107},BH 90846-U7-GT (30/90) VTC,147.10
0{108},BH 90846-U7-GT (30MIN) VTC NB,147.10
0{109},BH 90847-U7-GT (30MIN)  VTC,147.10
0{11},S5151 Billable Units 2,477.90
0{110},BH 90847-U7-GT (30MIN) VTC NB,147.10
0{111},BH 90847-U7-GT (30/90) VTC,147.10
0{112},BH 90847-U7-GT (30/90) VTC NB,147.10
0{113},FIT 97530 Unit(s),139.20
0{114},FIT 97530 Non-billable,139.20
0{115},FIT SLP 92618 Billable,134.50
0{116},FIT SLP 92618 Non-billable,134.50
0{117},FIT OT 97112 Unit(s),124.10
0{118},FIT 97112 Unit(s),124.10
0{119},FIT OT 97112 Unit(s) NB,124.10
0{12},S5151 Nonbillable Unit 2,477.90
0{120},FIT 97112 Non-billable,124.10
0{121},BH Individual Therapy 90832,121.20
0{122},BH Individual Therapy 90832 30/90 min.,121.20
0{123},FIT OT 97542 Unit(s),119.10
0{124},FIT 97542 Unit(s),119.10
0{125},FIT OT 97542 Unit(s) NB,119.10
0{126},FIT 97542 Non-billable,119.10
0{127},BH SUA Billable Unit,112.40
0{128},BH SUA Non-Billable Unit,112.40
0{129},BH H0001-GT Billable Unit,112.40
0{13},S5151 Billable Units 3,477.90
0{130},BH H0001-GT Nonbillable Unit,112.40
0{131},BH H0001 Billable Unit,112.40
0{132},BH H0001 Non-billable Unit,112.40
0{133},FIT OT 97110 Unit(s),109.40
0{134},FIT 97110 Unit(s),109.40
0{135},FIT OT 97110 Unit(s) NB,109.40
0{136},FIT 97110 Non-billable,109.40
0{137},BH Individual Therapy 90832 NB,109.10
0{138},BH Individual Therapy 90832 30/90 NB,109.10
0{139},FIT 97116 Unit(s),108.30
0{14},S5151 Nonbillable Unit 3,477.90
0{140},FIT 97116 Non-billable,108.30
0{141},BH CI S9484,103.80
0{142},BH CI S9484 NB,103.80
0{143},BH 90853-GT VTC (60/90) NB,100.60
0{144},BH 90853-GT (60MIN) VTC,100.60
0{145},BH 90853-GT (60/90MIN) VTC,100.60
0{146},BH 90853-GT (60MIN) VTC NB,100.60
0{147},DSMT Face-to-Face; Individual CPT (98960),90.10
0{148},BH Family Therapy 90846-U7,77.00
0{149},BH Family Therapy 90846-U7 30/90 NB,77.00
0{15},S5151 Billable Units 4,477.90
0{150},BH Family Therapy 90846-U7 NB,77.00
0{151},BH Family Therapy 90846-U7 30/90,77.00
0{152},BH 90853-GT (30/90) VTC NB,74.90
0{153},BH 90853-U7-GT (30MIN) VTC NB,74.90
0{154},BH 90853-GT (30/90MIN) VTC,74.90
0{155},BH 90853-U7-GT (30MIN) VTC,74.90
0{156},DSMT Individual Medicare  (G0108),52.90
0{157},BH SBIRT 1 Unit Billable:,47.10
0{158},BH SBIRT 1 Unit Non-Billable:,47.10
0{159},BH CSR Billable Unit,44.90
0{16},S5151 Nonbillable Unit 4,477.90
0{160},BH CSR Non-Billable Unit,44.90
0{161},BH H0046-GT 90-135 VTC Billable,44.90
0{162},BH H0046-GT 90-135 VTC Non-Billable,44.90
0{163},BH DC H0046-GT VTC billable unit,44.90
0{164},BH DC H0046-GT VTC non-billable unit,44.90
0{165},BH H0046-GT VTC Billable,44.90
0{166},BH H0046-GT VTC Non-billable,44.90
0{167},DSMT for 2 - 4 Patients CPT (98961),44.50
0{168},BH AST Non-Billable Unit,39.60
0{169},DSMT for 5 - 8 Patients CPT (98962),31.80
0{17},S5151 Billable Units 5,477.90
0{170},BH CI S9484-U6 NB,28.90
0{171},BH CI S9484-U6,25.70
0{172},BH CS Billable Units,19.30
0{173},BH CS Non-Billable Units,19.30
0{174},BH CCSS-I H2015 NB,19.30
0{175},BH CCSS-I H2015,19.30
0{176},BH TBHS H2019-HR NB,19.30
0{177},BH TBHS H2019-HS NB,19.30
0{178},BH TBHS-Ind H2019 NB,19.30
0{179},BH TBHS H2019-HR,19.30
0{18},S5151 Nonbillable Unit 5,477.90
0{180},BH TBHS H2019-HS,19.30
0{181},BH TBHS-Ind H2019,19.30
0{182},BH TBHS H2019-HR-GT VTC,18.20
0{183},BH TBHS H2019-HS-GT VTC,18.20
0{184},BH TBHS H2019-GT VTC,18.20
0{185},BH TBHS H2019-HR-GT VTC NB,18.20
0{186},BH TBHS H2019-HS-GT VTC NB,18.20
0{187},BH TBHS-I H2019-GT VTC NB,18.20
0{188},BH CCSS-I H2015-GT VTC,18.20
