HSP,CHARGE CODE,BILLING DESCRIPTION,HOSPITAL CHARGE,,,,,,,,,,,,,,,,,,,
MAN,0020100012,PRIVATE,"$5,404.00",,,,,,,,,,,,,,,,,,,
MAN,0020100228,ICU GEN,"$11,081.00",,,,,,,,,,,,,,,,,,,
MAN,0020100269,CCU GEN,"$11,337.00",,,,,,,,,,,,,,,,,,,
MAN,0020100483,PRIV PEDS,"$5,404.00",,,,,,,,,,,,,,,,,,,
MAN,0020100616,ISOLATN STERILE,"$11,415.00",,,,,,,,,,,,,,,,,,,
MAN,0020100624,ICU INTERMED,"$7,608.00",,,,,,,,,,,,,,,,,,,
MAN,0020100756,CDCR ADMIN R&B,"$5,404.00",,,,,,,,,,,,,,,,,,,
MAN,0023000011,PRIVATE,"$5,404.00",,,,,,,,,,,,,,,,,,,
MAN,0023000052,PRIV ISOLATION,"$6,147.00",,,,,,,,,,,,,,,,,,,
MAN,0023000433,PRIV O B,"$5,514.00",,,,,,,,,,,,,,,,,,,
MAN,0023000482,PRIV PEDS,"$5,404.00",,,,,,,,,,,,,,,,,,,
MAN,0023000490,SEMI-PRIV PEDS,"$5,945.00",,,,,,,,,,,,,,,,,,,
MAN,0023000623,ICU INTERMED,"$7,608.00",,,,,,,,,,,,,,,,,,,
MAN,0023000755,CDCR ADMIN R&B,"$5,404.00",,,,,,,,,,,,,,,,,,,
MAN,0023100019,PRIVATE,"$5,404.00",,,,,,,,,,,,,,,,,,,
MAN,0023100027,SEMI-PRIVATE,"$5,404.00",,,,,,,,,,,,,,,,,,,
MAN,0023100050,PRIV ISOLATION,"$6,147.00",,,,,,,,,,,,,,,,,,,
MAN,0023100431,PRIV O B,"$5,514.00",,,,,,,,,,,,,,,,,,,
MAN,0023100480,PRIV PEDS,"$5,404.00",,,,,,,,,,,,,,,,,,,
MAN,0023100498,SEMI-PRIV PEDS,"$5,945.00",,,,,,,,,,,,,,,,,,,
MAN,0023100621,ICU INTERMED,"$7,608.00",,,,,,,,,,,,,,,,,,,
MAN,0023100753,CDCR ADMIN R&B,"$5,404.00",,,,,,,,,,,,,,,,,,,
MAN,0025000019,PRIVATE,"$5,404.00",,,,,,,,,,,,,,,,,,,
MAN,0025000027,SEMI-PRIVATE,"$5,404.00",,,,,,,,,,,,,,,,,,,
MAN,0025000118,NEWBORN OTHER,"$3,945.00",,,,,,,,,,,,,,,,,,,
MAN,0025000431,PRIV O B,"$5,514.00",,,,,,,,,,,,,,,,,,,
MAN,0025000449,SEMI-PRIV O B,"$5,514.00",,,,,,,,,,,,,,,,,,,
MAN,0025000498,SEMI-PRIV PEDS,"$5,945.00",,,,,,,,,,,,,,,,,,,
MAN,0025500109,NEWBORN LVL I,"$3,945.00",,,,,,,,,,,,,,,,,,,
MAN,0025500117,NEWBORN OTHER,"$3,945.00",,,,,,,,,,,,,,,,,,,
MAN,0030700132,SURGICL SPECIMN,$755.04,,,,,,,,,,,,,,,,,,,
MAN,0030700223,FNA W GUIDANCE,"$1,081.02",,,,,,,,,,,,,,,,,,,
MAN,0030702021,SCRN MAMMO+CAD,$699.62,,,,,,,,,,,,,,,,,,,
MAN,0030702047,DX MAMMO+CAD,$717.77,,,,,,,,,,,,,,,,,,,
