Category,Description,Price
Acupuncture,HC ACUPUNCTURE W/O E-STIM INIT,$248.00 
Acupuncture,HC ACUPUNCT W/O STIMUL ADDL,$207.00 
Acupuncture,HC  ACUPUNCT W/STIMUL ADDL 15M,$106.00 
Acupuncture,HC ACUPUNCT W/STIMUL 15 MIN,$87.00 
Allergy and Clinical Immunology,HC TEST BRONCH INH CHAL W/HISTAM,$617.00 
Allergy and Clinical Immunology,HC PROVISION OF ANTIGENS- 4 VENOM,$102.00 
Allergy and Clinical Immunology,HC TEST ALLERGY INTRA W/ALLERG,$100.00 
Allergy and Clinical Immunology,HC PRICK TEST ALLERGENS # TEST,$77.00 
Allergy and Clinical Immunology,HC ALLG TSTG PERQ & IC VENOMS IMM,$67.00 
Allergy and Clinical Immunology,HC ALLG TEST PERQ & IC DRUG/BIOL,$67.00 
Allergy and Clinical Immunology,HC ALLERGEN INJECTION SINGLE,$61.00 
Allograft,HC PLUG COLLAGEN,$440.00 
Allograft,HC MINEROSS .5CC,$228.00 
Ambulance,HC AMBUL SPECIALTY CARE - GEN,"$2,804.00 "
Ambulance,HC ADVANCE LIFE SUPPORT LVL 2,"$2,591.00 "
Ambulance,HC AMBUL ALS LEVEL I EMERG - GEN,"$2,267.00 "
Ambulance,HC AMBUL ALS L-I NON-EMERG GEN,"$2,034.00 "
Ambulance,HC AMBUL BLS EMERGENCY - GEN,"$1,148.00 "
Ambulance,HC AMBUL BLS NON-EMERGENCY - GEN,$802.00 
Ambulance,HC AMBUL GRD MILEAGE/MILE - SGEN/DGEN,$25.00 
Ambulance - Air Ambulance,HC AMBUL AIR MILEAGE FIXED/MILE,$76.00 
Ambulance - Neonatal Services,HC AMBUL NEONATAL BASE RATE 1 WAY,"$5,839.00 "
Ambulance - Neonatal Services,HC AMBUL SPECIALTY CARE NEO,"$3,033.00 "
Ambulance - Neonatal Services,HC AMBUL ALS LEVEL I EMER NEO,"$2,267.00 "
Ambulance - Neonatal Services,HC AMBUL GRD MILEAGE/MILE - SNEO/DNEO,$25.00 
Audiology,HC HEARNG AID CHK-BINAURAL LEV II,$400.00 
Audiology,HC AUD REHABILITATION POST-LINGUA,$291.00 
Audiology,HC HEARING AID FIT-MONAURAL,$250.00 
Audiology,HC HEARING AID FIT-BINAURAL,$250.00 
Audiology,HC HEARNG AID CHK-MONAURAL LEV II,$200.00 
Audiology,HC REM CERUMEN/AUD TEST,$121.00 
Audiology,HC AUD EVAL ELECTROACOUSTIC BI,$93.00 
Audiology,HC EVAL OF AUD REHAB ADDL 15 MIN,$82.00 
Audiology,HC HEARNG AID CHK-BINAURAL LEV I,$80.00 
Audiology,HC AUD EVAL ELECTROACOUSTIC MONO,$65.00 
Audiology,HC HEARNG AID CHEK-MONAURAL LEV I,$50.00 
Audiology - Diagnostic,HC AUD BASIC VSTBLR SPONT NYSTAG,$955.00 
Audiology - Diagnostic,HC AUD EVOKED POTENTIAL COMP,$631.00 
Audiology - Diagnostic,HC AUD ELECTROCOCHLEOGRAPHY,$620.00 
Audiology - Diagnostic,HC COCHLEAR IMP F/UP EXAM,$620.00 
Audiology - Diagnostic,HC REPROGRAM COCHLEAR IMPLT 7/,$620.00 
Audiology - Diagnostic,HC AUD DISTORT EVOKED OTOAC COMP,$553.00 
Audiology - Diagnostic,HC AUD STENGER TEST SPEECH,$552.00 
Audiology - Diagnostic,HC AUD EVAL CENTRAL FUNCT INIT 60,$539.00 
Audiology - Diagnostic,HC COCHLEAR IMPLT F/UP EXAM 7/>,$508.00 
Audiology - Diagnostic,HC REPROGRAM COCHLEAR IMPLT 7/>,$508.00 
Audiology - Diagnostic,HC AUD ASSESSMENT REHAB FIRST HR,$473.00 
Audiology - Diagnostic,HC AUD ANALYSIS BRNSTM IMPLNT PER,$397.00 
Audiology - Diagnostic,HC BITHERMAL CALORIC TEST,$376.00 
Audiology - Diagnostic,HC AUD SINUSOIDAL ROTATION W/REC,$368.00 
Audiology - Diagnostic,HC AUD DISTORT EVOKED OTO EMISS,$333.00 
Audiology - Diagnostic,HC AUD POSITIONAL NYSTAGMUS W/REC,$324.00 
Audiology - Diagnostic,HC AUD EVAL THRESHOLD/RECOGNITION,$310.00 
Audiology - Diagnostic,HC AUD EVOKED POTENTIAL LTD,$309.00 
Audiology - Diagnostic,HC AUD COMPUTERIZED POSTUROGRAPHY,$289.00 
Audiology - Diagnostic,HC MONOTHERMAL CALORIC TEST,$289.00 
Audiology - Diagnostic,HC AUD OSCILLATING TRACKING W/REC,$265.00 
Audiology - Diagnostic,HC AUD SPONTANEOUS NYSTAG W/REC,$249.00 
Audiology - Diagnostic,HC AUD CONDITION PLAY AUDIOMETRY,$225.00 
Audiology - Diagnostic,HC AUD PURE TONE AIR & BONE,$217.00 
Audiology - Diagnostic,HC AUD VISUAL REINFORCEMENT AUDIO,$210.00 
Audiology - Diagnostic,HC ASSESSMENT TINNITUS,$200.00 
Audiology - Diagnostic,HC NON-HA EVAL/CONSULT - UNLSTD PROC,$200.00 
Audiology - Diagnostic,HC NON-HA DIRECTIVE COUNSELING - UNLSTD PROC,$200.00 
Audiology - Diagnostic,HC AUD VERTICAL ELECTRODE USE,$183.00 
Audiology - Diagnostic,HC AUD OPTOKINETIC NYSTAG W/REC,$180.00 
Audiology - Diagnostic,HC NON-HA FOLLOW-UP - UNLSTD PROC,$150.00 
Audiology - Diagnostic,HC AUD IMMITTANCE TESTING,$149.00 
Audiology - Diagnostic,HC AUD TYMPAN/REFLEX THRES MEASUR,$141.00 
Audiology - Diagnostic,HC BINOCULAR MICROSCOPY,$131.00 
Audiology - Diagnostic,HC AUD SPEECH THRESHOLD W/RECOG,$101.00 
Audiology - Diagnostic,HC NON-HA FITTING - UNLSTD PROC,$100.00 
Audiology - Diagnostic,HC AUD SELECT PICTURE AUDIOMETRY,$83.00 
Audiology - Diagnostic,HC AUD STENGER TEST PURE TONE,$78.00 
Audiology - Diagnostic,HC AUD ACOUSTIC REFLEX TESTING,$78.00 
Audiology - Diagnostic,HC AUD PURE TONE AIR ONLY,$78.00 
