HospitalCode,Description,Price
BBH PRINCETON,ethiodized oil 48 % Soln 10 mL AMPUL,3036.99
BBH PRINCETON,fat emul-soy-mct-oliv-fish oil 20 % Emul 100 mL Bag,52.89
BBH PRINCETON,fat emul-soy-mct-oliv-fish oil 20 % Emul 500 mL Bag,84.01
BBH PRINCETON,fat emul-soy-mct-oliv-fish oil 20 % Emul 250 mL Bag,55.68
BBH PRINCETON,potassium chloride 2 mEq/mL Solp 20 mL Vial,96.13
BBH PRINCETON,potassium chloride 2 mEq/mL Solp 10 mL Vial,50.11
BBH PRINCETON,potassium chloride 2 mEq/mL Solp 20 mL Vial,96.13
BBH PRINCETON,potassium chloride 2 mEq/mL Solp 30 mL Vial,142.15
BBH PRINCETON,magnesium sulfate 4 mEq/mL (50 %) Soln 2 mL Vial,10.23
BBH PRINCETON,magnesium sulfate 4 mEq/mL (50 %) Soln 10 mL Vial,65.45
BBH PRINCETON,magnesium sulfate 4 mEq/mL (50 %) Soln 20 mL Vial,126.80
BBH PRINCETON,potassium acetate 2 mEq/mL Soln 50 mL Vial,34.41
BBH PRINCETON,potassium acetate 2 mEq/mL Soln 20 mL Vial,31.70
BBH PRINCETON,sodium tetradecyl sulfate 3 % (30 mg/mL) Soln 2 mL Vial,151.34
BBH PRINCETON,sodium acetate 4 mEq/mL Soln 50 mL Vial,80.79
BBH PRINCETON,lopinavir-ritonavir 100-25 mg Tab 60 each Bottle,12.27
BBH PRINCETON,HC ASSAY RBC CHOLINESTERASE,47.00
BBH PRINCETON,HC CLOT FACTOR XIII FIBRIN SCRN,92.00
BBH PRINCETON,HCS HUMIDIFIER-OXYGEN,57.00
BBH PRINCETON,HCS AEROSOL H2O,71.00
BBH PRINCETON,HC STAT PRN PACU RECOVERY,0.00
BBH PRINCETON,HC LACTOFERRIN FECAL (QUAL),131.00
BBH PRINCETON,HC STREP A ASSAY W/OPTIC,94.00
BBH PRINCETON,HC RSV ASSAY W/OPTIC,117.00
BBH PRINCETON,HC INFLUENZA ASSAY W/OPTIC,120.00
BBH PRINCETON,HC MEDICAL WEIGHT MANAGEMENT WITH RN,40.00
BBH PRINCETON,HC INSITU HYBRIDIZATION MANUAL TC,231.00
BBH PRINCETON,HCS DEVICE CORKNOT MIS,1407.00
BBH PRINCETON,HCS DEVICE INTRACLUDE INTRA AORTIC OCCLUSION,8910.00
BBH PRINCETON,HCS IMPLANTED PLEURAL CATHETER,2814.00
BBH PRINCETON,HC LAA CLOSURE W/IMPLANT,74716.00
BBH PRINCETON,HC MISC ORTHO/NEURO/HEART CHARGE,0.00
BBH PRINCETON,HC ASSAY OF PROTEIN CSF XX,137.00
BBH PRINCETON,HCX PROTEIN ELECT CSF X,0.00
BBH PRINCETON,HCS CATH 7.5FR EAUCATH PB3,325.00
BBH PRINCETON,HCS CATHETER ENDOVENT,3997.00
BBH PRINCETON,HCS CATH 7.5FR EAUCATH PB3 .5,325.00
BBH PRINCETON,TAA NOT INVOLVING COVERAGE OF LT.CUBCLAVIAN ARTERY,3076.00
BBH PRINCETON,HC HC XRAY ENDOVASC THOR AO REPR,3076.00
BBH PRINCETON,HCS CATH 7.5FR EAUCATH AL .75,325.00
BBH PRINCETON,HC DX MAMMO INCL CAD UNI,516.00
BBH PRINCETON,HCS NEEDLE GUIDE SITE RITE COMPATIBLE 4FR 5FR,64.00
BBH PRINCETON,HCS CATH 7.5FR EAUCATH AL 1.0,325.00
BBH PRINCETON,HC DX MAMMO INCL CAD BI,644.00
BBH PRINCETON,HC SCREENING MAMMOGRAPHY BIL 2-VIEW BREAST INC CAD,605.00
BBH PRINCETON,HCS CATH 7.5FR EAUCATH PB40,325.00
BBH PRINCETON,HC TRLUML BALO ANGIOP 1ST ART,13989.00
BBH PRINCETON,HC TRLML BALO ANGIOP OPEN/PERQ IMG S&I EA ADDL ART,13787.00
BBH PRINCETON,HCS CATH 7.5FR EAUCATH MP1,325.00
BBH PRINCETON,HC TRLUML BALO ANGIOP 1ST VEIN,15958.00
BBH PRINCETON,HC INSITU HYBRIDIZATION AUTO,307.00
BBH PRINCETON,HCX STOOL ELECTROLYTES,0.00
BBH PRINCETON,HC TRLML BALO ANGIOP OPEN/PERQ W/IMG S&I ADDL VEIN,15958.00
BBH PRINCETON,HCX ENCEPHALTIS EAST EQNE ANBDY X,0.00
BBH PRINCETON,HCS GUIDEWIRE 300CM ASTATO 30,375.00
BBH PRINCETON,HCX ENCEPHALTIS WEST EQNE ANTBDY X,0.00
BBH PRINCETON,HC INTRO CATH DIALYSIS CIRCUIT DX ANGRPH FLUOR S&I,2360.00
BBH PRINCETON,HCX HISTOPLASMA/BLASTOMYCES PCR X,0.00
BBH PRINCETON,HCX PHENOSENSE COMBO HIV DRUG RESISTANCE X,0.00
BBH PRINCETON,HC INTRO CATH DIALYSIS CIRCUIT W/ TRLUML BALO ANGIOPL PERIPH DIAL SEGMENT INCL IMAGING ALL S&I,32423.00
BBH PRINCETON,HC PHENOTYPE INFECT AGENT DRUG XX,642.00
BBH PRINCETON,HC GENOTYPE DNA HIV REVERSE T XX,1808.00
BBH PRINCETON,HC PERQ THRMBC/NFS DIALYSIS CIRCUIT IMG DX ANGRPH,18982.00
BBH PRINCETON,HC PHENOTYPE DNA HIV W/CULTURE XX,3849.00
BBH PRINCETON,HC PHENOTYPE DNA HIV W/CLT ADD XX,1398.00
BBH PRINCETON,HC PERQ THRMBC/NFS DIAL CIRCUIT TRLUML BALO ANGIOP,34340.00
BBH PRINCETON,HC ENCEPHALTIS EAST EQNE ANBDY- IGG XX,116.00
BBH PRINCETON,HC ENCEPHALTIS WEST EQNE ANTBDY- IGG XX,116.00
BBH PRINCETON,HC PERQ LUMBOSACRAL INJECTION,3575.00
BBH PRINCETON,HC PERQ THRMBC/NFS DIAL CIRCUIT TCAT PLMT IV STENT,40645.00
BBH PRINCETON,HC BONE MARROW INTERPRETATION,664.00
BBH PRINCETON,HC VERTEBROPLASTY ADDL INJECT,3575.00
BBH PRINCETON,HC FNA W/IMAGE,3762.00
BBH PRINCETON,HC PERQ VERTEBRAL AUGMENTATION THORACIC,14533.00
BBH PRINCETON,HC PERQ VERTEBRAL AUGMENTATION LUMBAR,14683.00
BBH PRINCETON,HC TRLUML BALO ANGIOP CTR DIALYSIS SEG,15283.00
BBH PRINCETON,HC PERQ VERTEBRAL AUGMENTATION EACH ADDL THOR/LUMBAR,14683.00
BBH PRINCETON,HCS DEVICE ACCESS EXCHANGE TRAPPER 10MM 6-8F,813.00
BBH PRINCETON,HC ULTRASOUND BREAST COMPLETE,1075.00
BBH PRINCETON,HC STENT PLMT CTR DIALYSIS SEG,21587.00
BBH PRINCETON,HC ULTRASOUND BREAST LIMITED,767.00
BBH PRINCETON,HC DRAIN/INJ SMALL JOINT/BURSA W/US,2133.00
BBH PRINCETON,HC DIALYSIS CIRCUIT EMBOLJ,8348.00
BBH PRINCETON,HC DRAIN/INJ INTERMEDIATE JOINT/BURSA W/US,2439.00
BBH PRINCETON,HC DRAIN/INJ MAJOR JOINT/BURSA W/US,2747.00
BBH PRINCETON,"HCS CATH, EP, OTHR THAN COOL-TIP",12101.00
BBH PRINCETON,HC MYELOGRAPHY LUMBAR INJECTION,4909.00
BBH PRINCETON,HCS MATRIX MARISTEM WOUND PER SQ CM,109.00
BBH PRINCETON,HC AMPUTATION OF TOE,4640.00
BBH PRINCETON,HC MYELOGRAPHY VIA LUMBAR INJECTION; THORACIC,4909.00
BBH PRINCETON,HCS MATRIX MARISTEM WOUND PER MG,10.00
BBH PRINCETON,HC MYELOGRAPHY VIA LUMBAR INJECTION; LUMBOSACRAL,4909.00
BBH PRINCETON,HCS ESTECH ASSISTANT,1295.00
BBH PRINCETON,HCS PEAK FLOWMETER DISPOSABLE,46.00
BBH PRINCETON,HC MYELOGRAPHY VIA LUMBAR INJECTION; > 2 OR MORE REGIONS,6896.00
BBH PRINCETON,HCS ISOVUE-250 CONTRAST 150ML BOTTLES,1.00
BBH PRINCETON,HC DRAIN/INJECT JOINT/BURSA W/0 U/S GUIDANCE,2439.00
BBH PRINCETON,HC DXA BONE DENSITY STUDY AXIAL SKELETON,735.00
BBH PRINCETON,HC FRACTURE ASSESSMENT VIA DXA,1469.00
BBH PRINCETON,HC INTRO CATH DIALYSIS CIRCUIT W/TRLUML BALO ANGIOP,38365.00
BBH PRINCETON,HC PERQ CERVICOTHORACIC INJECT,3575.00
BBH PRINCETON,HC TELETHX ISODOSE PLAN CPLX,3599.00
BBH PRINCETON,HC BRACHYTX ISODOSE PLAN SIMPLE,849.00
BBH PRINCETON,HC BRACHYTX ISODOSE INTERMED,988.00
BBH PRINCETON,HC BRACHYTX ISODOSE COMPLEX,1094.00
BBH PRINCETON,HC NTSTY MODUL RAD TX DLVR SMPL,2371.00
BBH PRINCETON,HC NTSTY MODUL RAD TX DLVR CPLX,3910.00
BBH PRINCETON,HC GUIDANCE FOR RADIAJ TX DLVR,511.00
BBH PRINCETON,HC RADIATION TREATMENT DELIVERY > 1 MEV SIMPLE,1366.00
BBH PRINCETON,HC RADIATION TREATMENT DELIVERY > 1 MEV INTERMEDIATE,1901.00
BBH PRINCETON,HC RADIATION TREATMENT DELIVERY > 1 MEV COMPLEX,2436.00
BBH PRINCETON,HCS SET MULTIPLE PERFUSION,96.00
BBH PRINCETON,HCS PATCH SEALANT,1265.00
BBH PRINCETON,HCS NEEDLE ASPIRATION,39.00
BBH PRINCETON,HCS SET MULTIPLE PERFUSION,96.00
BBH PRINCETON,HCS RECORDER LOOP INSERTABLE CONFIRM DM,9300.00
BBH PRINCETON,HC DRUG SCREEN NON TLC DEVICES,992.00
BBH PRINCETON,HC DRUG SCREEN CLASS LIST A,1075.00
BBH PRINCETON,HC STAT HEART VALVE CLINIC VISIT,0.00
BBH PRINCETON,HC DRUG SCREEN QUANTALCOHOLS,254.00
