Standard Charge Description,Charge Description Master,Charge as of 1.1.19
A&A DISP INST-CUTTERS/BURS,34303309,159.25
A&A DISP INSTRUEMNTS,34303308,455.00
ABSORBABLE HEMOSTAT,40791001,511.90
"ACELLULAR PERICARDIAL TISSUE MATRIX OF NON-HUMAN ORIGIN (VERITAS), PER SQUARE CENTIMETER,TISSUE COLLAGEN VERITAS PER SQ CM",34303590,95.88
"ADAPTER/EXTENSION, PACING LEAD OR NEUROSTIMULATOR LEAD (IMPLANTABLE)",41470961,325.00
"ADAPTER/EXTENSION, PACING LEAD OR NEUROSTIMULATOR LEAD (IMPLANTABLE),STIM POCKET ADAPTER -990",34303667,"3,217.50"
ADHESIVE SKIN,34303782,408.04
ADMINISTRATION OF 1 VACCINE,31771262,89.20
ADMINISTRATION OF INFLUENZA VIRUS VACCINE,31771270,89.20
ADMINISTRATION OF MEDICATION THROUGH BREATHING TUBE,41331608,156.00
ADMINISTRATION OF VACCINE,31773160,61.60
ADPR IV ACC SPK MUL DS VL LS W CL,34300940,24.96
ADPR SCT COAGULATOR HNDPC BV N 12,34300944,184.24
ADPR TBG Y COR PERF 135IN,34300945,24.86
AGNT VSCELAS DUOVISC VISCOAT OPTH,34300947,211.25
AIRWAY BERMAN,34300021,3.25
AIRWAY LMA INFANT,34300023,48.75
AIRWAY NASOPHARYNGEAL SLICK,34300024,9.75
"ALGINATE OR OTHER FIBER GELLING DRESSING, WOUND COVER, STERILE, PAD SIZE MORE THAN 16 SQ. IN. BUT LESS THAN OR EQUAL TO 48 SQ. IN., EACH DRESSING",41400518,9.00
"AMNIOTIC MEMBRANE FOR SURGICAL RECONSTRUCTION, PER PROCEDURE,GRAFT TISS AMBIODRY",34300315,"1,933.75"
AMNISTICK,40790601,3.00
AMPUTATION OF FOOT,41400785,"3,341.00"
"ANCHOR/SCREW FOR OPPOSING BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTABLE),ANCHOR SUTURE SUPER QUICKANCHOR",34300026,263.84
"ANCHOR/SCREW FOR OPPOSING BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTABLE),ANCHOR SUTURE-170",34303458,552.00
"ANCHOR/SCREW FOR OPPOSING BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTABLE),CABLE ORTHO SS HIP CRIMP",34302857,"1,366.17"
"ANCHOR/SCREW FOR OPPOSING BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTABLE),CBL SPNL 2 INTGR CRMP ATLS+ TI ST",34301131,"2,362.78"
"ANCHOR/SCREW FOR OPPOSING BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTABLE),CEMENT BONE -3300",34305114,"10,725.00"
"ANCHOR/SCREW FOR OPPOSING BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTABLE),CMNT BONE FILL HYDROSET INJ 5CC",34301197,"3,375.13"
"ANCHOR/SCREW FOR OPPOSING BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTABLE),CONNECTOR ROD SPINAL-1340",34302964,"4,355.00"
"ANCHOR/SCREW FOR OPPOSING BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTABLE),DEV ROD ATCH MRI SAFE XTRNFX NSTR",34301310,"1,401.79"
