Standard Charge Description,Charge Description Master,Charge as of 1.1.19
ABDOMINAL ULTRASOUND OF PREGNANT UTERUS,40850205,333.00
ABDOMINAL ULTRASOUND OF PREGNANT UTERUS (GREATER OR EQUAL TO 14 WEEKS 0 DAYS),40850203,174.00
ABDOMINAL ULTRASOUND OF PREGNANT UTERUS (GREATER OR EQUAL TO 14 WEEKS 0 DAYS) SINGLE OR FIRST FETUS,40850202,734.00
ABDOMINAL ULTRASOUND OF PREGNANT UTERUS (LESS THAN 14 WEEKS 0 DAYS),40850201,174.00
ABDOMINAL ULTRASOUND OF PREGNANT UTERUS (LESS THAN 14 WEEKS 0 DAYS) SINGLE OR FIRST FETUS,40850200,734.00
ABDOMINAL ULTRASOUND OF PREGNANT UTERUS SINGLE OR FIRST FETUS,40850204,756.00
ACUTE DIGESTIVE TRACT BLOOD LOSS IMAGING,41377296,584.55
BONE AND/OR JOINT IMAGING,41377153,370.25
"BONE AND/OR JOINT IMAGING, 3 PHASE STUDY",41377123,"1,469.00"
"BONE AND/OR JOINT IMAGING, WHOLE BODY",41377121,"1,405.35"
BONE DENSITY MEASUREMENT USING DEDICATED X-RAY MACHINE,31750031,274.00
BREAST CLIP MARKER,31750043,325.95
BREAST DUCTOGRAM CANULA SET,31750044,42.45
BREAST LOCAL WIRE,31750041,71.60
BREAST NEEDLE BARD,31750040,47.00
CATH ANGOPTIC PG 5F 110CM,41319083,87.05
CATH BERENSTEIN 6F,41319258,43.75
CATH COBRA 1,41315047,60.25
CATH COBRA 2.5 F,41319086,54.75
CATH HSG UTERINE ACKRAD,41319262,123.05
CATH MULTI-PURPOSE,41311057,48.60
CATH PERCU-STAY FASTENER,41319223,28.50
CATH PIGTAIL W/MARKERS,41315091,88.30
CATH RUC,41315094,80.25
CATH SIDEWINDER 1 5F,41319264,29.40
CATH SIMMONS 2 5F 110CM,41319107,673.45
CATH STRAIGHT FLUSH 5F,41319078,61.60
CATH TEGT,41315053,60.25
"CATHETER, DRAINAGE",41319443,650.30
"CATHETER, GUIDING (MAY INCLUDE INFUSION/PERFUSION CAPABILITY)",41319371,"1,040.00"
"CATHETER, HEMODIALYSIS/PERITONEAL, LONG-TERM",41319366,"1,348.75"
"CATHETER, HEMODIALYSIS/PERITONEAL, SHORT-TERM",41317165,553.70
"CATHETER, INFUSION, INSERTED PERIPHERALLY, CENTRALLY OR MIDLINE (OTHER THAN HEMODIALYSIS)",41317052,692.75
"CATHETER, THROMBECTOMY/EMBOLECTOMY",41319490,"2,080.00"
"CATHETER, TRANSLUMINAL ANGIOPLASTY, NON-LASER (MAY INCLUDE GUIDANCE, INFUSION/PERFUSION CAPABILITY)",41317158,803.90
CHEMOTHERAPY ADMINISTRATION INTO SPINAL CANAL REQUIRING SPINAL TAP,41317258,499.00
COIL PLATINUM TARGET,41311014,177.00
COIL PUSHER TARGET,41311013,365.40
COILS INTERLOCK DETACHABLE,41319353,"1,327.45"
COMPLETE ULTRASOUND OF JOINT OF ARM OR LEG,41271545,258.00
CT SCAN ABDOMEN,41278501,"1,846.55"
CT SCAN ABDOMEN BEFORE AND AFTER CONTRAST,41278502,"2,286.20"
CT SCAN ABDOMEN WITH CONTRAST,41278503,"2,108.85"
CT SCAN CHEST,41278533,"1,692.35"
CT SCAN CHEST BEFORE AND AFTER CONTRAST,41278532,"2,578.10"
CT SCAN CHEST WITH CONTRAST,41278531,"1,939.15"
