DRG #,DRG Description,Average Charge for each Inpatient  Admission
003,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.","$419,203.72"
011,"TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY W MCC","$47,249.29"
027,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,"$36,847.54"
029,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,"$58,883.85"
035,CAROTID ARTERY STENT PROCEDURE W CC,"$28,131.51"
036,CAROTID ARTERY STENT PROCEDURE W/O CC/MCC,"$25,413.80"
038,EXTRACRANIAL PROCEDURES W CC,"$56,198.07"
039,EXTRACRANIAL PROCEDURES W/O CC/MCC,"$35,917.59"
055,NERVOUS SYSTEM NEOPLASMS W/O MCC,"$15,536.52"
056,DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,"$73,467.43"
057,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,"$50,068.41"
060,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,"$32,101.73"
061,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA W THROMBOLYTIC AGENT W MCC","$86,612.43"
064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,"$43,826.38"
065,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,"$25,487.39"
066,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,"$20,147.89"
067,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC,"$59,683.32"
068,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,"$24,814.53"
069,TRANSIENT ISCHEMIA W/O THROMBOLYTIC,"$23,464.31"
070,NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,"$47,688.28"
071,NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,"$24,155.76"
072,NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,"$27,889.46"
073,CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,"$32,040.25"
074,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,"$19,061.93"
075,VIRAL MENINGITIS W CC/MCC,"$39,433.14"
076,VIRAL MENINGITIS W/O CC/MCC,"$12,475.67"
081,NONTRAUMATIC STUPOR & COMA W/O MCC,"$35,242.45"
083,"TRAUMATIC STUPOR & COMA, COMA >1 HR W CC","$9,823.21"
089,CONCUSSION W CC,"$17,765.04"
090,CONCUSSION W/O CC/MCC,"$7,874.61"
091,OTHER DISORDERS OF NERVOUS SYSTEM W MCC,"$30,918.15"
092,OTHER DISORDERS OF NERVOUS SYSTEM W CC,"$24,809.34"
093,OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,"$20,869.93"
094,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM W MCC,"$226,473.78"
098,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC,"$29,823.83"
100,SEIZURES W MCC,"$40,163.32"
101,SEIZURES W/O MCC,"$23,078.50"
103,HEADACHES W/O MCC,"$20,226.09"
123,NEUROLOGICAL EYE DISORDERS,"$24,161.01"
125,OTHER DISORDERS OF THE EYE W/O MCC,"$17,599.25"
135,SINUS & MASTOID PROCEDURES W CC/MCC,"$30,612.25"
149,DYSEQUILIBRIUM,"$24,181.18"
153,OTITIS MEDIA & URI W/O MCC,"$13,264.35"
159,DENTAL & ORAL DISEASES W/O CC/MCC,"$34,354.42"
163,MAJOR CHEST PROCEDURES W MCC,"$125,358.06"
164,MAJOR CHEST PROCEDURES W CC,"$72,034.70"
165,MAJOR CHEST PROCEDURES W/O CC/MCC,"$57,757.70"
166,OTHER RESP SYSTEM O.R. PROCEDURES W MCC,"$111,911.07"
167,OTHER RESP SYSTEM O.R. PROCEDURES W CC,"$29,377.01"
168,OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC,"$55,531.69"
175,PULMONARY EMBOLISM W MCC,"$66,326.81"
176,PULMONARY EMBOLISM W/O MCC,"$26,958.72"
177,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,"$50,337.31"
178,RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,"$31,942.34"
179,RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC,"$26,094.03"
180,RESPIRATORY NEOPLASMS W MCC,"$39,361.31"
181,RESPIRATORY NEOPLASMS W CC,"$30,407.32"
183,MAJOR CHEST TRAUMA W MCC,"$30,042.24"
184,MAJOR CHEST TRAUMA W CC,"$18,404.05"
185,MAJOR CHEST TRAUMA W/O CC/MCC,"$14,630.08"
186,PLEURAL EFFUSION W MCC,"$31,601.27"
187,PLEURAL EFFUSION W CC,"$43,272.82"
189,PULMONARY EDEMA & RESPIRATORY FAILURE,"$36,271.86"
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"$32,284.66"
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,"$24,585.30"
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,"$20,528.21"
193,SIMPLE PNEUMONIA & PLEURISY W MCC,"$33,848.40"
194,SIMPLE PNEUMONIA & PLEURISY W CC,"$24,998.48"
195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,"$20,725.09"
196,INTERSTITIAL LUNG DISEASE W MCC,"$41,726.37"
197,INTERSTITIAL LUNG DISEASE W CC,"$47,181.41"
199,PNEUMOTHORAX W MCC,"$30,474.11"
200,PNEUMOTHORAX W CC,"$22,145.50"
201,PNEUMOTHORAX W/O CC/MCC,"$7,761.37"
202,BRONCHITIS & ASTHMA W CC/MCC,"$30,034.48"
203,BRONCHITIS & ASTHMA W/O CC/MCC,"$13,454.78"
204,RESPIRATORY SIGNS & SYMPTOMS,"$24,416.61"
206,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,"$41,649.33"
207,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),"$149,591.03"
208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,"$74,644.20"
215,OTHER HEART ASSIST SYSTEM IMPLANT,"$232,403.30"
219,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC,"$137,980.08"
220,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,"$146,633.22"
221,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W/O CC/MCC,"$139,430.46"
224,CARDIAC DEFIB IMPLANT W CARDIAC CATH W/O AMI/HF/SHOCK W MCC,"$203,026.05"
226,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W MCC,"$227,019.41"
227,CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W/O MCC,"$143,334.79"
228,OTHER CARDIOTHORACIC PROCEDURES W MCC,"$127,606.51"
229,OTHER CARDIOTHORACIC PROCEDURES W/O MCC,"$72,650.04"
231,CORONARY BYPASS W PTCA W MCC,"$204,662.03"
232,CORONARY BYPASS W PTCA W/O MCC,"$182,420.29"
233,CORONARY BYPASS W CARDIAC CATH W MCC,"$195,218.14"
234,CORONARY BYPASS W CARDIAC CATH W/O MCC,"$174,770.51"
235,CORONARY BYPASS W/O CARDIAC CATH W MCC,"$209,493.38"
236,CORONARY BYPASS W/O CARDIAC CATH W/O MCC,"$131,207.48"
239,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W MCC,"$79,506.81"
240,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE W CC,"$43,190.55"
242,PERMANENT CARDIAC PACEMAKER IMPLANT W MCC,"$90,019.30"
243,PERMANENT CARDIAC PACEMAKER IMPLANT W CC,"$71,699.98"
244,PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,"$67,786.26"
246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS,"$96,833.39"
247,PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,"$77,022.76"
248,PERCUTANEOUS CARDIOVASCULAR PROCEDURES W NON-DRUG-ELUTING STENT W MCC OR 4+ ARTERIES OR STENTS,"$133,279.79"
