FLUPHENAZINE DECANOATE 25MG/ML 5ML VIAL,121.55
TUBE NG,7.5
MS CODE BLUE,543
IV INF THERAPY 1HR NON-CHEMO,156
IV INF EACH ADD'L HR NON-CHEMO,156
INFUSION IV HYDRATION 1HR,250
INFUSION IV HYDRATION ADD'L HR,78.25
INJECTION IV NON-CHEMO INITIAL,162
TELEMETRY,1000
INFUSION IV UP TO 1 HR INITIAL,216
INJECTION IV SAME DRUG Q 30 MIN.,78.25
CONSCIOUS SEDATION >5YR 30 MIN,390
LUMBAR PUNCTURE PROCEDURE DIAG,342
THORACENTESIS PROCEDURE,465
CHEST TUBE INSERTION,816
TUBE NG ANDERSON 18FR,7.5
CHEST TUBE INS WO WATER SEAL,816
PARACENTESIS PROCEDURE,354
CENTRAL LINE INSERT MULT LUMEN,437
CENTRAL LINE INSERT SGL LUMEN,437
EXTERNAL PACEMAKER,132.5
PERCUTANEOUS SHEATH INSERTION,37.26
CENTRAL LINE INSERT DUAL LUMEN,437
PICC LINE INSERTION 20 GAUGE,285
PICC LINE INSERTION 18 GAUGE,285
IV INFUSION NEW DRUG,156
OBSERVATION ROOM CHARGE ER ADMIT,85
OBSERVATION ROOM CHARGE DIRECT ADMIT,85
INJECTION IV PUSH INITIAL,162
INJECTION IV PUSH NEW DRUG EACH,78.25
INFUSION IV SAME DRUG EA ADD HOUR,156
BLADDER IRRIGATION SIMPLE,87
BLOOD PRESSURE MACHINE,327
FEEDING PUMP,400
ISOLATION SETUP,742.25
I V PUMP,376
SUCTION PUMP GOMCO,200
AIR MATRESS,250
INJECTION IM OR SQ,217
INJECTION IV SAME DRUG Q 30 MIN.,62.5
WOUND VAC,385.32
KIT FOAM FOR WOUND VAC,192.88
CANNISTER FOR WOUND VAC,138.68
WOUND DRESSING/VACUUM PUMP,138.68
INFUSION IV HYDRATION  THERAPY ADDIT HRS,100
PSYCHIATRIC CONSULT,350
INDIVIDUAL PSYCHOTHERAPY,93
INDIV PSYCHOTHRPY WITH EVAL&MANAG,174
INDIV PSYCHOTHERAPY INSIGHT OR,222
INDIVIDUAL PSYTHRPY WITH MEDICATION E&M,315
INDIVIDUAL PSYCHOTHRPY 75-80MI,243
IND PSYCHOTHERAPY W MEDICATION E&M,163.5
INDIV PSYTHRPY OTHER FAC 20-30,178.5
IND PSYCHOTHERAPY W MEDICATION EVALUATIO,198
FAMILY PSYCHOTHERAPY WITHOUT PATIENT,300
FAMILY PSYCHOTHERAPY WITH PATIENT,350
PHARMACOLOGIC MNGMNT W PERSCRI,150
IND PSYCHOPHYSIOLOGICAL THERAP,193.5
ER PACER,132.5
PAD DEFIB,132.5
TUBE NG,7.5
PACER ELECTRODE,132.5
PERCUTANEOUS SHEATH INSERTION,37.26
PICC LINE INSERTION 20 GAUGE,285
PARACENTESIS PROCEDURE,354
NITRIOUS OXIDE NURSE ADMIN,390
TREATMENT ROOM ER,88
CONSCIOUS SEDATION >5YR 30 MIN,390
CONSCIOUS SEDATION ADD'L 15MIN,390
OP BLOOD ADMINISTRATION,105
I&D SKIN,372
I&R SKIN FB REMOVAL,156
I&D HEMOTOMA,118.5
INJ & OR ASP MAJOR JT BURSA SHOULER KNEE,150
CLOSED TX CLAVI FX WO MANIPUL,708
FB REMOVAL NOSE,183
NASAL PACK CAUTERY POSTERIOR,171
INTUBATION RAPID SEQUENCE RSI,615
TRACHEOSTOMY,906
TRACHEOSTOMY EMERGENCY PROCED,1562.5
CHEST TUBE INS WO WATER SEAL,816
VENIPUNCTURE,25
REMOVAL CERUMEN ONE OR BOTH EARS,100
IMMUNIZATION ADMINISTRATION,19
IMMUNIZATION ADMIN EACH ADD'L,19
GASTRIC LAVAGE,119
INFUSION IV UP TO 1 HR INITIAL,216
INFUSION IV SAME DRUG EA ADD HOUR,158
INFUSION IV NEW DRUG INITIAL,120
INFUSION IV SECOND LINE,101.5
INJECTION IM OR SQ,217
INJECTION IV PUSH INITIAL,162
INJECTION IV PUSH NEW DRUG EACH,78.25
INJECTION IV SAME DRUG Q 30 MIN.,62.5
ER ROOM LEVEL 1,164
