DRG NO,DRG DESCRIPTION,AVG. TOTAL CHARGES PER STAY
55,NERVOUS SYSTEM NEOPLASMS W/O MCC,"13,204.33 "
56,DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,"12,255.95 "
57,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,"21,941.50 "
64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,"24,583.13 "
65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA I,"14,251.11 "
68,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,"13,213.03 "
69,TRANSIENT ISCHEMIA W/O THROMBOLYTIC,"12,560.00 "
74,CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,"21,734.56 "
86,"TRAUMATIC STUPOR & COMA, COMA <1 HR W CC","12,467.97 "
87,"TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC","13,111.04 "
92,OTHER DISORDERS OF NERVOUS SYSTEM W CC,"15,334.27 "
100,SEIZURES W MCC,"11,879.28 "
101,SEIZURES W/O MCC,"8,410.13 "
146,"EAR, NOSE, MOUTH & THROAT MALIGNANCY W MCC","10,798.83 "
149,DYSEQUILIBRIUM,"7,850.77 "
152,OTITIS MEDIA & URI W MCC,"40,641.24 "
153,OTITIS MEDIA & URI W/O MCC,"22,965.12 "
166,OTHER RESP SYSTEM O.R. PROCEDURES W MCC,"36,624.20 "
175,PULMONARY EMBOLISM W MCC,"20,397.51 "
176,PULMONARY EMBOLISM W/O MCC,"10,849.89 "
177,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,"27,291.56 "
178,RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,"19,371.53 "
179,RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC,"8,188.92 "
182,RESPIRATORY NEOPLASMS W/O CC/MCC,"1,971.62 "
183,MAJOR CHEST TRAUMA W MCC,"35,146.18 "
184,MAJOR CHEST TRAUMA W CC,"20,353.68 "
187,PLEURAL EFFUSION W CC,"6,788.28 "
189,PULMONARY EDEMA & RESPIRATORY FAILURE,"4,735.28 "
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,"17,869.76 "
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,"14,705.85 "
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,"10,460.92 "
193,SIMPLE PNEUMONIA & PLEURISY W MCC,"19,701.61 "
194,SIMPLE PNEUMONIA & PLEURISY W CC,"15,940.95 "
195,SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,"13,606.93 "
196,INTERSTITIAL LUNG DISEASE W MCC,"45,939.62 "
199,PNEUMOTHORAX W MCC,"13,538.22 "
200,PNEUMOTHORAX W CC,"9,250.79 "
201,PNEUMOTHORAX W/O CC/MCC,"8,752.57 "
202,BRONCHITIS & ASTHMA W CC/MCC,"12,945.88 "
203,BRONCHITIS & ASTHMA W/O CC/MCC,"6,874.29 "
205,OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,"20,937.44 "
206,OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,"9,881.40 "
207,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT >96 HOURS,"46,381.25 "
208,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS,"28,398.06 "
242,PERMANENT CARDIAC PACEMAKER IMPLANT W MCC,"48,433.90 "
243,PERMANENT CARDIAC PACEMAKER IMPLANT W CC,"38,969.48 "
244,PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,"28,812.14 "
280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC","18,340.82 "
281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC","18,615.78 "
282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC","13,412.22 "
284,"ACUTE MYOCARDIAL INFARCTION, EXPIRED W CC","2,567.61 "
287,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC","28,565.58 "
291,HEART FAILURE & SHOCK W MCC OR PERIPHERAL EXTRACORPOREAL MEM,"18,692.31 "
292,HEART FAILURE & SHOCK W CC,"14,861.85 "
293,HEART FAILURE & SHOCK W/O CC/MCC,"9,622.10 "
299,PERIPHERAL VASCULAR DISORDERS W MCC,"12,585.78 "
300,PERIPHERAL VASCULAR DISORDERS W CC,"6,795.89 "
301,PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,"9,918.84 "
303,ATHEROSCLEROSIS W/O MCC,"4,485.26 "
305,HYPERTENSION W/O MCC,"4,427.90 "
306,CARDIAC CONGENITAL & VALVULAR DISORDERS W MCC,"8,935.37 "
308,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,"18,052.22 "
309,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,"15,221.09 "
310,CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,"11,311.84 "
312,SYNCOPE & COLLAPSE,"10,881.82 "
313,CHEST PAIN,"7,478.37 "
314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,"18,781.95 "
315,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,"15,852.02 "
327,"STOMACH, ESOPHAGEAL & DUODENAL PROC W CC","35,919.52 "
329,MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,"27,404.33 "
330,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,"13,684.06 "
331,MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,"14,566.74 "
335,PERITONEAL ADHESIOLYSIS W MCC,"21,398.72 "
337,PERITONEAL ADHESIOLYSIS W/O CC/MCC,"14,878.79 "
339,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC,"13,126.61 "
340,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"15,579.80 "
342,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W CC,"20,079.78 "
343,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,"13,104.29 "
348,ANAL & STOMAL PROCEDURES W CC,"31,574.59 "
349,ANAL & STOMAL PROCEDURES W/O CC/MCC,"8,310.00 "
352,INGUINAL & FEMORAL HERNIA PROCEDURES W/O CC/MCC,"13,928.17 "
355,HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL W/O CC/MCC,"8,649.64 "
358,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,"15,701.64 "
369,MAJOR ESOPHAGEAL DISORDERS W CC,"7,293.28 "
371,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W M,"15,853.77 "
372,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W C,"10,496.41 "
373,MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W/O,"9,360.09 "
375,DIGESTIVE MALIGNANCY W CC,"10,476.33 "
377,G.I. HEMORRHAGE W MCC,"9,880.30 "
378,G.I. HEMORRHAGE W CC,"18,543.60 "
379,G.I. HEMORRHAGE W/O CC/MCC,"11,378.28 "
381,COMPLICATED PEPTIC ULCER W CC,"16,012.06 "
387,INFLAMMATORY BOWEL DISEASE W/O CC/MCC,"11,516.27 "
389,G.I. OBSTRUCTION W CC,"13,008.39 "
390,G.I. OBSTRUCTION W/O CC/MCC,"14,914.69 "
391,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC","18,996.87 "
392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC","10,569.24 "
393,OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,"48,712.28 "
394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,"18,929.88 "
417,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,"26,535.69 "
418,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,"23,595.50 "
419,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,"13,716.11 "
432,CIRRHOSIS & ALCOHOLIC HEPATITIS W MCC,"19,830.44 "
433,CIRRHOSIS & ALCOHOLIC HEPATITIS W CC,"14,671.34 "
434,CIRRHOSIS & ALCOHOLIC HEPATITIS W/O CC/MCC,"11,091.24 "
436,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W CC,"1,506.50 "
439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,"17,670.03 "
440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,"13,097.02 "
441,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W MCC","32,663.57 "
442,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC","19,673.63 "
444,DISORDERS OF THE BILIARY TRACT W MCC,"17,520.85 "
545,CONNECTIVE TISSUE DISORDERS W MCC,"44,156.70 "
558,"TENDONITIS, MYOSITIS & BURSITIS W/O MCC","6,583.10 "
560,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC","26,962.50 "
561,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W/O CC","26,960.42 "
563,"FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O","14,054.52 "
570,SKIN DEBRIDEMENT W MCC,"52,029.42 "
571,SKIN DEBRIDEMENT W CC,"8,736.47 "
572,SKIN DEBRIDEMENT W/O CC/MCC,"12,280.61 "
580,"OTHER SKIN, SUBCUT TISS & BREAST PROC W CC","19,868.46 "
581,"OTHER SKIN, SUBCUT TISS & BREAST PROC W/O CC/MCC","10,655.86 "
603,CELLULITIS W/O MCC,"12,371.16 "
605,"TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W/O MCC","6,929.19 "
623,"SKIN GRAFTS & WOUND DEBRID FOR ENDOC, NUTRIT & METAB DIS W C","10,745.43 "
637,DIABETES W MCC,"22,936.29 "
638,DIABETES W CC,"9,681.81 "
639,DIABETES W/O CC/MCC,"5,066.64 "
640,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W","11,438.65 "
641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W","9,381.70 "
644,ENDOCRINE DISORDERS W CC,"9,357.21 "
673,OTHER KIDNEY & URINARY TRACT PROCEDURES W MCC,"83,202.19 "
682,RENAL FAILURE W MCC,"27,087.50 "
683,RENAL FAILURE W CC,"12,842.01 "
684,RENAL FAILURE W/O CC/MCC,"8,033.30 "
688,KIDNEY & URINARY TRACT NEOPLASMS W/O CC/MCC,"24,306.67 "
689,KIDNEY & URINARY TRACT INFECTIONS W MCC,"16,141.42 "
690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,"11,946.05 "
694,URINARY STONES W/O ESW LITHOTRIPSY W/O MCC,"8,188.11 "
698,OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,"25,242.07 "
699,OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,"15,869.56 "
728,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W/O MCC,"5,716.87 "
808,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W M,"14,655.68 "
811,RED BLOOD CELL DISORDERS W MCC,"29,518.07 "
812,RED BLOOD CELL DISORDERS W/O MCC,"12,173.55 "
813,COAGULATION DISORDERS,"3,636.55 "
815,RETICULOENDOTHELIAL & IMMUNITY DISORDERS W CC,"3,839.75 "
853,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,"76,865.30 "
854,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W CC,"25,265.96 "
866,VIRAL ILLNESS W/O MCC,"3,122.82 "
870,SEPTICEMIA OR SEVERE SEPSIS W MV >96 HOURS OR PERIPHERAL EXT,"61,769.44 "
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC,"26,118.00 "
872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,"16,866.26 "
880,ACUTE ADJUSTMENT REACTION & PSYCHOSOCIAL DYSFUNCTION,"9,145.32 "
881,DEPRESSIVE NEUROSES,"15,333.68 "
882,NEUROSES EXCEPT DEPRESSIVE,"10,043.24 "
884,ORGANIC DISTURBANCES & INTELLECTUAL DISABILITY,"26,623.10 "
885,PSYCHOSES,"16,726.08 "
886,BEHAVIORAL & DEVELOPMENTAL DISORDERS,"12,919.45 "
894,"ALCOHOL/DRUG ABUSE OR DEPENDENCE, LEFT AMA","4,281.59 "
896,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY,"16,343.71 "
897,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY,"6,899.40 "
914,TRAUMATIC INJURY W/O MCC,"4,835.67 "
915,ALLERGIC REACTIONS W MCC,"43,848.53 "
