Procedure Code,Procedure Description,Price
403100014,ADMIN BLOOD TRANSFUSION DAILY,"$2,558.55 "
403100070,IV INFUSN HYDRATION INITIAL HR,$740.45 
403100071,IV INFUSION THERAP INITIAL HR,$738.80 
403100072,IVP INITIAL THERAPEUTIC,$738.80 
403100110,OBSERVATION/HR,$252.05 
403100111,TELEMETRY ROOM/BOARD,"$4,317.25 "
403100113,BONE MARROW BX W/O SEDATION,"$1,952.05 "
403100114,INTERMEDIATE CARE ROOM/BOARD,"$5,805.25 "
403100135,ICU ROOM/BOARD,"$7,397.65 "
403100150,POST ANESTHESIA CARE 1:1 /MIN,$29.90 
403100196,CENTRAL LINE INSERT/REPAIR/RMVL,"$2,352.05 "
403100198,IV INFUSION THERAP SEQ 1 HR,$292.40 
403100199,IVP ADDL DIFF DRUG THERAP,$404.00 
403100201,MED/SURG/GYN PRIV ROOM/BOARD,"$2,490.40 "
403100202,HOSPICE ROOM/BOARD,"$1,681.25 "
403100223,ABG DRAW BY RN,$208.40 
403100250,US GUIDED NEEDLE PLACEMENT,"$1,313.25 "
403100254,IV INFUSN HYDRATION EA ADDL HR,$311.75 
403100255,IV INFUSION THERAP EA ADDL HR,$404.00 
403100256,INJECTION IM/SC THERAPEUTIC,$123.20 
403100258,CARDIOPULMONARY RESUSCITATION,"$2,701.75 "
403100281,LUMBAR PUNCTURE,$546.30 
403100282,THORACENTESIS,"$1,401.20 "
403100283,RADIAL FEMORAL ARTERY INSERT,$286.15 
403100284,CHEST TUBE INSERTION,$682.95 
403100293,CHEMO SQ OR IM NON-HORMONAL,$752.95 
403100294,CHEMO SQ OR IM HORMONAL,$311.25 
403100295,CHEMO IV PUSH INITIAL,$738.80 
403100296,CHEMO INFUSION INITIAL 1ST HR,"$1,162.25 "
403100297,CHEMO INFUSION EA ADDL HOUR,$594.60 
403100298,CHEMO INTRAPLEURAL,$943.75 
403100299,CHEMO INTRATHECAL,"$1,225.95 "
403100302,PARACENTESIS,$482.90 
403100304,BONE MARROW BX W/SEDATION,"$2,483.75 "
403100307,CAPD-CONT AMBULATORY PERITONEAL DIALYSIS,"$3,564.85 "
403100311,CARDIOVERSION EXTERNAL,"$2,942.50 "
