CODE,DESCRIPTION,CHARGE AMOUNT
6700010,0.45% SOD CHL 100ML ADDVANTAGE,51.00
6817780,0.45% SOD CHLORIDE 250MIL ADVA,51.00
6701206,0.45%SOD CHL 50ML ADDVANTAGE,51.00
5516786,0.76 MM DRILL BIT,268.00
6905707,02 ANALYZER DAY,29.00
6906408,02 IN RECOVERY,134.00
6903306,02 MASK,21.00
6904403,02 PER 1HR,26.00
5516794,1.0 MM DRILL BIT,168.00
5516810,1.1 MM DRILL BIT,168.00
5516828,1.3 MM DRILL BIT,168.00
5516836,1.3 MM EXTENDED H-PLATE,423.00
5516844,1.3 MM T-PLATE 3H HD 8H SHAFT,404.00
5516851,1.3 MM T-PLATE 4H HD 8H SHAFT,423.00
5516869,1.3 MM TI CORTEX SCREW,188.00
5516877,1.3 MM Y-PLATE 3H HD 8H 32MM,404.00
5516885,1.5 MM CONDYLAR PLATE 7 HOLES,531.00
5516893,1.5 MM DRILL BIT,180.00
5516919,1.5 MM EXTENDED H-PLATE,423.00
5516927,1.5 MM STRAIGHT PLT 12 HOLES,441.00
5516935,1.5 MM STRAIGHT PLT 6 HOLES,350.00
5516943,1.5 MM T-PLATE 3H HD 8H SHAFT,404.00
5516950,1.5 MM T-PLATE 4H HD 8H SHAFT,423.00
5516968,1.5 MM TI CORTEX SCREW,139.00
5516976,1.5 MM Y-PLATE 3X,404.00
5516984,1.8 MM DRILL BIT,186.00
6817100,1/2NS KCL 20,44.00
7100720,100MX7M DAYERBINDI K BANDAGE,55.00
5533971,10MM HEADED REAMER,514.00
5533963,12MM MENISCAL DART,331.00
7004559,17-OHP,154.00
5516992,2.0 MM CONDYLAR PLATE,531.00
5517016,2.0 MM DCPR PLATE 4 HOLES,423.00
5517024,2.0 MM DCPR PLATE 6 HOLES,500.00
5517032,2.0 MM DCPR PLATE 8 HOLES,571.00
5517040,2.0 MM DRILL BIT,180.00
5517057,2.0 MM STRAIGHT PLATE 12 HOLES,463.00
5517065,2.0 MM STRAIGHT PLATE 6 HOLES,386.00
5517073,2.0 MM T-PLATE 2 HOLES HEAD,423.00
5517081,2.0 MM T-PLATE 3 HOLES HEAD,463.00
5517099,2.0 MM TI CORTEX SCREW,154.00
5517115,2.0 MM Y-PLATE 3 HOLES,463.00
5517123,2.4 MM CONDYLAR PLT 8 HOLES,557.00
5517131,2.4 MM DCPR PLATE 4 HOLES,594.00
5517149,2.4 MM DCPR PLATE 6 HOLES,667.00
5517156,2.4 MM DCPR PLATE 8 HOLES,724.00
5517164,2.4 MM DRILL BIT,186.00
5517172,2.4 MM STRAIGHT PLATE 6 HOLES,423.00
5517180,2.4 MM STRAIGHT PLT 12 HOLES,500.00
5517198,2.4 MM T-PLATE 2H HD 8H S,475.00
5517222,2.4 MM TI CORTEX SCREW,200.00
5517230,2.4 MM Y-PLATE 3H HD 8H S,492.00
5517248,2.5 MM GUIDE WIRE,132.00
5517214,2.5 MM T-PLATE 3H HD 8H S,507.00
5517255,2.7 MM CORTEX SCREW SELF-,57.00
9400532,"26"""" LONG HANDLE REACHER",31.00
5517263,3.5 MM CORTEX SCREW SELF-,57.00
5517289,3.5 MM SHAFT SCREW,46.00
5517271,3.5MM LOCKING SCREW RECES,306.00
9400524,"32""""LONG HANDLED REACHER",43.00
9400516,"36""""WHITE ELAST/SHOE LACES",10.00
9300120,3M/OCL SPLINT,36.00
5517297,4.0 MM CANC BONE SCREW FU,43.00
5517313,4.0 MM CANCELLOUS PARTIAL,42.00
5517321,4.0 MM EXT FIX SCHANZ SCREW,279.00
5517339,4.5 CORTEX SCREW SELF-TAP,53.00
5517347,4.5 MM BROAD 10 HOLES,"1,176.00"
5517354,4.5 MM BROAD 11 HOLES,"1,254.00"
5517362,4.5 MM BROAD 12 HOLES,"1,333.00"
5517370,4.5 MM BROAD 14 HOLES,"1,489.00"
5517388,4.5 MM BROAD 16 HOLES,"1,810.00"
5517396,4.5 MM BROAD 6 HOLES,777.00
5517412,4.5 MM BROAD 7 HOLES,827.00
5517420,4.5 MM BROAD 8 HOLES,"1,013.00"
5517438,4.5 MM BROAD 9 HOLES,"1,096.00"
5517446,4.5 MM CORTEX SCREW,53.00
