MEMORIAL SLOAN KETTERING CANCER CENTER - Pricing as of 01/01/2019,,
"Hospitals are required by law to make available information about their standard charges for the items and services they provide. These standard charges do not represent what a person will actually pay for medical care at Memorial Sloan Kettering Cancer Center. They also do not reflect or represent the actual payment the hospital will receive from insurance or from patients for those services. Therefore, referring to these standard charges to determine out-of-pocket costs is misleading.",,
,,
"We can provide you with an estimate of your out-of-pocket costs before you begin treatment, so you can make the right decision for you and your family. Services or items rendered to each patient and their cost may vary because of treatment decisions, unforeseen complications, additional tests or services ordered by a doctor, and the individual’s needs. In addition, estimates may change based on a person’s contracted insurance benefits, insurance policy exclusions, maximum benefits, pending financial assistance, or pending state/federal or other aid. ",,
,,
Please note that any information that you receive is for informational purposes only and is not an offer or representation of actual pricing for services at MSK. This information is not meant to be nor should it be considered financial or medical advice. This document also may not be altered or edited in any way once downloaded.,,
,,
Code,Description,Std-Fee
AMB000000,FINE NEEDLE ASP W/ I,1993
AMB000001,BX SUBCUT SKIN/INCL,1771
AMB000002,BX SUBCT SKN/INCL CL,624
AMB000004,"OPHTH US (A SCAN, ON",460
AMB000007,HOSPITAL OUTPT VISIT,311
AMB000009,BPSY TESTIS NEEDLE,2078
AMB000010,INJECTION TENDON SHE,690
AMB000012,"N BLOCK INJ, CELIAC",1270
AMB000013,GANGLION OF IMPR DIA,1350
AMB000015,HIP ARTHROGRAPHY UNI,695
AMB000016,SSEP STD 1 LWR LIMB,444
AMB000017,SSEP STD 1 UPR LIMB-,444
AMB000018,"N BLOCK, STELLATE GA",1561
AMB000019,"N BLOCK, SPENOPALATI",464
AMB000020,"N BLOCK INJ, TRIGEMI",464
AMB000021,PLACEMENT OF BEACON,4723
AMB000022,INJ ANES AGNT;PARAVE,1350
AMB000023,NEUROLYSIS OTHER PER,1415
AMB000024,NEUROLYSIS INTERCOST,1415
AMB000025,NEUROLYSIS TRIGEMINA,2726
AMB000027,INJ TENDON ORIGIN/IN,1093
AMB000028,"N BLOCK, OTHER PERIP",656
AMB000029,PLACEMNT VAGINAL FID,3069
AMB000030,INJECT EPIDURAL PATC,656
AMB000031,"N BLOCK INJ, INTERCO",1272
AMB000032,"N BLCK INJ,INTERCST,",2545
AMB000033,"N BLOCK INJ, INTERCO",872
AMB000034,"N BLOCK INJ, INTERCO",1744
AMB000036,"N BLOCK INJ, OCCIPIT",1352
AMB000037,FLUORO GUIDANCE INJE,2766
AMB000039,"N BLOCK INJ, OCCIPIT",2701
AMB000040,INJ ILIONGUINAL/ILIO,1070
AMB000041,N BLOCK INJ PUDENDAL,1225
AMB000042,SURGERY OF BREAST CA,8985
AMB000043,N BLOCK INJ CERVICAL,629
AMB000045,SQ COLLGN; 10+ CC,217
AMB000046,PLEURX DECLOTTING,695
AMB000047,INJECT ANES AGENT; F,414
AMB000048,SIGMOIDOSCOPY W/WO S,2845
AMB000052,PARTIAL BODY PHOTOGR,145
AMB000053,AUGMENT INJ FOR NIPP,847
AMB000054,ACNE SURGERY,525
AMB000055,I&D ABSCESS SMPL/SNG,621
AMB000056,I&D ABCESS COMPLEX O,774
AMB000057,"I&D PILONIDAL CYST,",577
AMB000058,GOLD WEIGHT IMPLANT,2939
AMB000059,INC/REMVL FOREIGN BO,629
AMB000060,INC/REMVL FOREIGN BO,1222
AMB000061,"INSC/DRAIN;HEMATOMA,",2407
AMB000062,PNCT ASPR ABSC HEMAT,1070
AMB000063,INC/DRAINAGE WOUND I,3358
AMB000065,DEBRID ECZEMATOUS 10,436
AMB000066,DEBRIDE INFECTED SKI,139
AMB000067,DEBRIDE SKIN & SQ W/,1729
AMB000068,DEBRIDE: SKIN/SUBQ L,841
AMB000069,DEBRIDE TO MUSC LESS,1209
AMB000070,DEBRIDE TO BONE LESS,1222
AMB000071,DEBRDE SKIN/SUBQ EA,442
AMB000072,DEBRIDE TO MUSC EA A,442
AMB000073,DEBRIDE TO BONE EA A,1373
AMB000074,PARING BENIGN LESION,270
AMB000075,"PARING BENIGN LES, 2",1222
AMB000076,"TRIM SKIN LESIONS, 5",156
AMB000077,REMVL SKIN TAGS; TO,400
AMB000078,RMVL SKIN TAGS; EA A,518
AMB000079,"SHAVING TK,AR,LG LES",631
AMB000080,"SHAVING,TK,AR,LG .6-",631
AMB000081,"SHAVING TK,AR,LG 1.1",631
AMB000082,"SHAVING TK,AR,LG, OV",631
AMB000083,"SHAVING SKP,HN,NK,FT",631
AMB000084,"SHAVING SKP,HN,NK,FT",631
AMB000085,"SHAVING SKP,HN,NK,FT",631
AMB000086,"SHAVING SKP,HN,NK,FT",631
AMB000087,"SHAVING FACE,EAR,EYE",631
AMB000088,"SHAVING FACE,EAR,EYE",631
AMB000089,"SHAVING FACE,EAR,EYE",631
AMB000090,"SHAVING FACE,EAR,EYE",631
AMB000091,"EXCSN, BENIGN LES 0.",919
AMB000092,"EXC,BEN LES,TK,AR,LG",1222
AMB000093,"EXC LIP TRNK, ARMS,",1328
AMB000094,"EXC,BEN,TK,AR,LG 2.1",1516
AMB000095,"EXC,BEN LES,TK,AR,LG",2126
AMB000096,"EXC,BEN LES,TRNK,ARM",2126
AMB000097,SUBQ INJ FLLLNG MAT,217
AMB000098,"EXC,BEN LES,SC,NK,H/",2126
AMB000099,"EXC,BEN LES,SC,NK,H/",1222
AMB000100,"EXC LIPO SCALP,NECK,",2126
AMB000101,"EXC,BEN LES,SC,NK,H/",1820
AMB000102,"EXC,BEN LES,SC,NK,H/",2105
AMB000103,"EXC,BEN LES,SC,NK,H/",2911
AMB000104,"EXC,BEN LES FACE ETC",1222
AMB000105,"EXC,BEN LES FACE ETC",1222
AMB000106,"EXC BEN LE FACE,EAR,",1222
AMB000107,"EXC BEN LE FACE,EAR,",2126
AMB000108,EXC BENIGN LES FACE,2105
AMB000109,EXC BENIGN LES FACE,3243
AMB000110,SKIN SUBCUT TISS AXL,3481
AMB000111,"EXC,MAL LES TK,AR,LG",1202
AMB000112,"EXC,MAL LES TK,AR,LG",1185
AMB000113,"EXC, MAL LES TK,AR,L",1208
AMB000114,"EXC,MAL LES TK,AR,LG",1473
AMB000115,"EXC MAL LES TK,AR,LG",1484
AMB000116,EXC MALIG LES TRUNK,2414
AMB000117,"EXC,MAL LES SC,NK,H/",2126
AMB000118,"EXC,MAL LE SC,NK,H/F",1205
AMB000119,"EXC,MAL LE SC,NK,H/F",1105
AMB000120,"EXC,MAL LE SC,NK,H/F",2126
AMB000121,EXC MALIG LES EXTREM,1467
AMB000122,EXC MALIG LES EXTREM,2827
AMB000123,"EXC,MAL LES FACE ETC",1203
AMB000124,"EXC,MAL LES FACE ETC",1208
AMB000125,"EXC,MAL LES FACE ETC",1205
AMB000126,EXC MAL LES FACE ETC,2126
AMB000127,EXC MALIG LES FACE 3,2126
AMB000128,EXC MALIG LES FACE O,2910
AMB000129,"DEBRIDEMENT OF NAIL,",148
AMB000130,NAIL DEBRIDE 1-5 NAI,301
AMB000131,DEBRIDEMENT OF NAILS,310
AMB000132,NAIL REMVL AVUL SMP/,631
AMB000133,"AVULSION OF NAIL, AD",186
AMB000134,NAIL EXCSN; PART OR,1222
AMB000135,BIOPSY OF NAIL PLATE,1222
AMB000136,"INJ, INTRALES; UP TO",273
AMB000137,"INJ,INTRALES; GTR TH",400
AMB000138,TATTOOING LESS THAN,836
AMB000139,TATTOOING GTR THAN 6,1257
AMB000140,TATTOOING EA ADDL 20,543
AMB000141,INSERT TISSUE EXP NO,1222
AMB000142,REPLCMT TISS XPNDR W,2390
AMB000143,REMOVE TISSUE EXPAND,4066
AMB000144,REMOVAL OF CONTRACEP,838
AMB000145,IMPLANT HORMONE PELL,453
AMB000146,"REPAIR-SIM SC,NK,AX,",1303
AMB000147,"REPAIR-SIM SC,NK,AX,",1311
AMB000148,"REPAIR-SIM SC,NK,AX,",1222
AMB000149,"REPAIR-SIM SC,NK,AX,",1186
AMB000150,REPAIR-SIM FACE ETC.,1328
AMB000151,REPAIR-SIM FACE ETC.,1328
AMB000152,"REPAIR-SIM ETC,5.1-7",1222
AMB000153,TRTMT SUP WND DEHISC,1328
AMB000154,TREATMNT SPRFCL WOUN,616
AMB000155,"REPAIR LAYER SCALP,E",1328
AMB000156,"REPAIR-INTER SC,AX,T",1208
AMB000157,"REPAIR-INTER SC,AX,T",1222
AMB000158,"REPAIR-INTER SC,AX,T",1222
AMB000159,"REPAIR SC,AX,TR,20.1",414
AMB000160,"REPAIR-INTER NK,H/FT",1202
AMB000161,"REPAIR-INTER NK,H/FT",1202
AMB000162,"REPAIR-INTER NK,H/FT",1222
AMB000163,INTMD WND REPAIR N-H,641
AMB000164,"REPAIR-INTER FACE, L",1213
AMB000165,REPAIR-INTER FACE 2.,1202
AMB000166,REPAIR-INTER FACE 5.,1186
AMB000167,REPAIR-INTER FACE 7.,1205
AMB000168,REPAIR-INTER FACE 12,1222
AMB000169,"REPAIR-CMPLX,TR 1.1-",1222
AMB000170,"REPAIR-CMPLX,TR 2.6-",1205
AMB000171,REPAIR CMPLX TR +5CM,1202
AMB000172,"REPAIR-CMPLX SC ETC,",1222
AMB000173,"REPAIR-CMPLX SC ETC,",1205
AMB000174,REPAIR COMPLEX SC +5,856
AMB000175,"REPAIR-CMPLX FR,ETC",1198
AMB000176,"REPAIR-CMPLX FR, ETC",1203
AMB000177,REPAIR COMPLEX FR +5,1222
AMB000178,REPAIR-CMPLX EY/NO 1,1202
AMB000179,REPAIR-CMPLX EY/NO 2,1208
AMB000180,REPAIR COMPLEX EY/NO,1222
AMB000181,SECND CLOSURE WND/DE,1222
AMB000182,"ADJ TISS TRANS, TRUN",2793
AMB000183,ADJ TISS. TRANS;TRNK,2816
AMB000184,ADJ TISS TRANS S/A/L,2763
AMB000185,ADJ TISS TRANS S/A/L,2816
AMB000186,ADJ TISSUE XFER/DEFE,2767
AMB000187,ADJ TISS TRANS 10.1-,2820
AMB000188,ADJ TISS TRANS FACE,2783
AMB000189,ADJ TISS TRANS FACE,2739
AMB000190,ADJ TISS TRANS 30.1-,4307
AMB000191,"ADJ TIS TRAN COMP, E",3253
AMB000192,FILLETED FINGER OR T,654
AMB000193,SURG PREP RECIP SITE,1067
AMB000194,SURG PREP RECIP FACE,1067
AMB000195,PINCH GRAFT SING/MUL,716
AMB000196,SPLIT GRAFT TO 100 C,2816
AMB000197,SPLIT GRAFT OTH 0-10,2816
AMB000198,"FULL DONOR GRAFT, TR",2739
