Charge Number,Description,Charge
70173806,.035  X 5.75  ST Guide Wire,40
70174276,.045  Guide W.045  Guide Wire Trocar Tip,66
70172057,.045  X 6  ST Guide Wire,40
70180203,.045 X 6 ST Guide Wire,40
70172062,.054  X 6  Guide Wire,40
70185278,.062  Guide.062  Guide Wire w/Trocar Tip,60
1515382,.KETAMINE HCL INJ 100MG/1ML 5ML VIAL (S),60
70185236,1.1.7X8mm BONE SCREWSCROSSPINSELFTAPPING,158.4
70170232,1.7MM CABLE WITH CRIMP SYNTHES,662
70180256,1.7X10mm BONE SCREWSCROSSPINSELFTAPPING,158.4
70185304,"1.7X10MM LOCKING SCREWS,CROSS-PIN,SELF-T",182.6
70180254,1.7X11mm BONE SCREWSCROSSPINSELFTAPPING,158.4
70185305,"1.7X11MM LOCKING SCREWS,CROSS-PIN,SELF-T",182.6
70180255,1.7X12mm BONE SCREWSCROSSPINSELFTAPPING,158.4
70185306,"1.7X13MM LOCKING SCREWS,CROSS-PIN,SELF-T",182.6
70185262,1.7X18mm BONE SCREWSCROSSPINSELFTAPPING,158.4
70185235,1.7X7mm BONE SCREWSCROSSPINSELFTAPPING,158.4
70185307,"1.7X8MM LOCKING SCREWS,CROSS-PIN,SELF-T",182.6
70185310,10.0mm Micro Acutrak 2 Bone Screw,802.5
70172774,10MM FLAT BLAKE,220
70185098,18.0mm Micro Acutrak 2 Bone Screw,802.5
70185289,18.0mm Mini Acutrak 2 Bone Screw,802.5
70174491,2.0 mm  ASNIS MICRO CANNULATED DRILL 1.7,392
70174494,2.0 mm  ASNIS MICRO CANNULATED SCREW 14/,353.1
70185239,2.0 mm  ASNIS MICRO CANNULATED SCREW 28/,353.1
70174492,2.0 mm  ASNIS MICRO CANNULATED SCREWDRIV,255.5
70174476,2.0 mm  ASNIS MICRO K-WIRE 0.8 mm X 100,66
70173825,2.0mm Quick Release Surgibit Drill,135
70180244,"2.3 M PROFYLE HAND LOCK PLATE,STRAI,16H",882.2
70174126,"2.3 M PROFYLE HAND LOCK Y-PLATE,NAR,7H",882.2
70185111,"2.3 M PROFYLE HAND LOCK Z-PLATE,NAR,13H",882.2
70185176,2.3mm X 12mm Locking Cortical Peg,160
70172148,2.3mm X 16mm Locking Cortical Peg,160
70172127,2.3mm x 18mm Locking Cortical Peg,160
70185282,2.3mm X 20mm Locking Cortical Peg,160
70172183,2.3mm X 20mm Locking Cortical Peg,160
70185286,2.3mm X 22mm Locking Cortical Peg,160
70172184,2.3mm X 22mm Locking Cortical Peg,160
70185285,2.3mm X 24mm Locking Cortical Peg,160
70185110,"2.3X11MM LOCKING SCREWS,CROSS-PIN,SELF-T",183.7
70174121,2.3X11mSCREW 2.3x11 NONLOCKING 58-23011E,159.5
70174129,"2.3X12MM LOCKING SCREWS,CROSS-PIN,SELF-T",183.7
70180243,2.3X13mm BONE SCREWSCROSSPINSELFTAPPING,159.5
70174317,2.3X14mm BONE SCREWSCROSSPINSELFTAPPING,159.5
70180084,2.3X15mm BONE SCREWS,159.5
70174143,2.3X9mm BONE SCREWSCROSSPINSELFTAPPING,159.5
70174127,"2.3X9MM LOCKING SCREWS,CROSS-PIN,SELF-T",183.7
70180260,"2.4mm Val Smooth Shaft Screw, Titanium,",350
70185183,"2.4mm Val Smooth Shaft Screw, Titanium,",350
70173713,"2.5MM DRILL BIT,  CALIBRATED",212.5
