Item ID,Item Description, Item Charge 
3012012,CVP MONITOR, $154.00 
3012014,EPIDURAL/AC MONITORING, $141.50 
3012017,GLUCOMETER, $45.00 
3012019,INSERT EPIDURAL CATH, $304.00 
3012028,TPN ADMIX DAILY, $121.00 
3013001,CHARGE ISOLATION, $69.50 
3013002,EMERGENCY RESPONSE," $1,651.00 "
3013003,ISOLATION WITH BARRIER, $224.00 
3016000,CHEST SET-UP/MAINTENANCE, $208.00 
3019100,OBSERVATION HOURLY CHARGE, $50.00 
3019101,DIRECT ADMIT, $81.50 
3019111,Bedside Procedure Performed UA," $2,000.00 "
3120001,SHORT LEG SPLINT, $97.50 
3120002,ROBERT JONES DRESSING, $358.00 
3120003,THUMB SPICA CAST, $398.50 
3120004,THUMB SPICA SPLINT, $86.00 
3120005,LONG ARM SPLINT, $131.00 
3120006,LONG ARM CAST, $416.50 
3120007,SHORT ARM SPLINT, $73.00 
3120008,SHORT ARM FIBERGLASS CAST, $322.00 
3120009,LONG LEG FIBERGLASS, $935.50 
3120010,LONG LEG PLASTER CAST, $299.50 
3120011,SHORT LEG FIBERGLASS CAST, $481.00 
3120012,SHORT LEG PLASTER CAST, $258.00 
3120020,TRACTION SETUP- TRAPEZE, $190.50 
3120021,TRACTION SETUP- BUCKS, $317.00 
3120022,TRACTION SETUP- SKELETON, $469.00 
3120023,TRACTION DAILY RENTAL-ALL, $77.50 
3121364,IMMUNIZATION ADMIN 1 VACCINE, $60.00 
3129000,31208 7 SO HOURLY OBSERVATION, $50.00 
3129024,HYDRATION 1st HOUR, $413.50 
3129025,HYDRATION EA ADDT'L HOUR, $84.00 
3129026,HYDRATION EA HR SECOND/SUBSEQ, $84.00 
3129028,INJECTION IV/PUSH 1st DRUG, $195.00 
3129029,INJECTION IV/PUSH ADDTL DRUG, $84.00 
3129030,INJECTION SUBQ/IM, $84.00 
3129031,ADDT'L IV PUSH SAME DRUG, $64.00 
3129032,CONCURRENT INFU NON CHEMO/HYD, $84.00 
3129033,IV INFUSION 1st HOUR, $413.50 
3129034,IV INFUSION EA ADDTL HOUR, $84.00 
3129035,SEQUENTIAL INFUS NO CHEMO/HYD, $84.00 
3129111,Bedside Procedure Performed 7S," $2,000.00 "
3141364,IMMUNIZATION ADMIN 1 VACCINE, $60.00 
3149000,31412 5 NO HOURLY OBSERVATION, $50.00 
3149024,HYDRATION 1st HOUR, $413.50 
3149025,HYDRATION EA ADDT'L HOUR, $84.00 
3149026,HYDRATION EA HR SECOND/SUBSEQ, $84.00 
