Item ID,Item Description, Item Charge 
4300002,Meclizine 12.5 MG TAB, $5.00 
4300003,Meclizine 25 MG TAB, $5.00 
4300009,Clindamycin 150 MG CAP, $5.00 
4300010,Docusate Sodium 100 MG CAP, $5.00 
4300013,chlorproPAMIDE 250 MG TAB, $16.00 
4300014,dimenhyDRINATE 50 MG TAB, $5.00 
4300015,Triamterene/Hydrochlorothiazid 1 CAP CAP, $5.00 
4300017,Apraclonidine 1% Ophth Drops 0.2 ML BOT, $208.22 
4300020,Furosemide 20 MG/2 ML VIAL, $20.00 
4300021,chlordiazePOXIDE 5 MG CAP, $5.00 
4300022,chlordiazePOXIDE 10 MG CAP, $5.00 
4300023,chlordiazePOXIDE 25 MG CAP, $5.00 
4300024,Verapamil 5 MG/2 ML VIAL, $265.68 
4300025,Amikacin 500 MG/2 ML VIAL, $58.04 
4300026,Minocycline 100 MG CAP, $5.00 
4300037,predniSONE 10 MG TAB, $5.00 
4300038,predniSONE 20 MG TAB, $5.00 
4300040,oxyCODONE/Acetaminophen 1 TAB TAB, $5.00 
4300041,Bacitracin Ointment 30 GM TUBE, $2.46 
4300044,Methocarbamol 750 MG TAB, $5.00 
4300045,Terbutaline 2.5 MG TAB, $32.96 
4300046,Glycopyrrolate 1 MG TAB, $5.00 
4300048,Dolasetron 100 MG TAB, $765.28 
4300049,Cidofovir 375 MG/5 ML VIAL," $1,011.89 "
4300051,Hydrochlorothiazide 12.5 MG CAP, $5.00 
4300053,Pyridoxine 100 MG/1 ML VIAL, $56.24 
4300054,Tetracycline 500 MG CAP, $96.48 
4300059,Diazepam 5 MG TAB, $5.00 
4300060,Diazepam 10 MG TAB, $5.00 
4300062,Allopurinol 100 MG TAB, $5.00 
4300063,Oxazepam 15 MG CAP, $5.00 
4300066,Doxepin 10 MG CAP, $5.00 
4300067,Doxepin 25 MG CAP, $5.00 
4300068,Doxepin 50 MG CAP, $6.83 
4300069,Ezetimibe 10 MG TAB, $5.00 
4300071,Pentamidine Neb. Soln 300 MG AER.POWEA, $861.04 
4300072,"Pediarix, Vaccine Combination 0.5 ML VIAL", $536.12 
4300074,Maprotiline 50 MG TAB, $11.68 
4300079,Fluconazole Susp 200 MG/5 ML 35MLBTL, $189.16 
4300080,Thioridazine 25 MG TAB, $5.00 
4300082,Maprotiline 25 MG TAB, $7.36 
4300083,Eye Irrigation Soln 30 ML BOT, $145.68 
4300084,Levofloxacin 750 MG / 5 MG/ML BAG, $38.00 
4300085,Propranolol 10 MG TAB, $5.00 
4300086,Isosorbide Dinitrate 10 MG TAB, $5.00 
4300088,Levofloxacin 750 MG TAB, $5.00 
4300090,NIFEdipine 20 MG CAP, $14.08 
4300091,Voriconazole 200 MG VIAL, $279.76 
4300092,Palonosetron 250 MCG/5 ML VIAL, $658.07 
4300094,Pseudoephedrine ERT 120 MG TAB.SA, $5.00 
4300095,Warfarin 5 MG TAB, $26.46 
4300096,Warfarin 7.5 MG TAB, $5.00 
4300097,Warfarin 10 MG TAB, $5.00 
4300099,Butalbital/Aspirin/Caffeine 1 CAP CAP, $5.00 
4300101,Mercaptopurine 50 MG TAB, $8.19 
4300103,Calfactant 3 ML VIAL," $2,805.64 "
4300104,Haloperidol 10 MG TAB, $8.66 
4300105,Methyldopa 250 MG TAB, $5.00 
4300106,Methyldopa/Hydrochlorothiazide 1 TAB TAB, $12.56 
4300107,Methyldopa/Hydrochlorothiazide 1 TAB TAB, $14.80 
4300108,Probenecid/Colchicine 1 TAB TAB, $5.00 
4300109,Hyaluronate 20 MG/2 ML SYRINGE," $1,807.95 "
4300110,Amitriptyline 10 MG TAB, $5.00 
4300111,Amitriptyline 25 MG TAB, $5.00 
4300112,Prochlorperazine 5 MG TAB, $5.00 
4300113,Prochlorperazine 10 MG TAB, $5.00 
4300115,Doxycycline 50 MG CAP, $5.00 
4300116,Doxycycline 100 MG CAP, $5.00 
4300117,Methyclothiazide 5 MG TAB, $12.56 
4300118,Memantine 5 MG TAB, $5.00 
4300119,acetaZOLAMIDE 500 MG VIAL, $147.25 
4300120,Bumetanide 1 MG/4 ML VIAL, $20.00 
4300123,Cephalexin 250 MG CAP, $5.00 
4300124,Cephalexin 500 MG CAP, $5.00 
4300125,Methylergonovine 200 MCG TAB, $382.17 
4300126,Memantine 10 MG TAB, $5.00 
4300130,Trihexyphenidyl 2 MG TAB, $5.00 
4300131,HumuLIN 70/30 1000 UNITS/10 ML VIAL, $13.75 
4300132,Albuterol Syrup 2 MG/5 ML UDBOT, $5.00 
4300134,Indomethacin 25 MG CAP, $5.00 
4300135,"Estrogens, Conjugated (Equine) 450 MCG TAB", $42.70 
4300136,Voriconazole 50 MG TAB, $33.20 
4300137,TOLBUTamide 500 MG TAB, $8.08 
4300139,Voriconazole 200 MG TAB, $156.37 
4300142,Darbepoetin Alfa 150 MCG/0.3 ML SYR," $2,340.58 "
4300143,Darbepoetin Alfa 300 MCG/1 ML VIAL," $3,901.82 "
4300144,Cefotaxime 1 Gram / 20 MG/ML BAG, $26.70 
4300145,hydrOXYzine PAMOATE 50 MG CAP, $5.00 
4300146,hydrOXYzine PAMOATE 25 MG CAP, $5.00 
4300147,Loxapine 10 MG CAP, $5.00 
4300148,chlorproMAZINE 50 MG/2 ML AMP, $244.23 
4300149,Loxapine 25 MG CAP, $5.00 
4300151,Ampicillin 500 MG CAP, $5.00 
4300152,Meprobamate 400 MG TAB, $9.41 
4300153,predniSONE 5 MG TAB, $5.00 
4300154,Loxapine 50 MG CAP, $6.14 
4300156,Filgrastim 480 MCG/0.8 ML DISP.SYR," $4,901.34 "
4300157,Meperidine 100 MG/ML SYR, $140.92 
4300158,Meperidine 75 MG/ML SYR, $128.70 
4300159,Meperidine 50 MG/ML SYR, $81.64 
4300163,Cefotaxime 2 Gram / 50 ML BAG, $47.31 
4300164,Meperidine 100 MG TAB, $5.00 
4300166,Insulin Aspart 1000 UNITS/10 ML VIAL, $59.78 
4300172,Prazosin 1 MG CAP, $5.00 
4300173,Prazosin 2 MG CAP, $13.24 
4300174,Prazosin 5 MG CAP, $5.00 
4300175,Phenelzine 15 MG TAB, $5.00 
4300179,Beractant 200 MG/8 ML VIAL, $993.13 
4300184,Bromocriptine 2.5 MG TAB, $22.62 
4300185,Temazepam 15 MG CAP, $5.00 
4300188,Theophylline ERC 200 MG CAP.SA, $17.92 
4300189,Neomycin/Bacitra/Polymyxin 0.94 GM PKT, $5.00 
4300192,Fluconazole 150 MG TAB, $22.32 
4300195,prednisoLONE ACET 1% OPH DROPS 5 ML BOT, $272.54 
4300199,DAPTOmycin 500 MG VIAL," $1,667.63 "
4300200,Gabapentin 600 MG TAB, $5.00 
4300203,Gabapentin 800 MG TAB, $5.00 
4300205,"Heparin Arterial 2,000 Units/ 2000 UNITS/1000 ML BAG", $39.90 
4300206,Peritoneal Fluid 1.5% 2000 ML BAG, $20.00 
4300208,HYDROmorphone 2 MG/ML AMP, $35.00 
4300209,Peritoneal Fluid 1.5% 5000 ML BAG, $172.71 
4300211,Peritoneal Fluid 2.5% 2000 ML BAG, $112.51 
4300215,Griseofulvin Microsize Susp 125 MG/5 ML 120MLBTL, $385.92 
4300216,Opium/Belladonna Alkaloids 1 SUPP SUPP, $82.51 
4300217,Opium/Belladonna Alkaloids 1 SUPP SUPP, $67.86 
4300218,Etoposide 50 MG CAP, $584.88 
4300220,Peritoneal Fluid 2.5% 5000 ML BAG, $176.75 
4300224,Peritoneal Fluid 4.25% 2000 ML BAG, $350.84 
4300225,Codeine 60 MG TAB, $5.00 
4300226,Codeine 30 MG TAB, $5.00 
4300227,Codeine 15 MG TAB, $5.00 
4300228,Morphine 10 MG/ML SYR, $44.72 
4300232,HYDROmorphone Supp 3 MG SUPP, $34.68 
4300233,Procainamide 1000 MG/2 ML VIAL, $648.57 
4300234,Peritoneal Fluid 4.25% 5000 ML BAG, $181.02 
4300237,Tiotropium 18 Mcg/Cap 1 INHALE.KIT AER.CAP, $63.79 
4300238,oxyCODONE/Aspirin 1 TAB TAB, $5.00 
4300240,Etomidate 20 MG/10 ML VIAL, $26.51 
4300241,Metoprolol 25 MG TAB, $5.00 
4300244,Metoclopramide Syrup 10 MG/10 ML UDBOT, $8.93 
4300245,Lansoprazole Oral Disintegrate 30 MG TAB.SOL, $110.88 
4300246,Lansoprazole Oral Disintegrate 15 MG TAB.SOL, $107.60 
4300250,Tigecycline 50 MG VIAL, $931.00 
4300259,PHENobarbital 100 MG TAB, $5.00 
4300261,"Gelatin Sponge,Absorbable 1 APP APP", $152.48 
4300262,Ciprofloxacin 0.3% Ophth Drops 2.5 ML BOT, $20.30 
4300266,IDArubicin 10 MG VIAL, $220.48 
4300267,Tetanus Immune Globulin 250 UNIT SYR," $4,143.52 "
4300269,Succinylcholine 200 MG/10 ML SYR, $147.54 
4300270,Mineral Oil 30 ML UDBOT, $1.05 
4300273,Chlorthalidone 50 MG TAB, $7.94 
4300274,Ethosuximide 250 MG CAP, $5.78 
4300275,Indomethacin Susp 25 MG/5 ML ML, $15.04 
4300281,Selenium 400 MCG/10 ML VIAL, $60.52 
4300282,Amitriptyline 150 MG TAB, $13.20 
4300283,Temazepam 30 MG CAP, $5.00 
4300285,Valproic Acid Syrup 250 MG/5 ML UDCUP, $5.00 
4300286,Cefpodoxime 200 MG TAB, $40.30 
4300288,Nortriptyline 75 MG CAP, $5.00 
4300290,Theophylline Elix 80 MG/15 ML UDBOT, $81.92 
4300291,Erythromycin 1 Gram / 4 MG/ML BAG, $33.63 
4300292,Erythromycin 500 MG/ 5 MG/ML BAG, $659.11 
4300294,Trimethoprim/Sulfamethoxazole 20 ML UDBOT, $28.56 
4300295,Ampicillin 1 Gram / 20 MG/ML BAG, $20.00 
4300297,Ampicillin 2 Gram / 20 MG/ML BAG, $28.50 
4300298,Nafcillin 2 Gram / 20 MG/ML BAG, $245.75 
4300299,Acetaminophen Solution 160 MG/5 ML UDCUP, $0.66 
4300300,Olsalazine 250 MG CAP, $99.84 
4300302,Metoclopramide 5 MG TAB, $5.00 
4300303,Ciprofloxacin 400 MG/40 ML VIAL, $24.61 
4300304,Lomustine 40 MG CAP," $1,105.84 "
4300305,Methylphenidate ERT 20 MG TAB.SA, $18.18 
4300308,Stuart Prenatal 1 TAB TAB, $0.50 
4300311,cycloSPORINE SOLN 100 MG/ML 50MLBTL," $1,254.12 "
4300314,Secobarbital 100 MG CAP, $101.87 
4300316,Nafcillin 1 Gram / 20 MG/ML BAG, $99.28 
4300317,Naproxen Susp 125 MG/5 ML ML, $7.36 
4300319,Cefepime 1 Gram / 20 MG/ML BAG, $111.33 
4300322,Diazepam 10 MG/2 ML VIAL, $609.44 
4300323,Fluconazole 200 MG TAB, $9.64 
4300326,Unasyn 1.5 Gram / 30 MG/ML BAG, $20.00 
4300327,Penicillin G Pot 5000000 UNIT VIAL, $69.23 
4300328,Unasyn 3 Gram / 30 MG/ML BAG, $22.94 
4300329,Doxycycline 100 MG VIAL, $175.75 
4300330,Vancomycin 1 Gram / 4 MG/ML BAG, $88.64 
4300331,Minoxidil 2.5 MG TAB, $5.00 
4300332,Colistimethate 150 MG VIAL, $121.13 
4300334,Primaxin 250 MG / 2.5 MG/ML BAG, $45.32 
4300335,Primaxin 500 MG / 5 MG/ML BAG, $85.30 
4300340,carBAMazepine Susp 100 MG/5 ML ML, $5.00 
4300342,Sodium Chloride 0.6% Nasal Spr 50 ML BOT, $5.83 
4300343,Hydroxychloroquine 200 MG TAB, $5.00 
4300344,Sodium Chloride 0.6% Nasal Dr 50 ML BTL, $20.32 
4300345,Hydrocortisone 1% Cr 30 GM TUBE, $11.08 
4300347,Hydrocortisone 0.5% Cr 30 GM TUBE, $21.31 
