Charge Description,Charge,,,
HC BIOPSY PALATE UVULA,848,,,
HC TRAUMA RESPONS W/HOSP CRITI,"3,225.00",,,
HC FINE NEEDLE ASPIRATION W/O IMAGING GUIDANCE,530,,,
HC FINE NEEDLE ASPIRATION WITH IMAGING GUIDANCE,698,,,
HC ACNE SURGERY,670,,,
HC INCISION & DRAINAGE ABSCESS COMPLICATED/MULTIPLE,"1,336.00",,,
HC INCISION & DRAINAGE PILONIDAL CYST SIMPLE,771,,,
HC INCISION & DRAINAGE PILONIDAL CYST COMPLICATED,"1,335.00",,,
HC INCISION & REMOVAL FOREIGN BODY SUBQ TISS SIMPLE,704,,,
HC INCISION & REMOVAL FOREIGN BODY SUBQ TISS COMPL,"1,942.00",,,
HC I&D HEMATOMA SEROMA/FLUID COLLECTION,"1,431.00",,,
HC PUNCTURE ASPIRATION ABSCESS HEMATOMA BULLA/CYST,718,,,
HC DBRDMT EXTENSV ECZEMA/INFECT SKN UP 10% BDY SURF,467,,,
HC DEBRIDEMENT SUBCUTANEOUS TISSUE 20 SQ CM/<,466,,,
HC DEBRIDEMENT MUSCLE & FASCIA 20 SQ CM/<,"1,184.00",,,
HC DEBRIDEMENT BONE MUSCLE &/FASCIA 20 SQ CM/<,"1,768.00",,,
HC DBRDMT SUBCUTANEOUS TISSUE EA ADDL 20 SQ CM,202,,,
HC DEBRIDEMENT MUSCLE &/FASCIA EA ADDL 20 SQ CM,413,,,
HC DEBRIDEMENT BONE EACH ADDITIONAL 20 SQ CM,731,,,
HC PARING/CUTTING BENIGN HYPERKERATOTIC LESION 1,145,,,
HC PARING/CUTTING BENIGN HYPERKERATOTIC LESION 2-4,168,,,
HC PARING/CUTTING BENIGN HYPERKERATOTIC LESION >4,268,,,
HC BX SKIN SUBCUTANEOUS&/MUCOUS MEMBRANE 1 LESION,372,,,
HC BIOPSY SKIN SUBQ&/MUCOUS MEMBRANE EA ADDL LESN,188,,,
HC REMOVAL SKN TAGS MLT FIBRQ TAGS ANY AREA UPW/15,550,,,
HC SHAVING SKIN LESION 1 TRUNK/ARM/LEG DIAM 0.5CM/<,228,,,
HC SHVG SKIN LESION 1 TRUNK/ARM/LEG DIAM 0.6-1.0 CM,383,,,
HC SHVG SKN LESION 1 TRUNK/ARM/LEG DIAM 1.1-2.0 CM,476,,,
HC SHVG SKIN LESION 1 TRUNK/ARM/LEG DIAM >2.0 CM,561,,,
HC SHAVING SKIN LESION 1 S/N/H/F/G DIAM 0.5 CM/<,242,,,
HC SHAVING SKIN LESION 1 S/N/H/F/G DIAM 0.6-1.0 CM,399,,,
HC SHAVING SKIN LESION 1 S/N/H/F/G DIAM 1.1-2.0 CM,479,,,
HC SHAVING SKIN LESION 1 S/N/H/F/G DIAM >2.0 CM,548,,,
HC SHAVING SKIN LESION 1 F/E/E/N/L/M DIAM 0.5 CM/<,329,,,
HC SHVG SKIN LESION 1 F/E/E/N/L/M DIAM 0.6-1.0 CM,476,,,
HC SHVG SKIN LESION 1 F/E/E/N/L/M DIAM 1.1-2.0 CM,550,,,
HC SHAVING SKIN LESION 1 F/E/E/N/L/M DIAM >2.0 CM,738,,,
HC EXC B9 LESION MRGN XCP SK TG T/A/L 0.5 CM/<,601,,,
HC EXC B9 LESION MRGN XCP SK TG T/A/L 0.6-1.0 CM,786,,,
HC EXC B9 LESION MRGN XCP SK TG T/A/L 1.1-2.0 CM,863,,,
HC EXC B9 LESION MRGN XCP SK TG T/A/L 2.1-3.0 CM/<,"1,113.00",,,
HC EXC B9 LESION MRGN XCP SK TG T/A/L 3.1-4.0 CM,"1,942.00",,,
HC EXC B9 LESION MRGN XCP SK TG T/A/L >4.0 CM,"1,845.00",,,
HC EXC B9 LESION MRGN XCP SK TG S/N/H/F/G 0.5 CM/<,"1,086.00",,,
HC EXC B9 LESION MRGN XCP SK TG S/N/H/F/G 0.6-1.0CM,"1,086.00",,,
HC EXC B9 LESION MRGN XCP SK TG S/N/H/F/G 1.1-2.0CM,"1,023.00",,,
HC EXC B9 LESION MRGN XCP SK TG S/N/H/F/G 2.1-3.0CM,"1,942.00",,,
HC EXC B9 LESION MRGN XCP SK TG S/N/H/F/G 3.1-4.0CM,"1,942.00",,,
HC EXC B9 LESION MRGN XCP SK TG S/N/H/F/G > 4.0CM,"2,942.00",,,
HC EXC B9 LESION MRGN XCP SK TG F/E/E/N/L/M 0.5CM/<,780,,,
HC EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 0.6-1.0CM,994,,,
HC EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 1.1-2.0CM,"1,030.00",,,
HC EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 2.1-3.0CM,"1,354.00",,,
HC EXC B9 LES MRGN XCP SK TG F/E/E/N/L/M 3.1-4.0CM,"1,726.00",,,
HC EXC B9 LESION MRGN XCP SK TG F/E/E/N/L/M > 4.0CM,"2,455.00",,,
HC EXCISION HIDRADENITIS AXILLARY SMPL/INTRM RPR,"2,736.00",,,
HC EXCISION HIDRADENITIS INGUINAL COMPLEX REPAIR,"2,453.00",,,
