Procedure Name, Price  
HC R&B PRIVATE MED/SURG,"$2,323.00 "
HC R&B SEMI PRIVATE MED/SURG,"$2,163.00 "
HC R&B SEMI PRIVATE TELEMETRY,"$2,163.00 "
HC R&B SEMI PRIVATE REHAB,"$2,479.00 "
HC R&B ICU,"$6,158.00 "
HC R&B PRIVATE TELEMETRY,"$3,941.00 "
"HC IV INFU, HYDRATION, 31-60 MIN",$490.60 
"HC IV INFU, HYDRATION, EA ADD HOUR",$125.70 
"HC IV INFU, THERAP/PROPH/DIAGN, INIT, 1ST HR",$633.95 
"HC IV INFU, THERAP/PROPH/DIAGN, INIT, EA ADD HR",$125.70 
"HC IV INFU, THERAP/PROPH/DIAGN, ADD INF, 1ST HR",$183.00 
"HC IV INFU, THERAP/PROPH/DIAGN,CONCURRENT INF",$76.05 
"HC COLLECTION VENOUS BLOOD,VENIPUNCTURE",$16.55 
HC COLLECTION CAPILLARY BLOOD SPECIMEN,$76.05 
HC CNS DNA/RNA AMP PROBE MULTIPLE SUBTYPES 12-25,$567.18 
HC BASIC METABOLIC PANEL CALCIUM TOTAL,$310.90 
HC ELECTROLYTE PANEL,$170.90 
"HC METABOLIC PANEL,COMPREHENSIVE",$390.30 
HC LIPID PANEL,$363.85 
HC RENAL FUNCTION PANEL,$297.70 
"HC HEPATITIS PANEL,ACUTE",$20.00 
HC HEPATIC FUNCTION PANEL,$253.60 
HC ASSAY OF AMIKACIN,$13.80 
HC ASSAY OF CARBAMAZEPINE TOTAL,$199.55 
HC ASSAY OF DIGOXIN,$292.15 
"HC ASSAY OF VALPROIC ACID, TOTAL",$288.85 
HC ASSAY OF GENTAMICIN,$307.60 
HC DRUG SCREEN QUANTITATIVE LEVETIRACETAM,$10.59 
HC ASSAY OF LITHIUM,$133.40 
HC ASSAY OF PHENOBARBITAL,$175.30 
"HC ASSAY OF PHENYTOIN, TOTAL",$205.05 
"HC ASSAY OF PHENYTOIN, FREE",$6.74 
HC ASSAY OF ACETAMINOPHEN,$256.00 
HC ASSAY OF TACROLIMUS,$50.40 
HC ASSAY OF THEOPHYLLINE,$293.25 
HC ASSAY OF VANCOMYCIN,$263.50 
"HC QUANTITATIVE ASSAY, DRUG",$18.60 
HC ASSAY OF SALICYLATE,$151.05 
HC KETONE BODIES SERUM QUALITATIVE,$183.00 
HC KETONE BODIES SERUM QUANTITATIVE,$183.00 
HC ASSAY OF ACTH,$24.50 
HC ASSAY OF SERUM ALBUMIN,$134.50 
HC ASSAY OF URINE ALBUMIN,$18.10 
"HC MICROALBUMIN, QUANTITATIVE",$4.10 
HC ASSAY OF ETHANOL,$158.75 
HC ASSAY OF ALDOLASE,$3.00 
HC ASSAY OF ALDOSTERONE,$19.30 
"HC ALPHA-1-ANTITRYPSIN, TOTAL",$5.50 
"HC ALPHA-FETOPROTEIN, SERUM",$7.65 
HC ASSAY OF AMMONIA,$177.50 
HC ASSAY OF AMYLASE,$230.40 
HC ANGIOTENSIN I ENZYME TEST,$25.50 
HC ASSAY OF ARSENIC,$21.85 
HC BILIRUBIN TOTAL,$163.15 
HC BILIRUBIN DIRECT,$143.35 
HC OCCULT BLOOD STOOL,$95.90 
"HC ASSAY VIT D, 25-HYDROXY W FRACTIONS",$57.75 
"HC ASSAY OF CALCIUM, TOTAL",$135.60 
"HC ASSAY OF CALCIUM, IONIZED",$231.55 
HC ASSAY OF CALCIUM IN URINE,$230.40 
HC CARCINOEMBRYONIC ANTIGEN,$212.80 
"HC ASSAY, THREE CATECHOLAMINES",$27.60 
HC ASSAY OF CERULOPLASMIN,$5.30 
HC ASSAY OF BLOOD CHLORIDE,$151.05 
HC ASSAY OF URINE CHLORIDE,$13.80 
"HC ASSAY, BLD/SERUM CHOLESTEROL",$80.50 
"HC ASSAY, SERUM CHOLINESTERASE",$2.66 
HC ASSAY OF COPPER,$16.55 
HC TOTAL CORTISOL,$294.35 
