"Hospital
Code",Hospital Description,"Chargemaster
Department
Code",Chargemaster Department Description,"Charge
Code",Charge Description,Price,Zero-Price Explanation
338,Banner Lassen Medical Center,001,R&B ICU/CCU 1102100,7620545,OBSRV ICU INTERMEDIATE PER HOUR, 155.00 ,
338,Banner Lassen Medical Center,001,R&B ICU/CCU 1102100,0019455,R&B ICU INTERMEDIATE," 3,712.00 ",
338,Banner Lassen Medical Center,001,R&B ICU/CCU 1102100,0099457,R&B MEDICAL/SURGICAL PVT," 2,090.00 ",
338,Banner Lassen Medical Center,001,R&B ICU/CCU 1102100,0039453,R&B PEDIATRICS PVT," 2,770.00 ",
338,Banner Lassen Medical Center,060,R&B WOMEN & INFANTS 1105210,7201676,CIRCUMCISION W/BLOCK REGIONAL, 265.00 ,
338,Banner Lassen Medical Center,060,R&B WOMEN & INFANTS 1105210,7621147,OBSRV OB PER HOUR, 108.00 ,
338,Banner Lassen Medical Center,060,R&B WOMEN & INFANTS 1105210,3105566,POC BILIRUBIN TOTAL TRANSQ, 70.00 ,
338,Banner Lassen Medical Center,060,R&B WOMEN & INFANTS 1105210,0055442,R&B NURSERY LEVEL 1," 1,246.00 ",
338,Banner Lassen Medical Center,060,R&B WOMEN & INFANTS 1105210,0065441,R&B NURSERY LEVEL 2 HIGHER ACUITY," 1,497.00 ",
338,Banner Lassen Medical Center,060,R&B WOMEN & INFANTS 1105210,0045443,R&B NURSERY LEVEL 2 LOWER ACUITY," 1,497.00 ",
338,Banner Lassen Medical Center,060,R&B WOMEN & INFANTS 1105210,0000117,R&B OBSTETRICS PVT," 2,605.00 ",
338,Banner Lassen Medical Center,060,R&B WOMEN & INFANTS 1105210,0009563,R&B OBSTETRICS PVT," 2,605.00 ",
338,Banner Lassen Medical Center,060,R&B WOMEN & INFANTS 1105210,0005447,R&B PEDIATRICS SEMI-PVT," 2,770.00 ",
338,Banner Lassen Medical Center,070,R&B MED/SURG 1104100,7620552,OBSRV MEDICAL/SURGICAL PER HOUR, 88.00 ,
338,Banner Lassen Medical Center,070,R&B MED/SURG 1104100,0019562,R&B ICU INTERMEDIATE," 3,712.00 ",
338,Banner Lassen Medical Center,070,R&B MED/SURG 1104100,0099564,R&B MEDICAL/SURGICAL PVT," 2,090.00 ",
338,Banner Lassen Medical Center,070,R&B MED/SURG 1104100,0039560,R&B PEDIATRICS PVT," 2,770.00 ",
338,Banner Lassen Medical Center,070,R&B MED/SURG 1104100,0069567,R&B SWING BED SKILLED, 706.00 ,
338,Banner Lassen Medical Center,070,R&B MED/SURG 1104100,7104573,RECOVERY EXTENDED MED/SURG PER HOUR, 88.00 ,
338,Banner Lassen Medical Center,070,R&B MED/SURG 1104100,3903309,TRANSFUSION BLOOD/COMP 1 UNIT, 892.00 ,
338,Banner Lassen Medical Center,070,R&B MED/SURG 1104100,3903317,TRANSFUSION BLOOD/COMP 2 UNITS," 1,593.00 ",
338,Banner Lassen Medical Center,070,R&B MED/SURG 1104100,3903325,TRANSFUSION BLOOD/COMP 3+ UNITS," 2,597.00 ",
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690415,ADMISSION DIRECT OBSERVATION HOSP, 92.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690142,ASP BLADDER CATH SUPRAPUB, 723.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690183,CATH COLLECT SPEC URINE, 135.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690001,CHEMO INF IV 1ST HR, 644.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690019,CHEMO INF IV ADDL HR, 316.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690027,CHEMO INF IV SEQ 1ST HR, 639.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690043,CHEMO IVP ADDL DRUG, 288.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690035,CHEMO IVP INITIAL DRUG, 446.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690258,CHEMO SUBQ/IM NONHORMONAL, 310.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690472,I&D LVL 02 INTRM, 486.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690480,I&D LVL 03 COMPLEX, 509.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690464,I&D/ASP PUNCT LVL 01 SIMPLE, 408.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690225,IMMUNIZATION 1ST VACCINE, 109.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690233,IMMUNIZATION ADDL VACCINE, 71.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690126,INF IV HYDRATION 31-60MIN, 425.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690134,INF IV HYDRATION ADDL HR, 217.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690050,INF IV THRPY 1ST HR, 592.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690068,INF IV THRPY ADDL HR, 251.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690076,INF IV THRPY CONCURRENT, 590.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690084,INF IV THRPY SEQ DRUG NEW 1ST HR, 496.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690274,INJ ANES NRV BLOCK OTHER, 633.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690266,INJ ANES NRV INTERCOSTAL SINGLE, 579.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690241,INJ ANES NRV TRIGEMINAL, 855.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690217,INJ EPID PATCH BLOOD/CLOT, 935.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690118,INJ IVP ADDL SEQ DRUG NEW, 313.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690100,INJ IVP ADDL SEQ DRUG SAME, 315.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690092,INJ IVP INITIAL DRUG, 482.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690290,INJ SHEATH TENDON SGL/LIG/AP, 486.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690282,INJ SUBQ/IM, 212.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690308,INJ TRIGGER POINT/S MUSCLE, 486.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690167,INS CATH BLADDER INDWELL CMPLX, 771.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690159,INS CATH BLADDER INDWELL SMPL, 265.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690175,INS CATH BLADDER NONINDWELL, 157.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690340,LAVAGE PERITONEAL/PARACENTESIS," 1,075.00 ",
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690316,PROCEDURE IRRIG BLADDER, 506.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690423,PROCEDURE UNLIST OBSRV LVL 01 SMPL, 724.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690431,PROCEDURE UNLIST OBSRV LVL 02 INTRM," 1,227.00 ",
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690449,PROCEDURE UNLIST OBSRV LVL 03 CMPLX," 2,562.00 ",
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690324,PUNCT LUMBAR, 739.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690357,SPLINT/STRAP EXTREMITY LOWER, 399.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690365,SPLINT/STRAP EXTREMITY UPPER, 458.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690373,THORACENT/TUBE CHEST/DRN PLEURAL, 904.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690381,TRANSFUSION BLOOD/COMP 1 UNIT, 892.00 ,
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690399,TRANSFUSION BLOOD/COMP 2 UNITS," 1,593.00 ",
338,Banner Lassen Medical Center,249,OBSERVATION PROCEDURES,7690407,TRANSFUSION BLOOD/COMP 3+ UNITS," 2,597.00 ",
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6832075,ABATACEPT/10MG INJ IV, 81.20 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6760110,ACETAMINOPHEN 120MG SUPP RECT, 1.30 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6760102,ACETAMINOPHEN 160MG/5ML LIQ, 6.80 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6760128,ACETAMINOPHEN 325MG SUPP RECT, 1.70 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6760144,ACETAMINOPHEN 325MG TAB, 0.10 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6760136,ACETAMINOPHEN 650MG SUPP RECT, 1.80 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6760094,ACETAMINOPHEN 80MG/0.8ML LIQ DROP, 23.70 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6760151,ACETAMINOPHEN ES 500MG TAB, 5.40 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6760219,ACETAMINOPHEN/CODEINE 30MG TAB, 5.40 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6801260,ACETAMINOPHEN/CODEINE 30ML LIQ, 7.50 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6760193,ACETAMINOPHEN/CODEINE 5ML LIQ, 7.50 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6760292,ACETIC ACID 0.25% 1000ML SOLN IRRG, 22.80 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6760367,ACETYLCHOLINE 1% 2ML SOLN OPH, 160.20 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6760417,ACETYLCYSTEINE 20% 30ML LIQ INH, 72.10 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6853055,ACETYLCYSTEINE 20% 30ML LIQ ORAL, 62.40 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6822290,ACETYLCYSTEINE 20% 4ML LIQ INH, 26.10 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6851794,ACETYLCYSTEINE/100MG INJ, 11.50 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6760458,ACYCLOVIR 200MG CAP, 5.40 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6850069,ACYCLOVIR/5MG INJ, 1.00 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6850077,ACYCLOVIR/5MG PB, 0.60 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6850085,ACYCLOVIR/5MG SYI, 0.50 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6857064,ADENOSINE/1MG INJ, 3.60 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6824379,ADMINISTRATION FEE INFLUENZA, 48.00 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6824361,ADMINISTRATION FEE PNEUMOCOCCAL, 48.00 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6849764,ADRENALIN EPINEPHRINE/0.1MG INJ, 37.70 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6760607,ALBUMIN HUMAN 25% 50ML INJ, 199.20 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6818942,ALBUTEROL 1.25MG/3ML SOLN INH, 11.90 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6760656,ALBUTEROL 2.5MG/3ML SOLN INH, 5.60 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6760664,ALBUTEROL 5MG/1ML 20ML SOLN INH, 50.50 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6817308,ALBUTEROL/HFA 8GM INH ORAL, 147.10 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6809131,ALBUTEROL/IPRATROPIUM 14GM MDI, 587.80 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6818892,ALBUTEROL/IPRATROPIUM 3ML SOLN INH, 6.50 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6855472,ALBUTEROL/IPRATROPIUM 4GM MDI, 614.40 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6806657,ALENDRONATE 10MG TAB, 6.50 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6815062,ALENDRONATE 70MG TAB, 8.60 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6760847,ALLOPURINOL 100MG TAB, 5.40 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6760888,ALPRAZOLAM 0.25MG TAB, 5.40 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6760896,ALPRAZOLAM 0.5MG TAB, 5.40 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6838155,ALTEPLASE RECOMBINANT/1MG 2MG INJ, 282.10 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6817092,ALUM/MAG/SIMETH 200MG 30ML LIQ, 4.10 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6850176,AMIKACIN SULFATE/100MG INJ, 96.90 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6761274,AMINO ACIDS 10% TRAVASOL 500ML, 620.20 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6853733,AMINO ACIDS 4.25%/DEXT 25%/LYTES 2L, 719.20 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6846406,AMINO ACIDS 5%/DEXT 15% 2000ML, 707.40 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6846448,AMINO ACIDS 5%/DEXT 15%/LYTES 2L, 710.50 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6850192,AMINOPHYLLIN<=250MG INJ, 64.60 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6850200,AMINOPHYLLIN<=250MG PB, 64.60 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6761530,AMIODARONE 200MG TAB, 6.50 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6858294,AMIODARONE HCL/30MG 360MG PB, 15.90 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6851398,AMIODARONE HCL/30MG 900MG PB, 2.20 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6850739,AMIODARONE HCL/30MG INJ, 2.20 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6850754,AMIODARONE HCL/30MG PB, 68.90 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6761555,AMITRIPTYLINE 10MG TAB, 5.40 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6761589,AMITRIPTYLINE 25MG TAB, 5.40 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6761597,AMITRIPTYLINE 50MG TAB, 5.40 ,
338,Banner Lassen Medical Center,250,PHARMACY HOSPITAL,6802284,AMLODIPINE 10MG TAB, 6.50 ,
