Facility,Description,Unit Price,
Cooper University Hospital,HEMODIALYSIS BEDSIDE," $4,591.00 ",
Cooper University Hospital,14.3.3 ETA PROTEIN, $360.00 ,
Cooper University Hospital,17 OH PROGESTERONE RESULT*, $193.00 ,
Cooper University Hospital,17-OH-CORTICOSTEROIDS, $224.00 ,
Cooper University Hospital,21-HYDROXYLASE AB, $362.00 ,
Cooper University Hospital,2D ECHO M MODE LIMITED," $1,275.00 ",
Cooper University Hospital,2DM ECHO WITH CONTRAST/DOPPLER," $2,594.00 ",
Cooper University Hospital,36014 1ST 2ND PULMONARY," $6,558.00 ",
Cooper University Hospital,3D MAPPING CATHETER C1733," $16,279.00 ",
Cooper University Hospital,3D RADSIMULATION-AIDED FIELD S," $10,172.00 ",
Cooper University Hospital,3D RADSIMULATION-AIDED FIELD S RP," $10,172.00 ",
Cooper University Hospital,3D RECONSTRUCT W INTERPR/REPOR, $747.00 ,
Cooper University Hospital,3D RECONSTRUCT WORKSTATION," $1,066.00 ",
Cooper University Hospital,6-METHYL MERCAPTOPURINE METABO, $709.00 ,
Cooper University Hospital,6-THIOGUANINE METABOLITE, $709.00 ,
Cooper University Hospital,74320 PERC TRANSHEPATIC CHOLAN," $2,844.00 ",
Cooper University Hospital,93770 DETERM VENOUS PRESSURE, $654.00 ,
Cooper University Hospital,ABCIXIMAB 2MG/ML 5ML," $4,040.00 ",
Cooper University Hospital,ABD AOGRAM DESCEND NON-SELEC R," $8,894.00 ",
Cooper University Hospital,ABD COMP INCL DECUB/ERECT VIEW, $599.00 ,
Cooper University Hospital,ABD SINGLE VIEW, $542.00 ,
Cooper University Hospital,ABD WITH OBL AND CONE VIEWS, $249.00 ,
Cooper University Hospital,ABDOM PARACENTESIS DX/THER W/IMAGING GUIDANCE," $3,854.00 ",
Cooper University Hospital,AB-IDENTIFICATION, $623.00 ,
Cooper University Hospital,ABL KINASE DOMAIN MUTATION," $1,588.00 ",
Cooper University Hospital,ABL KINASE GENE ANALYSIS," $1,588.00 ",
Cooper University Hospital,ABL LSR OPN WND 1ST 20 SQCM," $1,395.00 ",
Cooper University Hospital,ABL LSR OPN WND ADDL 20 SQCM," $1,046.00 ",
Cooper University Hospital,ABLAT PERC RF 1ORMORE LIVER," $15,365.00 ",
Cooper University Hospital,ABLATE BONE TUMOR PERCU W/GUID," $17,475.00 ",
Cooper University Hospital,ABLATE PULM TUMOR PERQ CRYBL," $20,144.00 ",
Cooper University Hospital,ABLATION PERC BONE TUMOR," $14,238.00 ",
Cooper University Hospital,ABLATION RENAL CYST, $578.00 ,
Cooper University Hospital,ABR COMPREHENSIVE," $1,489.00 ",
Cooper University Hospital,AC JOINT BIL WO OR W WT DIST, $816.00 ,
Cooper University Hospital,ACAPELLA THERAPY INITIAL," $1,442.00 ",
Cooper University Hospital,ACAPELLA THERAPY SUBSEQUENT," $1,195.00 ",
Cooper University Hospital,ACCEAVA RAPID STREP A TEST KIT, $63.00 ,
Cooper University Hospital,ACCUNET GUIDANT EMBOLIC 5.5," $7,544.00 ",
Cooper University Hospital,ACETAMINOPHEN, $141.00 ,
Cooper University Hospital,ACETAMINOPHEN 325MG TAB, $8.00 ,
Cooper University Hospital,ACETAMINOPHEN/COD 30MG TAB, $7.00 ,
Cooper University Hospital,ACETYCHOLINE RECEPTOR BLOCKING, $101.00 ,
Cooper University Hospital,ACETYCHOLINE RECPT AB, $101.00 ,
Cooper University Hospital,ACETYLCHOL RECEPTOR MODULAT AB, $332.00 ,
Cooper University Hospital,ACETYLCYSTEINE 20% 10ML, $48.00 ,
Cooper University Hospital,ACHEIVE CABLES, $993.00 ,
