Hospital Name:  AHMC GARFIELD MEDICAL CENTER,,,,
OSHPD Facility No: 106190315,,,,
"Effective Date of Charges: June 1, 2018",,,,
,,,,
,,,,
CDM,CHARGE DESCRIPTION , PRICE ,,
1000000,EROF/TELE 3W PRIVATE,$5470.00,,
1000000,EROF/MS 3E PRIVATE,$4796.00,,
1000000,EROF/ICU-1:2,$9673.00,,
1000000,EROF/ICU-1:1,$9212.00,,
1000000,MED/SURG IN 3W SEMI-PRIV,$4796.00,,
1000000,TELEMETRY 3W PRIVATE,$5470.00,,
1000000,TELEMETRY 3W SEMI-PRIVA,$5336.00,,
1000000,TELEMETRY 2E SEMI-PRIVATE,$5336.00,,
1000000,GYN SEMI PRIVATE,$2936.00,,
1000000,OB SEMIPRIVATE,$4796.00,,
1000000,NICU LEVEL II (1:3),$6000.00,,
1000000,NICU LEVEL III (1:2),$9700.00,,
1000000,CSU  1:2,$9673.00,,
1000000,MED/SURG 4W SEMI-PRIVATE,$4796.00,,
1000001,MED/SURG IN 3W PRIVATE,$4935.00,,
1000002,ADMINISTRATIVE DAYS,$914.00,,
1000003,TELEMETRY IN ICU,$5470.00,,
1000004,TELEMETRY IN CCU,$5470.00,,
1000005,TELEMETRY IN CSU,$5470.00,,
1000006,TELEMETRY IN 3E SEMI-PRIV,$5336.00,,
1000007,TELEMETRY IN 3E PRIVATE,$5470.00,,
1000008,TELEMETRY IN 4W SEMI-PRIV,$5336.00,,
1000009,TELEMETRY IN 4W PRIVATE,$5210.00,,
1000010,PEDS/SEMI-PRIVATE,$4796.00,,
1000011,PEDS/PVT,$4935.00,,
1000012,ICU 1:2,$9673.00,,
1000016,MED/SURG 2E SEMI-PRIVATE,$4796.00,,
1000017,ACUTE REHAB PRIVATE,$3069.00,,
1000018,ACUTE REHAB SEMI-PRIVATE,$2936.00,,
1000019,ICU 1:1,$9673.00,,
1000020,CSU 1:1,$9673.00,,
1000021,CCU 1:1,$9673.00,,
1000022,GYN PRIVATE,$4700.00,,
1000024,OB PRIVATE,$4935.00,,
1000026,LABOR ROOM,$4568.00,,
1000027,NURSERY,$1601.00,,
1000028,NURSERY BOARDER,$1601.00,,
1000030,NICU LEVEL IV (1:1),$9700.00,,
1000030,NICU LEVEL IV (1:1),$9700.00,,
1000034,CCU 1:2,$9673.00,,
1000035,MED/SURG 3E SEMI-PRIVATE,$4796.00,,
1000036,MED/SURG 3E PRIVATE,$4935.00,,
1000037,MED/SURG 4W PRIVATE,$4935.00,,
1,NF-KETOROLAC TROMETHAMINE INJECTION 30MG,$0.00,,
2,NF-DUONEB INH/NEB SOLN 3MG/3ML-0.5MG/3ML,$0.00,,
3,NF-LEVAQUIN ORAL TABLET 500MG,$0.00,,
4,NF-VALSARTAN ORAL TABLET 160MG,$0.00,,
5,NF-HYDROCHLOROTHIAZIDE CAP 12.5MG,$0.00,,
6,NF-SODIUM BICARBONATE IV SOLN 4%,$0.00,,
7,NF-NEXIUM CAP DR 40MG,$0.00,,
8,NF-LIPITOR ORAL TABLET 20MG,$0.00,,
9,NF-RAPAFLO ORAL CAPSULE 4MG,$0.00,,
10,NF-EXFORGE ORAL TABLET 10MG-320MG,$0.00,,
12,NF-ARANESP INJ SOLN 0.025MG/1ML,$0.00,,
13,NF-PANTOPRAZOLE SODIUM TAB EC 40MG,$0.00,,
14,NF-MYFORTIC TAB EC 180MG,$0.00,,
15,NF-UROCIT-K 10 TAB ER 10MEQ,$0.00,,
16,NF-OMNARIS NASAL SPRAY 50MCG/1ACT,$0.00,,
17,NF-BARACLUDE ORAL TABLET 0.5MG,$0.00,,
18,NF-ESTROGEN/METHYLTEST TAB 0.625MG-1.25M,$0.00,,
19,NF-AZOR ORAL TABLET 5MG-40MG,$0.00,,
20,NF-ROSUVASTATIN CALCIUM TAB 20MG,$0.00,,
21,"NF-1,1,1 TRICHLOROETHANE LIQUID",$0.00,,
22,NF- FELODIPINE TABLET ER 5MG,$0.00,,
23,NF-VIREAD TAB 300MG,$0.00,,
24,NF-EXFORGE ORAL TABLET 5MG-320MG,$0.00,,
25,NF-EXFORGE ORAL TABLET 5MG-320MG,$0.00,,
26,NF-PACERONE TAB 200MG,$0.00,,
27,NF-CALVITE P&D ORAL TABLET 120IU-105MG-8,$0.00,,
28,NF-ISOFLAVONE COMPOUND POWDER,$0.00,,
29,NF-ISONARIF CAP 150MG-300MG,$0.00,,
30,NF-DEXILANT CAP DR 60MG,$0.00,,
31,NF-MINTOX PLUS CHEWABLE TAB,$0.00,,
32,NF-ONE DAILY TABLET,$0.00,,
33,NF-GARLIC OIL CAPSULE 1000MG,$0.00,,
34,NF-GINKGO BILOBA CAPSULE 60MG,$0.00,,
35,NF-MULTAQ ORAL TABLET 400MG,$0.00,,
36,NF-ESOMEPRAZOLE MAGNESIUM CAP DR 20MG,$0.00,,
37,NF-ARAVA ORAL TABLET 10MG,$0.00,,
38,NF-ASPIRIN        TAB  325MG,$0.00,,
39,NF-ATIVAN INJECTION 2MG/ML,$0.00,,
40,NF-ATIVAN INJ SOLN 2MG/1ML,$0.00,,
41,NF-NORCO TAB 325MG-10MG,$0.00,,
42,NF-LASIX TAB 80MG,$0.00,,
43,NF-PROAIR HFA INH AER PWD 0.09MG/1 INH,$0.00,,
44,NF-RENA-VITE TABLET,$0.00,,
45,NF-NEXAVAR TAB 200MG,$0.00,,
46,NF-LOTREL CAP 10MG-40MG,$0.00,,
47,NF-NEXIUM CAP DR 40MG,$0.00,,
