GOOD SAMARITAN HOSPITAL,,,
CHARGE DESCRIPTION MASTER,,,
"AS OF JUNE 1, 2018",,,
,,,
,,,
Chrg Code,Chrg Desc,Chrg Amt IP,Chrg Amt OP
124,FORCEPS BBCK ENDO BOWEL ,"2,141.00","2,141.00"
350,ADPT LUER STUB 18GA     ,93.00,93.00
1100,HOOK AMNIO PLASTIC STRL ,28.00,28.00
1885,HNDPC STRL DISP 10FTCRD ,"2,260.00","2,260.00"
2510,BAG DRN BILE SM 9OZ     ,375.00,375.00
2640,BAG DRAINAGE LEG MD     ,77.00,77.00
2690,BAG FLATUS RECTAL 24FR  ,98.00,98.00
2760,BAG PRSS INFS 1000ML INF,341.00,341.00
2890,BG URN 24 HR PED        ,351.00,351.00
2900,BAG URINARY PEDIATRIC   ,63.00,63.00
2920,BG LEG 32OZ W TBG       ,142.00,142.00
3456,SHNT CV FLOCOIL 2.5     ,"2,447.00","2,447.00"
4235,SHUNT FLO-THRU 2.50MM   ,"2,271.00","2,271.00"
4237,SHUNT FLO-THRU 1.50MM   ,"2,145.00","2,145.00"
4238,SHUNT FLO-THRU 2.00MM   ,"2,339.00","2,339.00"
4755,BLADE BVR NDL 3.0       ,601.00,601.00
4830,BLADE LAMLAR 60D BEVL UP,496.00,496.00
4840,BLADE MNI SHRP ALL AROUN,224.00,224.00
4844,BLADE 2.9 STR SERR      ,"4,703.00","4,703.00"
4855,BLADE BEAVER MICRO 5MM  ,115.00,115.00
4869,WAND ARTHRO SABER 30    ,"10,148.00","10,148.00"
4889,PROBE NRV STIM OD0.5MM  ,"1,859.00","1,859.00"
4902,WAND ARTHRO 2.5MM 30    ,"5,446.00","5,446.00"
4920,BLADE NARR/SHFT 45D     ,272.00,272.00
5171,BLDE AMK OSC 90X25 ZI   ,"4,187.00","4,187.00"
6289,BOVIE PENCIL HND CNT    ,337.00,337.00
6595,BRACE BLEDSOESK00081000B,"4,238.00","4,238.00"
6620,STRAP CLAVICLE LGICLE LG,220.00,220.00
7325,CLAMP BLDG PRLL JW DISP ,223.00,223.00
7444,BLN CRE 12-15X8         ,"4,707.00","4,707.00"
7910,SPACER FEM HIP OMFT 13MM,"4,220.00","4,220.00"
7915,SPACER FEM HIP OMFT 14MM,"4,220.00","4,220.00"
8001,CANNULA SGL STG VNS 34F ,811.00,811.00
8530,CANNULAR ARTMY DLP 2    ,331.00,331.00
8535,CANN ARTMY DLP 3        ,331.00,331.00
8676,CANN ERCP 5 4 3 TIP     ,"1,673.00","1,673.00"
8820,CANNLA RTGRD 12FR 18X32 ,"2,448.00","2,448.00"
8825,CANNULA PRFSN SAPH VEIN ,252.00,252.00
8881,CANNULA 2-STAGE VENOUS 9,"1,021.00","1,021.00"
8882,CANN 2 STG 36/46FR      ,856.00,856.00
8932,TUBE PHACO 30 RND A     ,"2,300.00","2,300.00"
9247,JCKT CV COOLING 23CM    ,"3,763.00","3,763.00"
9500,SHTH FSTCTH 7F 406702   ,496.00,496.00
9555,CATH FOLEY 2W 20FR 30CC ,193.00,193.00
9795,CTHDX INFN 5F IM 100    ,422.00,422.00
9810,CTHDX INFN 5F JL4 100   ,395.00,395.00
9815,CTHDX INFN 5F JR4 100   ,395.00,395.00
9845,CATHDX INFN 5F PIG 100CM,395.00,395.00
9885,CTHDX INFN 6F AL1 100   ,395.00,395.00
9890,CATHDX ANGI AL2 6F 100CM,395.00,395.00
9895,CTHDX INFN 6F AL3 100   ,395.00,395.00
9945,CTHEP RSPNS 401353      ,"6,841.00","6,841.00"
10080,CTHTHRMB GFT 6F 80      ,"7,527.00","7,527.00"
10090,CTHDX INFN 6F JL3.5 100 ,395.00,395.00
10095,CTHDX INFN 6F JL4 100   ,395.00,395.00
10105,CTHDX INFN 6F JL5 100   ,395.00,395.00
10110,CATHDX INFN 6F JL6 100  ,395.00,395.00
10115,CTHDX INFN 6F JR3.5 100 ,422.00,422.00
10120,CTHDX INFN 6F JR4 100   ,395.00,395.00
10135,CTHDX INFN 6F JR5 100   ,422.00,422.00
10140,CTHDX INFN 6F LCB 100   ,395.00,395.00
10150,CATHETER 6FR MP A2 125CM,447.00,447.00
10166,DEVICE TORQUE .010-.038 ,308.00,308.00
10168,STOPCOCK FLWSWTCH 2W    ,206.00,206.00
10175,CTHDX INFN 6F PIG 110   ,395.00,395.00
10185,CTHDX INFN 6F RCB 100   ,395.00,395.00
10190,SHTH HEMAQUET 6F FLX    ,"1,233.00","1,233.00"
10225,CTHDX INFN 6F SRC 100   ,395.00,395.00
10794,INTRODCR SHTH MCPNCH 5FR,967.00,967.00
11335,GWIRE IRNMN .014X3X300  ,"2,447.00","2,447.00"
11355,CTH BIL FGRTY 6F 23     ,"1,274.00","1,274.00"
11375,CTH BIL FGRTY 5F 23     ,"1,273.00","1,273.00"
11389,GLIDEWIRE STIFF 035     ,"1,699.00","1,699.00"
11720,CATH CV BRVC 2.7FR SGL  ,"2,382.00","2,382.00"
11725,CATH CVC 600544         ,"3,667.00","3,667.00"
11795,CATH CHOLANGIOCATH      ,"2,056.00","2,056.00"
11796,CATH CHLGM 7.5FR        ,866.00,866.00
11865,CATH FOLEY 2W 20FR 5CC  ,496.00,496.00
11910,CTH INFS CVP 3F 1 LUM 5 ,"2,034.00","2,034.00"
11925,KIT CATH CV 7FR 3LUM    ,"1,076.00","1,076.00"
12095,CATHETER XTRN 29MM MED X,52.00,52.00
12185,CATH THRMB ADHRNT 4F 6  ,"5,445.00","5,445.00"
