KETTERING HEALTH NETWORK STANDARD PRICES,
NOTE: AN ASTERISK (*) DESIGNATES THAT THE PRICE IS VARIABLE BASED ON TYPE OF DRUG/SUPPLY AND/OR VARIABLE COST,
PROC_CODE,STANDARD_PRICE
11000000,"2,236.00"
11100000,"2,236.00"
11100005,"7,263.00"
11200000,"2,616.00"
11400000,"2,236.00"
11800000,"3,564.00"
12100000,"2,236.00"
12100001,"2,236.00"
12100003,"2,236.00"
12100005,"7,263.00"
12200001,"2,236.00"
12200000,"2,616.00"
12400000,"2,236.00"
12800000,"3,564.00"
17100000,"1,639.00"
17200000,"5,187.00"
17300000,"5,739.00"
17400000,"7,447.00"
20000000,"4,707.00"
20100000,"4,707.00"
20600000,"2,988.00"
20600001,"6,766.00"
20800001,"9,899.00"
21000000,"4,707.00"
25000164,0.51
25000161,2
25000165,3.85
25000053,8
25000900,8
25000163,8.03
25000093,13
25000052,16
25000100,16
25000102,16
25000110,16
25000056,18
25000057,18
25000058,19
25000131,20
25000051,22
25000081,22
25000104,29
25000170,31
25000098,32
25000094,48
25000112,57
25000153,60
25000152,80
25000096,99
25000097,101
25000095,120
25000173,120
25000103,122
25000172,122
25000151,160
25000166,244.34
25000088,364
25000089,421
25000087,440
25000000,*
25010000,*
25810000,*
27000590,*
27000077,2
27000560,2
27000561,2
27000562,2
27000752,2
27000968,2
27203203,2
27203384,2
27203385,2
27203386,2
27203906,2
27204159,2
27000201,3
27000531,3
27000564,3
27203358,3
27203388,3
27203938,3
27205305,3
27000189,4
27000195,4
27000452,4
27000459,4
27000487,4
27000492,4
27000496,4
27000499,4
27000522,4
27000547,4
27000580,4
27000582,4
27000692,4
27000693,4
27000695,4
27000724,4
27000725,4
27203359,4
27203382,4
27203931,4
27203937,4
27203939,4
27203942,4
27204525,4
27204554,4
27205304,4
27210802,4
27210803,4
27000117,5
27000226,5
27000227,5
27000279,5
27000579,5
27203361,5
27203936,5
27204218,5
27205293,5
27000081,6
27000190,6
27000261,6
27000458,6
27000502,6
27000533,6
27000706,6
27000726,6
27000764,6
27203360,6
27203908,6
27204336,6
27205278,6
27000094,7
27000228,7
27000435,7
27000532,7
27000583,7
27000684,7
27203373,7
27203381,7
27204266,7
27204520,7
27000251,8
27000720,8
27000738,8
27203370,8
27203920,8
27204338,8
27204339,8
27000691,8.25
27000665,9
27203363,9
27203387,9
27204334,9
27204335,9
27204340,9
27000331,10
27000423,10
27000493,11
27000728,11
27203389,11
27000144,12
27000180,12
27000282,12
27000488,12
27204581,12
27205315,12
27000188,13
27000588,13
27000659,13
27000660,13
27000700,13
27203375,13
27204346,13
27000084,14
27000250,14
27000457,14
27000491,14
27000653,14
27000729,14
27204391,14
27204523,14
27204546,14
27000055,15
27000179,15
27000342,15
27000554,15
27000746,15
27204519,15
27000143,16
27000145,16
27000202,16
27000422,16
27000482,16
27000513,16
27203376,16
27000119,17
27000540,17
27000545,17
27203362,17
27203395,17
27203926,17
27203940,17
27204337,17
27204790,17
27000424,18
27000425,18
27000534,18
27000581,18
27204268,18
27204470,18
27204521,18
27204522,18
27000241,19
27000578,19
27204557,19
27000526,20
27000543,20
27000546,20
27204789,20
27000070,21
27000208,21
27000264,21
27000310,21
27000333,21
27000350,21
27000478,21
27000702,21
27204344,21
27204791,21
27205318,21
27205320,21
27205321,21
27204558,22
27000193,23
27204345,23
27000542,24
27204517,24
27000332,25
27000630,25
27204063,25
27000957,26
27000239,27
27000535,27
27000536,27
27000541,27
27000563,27
27000566,27
27000625,27
27204504,27
27000407,28
27000471,28
27000568,28
27000710,28
27203913,29
27000525,30
27000631,30
27000632,30
27000756,30
27000523,31
27000626,31
27203907,31
27204320,32
27205402,32
27000185,33
27000463,33
27000962,33
27203988,34
27000567,35
27203935,35
27000097,36
27000192,36
27000419,36
27000969,36
27000970,36
27000971,36
27000972,36
27000476,37
27000751,37
27000753,37
27000754,37
27204461,37
27000573,38
27000628,38
27000699,38
27000445,39
27205262,39
27205265,39
27000010,40
27000750,40
27000464,41
27000548,42
27000963,42
27203993,42
27000184,43
27000572,43
27000767,43
27203483,44
27000544,45
27000769,45
27000456,47
27000570,47
27000524,48
27000571,48
27205299,49
27000530,50
27000537,50
27000538,50
27000565,50
27000592,50
27000768,50
27205300,50
27205298,51
27000552,52
27000669,52
27000156,54
27000439,54
27000551,54
27000670,54
27000743,54
27000965,55
27000966,55
27000967,55
27203892,55
27205274,55
27000183,56
27000207,57
27000636,57
27000444,59
27204456,62
27000550,64
27000557,64
27000101,66
27000470,66
27000555,66
27000553,67
27000559,67
27000623,67
27000585,69
27000460,71
27000461,71
27000462,71
27000574,71
27000635,72
27205328,72
27000436,73
27000520,75
27000529,75
27000549,80
27204766,80
27000589,82
27000066,84
27000556,84
27000951,85
27203424,101
27000503,111
27000412,112
27000734,114
27205319,114
27205345,114
27205324,115
27205325,115
27204293,117
27205317,117
27205323,121
27000475,123
27000586,125
27000587,125
27000964,126
27204419,126
27204420,126
27205316,133
27205322,133
27205326,133
27205327,133
27000432,136
27205314,141
27205302,143
27000411,144
27000677,146
27205310,154
27205311,154
27205312,154
27205313,154
27204425,155
27000268,162
27000558,164
27203421,228
27204077,247
27204078,247
27000483,256
27000521,264
27205339,284
27205340,284
27205341,284
27000745,310
27203695,339
27204405,663
27204107,"1,089.00"
27204133,"1,693.00"
27204132,"1,735.00"
27209601,"2,080.00"
27205177,"3,150.00"
27000008,*
27000100,*
27000605,*
27200013,*
27200910,*
27204782,*
27201000,1
27260000,1
27200323,2
27200875,2
27201025,2
27201193,2
27203490,2
27203491,2
27203492,2
27203493,2
27203723,2
27203893,2
27203896,2
27203932,2
27206113,2
27206537,2
27209111,2
27209160,2
27210305,2
27210324,2
27210326,2
27225995,2
27226066,2
27250023,2
27250035,2
27250037,2
27250051,2
27250163,2
27250164,2
27250166,2
27250171,2
27250173,2
27250174,2
27250176,2
27250943,2
27251993,2
27251999,2
27252000,2
27254829,2
27260121,2
27260124,2
27271708,2
27271709,2
27271710,2
27271927,2
27272033,2
27200870,3
27200981,3
27201001,3
27201458,3
27204267,3
27206111,3
27206523,3
27206539,3
27206766,3
27209061,3
27209071,3
27209127,3
27226052,3
27226064,3
27250165,3
27250189,3
27250190,3
27251826,3
27252047,3
27252089,3
27253047,3
27254483,3
27254512,3
27254816,3
27260203,3
27270743,3
27271845,3
27271867,3
27271870,3
27271871,3
27271872,3
27271873,3
27271914,3
27200687,4
27200760,4
27200861,4
27200900,4
27203933,4
27204217,4
27204270,4
27204362,4
27204975,4
27206105,4
27206538,4
27206540,4
27206767,4
27209141,4
27210570,4
27210618,4
27250191,4
27251819,4
27251820,4
27253981,4
27254480,4
27254527,4
27254870,4
27270740,4
27270744,4
27270745,4
27270746,4
27271110,4
27271857,4
27271864,4
27271866,4
27271874,4
27271875,4
27271876,4
27271877,4
27271915,4
27272153,4
27272154,4
27272155,4
27272269,4
27201436,5
27203243,5
27204871,5
27205004,5
27205007,5
27205010,5
27205012,5
27205018,5
27205028,5
27205048,5
27206524,5
27206525,5
27206533,5
27206534,5
27206535,5
27206590,5
27210484,5
27225975,5
27225983,5
27250008,5
27250065,5
27250185,5
27250215,5
27250945,5
27251585,5
27252006,5
27252012,5
27252014,5
27252022,5
27252597,5
27253037,5
27254747,5
27270742,5
27271851,5
27271855,5
27271878,5
27271879,5
27271880,5
27271881,5
27271883,5
27271884,5
27271885,5
27271886,5
27271975,5
27272273,5
27200431,6
27200467,6
27200866,6
27201034,6
27201063,6
27201183,6
27201184,6
27201204,6
27201579,6
27203213,6
27203741,6
27203921,6
27203929,6
27204771,6
27204875,6
27204876,6
27204881,6
27204882,6
27204889,6
27204890,6
27204980,6
27204981,6
27204988,6
27204995,6
27205044,6
27205232,6
27205370,6
27205371,6
27206106,6
27206528,6
27206562,6
27206588,6
27206589,6
27206778,6
27209029,6
27209091,6
27209215,6
27209279,6
