SERVICE DESCRIPTION,SERVICE CHARGE CODE,Gross Charge,M'caid  CPT,M'care  CPT,W'Comp  Cpt,Other  CPT
# ABO TYPE AND RH PA,4303029,$.00,3293F,3293F,3293F,3293F
# ABO TYPE AND SCREE,4303030,$.00,86900,86900,86900,86900
# CREATININE CLEARAN,4301235,$.00,82575,82575,82575,82575
*C BLOOD ALCOHOL LEG,4306609,$367.40,82055,82055,82055,82055
*C COMPTRAC ER VISIT,4601075,$107.80,99281,99281,99281,99281
*C DOT URINE DRUG CO,4301514,$44.00,99001,99001,99001,99001
*C MAIL OFF DRUG SCR,4301125,$30.80,99001,99001,99001,99001
*C URINE DRUG COLLEC,4301513,$34.10,99001,99001,99001,99001
0.45% SOD CHL/20 KCL,4401076,$5.20,J7030,J7030,J7030,J7030
02 SAT MULTIPLE (EXE,4536518,$177.00,94761,94761,94761,94761
1 PIECE LAG SCREW,4002165,$751.80,C1713,C1713,C1713,C1713
1/2 NS,4400572,$40.00,J7030,J7030,J7030,J7030
10 HOLE PLATE LATERL,4002107,"$3,308.20",C1713,C1713,C1713,C1713
10 MM HIP FRACT STEM,4000500,"$7,110.60",C1776,C1776,C1776,C1776
10021-FINE NEEDLE AS,4604440,$145.20,10021,10021,10021,10021
10060 I&D SIMPLE,4610011,$237.00,10060,10060,10060,10060
10061 I&D COMPLEX,4610044,$420.00,10061,10061,10061,10061
10061-DRAINAGE OF SK,4604006,$234.30,10061,10061,10061,10061
10080-DRAINAGE OF PI,4604007,$234.30,10080,10080,10080,10080
10120 REMOVAL FB,4610045,$204.00,10120,10120,10120,10120
10120-REMOVE FOREIGN,4604008,$234.30,10120,10120,10120,10120
10121-REMOVE FOREIGN,4604565,"$2,328.70",10121,10121,10121,10121
10140 I&D HEMATOMA,4610090,"$1,942.00",10140,10140,10140,10140
10140-DRAINAGE OF HE,4604009,"$1,812.80",10140,10140,10140,10140
10160 PUNC/ASPIRATE,4610020,$228.00,10160,10160,10160,10160
10160-PUNCTURE DRAIN,4604010,$170.50,10160,10160,10160,10160
10180-COMPLEX DRAINA,4604011,"$2,530.00",10180,10180,10180,10180
10-HYDROXYCARBAZEPIN,4301233,$94.00,80299,80299,80299,80299
11000-DEBRIDE INFECT,4604481,$165.00,11000,11000,11000,11000
"11010-DEBRIDE SKIN,",4604012,$644.60,11010,11010,11010,11010
11011-DEBRIDE SKIN/M,4604503,$644.60,11011,11011,11011,11011
11012-DEBRIDE SKIN/M,4604013,$644.60,11012,11012,11012,11012
"11040-DEBRIDE SKIN,",4604014,$254.10,11040,11040,11040,11040
"11041-DEBRIDE SKIN,",4604015,$254.10,11041,11041,11041,11041
11042-DEBRIDE SKIN,4610105,$279.00,11042,11042,11042,11042
11042-DEBRIDE SKIN/T,4604016,$389.40,11042,11042,11042,11042
11043-DEBRIDE TISSUE,4604405,$389.40,11043,11043,11043,11043
11044 DEBRIDE TISSUE,4604451,"$1,045.00",11044,11044,11044,11044
11100-BIOPSY SKIN LE,4604561,$170.50,11100,11100,11100,11100
11200-REMOVAL OF SKI,4604017,$165.00,11200,11200,11200,11200
11400-REMOVAL OF SKI,4604018,$644.60,11400,11400,11400,11400
11401-REMOVAL OF SKI,4604469,$644.60,11401,11401,11401,11401
11402 EXC BEN LES,4610046,$618.92,11402,11402,11402,11402
11402-REMOVAL OF SKI,4604560,$644.60,11402,11402,11402,11402
11420-REMOVAL OF SKI,4604019,"$1,078.00",11420,11420,11420,11420
11421-REMOVAL OF SKI,4604571,"$1,078.00",11421,11421,11421,11421
11440-REMOVAL OF SKI,4604020,$644.60,11440,11440,11440,11440
11603-REMOVAL OF SKI,4604021,"$1,078.00",11603,11603,11603,11603
"11720-DEBRIDE NAIL,",4604022,$116.60,11720,11720,11720,11720
11730 AVLS NAIL PLAT,4610047,$156.00,11730,11730,11730,11730
11730-REMOVAL OF NAI,4604023,$165.00,11730,11730,11730,11730
11732REMOVE ADD.NAIL,4604024,$132.00,11732,11732,11732,11732
11740 SUB HEMATOMA,4610060,$91.00,11740,11740,11740,11740
11740-DRAIN BLOOD FR,4604025,$127.60,11740,11740,11740,11740
11750-REMOVAL OF NAI,4604026,$644.60,11750,11750,11750,11750
11752-REMOVE NAIL BE,4604546,"$3,039.30",11752,11752,11752,11752
11760-REPAIR OF NAIL,4604027,$240.90,11760,11760,11760,11760
11762-RECONSTRUCTION,4604429,$240.90,11762,11762,11762,11762
11765-EXCISION OF NA,4604028,$254.10,11765,11765,11765,11765
11765-WEDGE EXC NAIL,4610106,$149.00,11765,11765,11765,11765
12 MM CORTICAL SCREW,4001157,$241.50,C1713,C1713,C1713,C1713
12 MM MAXIM PS BEARG,4000656,"$5,341.00",C1776,C1776,C1776,C1776
12001 LAC RP SIMPLE,4610012,$263.00,12001,12001,12001,12001
12002 LAC RP SIMPLE,4610022,$292.00,12002,12002,12002,12002
12002-REPAIR SUPERFI,4604030,$240.90,12002,12002,12002,12002
12004 LAC RP SIMPLE,4610013,$344.00,12004,12004,12004,12004
12004 LAC RP SIMPLE,4610033,$333.85,12004,12004,12004,12004
12004-REPAIR SUPERFI,4604031,$259.60,12004,12004,12004,12004
12005 LAC RP SIMPLE,4610014,$429.00,12005,12005,12005,12005
12005-REPAIR SPERFIC,4604032,$240.90,12005,12005,12005,12005
12006-REPAIR SUPERFI,4604033,$240.90,12006,12006,12006,12006
12007-REPAIR SUPERFI,4604034,$240.90,12007,12007,12007,12007
12011 LAC RP SIMPLE,4610015,$273.00,12011,12011,12011,12011
12011-REPAIR SUPERFI,4604035,$240.90,12011,12011,12011,12011
12013 LAC RP SIMPLE,4610023,$311.00,12013,12013,12013,12013
12013-REPAIR SUPERFI,4604036,$240.90,12013,12013,12013,12013
12014 LAC RP SIMPLE,4610024,$374.00,12014,12014,12014,12014
12014-REPAIR SUPERFI,4604037,$240.90,12014,12014,12014,12014
12015 LAC RP SIMPLE,4610061,$385.00,12015,12015,12015,12015
12015-REPAIR SUPERFI,4604038,$353.10,12015,12015,12015,12015
12016-REPAIR SUPERFI,4604039,$240.90,12016,12016,12016,12016
12017-REPAIR SUPERFI,4604512,$240.90,12017,12017,12017,12017
12020-CLOSURE OF SPL,4604040,$240.90,12020,12020,12020,12020
12021-CLOSURE OF SPL,4604388,$240.90,12021,12021,12021,12021
12031 LAC RP INTERM,4610048,$409.00,12031,12031,12031,12031
12031-LAYER CLOSURE,4604041,$240.90,12031,12031,12031,12031
12032 LAC RP INTERM,4610025,$489.00,12032,12032,12032,12032
12032-LAYER CLOSURE,4604042,$240.90,12032,12032,12032,12032
12034 LAC RP INTERM,4610062,$340.00,12034,12034,12034,12034
12034-LAYER CLOSURE,4604043,$240.90,12034,12034,12034,12034
12035 LAC RP INTERM,4610049,$593.00,12035,12035,12035,12035
12035-LAYER CLOSURE,4604044,$249.70,12035,12035,12035,12035
12036-LAYER CLOSURE,4604488,$240.90,12036,12036,12036,12036
12037-LAYER CLOSURE,4604547,$823.90,12037,12037,12037,12037
12041 LAC RP INTERM,4610074,$501.00,12041,12041,12041,12041
12041-LAYER CLOSURE,4604045,$240.90,12041,12041,12041,12041
12042 LAC RP INTERM,4610026,$504.00,12042,12042,12042,12042
12042-LAYER CLOSURE,4604046,$247.50,12042,12042,12042,12042
12044-LAYER CLOSURE,4604047,$240.90,12044,12044,12044,12044
12045-LAYER CLOSURE,4604048,$240.90,12045,12045,12045,12045
12046-LAYER CLOSURE,4604049,$240.90,12046,12046,12046,12046
12051-LAC RP INTERM,4610125,$455.60,12051,12051,12051,12051
12051-LAYER CLOSURE,4604050,$240.90,12051,12051,12051,12051
12052 LAC RP INTERM,4610027,$552.00,12052,12052,12052,12052
12052-LAYER CLOSURE,4604051,$268.40,12052,12052,12052,12052
12053 LAC RP INTERM,4610075,$649.00,12053,12053,12053,12053
12053-LAYER CLOSURE,4604052,$435.60,12053,12053,12053,12053
12054 LAC RP INTERM,4610076,$719.00,12054,12054,12054,12054
12054-LAYER CLOSURE,4604053,$240.90,12054,12054,12054,12054
12055-LAYER CLOSURE,4604054,$240.90,12055,12055,12055,12055
12056-LAYER CLOSURE,4604427,$240.90,12056,12056,12056,12056
127@ NEC ANG HI ST #,4000410,"$8,738.80",C1776,C1776,C1776,C1776
13101-REPAIR OF WOUN,4604055,$823.90,13101,13101,13101,13101
13102-REPAIR WOUND L,4604424,$240.90,13102,13102,13102,13102
13120-REPAIR OF WOUN,4604056,$240.90,13120,13120,13120,13120
13121 LAC RP COMPLEX,4610016,$824.00,13121,13121,13121,13121
13121-REPAIR OF WOUN,4604057,$240.90,13121,13121,13121,13121
13122 LAC RP ADD ON,4610059,$222.00,13122,13122,13122,13122
13122-REPAIR WOUND/L,4604058,$240.90,13122,13122,13122,13122
