Hospital Name:  Kern Medical,,,,,
OSHPD Facility No: 106150736,,,,,
Effective Date of Charges: 7/1/2017,,,,,
,,,,,
"In response to requests from hospitals and the public, OSHPD has developed this form to assist hospitals in collecting and submitting the average charge for 25 common outpatient procedures performed by hospitals, as required by AB 1045 (Chapter 532, Statutes of 2005).  Use of the OSHPD form is voluntary, but highly encouraged, as it allows hospitals to report and the public to compare uniform information regarding common outpatient procedures.",,,,,
Evaluation & Management Services (CPT Codes 99201-99499),2018 CPT Code,Average Charge,,,
"Emergency Room Visit, Level 3",99283,"$1,811.25",,,
"Emergency Room Visit, Level 4",99284,"$2,716.88",,,
"Emergency Room Visit, Level 2",99282,"$1,282.97",,,
"Emergency Room Visit, Level 5",99285,"$3,950.01",,,
"Emergency Room Visit, Level 1",99281,$262.13,,,
Laboratory & Pathology Services (CPT Codes 80047-89398),2018 CPT Code,Average Charge,,,
Complete Blood Count with Differential,85025,$33.06,,,
Comprehensive Metabolic Panel,80053,$44.91,,,
Urinalysis Automated w/ Scope,81001,$13.44,,,
Basic Metabolic Panel,80048,$35.94,,,
Glycosylated Hemoglobin Test,83036,$41.25,,,
Urine Culturecolony Count,87086,$36.01,,,
Radiology Services  (CPT Codes 70010-79999),2018 CPT Code,Average Charge,,,
"X-Ray, Chest, two views",71046,$217.37,,,
"X-Ray, Chest, one view",71045,$217.38,,,
"Ultrasound, OB, Limited Fetus",76815,$425.78,,,
"X-Ray, Wrist",73110,$440.38,,,
"CT Scan, Head or Brain, without contrast",70450,"$1,694.95",,,
"X-Ray, Hand",73130,$507.91,,,
Medicine Services  (CPT Codes 90281-99607),2018 CPT Code,Average Charge,,,
"IV Infusion, Hydration add-on",96361,$115.41,,,
Electrocardiogram Tracing only,93005,$197.67,,,
"IV Push, Single or Initial Drug",96374,$229.96,,,
"IV Push, Additional New Drug",96375,$148.34,,,
"TDAP Vaccing, ages 7+",90715,$91.59,,,
"CPSP Nutrition Assessment, Postpartum",97803,$25.23,,,
Surgery Services  (CPT Codes 10021-69990),2018 CPT Code,Average Charge,,,
EGD Biopsy single/multiple,43239,"$4,289.02",,,
Drainage of Skin Abscess,10060,"$3,335.06",,,
"Colonoscopy, Diagnostic",45378,"$2,687.41",,,
"Colonoscopy, with Biopsy",45380,"$4,210.34",,,
Removal of Support Implant,20680,"$9,021.97",,,
Laparoscopic Cholecystectomy,47562,"$14,583.24",,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Count of Reported Procedures (minimum 25 required),,29,,,
Instructions for Completing AB 1045 Common Outpatient Procedure Form,,,,,
"1. Enter Hospital Name and OSHPD Facility Number.  Revise Effective Date of Charges, if necessary.",,,,,
2. Enter Average Charge for at least 25 commonly performed outpatient procedures.  For Evaluation & Management,,,,,
"    Services, do not include related ancillary charges.  For all other procedures, include related ancillary charges.",,,,,
    NOTE:  The CPT codes are included on this form to help identify the listed procedures based on the frequencies,,,,,
   across hospital-based ambulatory surgery data.  The average charge for all related services and procedures,,,,,
"    (e.g., supplies, drugs, lab, use of operating room, etc.) should be included in the average charge for that procedure.",,,,,
"3. Do not change procedure descriptions or CPT code references.  Use ""Other Common Outpatient Procedures"" ",,,,,
    (rows 62-71) if you are unable to select procedures from list.,,,,,
"4. Submit completed form as Excel (.xls) file, along with chargemaster and percent change in gross revenue",,,,,
"    calculation, by e-mail to chargemaster@oshpd.ca.gov or by standard mail on CD.",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
