CHG #,CHARGE DESCRIPTION,,REV,,CPT,,PRICE,
,ROOM & BOARD - SWING BED,,100,,,,900.00,
 1110000,DAYCARE PER HOUR,,101,,,,8.96,
,ROOM & BOARD - LTC SEMI-PRIVATE,,120,,,,215.00,
,ROOM & BOARD - LTC PRIVATE,,120,,,,240.00,
,ROOM & BOARD - STANDARD,,120,,,,1200.00,
,ROOM & BOARD - IP ISOLATION ,,164,,,,1300.00,
,ROOM & BOARD - IP CONTINUOUS MONITOR,,200,,,,1400.00,
 2500100,SINUS RINSE (NETI POT) KIT,,250,,,,44.50,
 2500387,SODIUM CHLORIDE 0.9% 500ML POUR BOTTLE,,250,,,,10.80,
 2501347,SODIUM CHLORIDE 0.9% 1000ML POUR BOTTLE,,250,,,,12.42,
 2503850,HYTRIN (TERAZOSIN HCL) 5MG CAP,,250,,,,8.00,
 2505420,"CHLOROXAZONE 500mg, TAB",,250,,,,4.72,
 2509112,DEFINITY CONTRAST 2ml VIAL,,250,,Q9957,,239.20,
 2512345,RECTAL ROCKET SUPPOSITORY,,250,,,,26.50,
 2520003,DRUG ADMINISTRATION FEE,,250,,,,1.04,
 2583150,MORPHINE-ER  (MS CONTIN) 15 MG,,250,,,,6.10,
 3001781,CHARCOAL  ACTIVATED LIQUID,,250,,,,65.00,
 3001843,CT READI CAT II 450ml ORAL CONTRAST,,250,,,,24.32,
 3001841,ISOVUE 370 100 ML BOTTLE CONTRAST CT,,255,,Q9967,,52.10,
 3001844,ISOVUE M-300 CONTRAST 15ML BOTTLE,,255,,Q9967,,183.34,
 3001845,DEFINITY CONTRAST 2ML VIAL ECHO,,255,,Q9957,,115.00,
 3001901,OMNIPAQUE 350 50ML BOTTLE CONTRAST,,255,,Q9967,,42.50,
 3001902,GASTROGRAFIN 30ml CONTRAST ORAL,,255,,Q9963,,36.55,
 3001904,OMNIPAQUE 350 100ml BOTTLE CONTRAST,,255,,Q9967,,94.45,
 3001905,ISOVUE 370 125ml BTL IV CONTRAST CT,,255,,Q9967,,59.40,
 3001906,VISIPAQUE 320 100ml BOTTLE CONTRAST,,255,,Q9967,,177.12,
 3004314,ISOVUE M-200 CONTRAST 10ML BOTTLE,,255,,Q9966,,150.28,
 2500288,SODIUM CHLORIDE 0.9/20% 250 ML,,258,,,,20.90,
 2500325,LACTATED RINGER 500 ML,,258,,,,20.90,
 2500346,DEXTROSE 5% 1000 ML,,258,,,,9.90,
 2500377,SODIUM CHLORIDE 0.9% ADVANTAGE 50 ML,,258,,,,10.08,
 2500378,SODIUM CHLORIDE 0.9% ADVANTAGE 100 ML,,258,,,,20.24,
 2500379,SODIUM CHLORIDE 0.9% 250 ML,,258,,,,21.56,
 2500380,SODIUM CHLORIDE 0.9% 500ML BAG,,258,,,,27.55,
 2500381,DEXTROSE 5% 50 ML,,258,,,,9.10,
 2500382,DEXTROSE 5% 100 ML,,258,,,,12.42,
 2500383,DEXTROSE 5% 250 ML,,258,,,,8.80,
 2500384,DEXTROSE 5% 500 ML,,258,,,,20.90,
 2500385,DEXTROSE 10% 1000 ML,,258,,,,9.72,
 2500396,SODIUM CHLORIDE 0.25%/DEXTROSE 5% 1000ML,,258,,,,9.00,
 2500397,SODIUM CHLORIDE 0.45%/DEXTROSE 5% 1000ML,,258,,,,21.56,
 2500470,LACTATED RINGER 1000 ML,,258,,,,21.56,
 2500471,SODIUM CHLORIDE 0.9%/DEXTROSE 5% 1000 ML,,258,,,,33.10,
 2500751,SODIUM CHLORIDE 0.9% 1000 ML,,258,,J7040,,21.56,
 2500752,SODIUM CHLORIDE 0.45% 500 ML,,258,,,,20.90,
 2500753,SODIUM CHLORIDE 0.45% 1000ML,,258,,,,9.54,
 2500767,SODIUM CHLORIDE 0.9% 100 ML,,258,,,,8.90,
 2500768,*SODIUM CHLORIDE  50 ML,,258,,,,11.25,
 2500861,LACTATED RINGER/DEXTROSE 5% 1000 ML,,258,,,,21.56,
 2501002,DEXTROSE ADVANTAGE 5% 100 ML,,258,,,,10.26,
 2501003,DEXTROSE ADVANTAGE 5% 50 ML,,258,,,,20.90,
 2599996,*PRIMAXIN / NS ADV IVPB :  500MG/100ML,,258,,,,162.00,
 2590773,INTRA-ATRERIAL INJECTION,,260,,96373,,50.00,
 2596523,IRRIGATION OF INPLANT VEN ACC DEVI PORT,,260,,96523,,82.00,
 4806523,IRRIGATION OF INPLANT VEN ACC DEVI,,260,,96523,,82.00,
