DRG_CODE,DRG_NAME, AVG_CHGS 
3,"ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.","$347,534.06 "
4,"TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.","$189,945.32 "
11,"TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY W MCC","$162,141.91 "
12,"TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY W CC","$133,379.81 "
13,"TRACHEOSTOMY FOR FACE, MOUTH & NECK DIAGNOSES OR LARYNGECTOMY W/O CC/MCC","$89,631.27 "
20,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,"$334,942.48 "
21,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W CC,"$276,021.75 "
22,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W/O CC/MCC,"$103,559.65 "
23,CRANIOTOMY W MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PDX W MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY W NEUROSTIMULATOR,"$137,330.42 "
24,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W/O MCC,"$96,205.79 "
25,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,"$102,562.33 "
26,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,"$78,644.19 "
27,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,"$69,717.35 "
28,SPINAL PROCEDURES W MCC,"$122,470.61 "
29,SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,"$77,508.83 "
30,SPINAL PROCEDURES W/O CC/MCC,"$47,479.37 "
31,VENTRICULAR SHUNT PROCEDURES W MCC,"$79,609.33 "
32,VENTRICULAR SHUNT PROCEDURES W CC,"$44,690.69 "
33,VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,"$37,899.33 "
34,CAROTID ARTERY STENT PROCEDURE W MCC,"$47,744.23 "
35,CAROTID ARTERY STENT PROCEDURE W CC,"$51,070.68 "
36,CAROTID ARTERY STENT PROCEDURE W/O CC/MCC,"$46,423.83 "
