Hospital Name:  Mercy St Marys SF,,,,,
OSHPD Facility No: 10630965,,,,,
"Effective Date of Charges: July 1, 2018",,,,,
,,,,,
"CDM
Number",Billing Description (25 char), Price ,Zero Price Inicator,,
0005025,ROOM PVT GENERAL SNF     ," 2,328.00 ",,,
0011056,ROOM PVT GENERAL ED      ," 6,522.00 ",,,
0014001,ROOM PVT GENERAL 4E      ," 6,522.00 ",,,
0017004,ROOM PVT GENERAL 7E      ," 6,522.00 ",,,
0017012,ROOM PVT MED/SUR/GY 7W   ," 6,522.00 ",,,
0018002,ROOM PVT MED/SUR/GY 8E   ," 6,522.00 ",,,
0018010,ROOM PVT GENERAL 8W      ," 6,522.00 ",,,
0020008,ROOM ROOM RATES DEPART   , -   ,1,,
0021055,OUTPT IN A BED NC        , -   ,1,,
0021063,OUTPT IN A BED NC        , -   ,1,,
0023002,OUTPT IN A BED NC        , -   ,1,,
0026005,OUTPT IN A BED NC        , -   ,1,, 
0027003,OUTPT IN A BED NC        , -   ,1,,
0027011,OUTPT IN A BED NC        , -   ,1,,
0028001,OUTPT IN A BED NC        , -   ,1,,
0028019,OUTPT IN A BED NC        , -   ,1,,
0031005,OUTPT IN A BED NC        , -   ,1,,
0031013,OUTPT IN A BED NC        , -   ,1,,
0031021,OUTPT IN A BED NC        , -   ,1,,
0033001,OUTPT IN A BED NC        , -   ,1,,
0035006,OUTPT IN A BED NC        , -   ,1,,
0036004,OUTPT IN A BED NC        , -   ,1,,
0037010,OUTPT IN A BED NC        , -   ,1,,
0038000,OUTPT IN A BED NC        , -   ,1,,
0038018,OUTPT IN A BED NC        , -   ,1,,
0044016,ROOM SEMI PVT REHAB 4W   ," 6,280.00 ",,,
0045021,ROOM SEMI GENERAL SNF    ," 2,328.00 ",,,
0048017,ROOM SEMI GENERAL 8W     ," 6,522.00 ",,,
0051052,ROOM INTER ICU/TELE ED   ," 11,773.00 ",,,
0052019,ROOM INTER ICU/TELE ICU  ," 11,773.00 ",,,
0057000,ROOM INTER ICU/TELE 7E   ," 11,773.00 ",,,
0058008,ROOM INTER ICU/TELE 8E   ," 11,773.00 ",,,
0058016,ROOM INTER ICU/TELE 8W   ," 11,773.00 ",,,
0064006,ROOM PVT REHAB 4E        ," 6,280.00 ",,,
0064014,ROOM PVT REHAB 4W        ," 6,280.00 ",,,
0072017,ROOM ICU GEN 1:1         ," 16,498.00 ",,,
0075010,ROOM SEMI PVT PSYCH      ," 4,177.00 ",,,
0081059,ROOM ICU GENERAL ED      ," 16,498.00 ",,,
0092015,ROOM ICU GENERAL         ," 16,498.00 ",,,
0210005,P-CARE CONSULT NC        , -   ,1,,
0500000,CANALITH REPOS PER DAY   , 140.00 ,,,
0502104,ER LEVEL 1               , 984.00 ,,,
0502153,ER LEVEL 2               ," 1,552.00 ",,,
0502203,ER LEVEL 3               ," 2,320.00 ",,,
0502252,ER LEVEL 4               ," 3,486.00 ",,,
0502302,ER LEVEL 5               ," 7,356.00 ",,,
0502328,ER CRITICAL CARE 30-74MIN," 11,607.00 ",,,
0502344,ER CRITIC CARE ADD 30MIN ," 7,468.00 ",,,
0502401,LEFT WO BEING SEEN NC    , -   ,1,,
0502427,OP/ED PSYCH SITTER/HR NC , -   ,1,,
0502559,ER LEVEL 1 W/PROCEDURE   , 984.00 ,,,
0502609,ER LEVEL 2 W/PROCEDURE   ," 1,552.00 ",,,
0502658,ER LEVEL 3 W/PROCEDURE   ," 2,320.00 ",,,
0502708,ER LEVEL 4 W/PROCEDURE   ," 3,486.00 ",,,
0502757,ER LEVEL 5 W/PROCEDURE   ," 7,356.00 ",,,
0502807,ER CRIT CARE 30-74 W/PROC," 11,607.00 ",,,
0503004,MOD SEDAT <5YRS 1ST 15M  , 205.00 ,,,
0503005,MOD SEDAT =>5YRS 1ST 15M , 205.00 ,,,
0510305,CARDIOVERSION ELCTIVE EXT," 3,502.00 ",,,
0510321,PACING TRANSCUTANEOUS    ," 2,615.00 ",,,
0510354,GLUCOSE BLD BY DEVICE POC, 216.00 ,,,
0510362,OCC BLD FEC QL 3 SPEC POC, 173.00 ,,,
0510370,OCCULT BLOOD OTH QL POC  , 131.00 ,,,
0510388,PREG URINE VISUAL POC    , 452.00 ,,,
0510404,UA NONAUTO W/O MICRO POC , 116.00 ,,,
0510412,LACTATE/LACTIC ACID POC  , 213.00 ,,,
0510420,METABOL PANL IONZD CA POC, 43.00 ,,,
0510446,ARTERIAL CATH/CANN PERC  , 194.00 ,,,
0510453,VENIPUNCTURE             , 152.00 ,,,
0510461,VENIPUNCT CUTDOWN > AGE 1, 508.00 ,,,
0510560,INH TX INITIAL EA DAY    ," 1,037.00 ",,,
0510578,INH TX EA SUBSEQ TX/DAY  , 840.00 ,,,
0510586,DEMO/EVAL INHALATION TX  , 465.00 ,,,
0510917,INJ TX/DX/PRO IVPUSH INIT, 325.00 ,,,
0510958,INJ TX/DX/PROPH SUBQ/IM  , 256.00 ,,,
0511014,INJ TX/DX/PRO INTRA-ARTER, 635.00 ,,,
0511048,ADMIN PNEUMO VACCINE     , 176.00 ,,,
0511055,SKIN TEST TB INTRADRM POC, 110.00 ,,,
0511097,MODERATE SEDAT ADD 15MIN , 205.00 ,,,
0511162,INF IV HYDRA INIT 31-60MN, 732.00 ,,,
0511170,INF IV HYDRAT EA ADD HR  , 491.00 ,,,
0511188,INF TX/DX/PRO INIT 1ST HR, 732.00 ,,,
0511196,INF TX/DX/PRO EA ADD HR  , 491.00 ,,,
0511204,INF TX/DX/PRO SEQ 1HR    , 732.00 ,,,
0511212,INJ TX/DX/PRO IV PUSH SEQ, 325.00 ,,,
0511220,INF TX/DX CONCURRENT     , 491.00 ,,,
0511261,INF TX/PROPH SUBQ 1ST HR , 691.00 ,,,
0511279,INF TX/PROPH SUBQ ADD HR , 150.00 ,,,
0511295,INJ TX/PRO/DX IVP SME DRG, 325.00 ,,,
0511360,INF IV HYDRA INIT 31-60MN, 725.00 ,,,
0511378,INF IV HYDRAT EA ADD HR  , 487.00 ,,,
0511386,INF TX/DX/PRO INIT 1ST HR, 725.00 ,,,
0511394,INF TX/DX/PRO EA ADD HR  , 487.00 ,,,
0511659,GASTR INTB/ASP/LAV PHY SK, 754.00 ,,,
0511758,EMERG ROOM CPR           ," 3,388.00 ",,,
0511808,DEBR NON-SELECTIV SESSION," 2,320.00 ",,,
0515007,ANOSCOPY DIAGNOSTIC      , 575.00 ,,,
0515015,APPLICATION OF CAST      ," 1,665.00 ",,,
0515023,APPLICATION OF SPLINT    , 927.00 ,,,
0515049,CYSTOSTOMY PROC COMPLEX  ," 6,625.00 ",,,
0515056,CHANGE TUBE SIMPLE       ," 1,904.00 ",,,
0515072,CLOSE/PK WND DEHISCEN SMP," 1,484.00 ",,,
0515098,CAUT/CNTRL BLEED LEVEL 1 ," 1,151.00 ",,,
0515114,DEBRID/AVUL NAIL EVAC HEM, 667.00 ,,,
0515122,DEBRID OPEN FX W/FB REMOV," 2,953.00 ",,,
0515130,DEBRIDE SKIN/SUBQ/MUS    ," 2,569.00 ",,,
0515148,DRESS/DEBRIDE BURN       , 993.00 ,,,
0515155,EPIDURAL BLOOD PATCH     ," 4,526.00 ",,,
0515163,EXCISE/REPAIR NAIL       ," 2,141.00 ",,,
0515171,HEMORRHOID EXC/INC SIMPLE," 3,590.00 ",,,
0515189,INCIS/DRAIN/ASP LEVEL 3  ," 11,727.00 ",,,
0515197,INCIS/DRAIN/ASP LEVEL 1  ," 1,792.00 ",,,
0515205,INJ NERVE/OTHR ASP/INJ JT," 1,821.00 ",,,
0515213,INSERT CATH BLADDER      ," 1,085.00 ",,,
0515221,CV CATH/PICC LEVEL 1     ," 3,214.00 ",,,
0515239,INS PERITL CATH/CANN     ," 19,665.00 ",,,
0515247,CV CATH/PICC LEVEL 2     ," 8,957.00 ",,,
0515254,CV CATH LEVEL 3          ," 40,551.00 ",,,
0515262,INS/REPL TEMP PACER ELECT," 39,048.00 ",,,
0515270,INTUBATION ENDOTRACHEAL  ," 2,248.00 ",,,
0515288,IRRIG/LAV/INSTL BLAD/OTHR," 1,046.00 ",,,
0515296,LAC RPR LEVEL 3          ," 19,041.00 ",,,
0515304,LAC RPR LVL3 ADD<5CM     ," 1,484.00 ",,,
0515312,LAC RPR LEVEL 2          ," 3,782.00 ",,,
0515320,LAC RPR LEVEL 1          ," 1,484.00 ",,,
0515338,LUMBAR/SHUNT PUNCTURE    ," 1,821.00 ",,,
0515346,PERICARDIOCENTES INITIAL ," 2,767.00 ",,,
0515353,PLACE NDL INTRAOSSO INFUS," 1,640.00 ",,,
0515361,PLACE NG/OG TUBE PHY SKIL," 1,537.00 ",,,
0515379,REMOVE CERUMEN IMPACTED  , 527.00 ,,,
0515387,REMOVE FB/IMPLANT LEVEL 3," 16,382.00 ",,,
0515395,REMOVE FB/IMPLANT LEVEL 2," 5,035.00 ",,,
0515403,REM FB/SKN LES IMP LVL 1 , 941.00 ,,,
0515429,REMOV/BIVALV/RPR CAST    , 927.00 ,,,
0515452,STRAPPING                , 927.00 ,,,
0515460,THORACENTESIS/THORACOSTOM," 2,767.00 ",,,
0515478,TRACHEOSTOMY EMERGENCY   ," 5,428.00 ",,,
0515486,TRANSFUS BLD/BLD COMP    ," 2,104.00 ",,,
0515494,OB/GYN PROCEDURE LEVEL 3 ," 14,995.00 ",,,
0515502,CURETTAGE NON OB         ," 1,792.00 ",,,
0515510,TX FX/DISLOC LEVEL 1     ," 1,551.00 ",,,
0515528,TX DISLOC LEVEL 3 W ANES ," 11,836.00 ",,,
