BarCdmID,Name,BillDescription,Amount,Category,CPT Modifier Code 1,CPT Modifier Code 2,CPT Multiplier,EffectiveDate,Expression 1,Expression 2,Expression 3,Expression 4,Expression 5,Expression 6,HCPCS Modifier Code 1,HCPCS Modifier Code 2,HCPCS Multiplier,MC Indicator,NDC,OD 1,OD 2,OD 3,OD 4,OD 5,OD 6,OD Value 1,OD Value 2,OD Value 3,OD Value 4,OD Value 5,OD Value 6,Override Expression 1,Override Expression 2,Override Expression 3,Override Expression 4,Override Expression 5,Override Expression 6,Professional GL Override
77200137,Dietician Follow-Up,,40.00,094x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
77200804,SBG First Year,,2698.00,094x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
77200805,SBG Annual Re-Enrollment,,1894.00,094x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
77200309,Insulin Pump Start - 30 Min,DSMT INSULIN PUMP 30MIN,206.00,094x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
77200807,SBG PREVENTT2,,600.00,094x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
77200600,MNT Individual Initial-15Min,,147.00,094x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
77200312,O/P Group Diab Ed - 30 Min,Grp Diabetes Self MgmtEd 30min,138.00,094x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
77200135,Asthma Management Program,,324.00,094x,,,,07/02/2018,TESTS,,,,,,,,,N,,D,,,,,,1,,,,,,,,,,,,
77200602,MNT Group 30 MIN,,46.00,094x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
77200136,Dietician Initial Consult,,65.00,094x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
77200310,O/P Indiv Diab Ed - 30 Min,Diabetes Self-Mgmt ED 30min,206.00,094x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
77200601,MNT Individual Subsqt - 15min,,147.00,094x,,,,07/02/2018,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,
