Charge Code,Charge Description,CPT/HCPCS Code," Inpatient 
Price "," Outpatient 
Price "
761000875,HC FINE NEEDLE ASPIRATION,10021, $485.00 , $485.00 
761000638,HC FNA W/IMAGE,10022, $907.60 , $907.60 
761000963,HC GUIDE CATHET FLUID DRAINAGE,10030," $1,508.15 "," $1,508.15 "
761001115,HC PERQ DEV SOFT TISS 1ST IMAG,10035," $2,472.17 "," $2,472.17 "
761000002,HC ACNE SURGERY OF SKIN ABSCESS,10040, $278.85 , $278.85 
761000782,HC DRAIN SKIN ABSCESS SIMPLE,10060," $1,133.83 "," $1,133.83 "
761000783,HC DRAIN SKIN ABSCESS COMPLIC,10061," $1,432.20 "," $1,432.20 "
761000784,HC DRAIN PILONIDAL CYST SIMPL,10080, $819.72 , $819.72 
450000004,HC DRAIN PILONIDAL CYST COMPLIC,10081," $2,343.60 "," $2,343.60 "
761000785,HC INCISION & REMOVAL FOREIGN BODY SUBQ TISS SIMPL,10120, $473.06 , $473.06 
761000786,HC DRAINAGE OF HEMATOMA/FLUID,10140," $5,530.25 "," $5,530.25 "
761000787,HC PUNCTURE DRAINAGE OF LESION,10160, $894.04 , $894.04 
761000639,HC I&D POSTOP WOUND INFECT,10180," $2,332.75 "," $2,332.75 "
761000788,"HC DEBRIDE, INFECTED SKIN, UP TO 10% BSA",11000, $987.35 , $987.35 
761000789,"HC DEBRIDE, SKIN, SUB-Q TISSUE,=<20 SQ CM",11042," $1,433.83 "," $1,433.83 "
761000790,"HC DEBRIDE, SKIN, SUB-Q TISSUE,MUSCLE,=<20 SQ CM",11043," $1,848.84 "," $1,848.84 "
761000006,"HC DEBRIDE, SKIN, SUB-Q TISSUE,MUSCLE,BONE,=<20 SQ",11044," $4,233.13 "," $4,233.13 "
761000793,"HC TRIM HYPERKERATOTIC SKIN LESION, ONE",11055, $247.92 , $247.92 
761000008,"HC TRIM BENIGN HYPERKERATOTIC SKIN LESION,2-4",11056, $271.79 , $271.79 
761000009,"HC TRIM BENIGN HYPERKERATOTIC SKIN LESION,>4",11057, $329.30 , $329.30 
761000794,HC BIOPSY OF SKIN LESION,11100, $791.51 , $791.51 
761000010,"HC BIOPSY, EA ADDED LESION",11101, $436.71 , $436.71 
761000643,HC RMV SKIN TAGS UP TO 15,11200," $1,021.53 "," $1,021.53 "
761000011,"HC RMVL OF SKIN TAGS, EA ADD 10",11201, $232.73 , $232.73 
761000012,"HC SHAV SKIN LES <5MM TRUNK,ARM,LEG",11300, $487.17 , $487.17 
761000013,"HC SHAV SKIN LES 6-10MM TRUNK,ARM,LEG",11301, $729.12 , $729.12 
761000014,"HC SHAV SKIN LES 11-20MM TRUNK,ARM,LEG",11302, $801.82 , $801.82 
761000015,"HC SHAV SKIN LES >21MM TRUNK,ARM,LEG",11303, $881.56 , $881.56 
761000016,HC SHAV SKIN LES <5MM REMAINDR BODY,11305, $226.77 , $226.77 
761000017,HC SHAV SKIN LES 6-10MM REMAINDR BODY,11306, $226.77 , $226.77 
761000018,HC SHAV SKIN LES 11-20MM REMAINDR BODY,11307, $329.30 , $329.30 
761000020,"HC SHAV SKIN LES <5MM FACE,FACIAL",11310, $699.83 , $699.83 
761000021,"HC SHAV SKIN LES 6-10MM FACE,FACIAL",11311, $977.04 , $977.04 
761000022,"HC SHAV SKIN LES 11-20MM FACE,FACIAL",11312," $1,168.00 "," $1,168.00 "
761000024,"HC EXC SKIN BENIG <5MM TRUNK,ARM,LEG",11400," $2,096.22 "," $2,096.22 "
761000025,"HC EXC SKIN BENIG 0.6-1CM TRUNK,ARM,LEG",11401," $2,727.15 "," $2,727.15 "
761000026,"HC EXC SKIN BENIG 1.1-2CM TRUNK,ARM,LEG",11402," $2,990.80 "," $2,990.80 "
761000027,"HC EXC SKIN BENIG 2.1-3CM TRUNK,ARM,LEG",11403," $3,859.35 "," $3,859.35 "
761000028,"HC EXC SKIN BENIG 3.1-4CM TRUNK,ARM,LEG",11404," $4,245.06 "," $4,245.06 "
761000029,"HC EXC SKIN BENIG >4CM TRUNK,ARM,LEG",11406," $6,402.59 "," $6,402.59 "
761000030,HC EXC SKIN BENIG <5MM REMAINDR BODY,11420," $3,442.16 "," $3,442.16 "
761000031,HC EXC SKIN BENIG 0.6-1CM REMAINDR BODY,11421," $4,669.30 "," $4,669.30 "
761000032,HC EXC SKIN BENIG 1.1-2CM REMAINDR BODY,11422," $5,741.28 "," $5,741.28 "
761000033,HC EXC SKIN BENIG 2.1-3CM REMAINDR BODY,11423," $6,643.46 "," $6,643.46 "
761000034,HC EXC SKIN BENIG 3.1-4CM REMAINDR BODY,11424," $7,546.18 "," $7,546.18 "
761000035,HC EXC SKIN BENIG >4CM REMAINDR BODY,11426," $11,453.26 "," $11,453.26 "
761000644,HC EX BEN LES FACE <= 0.5CM,11440," $2,021.36 "," $2,021.36 "
761000036,"HC EXC SKIN BENIG 0.6-1CM FACE,FACIAL",11441," $2,582.30 "," $2,582.30 "
761000645,HC EX BEN LES FACE 1.1-2.0CM,11442," $2,872.54 "," $2,872.54 "
761000037,"HC EXC SKIN BENIG 2.1-3CM FACE,FACIAL",11443," $3,512.69 "," $3,512.69 "
761000038,"HC EXC SKIN BENIG 3.1-4CM FACE,FACIAL",11444," $4,477.25 "," $4,477.25 "
761000039,"HC EXC SKIN BENIG >4CM FACE,FACIAL",11446," $6,372.21 "," $6,372.21 "
761000046,"HC EXC SKIN MALIG <5MM TRUNK,ARM,LEG",11600," $3,104.19 "," $3,104.19 "
761000047,"HC EXC SKIN MALIG 0.6-1CM TRUNK,ARM,LEG",11601," $3,861.52 "," $3,861.52 "
761000048,"HC EXC SKIN MALIG 1.1-2CM TRUNK,ARM,LEG",11602," $4,243.98 "," $4,243.98 "
761000049,"HC EXC SKIN MALIG 2.1-3CM TRUNK,ARM,LEG",11603," $5,044.71 "," $5,044.71 "
761000050,"HC EXC SKIN MALIG 3.1-4CM TRUNK,ARM,LEG",11604," $5,566.59 "," $5,566.59 "
761000051,"HC EXC SKIN MALIG >4CM TRUNK,ARM,LEG",11606," $8,236.78 "," $8,236.78 "
761000052,HC EXC SKIN MALIG <5MM REMAINDR BODY,11620," $1,947.58 "," $1,947.58 "
761000053,HC EXC SKIN MALIG 0.6-1CM REMAINDR BODY,11621," $2,423.89 "," $2,423.89 "
761000054,HC EXC SKIN MALIG 1.1-2CM REMAINDR BODY,11622," $2,775.43 "," $2,775.43 "
761000055,HC EXC SKIN MALIG 2.1-3CM REMAINDR BODY,11623," $3,429.69 "," $3,429.69 "
761000056,HC EXC SKIN MALIG 3.1-4CM REMAINDR BODY,11624," $3,882.67 "," $3,882.67 "
761000057,HC EXC SKIN MALIG >4CM REMAINDR BODY,11626," $4,760.44 "," $4,760.44 "
761000058,"HC EXC SKIN MALIG <5MM FACE,FACIAL",11640," $1,371.44 "," $1,371.44 "
761000059,"HC EXC SKIN MALIG 0.6-1CM FACE,FACIAL",11641," $1,573.25 "," $1,573.25 "
761000060,"HC EXC SKIN MALIG 1.1-2CM FACE,FACIAL",11642," $1,852.64 "," $1,852.64 "
761000061,"HC EXC SKIN MALIG 2.1-3CM FACE,FACIAL",11643," $2,323.53 "," $2,323.53 "
761000064,HC TRIM NAIL,11719, $415.56 , $415.56 
761000065,"HC DEBRIDE OF NAIL, 1-5",11720, $150.82 , $150.82 
761000066,"HC DEBRIDE OF NAILS, 6 OR MORE",11721, $249.55 , $249.55 
761000795,HC RMVL OF NAIL PLATE,11730, $381.92 , $381.92 
761000796,HC RMV ADDITIONAL NAIL PLATE,11732, $125.86 , $125.86 
761000797,HC DRAIN BLOOD FROM UNDER NAIL,11740, $245.21 , $245.21 
761000798,HC RMVL OF NAIL BED,11750, $784.46 , $784.46 
761000068,"HC BIOPSY, NAIL UNT (SEP PROC)",11755," $1,985.01 "," $1,985.01 "
761000799,HC RECONSTRUC OF NAIL BED,11760, $764.93 , $764.93 
761000800,"HC EXCISION OF NAIL FOLD, TOE",11765, $432.92 , $432.92 
