Procedure Description, Unit Price ,
HC IMA FOR INF AB QUANT NOS-HIP1, 10.02 ,
HC GAMMAGLOBULIN SUBCLASS EA-HIP1, 5.80 ,
HC GAMMAGLOBULIN EA-HIP1, 6.80 ,
HC MP LEV 1-NYSTAGMUS XPANDED PANEL QUAD, 14.87 ,
HC MP LEV 2-NYSTAGMUS XPANDED PANEL QUAD, 31.88 ,
HC MP LEV 4-NYSTAGMUS XPANDED PANEL QUAD, 43.07 ,
HC MP LEV 5-NYSTAGMUS XPANDED PANEL QUAD, 79.73 ,
HC MP LEV 7-NYSTAGMUS XPANDED PANEL QUAD, 270.83 ,
HC MP LEV 8-NYSTAGMUS XPANDED PANEL QUAD, 334.90 ,
HC MP LEV 9-NYSTAGMUS XPANDED PANEL QUAD, 632.94 ,
HC MP LEV 5-CPHD SEQ PANEL W/CNV DETECTION, 533.62 ,
HC MP LEV 6-CPHD SEQ PANEL W/CNV DETECTION, 583.99 ,
HC UNLIST MP-CPHD SEQ PANEL W/CNV DETECTION, 0.07 ,
HC NOONAN/RASOPATHIES PANEL," 1,562.50 ",
HC MP LEV 3-PRIMARY IMMUNODEFICIENCY PANEL, 48.56 ,
HC MP LEV 5-PRIMARY IMMUNODEFICIENCY PANEL, 110.97 ,
HC MP LEV 7-PRIMARY IMMUNODEFICIENCY PANEL, 376.36 ,
HC MP LEV 8-PRIMARY IMMUNODEFICIENCY PANEL, 465.39 ,
HC MP LEV 9-PRIMARY IMMUNODEFICIENCY PANEL, 879.66 ,
HC GENOME SEQ ANAL-WHOLE GENOME TRIO," 3,125.00 ",
HC GENOME SEQ ANAL-WHOLE GENOME TRIO," 1,562.50 ",
HC AORT DYSFUNCT OR DIL SEQ-MARFAN/TAAD, 509.66 ,
HC AORT DYSFUNCT OR DIL D/D-MARFAN/TADD," 1,365.34 ",
HC C-REACTIVE PROTEIN; HIGH SENSITIVITY, 31.26 ,
HC MP LEV 7-HURLERS SYNDROME (IDUA) SEQ," 1,250.00 ",
HC MUCOPOYSACCHARIDES (MPS) URINE I/II, 187.50 ,
HC HBB-BETA GLOBIN MUTATIONS, 279.54 ,
HC HBA1/HBA2-ALPHA GLOBIN DEL/DUP, 539.06 ,
HC MP LEV 7-GLUTARIC ACIDURIA TYPE 1 (GCDH SEQ)," 1,085.00 ",
HC IMA FOR NON-INF AGENT-GM1 IGG/IGM, 33.44 ,
"HC PROTEIN, WESTERN BLOT-NEUROFASCINS (140-155) IGG/IGM", 165.56 ,
"HC PROTEIN, WESTERN BLOT-CONTACTIN 1 IGG", 178.06 ,
HC MP LEV 7-3-METHYLCROTONYL-COA CARBOXYLASE DEFICIENCY, 558.80 ,
HC UNLIST MP-3-METHYLCROTONYL-COA CARBOXYLASE DEFICIENCY, 0.56 ,
HC IN SITU HYBRIDIZATION FISH EA PROBE, 512.50 ,
"HC SENSIPAR TABLET 30MG, 30/BOTTLE", -   ,
HC CK BIOFINITY XR TORIC PER 6PK, 195.00 ,
HC LYSOSOMIAL ACID LIPASE, -   ,
"HC FNA BIOPSY, WO GUIDANCE, EA ADDL LESION", 232.65 ,
"HC FNA BIOPSY, W GUIDANCE, ULTRASOUND FIRST LESION", 506.80 ,
"HC FNA BIOPSY, W GUIDANCE, FLUORO, FIRST LESION", 668.20 ,
"HC FNA BIOPSY, W GUIDANCE, ULTRASOUND, EA ADDL LESION", 232.65 ,
"HC FNA BIOPSY, W GUIDANCE, FLUORO, EA ADDL LESION", 306.75 ,
"HC FNA BIOPSY, W GUIDANCE, CT, FIRST LESION"," 1,696.80 ",
"HC FNA BIOPSY, W GUIDANCE, CT, EA ADDL LESION", 779.00 ,
"HC FNA BIOPSY, W GUIDANCE, MRI, FIRST LESION"," 3,200.25 ",
"HC FNA BIOPSY, W GUIDANCE, MRI, EA ADDL LESION"," 1,469.20 ",
HC DLY CARE- LEV B- 5E MED (4STH)," 1,095.00 ",
HC DLY CARE- LEV C- 5E MED (4STH)," 1,325.00 ",
HC DLY CARE- LEV D- 5E MED (4STH)," 1,785.00 ",
HC DLY CARE- LEV E- 5E MED (4STH)," 2,175.00 ",
HC DLY CARE- LEV F- 5E MED (4STH)," 2,380.00 ",
HC DLY CARE- LEV B- 3K ITU," 1,095.00 ",
HC DLY CARE- LEV C- 3K ITU," 1,325.00 ",
HC DLY CARE- LEV D- 3K ITU," 1,785.00 ",
HC DLY CARE- LEV E- 3K ITU," 2,175.00 ",
HC DLY CARE- LEV F- 3K ITU," 2,380.00 ",
HC DLY CARE- LEV G- ITU," 2,380.00 ",
HC DLY CARE- LEV B-3E SGY(ORANGE)," 1,095.00 ",
HC DLY CARE- LEV C-3E SGY(ORANGE)," 1,325.00 ",
HC DLY CARE- LEV D-3E SGY(ORANGE)," 1,785.00 ",
HC DLY CARE- LEV E-3E SGY(ORANGE)," 2,175.00 ",
HC DLY CARE- LEV F-3E SGY(ORANGE)," 2,380.00 ",
HC DLY CARE- LEV A- 4D NEURO, 790.00 ,
HC DLY CARE- LEV B- 4D NEURO," 1,095.00 ",
HC DLY CARE- LEV C- 4D NEURO," 1,325.00 ",
HC DLY CARE- LEV D- 4D NEURO," 1,785.00 ",
HC DLY CARE- LEV E- 4D NEURO," 2,175.00 ",
HC DLY CARE- LEV F- 4D NEURO," 2,380.00 ",
HC DLY CARE- LEV B- 4C MED GEN," 1,095.00 ",
HC DLY CARE- LEV C- 4C MED GEN," 1,325.00 ",
HC DLY CARE- LEV D- 4C MED GEN," 1,785.00 ",
HC DLY CARE- LEV E- 4C MED GEN," 2,175.00 ",
HC DLY CARE- LEV F- 4C MED GEN," 2,380.00 ",
HC DLY CARE- LEV G- GEN MED," 2,380.00 ",
HC DLY CARE- LEV B- 4B ADO," 1,095.00 ",
HC DLY CARE- LEV C- 4B ADO," 1,325.00 ",
HC DLY CARE- LEV D- 4B ADO," 1,785.00 ",
HC DLY CARE- LEV E- 4B ADO," 2,175.00 ",
HC DLY CARE- LEV F- 4B ADO," 2,380.00 ",
HC DLY CARE- LEV A-5D PROG(NORTH), 790.00 ,
HC DLY CARE- LEV B-5D PROG(NORTH)," 1,095.00 ",
HC DLY CARE- LEV C-5D PROG(NORTH)," 1,325.00 ",
HC DLY CARE- LEV D-5D PROG(NORTH)," 1,785.00 ",
HC DLY CARE- LEV E-5D PROG(NORTH)," 2,175.00 ",
HC DLY CARE- LEV F-5D PROG(NORTH)," 2,380.00 ",
HC DLY CARE- LEV B- NICU," 2,080.00 ",
HC DLY CARE- LEV C- NICU," 3,490.00 ",
HC DLY CARE- LEV D- NICU," 4,490.00 ",
HC DLY CARE- LEV E- NICU," 5,380.00 ",
HC DLY CARE- LEV F- NICU," 6,400.00 ",
HC DLY CARE- LEV G- NICU," 7,240.00 ",
HC DLY CARE- LEV C- PICU," 4,135.00 ",
HC DLY CARE- LEV D- PICU," 5,690.00 ",
HC DLY CARE- LEV E- PICU," 7,385.00 ",
HC DLY CARE- LEV F- PICU," 8,320.00 ",
HC DLY CARE- LEV G- PICU," 8,825.00 ",
HC DLY CARE- LEV E- 4H CVICU," 7,895.00 ",
HC DLY CARE- LEV F- 4H CVICU," 8,865.00 ",
HC DLY CARE- LEV G- 4H CVICU," 9,399.00 ",
HC DLY CARE- LEV A- 4H CVICU," 1,245.00 ",
HC DLY CARE- LEV B- 4H CVICU," 1,580.00 ",
HC DLY CARE- LEV D- 4H CVICU," 1,965.00 ",
HC ANTIBODY ID PLATELET-HAT/HIT, 129.54 ,
HC AUTO BLOOD INTRA/POSTOP PROC, 162.95 ,
HC BLOOD TYPING;RH(D) PART. UNIT, 26.35 ,
HC QUANT THER DRUG-VORICONAZOLE, 116.48 ,
HC QUANT OF DRUG NES-VORICONAZOLE, 82.83 ,
HC QUANT THER DRUG NES-LOPINAVIR, 116.20 ,
HC QUANT THER DRUG-EFAVIRENZ, 116.48 ,
HC QUANT THERAPEUTIC DRUG-ITRACON, 81.27 ,
HC QUANT THER DRUG-DARUNAVIR, 116.48 ,
HC QUANT THER DRUG NES-INFLIXIMAB, 253.38 ,
HC DRG SCRN QUAL HC PER ENCOUNTER, 124.00 ,
HC DRUG SCREEN PER DOS, 24.23 ,
HC DRUG SCRN ANY#CLASS A/DOS-HAIR, 255.00 ,
HC DRUG SCRN CLASS A NITRAZEPAM, 248.45 ,
HC AMP/METAMPH-UR CONFIRM, 89.61 ,
HC AMP OR METAMP-UDS, 31.80 ,
HC AMP 1 OR 2 CONF MECONIUM, 71.89 ,
HC ANALGESIC NON-OPIOD 1-2-IBUP, 44.61 ,
HC QUANT THER DRUG NES-ETHOTOIN, 40.00 ,
HC ANTIEPILEPTIC NOS 1-3 FELBAMA, 36.72 ,
HC ANTIEPILEPTICS 1-3-LACOSAMINDE, 130.95 ,
HC QUANT OF DRUG NES-CLOBAZAM, 163.45 ,
HC QUANT THER DRUG NES-RUFINAMIDE, 145.88 ,
HC ANITEPILIPTIC NOS 1-3 PERAMPAN, 225.95 ,
HC BENZODIAZEPINES-UDS, 37.85 ,
HC BENZODIAZEPINES 1-12 MIDAZOLAM, 160.15 ,
HC BENZODIAZEPINES 1-12 ALPRAZOL, 186.89 ,
HC BENZO 1-12 NITRAZEPAN CONF, 283.45 ,
HC CANNABINOIDS NATURAL, 49.39 ,
HC CANN NATURAL CONF MECONIUM, 87.20 ,
HC COCAINE OR METABOLITE, 48.76 ,
HC COCAINE OR METABOLITE-UDS, 31.00 ,
HC COCAINE CONFIRM MECONIUM, 74.70 ,
HC OPIATE-UDS, 39.81 ,
HC OPIATES 1 OR MORE CONF MECON, 73.20 ,
