Description,2019 Price
 ANTITHROMBIN III (HUMAN) FOR INJ 500 UNIT,$45.00
 ZINC OXIDE OINT 16%,$8.87
 ZINC OXIDE OINT 16%,$15.60
2MM HEX SCREW DRIVER,343.00
ABACAVIR SULFATE SOLN 20 MG/ML (BASE EQUIV),$29.38
ABACAVIR SULFATE TAB 300 MG (BASE EQUIV),$44.69
ABACAVIR SULFATE TAB 300 MG (BASE EQUIV),$41.45
ABACAVIR SULFATE-LAMIVUDINE TAB 600-300 MG,$181.70
ABACAVIR SULFATE-LAMIVUDINE TAB 600-300 MG,$156.99
ABACAVIR SULFATE-LAMIVUDINE-ZIDOVUDINE TAB 300-150-300 MG,$113.21
ABACAVIR-DOLUTEGRAVIR-LAMIVUDINE TAB 600-50-300 MG,$394.60
ABATACEPT FOR IV SOLN 250 MG,"$3,881.59"
ABCIXIMAB IV SOLN 2 MG/ML,"$5,224.36"
ABCIXIMAB IV SOLN 2 MG/ML,"$5,689.32"
ABEMACICLIB TAB 100 MG,$850.12
ABEMACICLIB TAB 150 MG,$850.12
ABEMACICLIB TAB 200 MG,$850.12
ABEMACICLIB TAB 50 MG,$850.12
ABIRATERONE ACETATE TAB 250 MG,"$1,439.32"
ABLATION THER 1+ PULM TUMORS PERQ CRYOABLATION,"13,568.00"
ABLATOR ARTHREX APOLLO RF MP90 ASPIRATING 90DEG AR-9811,413.00
ABLATOR ARTHREX OPES 3MM 30DEG AR-9603-30,363.00
ABLATOR ARTHREX OPES 3MM 60DEG AR-9603-60,363.00
ABLATOR ARTHREX OPES 3MM 60DEG LOW PROFILE AR-9703-60,413.00
ABLATOR ARTHREX OPES 3MM 90DEG AR-9603-90,363.00
ABLATOR ARTHREX OPES 3MM 90DEG COOLCUT AR-9803-90,625.00
ABLATOR ARTHREX OPES 3MM 90DEG LOW PROFILE AR-9703-90,413.00
ABLATOR ARTHREX OPES 4MM 60DEG LOW PROFILE AR-9704-60,413.00
ABLATOR ARTHREX OPES 4MM 90DEG AR-9604-90,363.00
ABLATOR ARTHREX OPES 4MM 90DEG LOW PROFILE AR-9704-90,413.00
ABLATOR ARTHREX OPES 60DEG TOOTHBRUSH LP AR-9705-60,425.00
ABLATOR ARTHREX OPES 90DEG TOOTHBRUSH LP AR-9705-90,425.00
ABLATOR ARTHREX OPES ASPIRATING 3MM 60DEG LP AR-9703A-60,563.00
ABLATOR ARTHREX OPES ASPIRATING 3MM 90DEG LP AR-9703A-90,563.00
ABLATOR ARTHREX OPES ASPIRATING 4MM 60DEG LP AR-9704A-60,563.00
ABLATOR ARTHREX OPES ASPIRATING 4MM 90DEG AR-9704A-90,438.00
ABLATOR ARTHREX OPES ASPIRATING 4MM 90DEG LP AR-9704A-90,563.00
ABLATOR ARTHREX OPES ASPIRATING 60DEG TOOTHBRUSH LP,588.00
ABLATOR ARTHREX OPES ASPIRATING 90DEG TOOTHBRUSH LP,588.00
ABLATOR ARTHREX OPES MENISCECTOMY 45DEG AR-9602M-45,363.00
ABLATOR ARTHREX OPES MENISCECTOMY 90DEG AR-9602M-90,363.00
ABLATOR ARTHREX OPES SM JOINT 45DEG AR-9601SJ-45,363.00
ABLATOR ARTHREX OPES SM JOINT 90DEG AR-9601SJ-90,363.00
ABLATOR ARTHREX SMALL JOINT 45DEG COOLCUT AR-9809SJ-45,288.00
ABOBOTULINUMTOXINA FOR IM INJ 300 UNIT,"$1,727.56"
ABOBOTULINUMTOXINA FOR IM INJ 500 UNIT,"$1,727.04"
ABSORBABLE COLLAGEN HEMOSTAT MISC,$199.40
ABSORBATACK SHORT 5MM FIXATION DEVICE,948.00
ACALABRUTINIB CAP 100 MG,$989.17
ACAMPROSATE CALCIUM TAB DELAYED RELEASE 333 MG,$5.27
ACAPELLA,98.00
ACARBOSE TAB 100 MG,$4.00
ACARBOSE TAB 25 MG,$4.00
ACARBOSE TAB 50 MG,$4.00
ACCESS SYSTEM ENDOPATH DEXTRUS MED-RETR FLR01,144.00
ACCESSORY KIT 3FRX20GA 384822,144.00
ACCESSORY KIT CABLE MEDT MULTI-LEAD 355531,500.00
ACD-A SOLUTION-500ML BAG,144.00
ACEBUTOLOL HCL CAP 200 MG,$4.00
ACEBUTOLOL HCL CAP 400 MG,$4.00
ACETABULAR CUP,"3,100.00"
ACETABULAR CUP,"7,125.00"
ACETABULAR CUP SZ MM 60,"2,040.00"
ACETABULAR DOME PLUG,0.00
ACETABULAR LINER +4 NEUTRAL 40MM ID 56MM OD,"1,738.00"
ACETABULAR LINER 36MM X 54MM,"1,600.00"
ACETABULAR LINER NEUT 38MM,"1,738.00"
ACETABULAR LINER SZ 60,"2,040.00"
ACETABULAR LINER-R3 20 DEGREE XLPE 36MM X 54MM,"2,410.00"
ACETABULAR PRESSURIZER,54.00
ACETABULAR SHELL 48MM,"2,600.00"
ACETABULAR SHELL 50MM E,"2,500.00"
ACETABULAR SHELL 54MM F,"2,500.00"
ACETABULAR SHELL 54MM PINNACLE GRIPTION,"3,100.00"
ACETABULAR SHELL 56MM,"2,200.00"
ACETABULAR SHELL 58MM,"2,600.00"
ACETABULAR SHELL SECTOR 56MM OD,"3,450.00"
ACETABULAR SHELL SZ 46MM,"2,500.00"
ACETABULAR SHELL SZ 56MM,"2,600.00"
ACETABULAR SHELL-52MM E TRIDENT PSL HA CLUSTER,"2,500.00"
ACETABULAR SHELL-R3 3-HOLE 54MM,"1,838.00"
ACETABULAR SHELL-TRILOGY 48MM OD CLUSTER,"1,875.00"
ACETABULAR SHELL-TRILOGY 60MM OD CLUSTER,"1,875.00"
ACETAMINOPHEN CHEW TAB 160 MG,$1.00
ACETAMINOPHEN CHEW TAB 80 MG,$1.00
ACETAMINOPHEN DISINTEGRATING TAB 80 MG,$1.00
ACETAMINOPHEN IV SOLN 10 MG/ML,$192.48
ACETAMINOPHEN SUPPOS 120 MG,$1.00
ACETAMINOPHEN SUPPOS 325 MG,$1.00
ACETAMINOPHEN SUPPOS 650 MG,$1.00
ACETAMINOPHEN SUPPOS 80 MG,$1.00
ACETAMINOPHEN TAB 325 MG,$1.00
ACETAMINOPHEN TAB 500 MG,$1.00
ACETAMINOPHEN TAB ER 650 MG,$1.00
ACETAMINOPHEN W/ CODEINE SOLN 120-12 MG/5ML,$10.00
ACETAMINOPHEN W/ CODEINE TAB 300-15 MG,$10.00
ACETAMINOPHEN W/ CODEINE TAB 300-30 MG,$10.00
ACETAMINOPHEN W/ CODEINE TAB 300-60 MG,$10.00
ACETAMINOPHEN-CAFFEINE TAB 500-65 MG,$4.00
ACETAMINOPHEN-CAFFEINE-PYRILAMINE TAB 500-60-15 MG,$4.00
ACETAZOLAMIDE CAP ER 12HR 500 MG,$44.40
ACETAZOLAMIDE CAP ER 12HR 500 MG,$14.84
ACETAZOLAMIDE SODIUM FOR INJ 500 MG,$87.57
ACETAZOLAMIDE TAB 125 MG,$8.37
ACETAZOLAMIDE TAB 250 MG,$5.54
ACETAZOLAMIDE TAB 250 MG,$8.38
ACETIC ACID (GLACIAL) SOLN 99%,$48.00
ACETIC ACID (GLACIAL) SOLN 99%,$4.00
ACETIC ACID IRRIGATION SOLN 0.25%,$45.00
ACETIC ACID OTIC SOLN 2%,$134.42
ACETIC ACID SOLN 3%,$76.80
ACETIC ACID SOLN 3%,$9.22
ACETIC ACID SOLN 3%,$36.86
ACETIC ACID SOLN 3%,$4.61
ACETIC ACID SOLN 5%,$79.20
ACETIC ACID SOLN 5%,$9.50
ACETIC ACID SOLN 5%,$19.01
ACETYLCHOLINE CHLORIDE INTRAOCULAR FOR SOLN 20 MG (1:100),$99.37
ACETYLCYSTEINE CAP 500 MG,$4.00
ACETYLCYSTEINE CAP 600 MG,$4.00
ACETYLCYSTEINE EFFERVESCENT TAB 2.5 GM,$23.96
ACETYLCYSTEINE EFFERVESCENT TAB 500 MG,$19.08
ACETYLCYSTEINE INHAL SOLN 10%,$4.64
ACETYLCYSTEINE INHAL SOLN 10%,$19.13
ACETYLCYSTEINE INHAL SOLN 10%,$4.00
ACETYLCYSTEINE INHAL SOLN 10%,$24.56
ACETYLCYSTEINE INHAL SOLN 10%,$34.78
ACETYLCYSTEINE INHAL SOLN 10%,$143.50
ACETYLCYSTEINE INHAL SOLN 10%,$23.90
ACETYLCYSTEINE INHAL SOLN 10%,$49.11
ACETYLCYSTEINE INHAL SOLN 10%,$13.91
ACETYLCYSTEINE INHAL SOLN 10%,$57.40
ACETYLCYSTEINE INHAL SOLN 10%,$9.56
ACETYLCYSTEINE INHAL SOLN 20%,$4.00
ACETYLCYSTEINE INHAL SOLN 20%,$14.40
ACETYLCYSTEINE INHAL SOLN 20%,$5.88
ACETYLCYSTEINE INHAL SOLN 20%,$15.35
ACETYLCYSTEINE INJ 200 MG/ML,$79.76
ACETYLCYSTEINE INJ 200 MG/ML,$90.24
ACHILLES SPEEDBRIDGE IMPLANT KIT,"6,215.00"
ACHILLES SPEEDBRIDGE W/JUMP IMPLANT KIT,"4,988.00"
ACHILLES TENDON WITHOUT BONE BLOCK,"4,509.00"
ACITRETIN CAP 10 MG,$185.40
ACITRETIN CAP 25 MG,$228.53
ACL TIGHTROPE RT,688.00
ACLIDINIUM BROMIDE AEROSOL POWD BREATH ACTIVATED 400 MCG/ACT,"$1,187.51"
ACP KIT SERIES I,438.00
ACRIVASTINE & PSEUDOEPHEDRINE CAP 8-60 MG,$23.83
ACYCLOVIR BUCCAL TAB 50 MG,"$1,932.59"
ACYCLOVIR CAP 200 MG,$4.00
ACYCLOVIR CREAM 5%,"$3,361.23"
ACYCLOVIR OINT 5%,"$5,824.36"
ACYCLOVIR OINT 5%,"$1,346.33"
ACYCLOVIR OINT 5%,$493.66
ACYCLOVIR SODIUM FOR INJ 1000 MG,$45.00
ACYCLOVIR SODIUM FOR INJ 500 MG,$156.77
ACYCLOVIR SODIUM IV SOLN 50 MG/ML,$90.24
ACYCLOVIR SODIUM IV SOLN 50 MG/ML,$168.00
ACYCLOVIR SUSP 200 MG/5ML,$18.07
ACYCLOVIR TAB 400 MG,$4.00
ACYCLOVIR TAB 800 MG,$4.00
ADALIMUMAB PREFILLED SYRINGE KIT 40 MG/0.8ML,"$9,037.62"
ADAPALENE GEL 0.1%,$765.72
ADAPALENE-BENZOYL PEROXIDE GEL 0.1-2.5%,"$1,977.70"
ADAPALENE-BENZOYL PEROXIDE GEL 0.3-2.5%,"$2,536.06"
ADAPTER ARTHREX HUDSON AR-1416,"1,038.00"
ADAPTER BRONCHOSCOPE EDGE SUPERDIMENSION SD300BA,180.00
ADAPTER CATH CHECK-FLO 9FR FLL 050885 G15476,39.00
ADAPTER DRAPE ALLY AU-AD,313.00
ADAPTER ELECTROSURGICAL MONOPOLAR E0017,298.00
ADAPTER ENDO KIT VASOVIEW 6 VH-4020,247.00
ADAPTER SCOPE UROLOK II LF M0067301400,35.00
ADAPTER SYSTEM FIBER LS-905,625.00
ADAPTER UNIVERSAL DINAPT,68.00
ADAPTOR TOHY-BORST URETEROSCOPE TBA-6 G18814,35.00
ADAPTOR Y GATEWAY ADVANTAGE URETEROSCOPE M0067301501,39.00
ADEFOVIR DIPIVOXIL TAB 10 MG,$199.04
ADENOSINE IV SOLN 12 MG/4ML,$45.00
ADENOSINE IV SOLN 3 MG/ML (DIAGNOSTIC),"$1,045.15"
ADENOSINE IV SOLN 3 MG/ML (DIAGNOSTIC),$624.00
ADENOSINE IV SOLN 3 MG/ML (DIAGNOSTIC),$940.75
ADENOSINE IV SOLN 3 MG/ML (DIAGNOSTIC),$612.72
ADENOSINE IV SOLN 6 MG/2ML,$45.00
ADH BIOGLUE CARTRIDGE 10ML BG3510-5-US,"2,318.00"
ADH COSEAL 4ML 934071,"1,547.00"
ADH COSEAL 8ML 934072,"1,988.00"
ADH COSEAL APPLICATOR,88.00
ADH COSEAL APPLICATOR ENHANCED SPRAY,100.00
ADH FLOSEAL W/HUMAN THROMBIN 5ML,450.00
ADH FLOSEAL W/HUMAN THROMBIN 5ML 1501825,470.00
ADH FLOSEAL W/HUMAN THROMBIN 5ML 1503350,514.00
ADH FLOSEAL W/HUMAN THROMBIN 5ML W/APPLICATOR TIP 1505288,514.00
ADH FOCALSEAL,"1,063.00"
ADH FOCALSEAL APPLICATOR,125.00
ADH SEALANT SURG SYNTHETIC OMNEX 4901,371.00
ADH SILASTIC MEDICAL SILICONE 6G TUBE 080118,75.00
ADH SKIN LIQUIBAND DOME LQB003T,36.00
ADH SKIN LIQUIBAND FLOW CONTROL LFC004T,36.00
ADH TISSEEL DUPLOCATH,101.00
ADH TISSEEL DUPLOCATH 35 MIS ADAPTOR 921020,144.00
"ADH TISSEEL DUPLOTIP 5MMX12.5""",129.00
ADH TISSEEL FIBRIN DUPLOJECT 1ML,50.00
ADH TISSEEL FIBRIN DUPLOJECT 2ML,50.00
ADH TISSEEL FIBRIN SEALANT 1ML,276.00
ADH TISSEEL FIBRIN SEALANT 2ML,611.00
ADH TISSEEL FIBRIN SEALANT FROZEN 2ML 1501261,328.00
ADH TISSEEL FIBRIN SEALANT FROZEN 4ML 1501262,584.00
ADH TISSEEL SPRAY SET 0600013,118.00
ADH TISSEELVHSD FIBRIN SEALANT 10ML 1501263,"1,392.00"
ADHESION BARRIER-INTERCEED SHEET,791.00
"ADHESION BARRIER-SEPRAFILM 5""X6""",673.00
ADHESIVE SURGICAL SC-4320,120.00
ADHESIVE SWIFTSET 0.8ML OCTYL SS6,36.00
ADO-TRASTUZUMAB EMTANSINE FOR IV SOLN 100 MG,"$11,085.15"
ADO-TRASTUZUMAB EMTANSINE FOR IV SOLN 160 MG,"$17,736.25"
ADPT ESU CORD MONOPLAR FOOTSWITCH DISP E05021,292.00
ADPT PERFUSION MULTIPLE,48.00
AERA EUSTACHIAN TUBE BALLOON DILATION SYSTEM,"5,025.00"
AEROCHAMBER W/MASK-LG.,42.00
AEROCHAMBER W/MASK-MED.,43.00
AEROCHAMBER W/MASK-SM,38.00
AFATINIB DIMALEATE TAB 20 MG (BASE EQUIVALENT),"$1,147.11"
AFATINIB DIMALEATE TAB 30 MG (BASE EQUIVALENT),$764.74
AFATINIB DIMALEATE TAB 40 MG (BASE EQUIVALENT),$573.55
AFLIBERCEPT INTRAVITREAL INJ 2 MG/0.05ML (40 MG/ML),"$6,863.50"
AGALSIDASE BETA FOR IV SOLN 35 MG,"$21,866.74"
AGALSIDASE BETA FOR IV SOLN 5 MG,"$3,553.24"
ALBENDAZOLE TAB 200 MG,"$1,863.64"
ALBIGLUTIDE FOR SOLN PEN-INJECTOR 30 MG,$550.72
ALBIGLUTIDE FOR SOLN PEN-INJECTOR 50 MG,$550.72
"ALBUMIN, HUMAN INJ 25%",$432.00
"ALBUMIN, HUMAN INJ 25%",$236.64
"ALBUMIN, HUMAN INJ 25%",$277.68
"ALBUMIN, HUMAN INJ 25%","$1,311.36"
"ALBUMIN, HUMAN INJ 5%",$432.00
"ALBUMIN, HUMAN INJ 5%",$950.40
"ALBUMIN, HUMAN INJ 5%",$332.40
"ALBUMIN, HUMAN INJ 5%",$664.80
"ALBUMIN, HUMAN INJ 5%",$441.60
