Hospital Service, Price ,,,,,,,,
 HBOT                           ," $1,136.00 ",,,,,,,,
!CORPORA CAVERNOSOGRAM, $999.00 ,,,,,,,,
1/2 DAY REHAB PROGR, $283.00 ,,,,,,,,
12 LEAD EKG TRACING ONLY, $443.00 ,,,,,,,,
1-CANAL                         , $819.00 ,,,,,,,,
24 HR HOLTER W SI+ SCAN ANALYS  , $894.00 ,,,,,,,,
2-CANALS                        , $930.00 ,,,,,,,,
2D ECHO COMPLETE                ," $4,792.00 ",,,,,,,,
2D ECHO LIMITED                 ," $1,463.00 ",,,,,,,,
3-CANALS                        ," $1,212.00 ",,,,,,,,
3D IMAGE RECONSTRUC, $900.00 ,,,,,,,,
3-D RADIOTHERAPY PLAN           ," $12,449.00 ",,,,,,,,
3D RENDER W/INTRP POSTPROCES, $900.00 ,,,,,,,,
3D RENDER W/O POST PROCESS       , $900.00 ,,,,,,,,
76881 U XTR NON VASC COMPLETE, $608.00 ,,,,,,,,
76882 US XTR NON VASC LMTD      , $392.00 ,,,,,,,,
A LINE INSERT-S," $1,008.00 ",,,,,,,,
ABD ANTEROPOSTER & ADDTL VIEWS, $264.00 ,,,,,,,,
ABD PARACENTESIS                ," $2,222.00 ",,,,,,,,
ABD PARACENTESIS W/IMAGING," $1,756.00 ",,,,,,,,
ABD US W CONTRAST C9744         , $991.00 ,,,,,,,,
ABD WO THEN W/CONTRAST          ," $6,233.00 ",,,,,,,,
ABDOMEN 1 VIEW                  , $408.00 ,,,,,,,,
ABDOMEN COMPLETE                , $592.00 ,,,,,,,,
ABDOMEN W/ CONTR                ," $5,195.00 ",,,,,,,,
ABDOMEN W/O CONTR               ," $4,516.00 ",,,,,,,,
"ABDOMEN, COMPLETE ACUTE SERIES", $592.00 ,,,,,,,,
ABDOMEN/RETROPERITONEAL PERC," $4,012.00 ",,,,,,,,
ABDOMINAL AORTA                 ," $11,357.00 ",,,,,,,,
ABDOMINAL AORTOGRAPHY W RUN OF  ," $12,717.00 ",,,,,,,,
ABI INDEX                       , $768.00 ,,,,,,,,
ABLATION BONE," $6,496.00 ",,,,,,,,
ABLATION BONE CT," $6,496.00 ",,,,,,,,
ABLATION LIVER," $6,311.00 ",,,,,,,,
ABLATION LIVER CT," $7,787.00 ",,,,,,,,
ABLATION LUNG," $17,123.00 ",,,,,,,,
ABLATION LUNG CT," $17,123.00 ",,,,,,,,
ABN AOR/LAT LOWER EXT," $12,717.00 ",,,,,,,,
ABSC CYST CONSTRAST INJ," $1,422.00 ",,,,,,,,
ABSC LOCALIZ; WB                ," $2,663.00 ",,,,,,,,
ABSCESS DRAIN EMPYEMA," $5,506.00 ",,,,,,,,
ABSCESS DRAIN PERITONEAL," $6,463.00 ",,,,,,,,
ABSCLOCALIZ; SPECT              ," $2,970.00 ",,,,,,,,
ACC ADL ENVIROMENTAL INTRVW     , $106.00 ,,,,,,,,
ACC ADL IND PSY THER 20-20 MIN  , $259.00 ,,,,,,,,
ACC ADL IND PSY THER 45-50 MIN  , $332.00 ,,,,,,,,
ACC ADL MED MGMT VISIT          , $396.00 ,,,,,,,,
ACC CHD PSY IND INTERACT 75-80, $449.00 ,,,,,,,,
"ACC THERAPEUTIC ,PROPHYLAC DX   ", $214.00 ,,,,,,,,
ACOUSTIC REFL THRESHOLD TST     , $460.00 ,,,,,,,,
ACOUSTIC REFLEX DECAY TEST, $134.00 ,,,,,,,,
ACOUSTIC REFLEX TESTING, $460.00 ,,,,,,,,
"ACROMIOCLAVICLAR JOINTS, BILAT", $522.00 ,,,,,,,,
ACRYLIC PARTIAL - MAND          , $804.00 ,,,,,,,,
ACRYLIC PARTIAL - MAX           , $804.00 ,,,,,,,,
ACT >= 6 VISITS MONTH           ," $5,535.00 ",,,,,,,,
ACT 2-5 VISITS MONTH            ," $2,753.00 ",,,,,,,,
ACUTE GI BLEED STUDY," $3,248.00 ",,,,,,,,
Add Bubble Study, $685.00 ,,,,,,,,
ADD CLASP TO RPD                , $225.00 ,,,,,,,,
ADD TOOTH TO RPD                , $225.00 ,,,,,,,,
ADDITIONAL LESION WITH STEREO," $1,564.00 ",,,,,,,,
ADJ PALLIATIVE TX BY REPORT     , $108.00 ,,,,,,,,
ADJAC TRNSF CHN/AX/FT 10 SQ CM  ," $10,049.00 ",,,,,,,,
ADJAC TRNSF LIDS/LIPS 10 SQ CM  ," $7,817.00 ",,,,,,,,
ADL TRAINING 15 MIN, $252.00 ,,,,,,,,
ADM OF HEP B VACCINE            , $190.00 ,,,,,,,,
ADM OF PNEUMO VACCINE, $190.00 ,,,,,,,,
ADMIN ECG CONTRAST AGENT        ," $3,136.00 ",,,,,,,,
ADMIN FLU VIRUS VACCINE         , $190.00 ,,,,,,,,
ADMIN FLU VIRUS VACCINE         , $172.00 ,,,,,,,,
ADMIN H1N1 VAC ANY ROUTE        , $160.00 ,,,,,,,,
ADMIN HEPATITIS B VACCINE       , $190.00 ,,,,,,,,
ADMIN PNEUMONIA VACCINE         , $190.00 ,,,,,,,,
ADOLESCENT SUBSQT EXPAND, $223.00 ,,,,,,,,
AFTER HOURS AND WEEKENDS        , $136.00 ,,,,,,,,
AGITATED SALINE                 , $685.00 ,,,,,,,,
AIRPLAN SPLINT EACH 15 MINS     , $230.00 ,,,,,,,,
AIRWAY INHALATION TREATMENT     , $196.00 ,,,,,,,,
ALCOHOL REHABILITATION," $5,441.00 ",,,,,,,,
ALLOGENEIC LYMPHOCYTE INFUSION  ," $4,709.00 ",,,,,,,,
ALLOGENEIC TRANSPLANT           ," $12,679.00 ",,,,,,,,
ALVELOPLASTY W/ EXTRACTION      , $417.00 ,,,,,,,,
ALVELOPLASTY W/O EXTRACTION     , $369.00 ,,,,,,,,
ALVEOPLASTY(WO EXTRACT)PERQUAD  , $354.00 ,,,,,,,,
AMAL I SURFACE - PERM / PRIM    , $225.00 ,,,,,,,,
AMAL II SURFACE - PERM / PRIM   , $198.00 ,,,,,,,,
AMAL III SURFACE - PERM / PRIM  , $252.00 ,,,,,,,,
AMAL IV SURFACES - PERM / PRIM  , $252.00 ,,,,,,,,
AMAL. (2 SURFACE)(PERM)         , $198.00 ,,,,,,,,
AMAL. (3 SURFACE)(PERM)         , $252.00 ,,,,,,,,
AMAL. (4 SURFACE)(PERM)         , $252.00 ,,,,,,,,
AMNIO- FOR FLM                  ," $2,663.00 ",,,,,,,,
"AMNIO, TX AMNIOTIC FLD REDUCT   "," $2,443.00 ",,,,,,,,
AMNIOCENTESIS DIAGNOSTIC," $2,663.00 ",,,,,,,,
AMPUT FINGER ANY JT W/ADV FLAP  ," $10,957.00 ",,,,,,,,
AMPUTA FINGER ANY JT W DIR CLO  ," $8,212.00 ",,,,,,,,
AMPUTATE METACARPAL BONE        ," $7,140.00 ",,,,,,,,
AMPUTATION OF TOE AT MTP," $10,133.00 ",,,,,,,,
ANAL / RECTAL PR I 148, $629.00 ,,,,,,,,
ANALYZE NEUROSTIM NO PROG       , $636.00 ,,,,,,,,
ANALYZE SP INF PUMP W/REPROG    ," $1,212.00 ",,,,,,,,
ANALYZE SPINE INFUS PUMP        ," $1,212.00 ",,,,,,,,
ANESTHESIA, $949.00 ,,,,,,,,
ANESTHESIA - ENDO, $949.00 ,,,,,,,,
ANG ARTERY TO VEIN SHUNT        ," $3,028.00 ",,,,,,,,
ANG CATHETER EXCHANGE," $1,427.00 ",,,,,,,,
ANG CHOLANGIO.PERCUTANEUOS," $5,603.00 ",,,,,,,,
ANG CHOLECYSTOGRAPHYORAL        , $486.00 ,,,,,,,,
ANG COLON FLEX PROX SPLENIC     ," $4,857.00 ",,,,,,,,
ANG EXTREMITY BILAT S&I," $12,717.00 ",,,,,,,,
ANG FISTULOGRAM                 ," $1,446.00 ",,,,,,,,
ANG INFERIOR VENACAVAGRAM," $12,717.00 ",,,,,,,,
ANG INJECT SINUS TRACTXRAY      , $851.00 ,,,,,,,,
ANG MECH RMVL OF INTRALUMINAL   , $422.00 ,,,,,,,,
ANG NEEDLE LOCALIZAT BY X-RAY   ," $1,351.00 ",,,,,,,,
ANG NON-TUNNEL VENOUS CATH >5Y," $4,065.00 ",,,,,,,,
ANG PERIPHERALLY INSERTED PICC," $4,840.00 ",,,,,,,,
ANG PLACE CATHETER IN ARTERY    ," $4,150.00 ",,,,,,,,
ANG RDX ANGIOGRAM FOLLOW UP," $4,319.00 ",,,,,,,,
ANG REPAIR OF CENTRAL VAD," $1,985.00 ",,,,,,,,
ANG REPAIR TUNNEL/NON-TUNNEL," $2,165.00 ",,,,,,,,
ANG REPL CMPLT PERIPHERAL CATH," $3,728.00 ",,,,,,,,
ANG REPL CMPLT TUNNELED CATH," $3,728.00 ",,,,,,,,
ANG SUPERIOR VENACAVAGRAM," $6,471.00 ",,,,,,,,
ANG TRANSCATHETER STENT         ," $17,516.00 ",,,,,,,,
ANG TRANSCATHETER THRPY EMBO," $16,669.00 ",,,,,,,,
ANG TUNNEL CENT VENOUS CATH     ," $12,039.00 ",,,,,,,,
ANG URETERAL STENT," $3,760.00 ",,,,,,,,
ANG US GUIDANCE NEEDLE BIO      ," $1,878.00 ",,,,,,,,
ANG US JUGULAR VEINS," $5,774.00 ",,,,,,,,
ANG VASCULAR BIOPSY             ," $6,359.00 ",,,,,,,,
ANG VENOGRAM EXTREM BILAT       ," $2,249.00 ",,,,,,,,
ANG VENOGRAM UNILATERAL         ," $1,494.00 ",,,,,,,,
ANGIO BRACIAL ART               ," $12,717.00 ",,,,,,,,
ANGIO THORAX C+/ C-," $2,834.00 ",,,,,,,,
"ANGIO, ABDOMINAL, SELECTIVE"," $12,717.00 ",,,,,,,,
"ANGIO, ADRENAL, SEL, BILAT      "," $7,228.00 ",,,,,,,,
"ANGIO, ADRENAL, SEL, UNILAT"," $6,452.00 ",,,,,,,,
"ANGIO, EXT, UNILAT              "," $12,717.00 ",,,,,,,,
"ANGIO, NECK, W/O & W CTN"," $6,507.00 ",,,,,,,,
"ANGIO, PELVIC, SELECTIVE"," $7,033.00 ",,,,,,,,
"ANGIO, PUL, NON SELECTIVE       "," $4,191.00 ",,,,,,,,
"ANGIO, PULMONARY, SEL, BILAT"," $9,448.00 ",,,,,,,,
"ANGIO, PULMONARY, SEL, UNILAT   "," $7,879.00 ",,,,,,,,
"ANGIO, SELECTIVE, EA ADD"," $5,630.00 ",,,,,,,,
"ANGIO, SPINAL, SELECTIVE        "," $7,033.00 ",,,,,,,,
ANKLE - LT 2 VIEWS              , $476.00 ,,,,,,,,
ANKLE - RT 2 VIEWS              , $476.00 ,,,,,,,,
ANKLE ARTHOGRAPHY LT            ," $1,240.00 ",,,,,,,,
ANKLE ARTHROGRAPHY RT           ," $1,240.00 ",,,,,,,,
"ANKLE COMPLETE LT, MIN 3 VIEWS  ", $512.00 ,,,,,,,,
"ANKLE COMPLETE RT, 3 VIEWS      ", $512.00 ,,,,,,,,
ANOGENITAL EXAM CHILD W IMAG    , $66.00 ,,,,,,,,
ANORECTAL MANOMETRY             ," $2,419.00 ",,,,,,,,
AORTA CATH (FEM/AXILLARY)," $2,632.00 ",,,,,,,,
AORTA TRANSLUMBER," $4,541.00 ",,,,,,,,
AORTIC PERC," $30,011.00 ",,,,,,,,
AORTOGRAM - THORACIC            ," $7,411.00 ",,,,,,,,
APEXIFICATION PROCEDURE         , $179.00 ,,,,,,,,
APHERESIS PLASMA PHERESIS," $10,212.00 ",,,,,,,,
APHERESIS PLASMA PHERESIS," $9,726.00 ",,,,,,,,
APHERESIS PLATELETS," $9,369.00 ",,,,,,,,
APHERESIS RED BLOOD CELLS       ," $10,212.00 ",,,,,,,,
APHERESIS WHITE BLOOD CELLS," $10,750.00 ",,,,,,,,
APICOECTOMY - ADD ROOT          , $209.00 ,,,,,,,,
APICOECTOMY - ANTERIOR          , $507.00 ,,,,,,,,
APICOECTOMY - BICUSPID          , $507.00 ,,,,,,,,
APICOETOMY - MOLAR              , $507.00 ,,,,,,,,
APICOTECTOMY (NO ENDO)          , $507.00 ,,,,,,,,
APP CLUBFOOT CAST W/MOLD/MANIP  , $850.00 ,,,,,,,,
APP SHT HAND/ARM SPL STATIC     , $557.00 ,,,,,,,,
APPL CAST FINGER                ," $1,344.00 ",,,,,,,,
APPLIANCE REMOVAL ARCH BARS     , $813.00 ,,,,,,,,
APPLIC FINGER SPLINT STATIC     , $378.00 ,,,,,,,,
APPLICATION FOREARM CAST        , $856.00 ,,,,,,,,
APPLICATION HIP CASTS           ," $2,865.00 ",,,,,,,,
APPLICATION OF HIP CAST 1 LEG   ," $2,813.00 ",,,,,,,,
APPLICATION ON BODY INJECTOR, $233.00 ,,,,,,,,
APPLICATION PASTE BOOT, $399.00 ,,,,,,,,
APPLY BURN DRESSING<5% BSA      , $798.00 ,,,,,,,,
APPLY CYLINDER CAST             , $988.00 ,,,,,,,,
APPLY FINGER CAST 29086         ," $1,344.00 ",,,,,,,,
APPLY FINGER SPLINT DYNAMIC     , $809.00 ,,,,,,,,
APPLY HAND/WRIST CAST           , $742.00 ,,,,,,,,
APPLY INTERSTIT RADIAT COMPL    ," $11,817.00 ",,,,,,,,
APPLY LONG ARM CAST             ," $1,111.00 ",,,,,,,,
APPLY LONG LEG CAST             ," $1,464.00 ",,,,,,,,
APPLY LONG LEG SPLINT           , $925.00 ,,,,,,,,
APPLY MOD ELECT STIM 15 MIN     , $124.00 ,,,,,,,,
APPLY MULTILAY COMPRS ARM/HAND, $458.00 ,,,,,,,,
APPLY MULTILAY COMPRS LWR LEG, $545.00 ,,,,,,,,
APPLY SH LEG CAST               ," $1,140.00 ",,,,,,,,
APPLY SHORT ARM SPLINT; STATIC  , $557.00 ,,,,,,,,
APPLY SHORT LEG SPLINT          , $603.00 ,,,,,,,,
APPLY SURF LDR RADIONUCLIDE     , $824.00 ,,,,,,,,
APPLY WLKR SH LEG CAST          ," $1,292.00 ",,,,,,,,
ART OCCLUSIVE DEVICE PLCMT," $2,387.00 ",,,,,,,,
ARTERIAL CATH - SAMPLE/MONITOR  ," $1,370.00 ",,,,,,,,
ARTHOGRAM ANKLE," $1,106.00 ",,,,,,,,
ARTHOGRAM ELBOW, $837.00 ,,,,,,,,
ARTHOGRAM HIP," $1,222.00 ",,,,,,,,
ARTHOGRAM KNEE, $785.00 ,,,,,,,,
ARTHOGRAM SHOULDER, $761.00 ,,,,,,,,
ARTHOGRAM WRIST, $817.00 ,,,,,,,,
ARTHROCENTESIS MAJOR JOINT, $840.00 ,,,,,,,,
ARTHROCENTS ASPIR/INJ INTRM JT  , $734.00 ,,,,,,,,
ARTHROGRAPHY SHOULDER RT        ," $2,165.00 ",,,,,,,,
ARTHROGRAPHY SHOULDER-LT        ," $2,165.00 ",,,,,,,,
ASPIR INJECT MAJOR JOINT - 204, $568.00 ,,,,,,,,
ASPIR/INJ THYROID CYST          , $389.00 ,,,,,,,,
ASPIRATE PLEURA W/ IMAGING      ," $1,577.00 ",,,,,,,,
ASPIRATE PLEURA W/O IMAGING     ," $1,447.00 ",,,,,,,,
ASPIRATE/INJ GANGLION CYST      ," $1,054.00 ",,,,,,,,
ASPIRATE/INJECT SMALL JOINT     ," $1,117.00 ",,,,,,,,
ASSESSMNET OF APHASIA PER HOUR, $485.00 ,,,,,,,,
ATERIAL PUNCTURE FOR BLOOD GAS  , $656.00 ,,,,,,,,
AUDITORY EP - LIMITED           , $508.00 ,,,,,,,,
AUDITORY EP- COMPREHENSIVE      ," $1,675.00 ",,,,,,,,
AUGMENT COMMUN EVAL EA ADD 30, $147.00 ,,,,,,,,
AUTHORIZED USER AS APPROPRIATE  ," $1,619.00 ",,,,,,,,
AUTOLOGOUS TRANSPLANT           ," $12,679.00 ",,,,,,,,
AV GRFT ANGIO PTA PERIPHERAL    ," $20,044.00 ",,,,,,,,
BAER                            ," $1,675.00 ",,,,,,,,
BALLOON DILATE URTRL STRIX, $651.00 ,,,,,,,,
