Hospital Name:  Fresno Surgical Hospital,,,,
OSHPD Facility No: 106104047,,,,
"Effective Date of Charges: June 1, 2018",,,,
,,,,
"In response to requests from hospitals and the public, OSHPD has developed this form to assist hospitals in collecting and submitting the average charge for 25 common outpatient procedures performed by hospitals, as required by AB 1045 (Chapter 532, Statutes of 2005).  Use of the OSHPD form is voluntary, but highly encouraged, as it allows hospitals to report and the public to compare uniform information regarding common outpatient procedures.",,,,
Evaluation & Management Services (CPT Codes 99201-99499),2018 CPT Code,Average Charge,,
"Emergency Room Visit, Level 2 (low to moderate severity)",99282,,,
"Emergency Room Visit, Level 3 (moderate severity)",99283,,,
"Emergency Room Visit, Level 4 (high severity)",99284,,,
"Outpatient Visit, established patient, 15 minutes",99213,,,
Laboratory & Pathology Services (CPT Codes 80047-89398),2018 CPT Code,Average Charge,,
Basic Metabolic Panel,80048,,,
"Blood Gas Analysis, including 02 saturation",82805,,,
"Complete Blood Count, automated",85027,,,
"Complete Blood Count, with differential WBC, automated",85025,,,
Comprehensive Metabolic Panel,80053,,,
"Creatine Kinase (CK), (CPK), Total",82550,,,
Lipid Panel,80061,,,
Partial Thromboplastin Time,85730,,,
Prothrombin Time,85610,,,
Thyroid Stimulating Hormone,84443,,,
"Troponin, Quantitative",84484,,,
"Urinalysis, without microscopy",81002 or 81003,,,
"Urinalysis, with microscopy",81000 or 81001,,,
Radiology Services  (CPT Codes 70010-79999),2018 CPT Code,Average Charge,,
"CT Scan, Abdomen, with contrast",74160,,,
"CT Scan, Head or Brain, without contrast",70450,,,
"CT Scan, Pelvis, with contrast",72193,,,
"Mammography, Screening, Bilateral",77057,,,
"MRI, Head or Brain, without contrast, followed by contrast",70553,,,
"Ultrasound, Abdomen, Complete",76700,,,
"Ultrasound, OB, 14 weeks or more, transabdominal",76805,,,
"X-Ray, Lower Back, four views",72110,,,
"X-Ray, Chest, two views",71020,,,
Medicine Services  (CPT Codes 90281-99607),2018 CPT Code,Average Charge,,
"Cardiac Catheterization, Left Heart, percutaneous ",93510,,,
"Echocardiography, complete",93307,,,
"Electrocardiogram, routine, with interpretation and report",93000,,,
"Inhalation Treatment, pressurized or nonpressurized",94640,,,
"Physical Therapy, Evaluation",97001,,,
"Physical Therapy, Gait Training",97116,,,
"Physical Therapy, Therapeutic Exercise",97110,,,
Surgery Services  (CPT Codes 10021-69990),2018 CPT Code,Average Charge,,
"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,"$15,795.78",,
"Arthroscopy, Shoulder, with partial acromioplasty",29826,,,
Carpal Tunnel Surgery,64721,"$14,278.04",,
"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,"$10,904.25",,
"Colonoscopy, diagnostic",45378,,,
"Colonoscopy, with biopsy",45380,,,
"Colonoscopy, with lesion removal, by snare technique",45385,,,
"Discission, secondary membranous cataract, laser surgery",66821,"$3,247.83",,
"Endoscopy, Upper GI, with biopsy",43239,,,
"Endoscopy, Upper GI, diagnostic",43235,,,
"Excision, Breast Lesion",19120,,,
"Hernia Repair, Inguinal, 5 years and older",49505,,,
"Injection, Diagnostic or Therapeutic substance, epidural",62311,,,
"Injection, Anesthetic or Steroid, transforaminal epidural",64483,"$6,744.29",,
Laparoscopic Cholecystectomy,47562,,,
"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,,,
"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,,,
Other Common Outpatient Procedures (list as needed),2018 CPT Code,Average Charge,,
"Arthrocentesis, aspiration and/or injection, major joint or bursa (eg, shoulder, hip, knee, subacromial bursa); without ultrasound guidance",20610,,,
"Removal of implant; deep (eg, buried wire, pin, screw, metal band, nail, rod or plate) ",20680,,,
"Repair of ruptured musculotendinous cuff (eg, rotator cuff) open; chronic",23412,,,
"Injection procedure for sacroiliac joint, anesthetic/steroid, with image guidance (fluoroscopy or CT) including arthrography when performed",27096,,,
"Correction, hallux valgus (bunion), with or without sesamoidectomy; with metatarsal osteotomy (eg, Mitchell, Chevron, or concentric type procedures) ",28296,,,
"Arthroscopy, shoulder, surgical; debridement, limited ",29822,,,
"Arthroscopy, shoulder, surgical; debridement, extensive ",29823,,,
"Arthroscopy, shoulder, surgical; distal claviculectomy including distal articular surface (Mumford procedure)",29824,,,
"Arthroscopy, knee, surgical; synovectomy, major, 2 or more compartments (eg, medial or lateral)",29876,"$15,870.33",,
"Arthroscopy, knee, surgical; with meniscectomy (medial AND lateral, including any meniscal shaving)",29880,"$15,338.12",,
Arthroscopically aided anterior cruciate ligament repair/augmentation or reconstruction ,29888,"$32,448.57",,
"Arthroscopy, hip, surgical; with femoroplasty (ie, treatment of cam lesion)",29914,,,
"Lithotripsy, extracorporeal shock wave ",50590,"$15,278.21",,
"Cystourethroscopy, with ureteroscopy and/or pyeloscopy; with lithotripsy (ureteral catheterization is included)",52353,,,
"Cystourethroscopy, with ureteroscopy and/or pyeloscopy; with lithotripsy including insertion of indwelling ureteral stent (eg, Gibbons or double-J type)",52356,"$18,196.77",,
"Hysteroscopy, surgical; with sampling (biopsy) of endometrium and/or polypectomy, with or without D & C ",58558,,,
