Geisinger Medical Ctr (including Geisinger Shamokin Area Community Hospital),
"Published: July 1, 2019",
,
DESCRIPTION, CHARGE 
.9Mm Micro Tip Purp 8065750263,$350.00 
1 Liter Sodium Chloride 0.9%,$50.19 
1/4X1/16 Sma Sterile Tubing,$131.00 
17-hydroxypregnenolone,$297.00 
17-hydroxypregnenolone,$491.00 
17-hydroxypregnenolone,"$1,104.00 "
2.0M Drill Bit Cannulated,"$1,503.00 "
2.5Mm Lock On Drill Bit,"$1,405.00 "
-2.8 Blade,$137.00 
23Ga Plus Pak,"$6,988.00 "
3 Dose Cement Mix System,"$1,038.00 "
3 Liter Sodium Chloride 0.9%,$90.72 
3/8X3/32 Sma Sterile Tubing,$164.00 
"3D rendering and reporting of computed tomography, magnetic resonance imaging, ultrasound, or other tomographic modality with image postprocessing under concurrent supervision; requiring image postprocessing on an independent workstation","$2,063.00 "
"3-dimensional radiotherapy plan, including dose-volume histograms","$11,489.00 "
3Mm Round Burr,$911.00 
4.0Mm Acromioblaster,$409.00 
4.5Mm Bone Cutter,$822.00 
4.5Mm Bone Cutter,"$1,674.00 "
5Fr.Nbih Pacing Electrode,"$1,421.00 "
600Ml Transfer Pack,$23.00 
8.0 Adj Hyperflex Trach Tube,$582.00 
8Mm Bladeless Obturator,$223.00 
Abacavir-Dolutegravir-Lamivud 600-50-300 Mg Po Tabs,"$1,166.94 "
Abatacept 250 Mg Iv Solr,"$13,427.37 "
Abdominal Binder;Postop Supprt,$199.00 
Abdominal paracentesis (diagnostic or therapeutic); with imaging guidance,"$2,512.00 "
Abdominal paracentesis (diagnostic or therapeutic); without imaging guidance,"$2,512.00 "
"Ablation, 1 or more liver tumor(s), percutaneous, radiofrequency","$4,048.00 "
"Ablation, 1 or more renal tumor(s), percutaneous, unilateral, radiofrequency","$8,452.00 "
"Ablation, renal tumor(s), unilateral, percutaneous, cryotherapy","$7,602.00 "
Acarbose 50 Mg Po Tabs,$14.14 
Accustat Laser Fiber,"$5,426.00 "
Ace Bandage,$51.00 
Ace Bandage,$64.00 
Ace Bandage,$141.00 
"Ace Bandage 4""",$51.00 
"Ace Bandage 6""",$64.00 
"Ace Bandage 6""              Ms",$72.00 
"Ace Harmnic Crvd Shears,Ace36E","$3,028.00 "
Ace Harmnic Shear,"$3,028.00 "
Ace Harmonic Handpiece,"$2,990.00 "
Acebutolol Hcl 200 Mg Po Caps,$13.79 
Acetaminophen 120 Mg Pr Supp,$8.06 
Acetaminophen 162.5 Mg (1/2 X 325 Mg) Po Tabs,$2.03 
Acetaminophen 325 Mg Po Tabs,$2.50 
Acetaminophen 325 Mg Pr Supp,$10.03 
Acetaminophen 650 Mg Pr Supp,$9.08 
Acetaminophen 80 Mg Po Chew,$2.71 
Acetaminophen 80 Mg Po Tbdp,$2.94 
Acetaminophen 80 Mg Pr Supp,$10.03 
Acetazolamide 125 Mg Po Tabs,$23.92 
Acetazolamide 250 Mg Po Tabs,$44.17 
Acetazolamide 31.25 Mg (1/4 X 125 Mg) Po Tabs,$7.44 
Acetazolamide 62.5 Mg (1/2 X 125 Mg) Po Tabs,$12.94 
Acetazolamide Er 500 Mg Po Cp12,$45.18 
Acetylcholine Chloride 20 Mg Io Solr,"$1,198.25 "
Aclidinium Bromide 400 Mcg/Act In Aepb,"$3,405.77 "
"Acne surgery (eg, marsupialization, opening or removal of multiple milia, comedones, cysts, pustules)",$815.00 
"Acoustic reflex testing, threshold",$227.00 
Acromioblaster 4.0Mm,$258.00 
Activated Protein C (APC) resistance assay,$214.00 
"Acupuncture, 1 or more needles; with electrical stimulation, each additional 15 minutes of personal one-on-one contact with the patient, with re-insertion of needle(s) (List separately in addition to code for primary procedure)",$569.00 
"Acupuncture, 1 or more needles; with electrical stimulation, initial 15 minutes of personal one-on-one contact with the patient",$569.00 
"Acupuncture, 1 or more needles; without electrical stimulation, each additional 15 minutes of personal one-on-one contact with the patient, with re-insertion of needle(s) (List separately in addition to code for primary procedure)",$508.00 
"Acupuncture, 1 or more needles; without electrical stimulation, initial 15 minutes of personal one-on-one contact with the patient",$508.00 
Acute gastrointestinal blood loss imaging,"$4,490.00 "
"Acute hepatitis panel This panel must include the following: Hepatitis A antibody (HAAb), IgM antibody (86709) Hepatitis B core antibody (HBcAb), IgM antibody (86705) Hepatitis B surface antigen (HBsAg) (87340) Hepatitis C antibody (86803)",$672.00 
Acyclovir 200 Mg Po Caps,$11.75 
Acyclovir 400 Mg Po Tabs,$23.82 
Acyclovir 800 Mg Po Tabs,$38.91 
"Acylcarnitines; quantitative, each specimen","$2,419.00 "
Adalimumab 40 Mg/0.8Ml Subq Pskt,"$31,305.41 "
Adapter Check-Flo 050805 Ur,$170.00 
Adapter Ckfl 050805,$170.00 
Adapter Dual Irrig     20330Op,$96.00 
Adapter Y Gateway Plus,$152.00 
"Adapter/extension, pacing lead or neurostimulator lead (implantable)","$2,330.00 "
"Adapter/extension, pacing lead or neurostimulator lead (implantable)","$7,684.00 "
Adaptor Uret Cath Con,$127.00 
"Addition to lower extremity orthosis, soft interface for molded plastic, above knee section",$648.00 
