St. Francis Medical Center # 106190754,,,
SFMC Dept#,Charge Number ,Charge Description, 06/01/2018 Default Price 
4010,8821118,+ER LEVEL 6+:CRITICAL CARE," $5,050.00 "
4010,8821134,+LEVEL 1 +, $568.00 
4010,8821142,+LEVEL 2 +," $1,060.00 "
4010,8821159,+LEVEL 3 +," $2,069.00 "
4010,8821167,+LEVEL 4 +," $3,131.00 "
4010,8821175,+LEVEL 5 +," $4,315.00 "
4630,5565551,0.18X60 NTNL WRE.PMG-18SP-60COPE, $673.00 
4570,5965553,0.18X60 NTNL WRE.PMG-18SP-60COPE, $673.00 
4630,5565544,018X125 NTNLWRE.PMG-18SP-125COPE, $673.00 
4427,3311032,1:1 SURG RECOVERY 1ST 30 MINUTES, $950.00 
4427,3311040,1:1 SURG RECOVERY PER 15 MINUTES, $305.00 
4427,3311057,1:2 SURG RECOVERY 1ST 30 MINUTES, $950.00 
4427,3311065,1:2 SURG RECOVERY PER 15 MINUTES, $305.00 
4630,5564513,"10 INTRDCR,RCF 10-38-30J"," $1,139.00 "
4690,6070205,"11 GA MAMMOTONE PROBE, BIOP.DEV", $158.00 
4470,5102421,11 X 100MM FIOS FIXATION TROCAR, $160.00 
4470,5127956,11.0 CARBON ROD 100MM, $940.00 
4470,6103287,11.0MM TI HELICAL BLADE 80MM STERIL," $2,917.00 "
4630,5566955,14F MP DRAIN CATH, $549.00 
4570,5966957,14F MP DRAIN CATH, $549.00 
4470,5188255,14MM DISTRACTION PINS, $220.00 
4570,5965496,1ST HR INTERVEN ENDOVASCU," $7,039.00 "
4670,8333460,1ST HR INTERVENTIONAL (US)," $7,039.00 "
4680,5424346,1ST HR INTERVENTIONAL CT," $7,039.00 "
4630,5565320,1ST HR. INTERVENTIONAL RAD.," $7,039.00 "
4570,5965322,1ST HR. INTERVENTIONAL RAD.," $7,039.00 "
4470,5188875,2.7MM EMERGENCY SCREWS, $372.00 
4470,6103915,2.9 MM TI MATRIXRIB NON-LOCK SCREW, $428.00 
4427,3311073,2:1 SURG RECOVERY 1ST 30 MINUTES, $950.00 
4427,3311081,2:1 SURG RECOVERY PER 15 MINUTES, $305.00 
4650,5810296,"200UCI,I 123 CAPSULE", $337.00 
4591,7901267,2D ECHO WITH CONTRAST," $7,269.00 "
4470,5142583,2-HOLE PLATE," $7,689.00 "
4470,5111224,3.5MM LCP PLATE 10 HOLE," $1,388.00 "
4470,5136015,3.5MM LCP PLATE 14 HOLE," $4,589.00 "
4470,5148226,3.5MM LCP RECONST PLATE 12 HOLE," $4,444.00 "
4470,6111645,3.5MM LOCKING PLATE SCREW 30MM," $1,777.00 "
4470,6111710,3.5MM NON-LOCKING PLATE SCREW 26MM, $747.00 
4470,6111694,3.5MM NON-LOCKING PLATE SCREW 28MM, $747.00 
4470,6111702,3.5MM NON-LOCKING PLATE SCREW 30MM, $747.00 
4470,6111686,3.5MM NON-LOCKING PLATE SCREW 36MM, $747.00 
4470,6111678,3.5MM NON-LOCKING PLATE SCREW 38MM, $747.00 
4470,6111660,3.5MM NON-LOCKING PLATE SCREW 40MM, $746.00 
4470,6111652,3.5MM NON-LOCKING PLATE SCREW 46MM, $747.00 
4470,5117395,3.5MM SHAFT SCREW 20MM, $132.00 
4470,5194923,3.5MM SUP CLAVICLE PLATE 6H LFT," $6,855.00 "
4630,5563523,3CM LEVEEN ELEC.COACC 15CM," $3,020.00 "
4470,5189758,4 HOLE SQUARE PLATE," $1,215.00 "
4630,5565700,4 PIGTAIL," $2,419.00 "
4470,6103758,4.0MM CANNULATED SCREW LONG THREAD, $925.00 
4470,5177134,4.5 CANNULATED SCREW FT 44MM, $937.00 
4470,5171327,4.5MM CANNULATED SCREW FT 52MM, $859.00 
4470,6103253,4.5MM CANNULATED SCREW FT 54MM, $966.00 
4470,5142435,4.5MM CORTEX SCREW 42MM, $147.00 
4630,5563549,4CM LEVEEN ELEC.COACC 15CM," $4,031.00 "
4630,5564091,"4F PICC, 1 LUMEN 130CM"," $1,443.00 "
4570,5964093,"4F PICC, 1 LUMEN 130CM"," $1,443.00 "
3184,7704000,4TH FLR OBSV 2HRS, $969.00 
3184,7704018,4TH FLR OBSV EA ADDL HR, $76.00 
4630,5566278,5 ANGLD GLIDECATH.038X100," $2,419.00 "
4570,5966270,5 ANGLD GLIDECATH.038X100," $2,419.00 "
4630,5565692,5 HDHNTR III.038X100," $6,830.00 "
4630,5564299,5 SIMMONS I .038X100," $2,419.00 "
4630,5564273,5 SIMMONS II .038X100," $2,419.00 "
4540,6848956,5% ALBUMIN 250ML, $80.00 
4630,5564539,"5.5 INTDCR,RCFW-5.5-38"," $1,139.00 "
4630,5564059,"5F PICC, 1 LUMEN,50CM"," $1,443.00 "
4630,5564109,"5F PICC, 2 LUMEN 130CM"," $1,443.00 "
4630,5564034,"5F PICC, 2 LUMEN,80CM"," $1,443.00 "
4630,5564703,"6 VAN ANDEL,T6-35-80-P-NS-VAD3"," $1,443.00 "
4470,5194865,6.0 TI HARD ROD 400MM," $1,296.00 "
4470,5142468,6.5MM CANNULATED SCREW 32MMX90MM," $2,204.00 "
4630,5564547,"6/30 INTRDCR, RCF-6-38-30-J-RB"," $1,139.00 "
4630,5564158,"7 HDHNTR 1, .038X100CM"," $2,419.00 "
4630,5564174,"7 HDHNTR III, .038 X 100CM"," $2,419.00 "
4630,5564224,7 RCVRY VENA CAVA FLTR FEM," $6,830.00 "
4630,5564182,"7 SIMMONS I, .038X80CM"," $2,419.00 "
4630,5564190,"7 SIMMONS II, .038X100CM"," $2,419.00 "
4630,5564216,"7 SIMMONS III, .038X100CM"," $2,419.00 "
4630,5564711,"7 VAN ANDEL,T7-35-80-P-NS-VAD4"," $1,443.00 "
4470,5183959,7MM CANNULA, $468.00 
4630,5564554,8/70CM INTD KCFW-8-38-70-RB," $1,139.00 "
3188,7707003,8TH FLR OBSV 2HRS, $969.00 
3188,7707011,8TH FLR OBSV EA ADDL HR, $76.00 
4630,5564737,"9 VAN ANDEL,T9-38-80-P-NS-VAD6"," $1,443.00 "
4630,5564570,"9/80CM INTDCR, RCK-9-38-80-J-RB"," $1,139.00 "
4470,6130306,90 DEGREE ANGLED POST EXT FIX, $952.00 
4630,5567581,90CM FRONTRUNNER XP CTO CATH," $2,419.00 "
4509,6683023,AB COXIELLA BURNETII Q FEVER [AP, $13.20 
4509,6688618,AB COXIELLA BURNETII Q FEVER [AP, $13.20 
4509,6689541,AB COXIELLA BURNETII Q FEVER [AP, $13.20 
4509,6689558,AB COXIELLA BURNETII Q FEVER [AP, $13.20 
4509,6689269,AB ENCEPHALITIS CA LA CROSSE [AP, $19.84 
4509,6689285,AB ENCEPHALITIS EASTERN EQUINE [AP, $19.84 
4509,6680508,AB EPSTEIN-BARR VIRUS EA ANTIGN [AP, $14.29 
4509,6680458,AB EPSTEIN-BARR VIRUS EBNA [AP, $13.77 
4509,6680441,AB EPSTEIN-BARR VIRUS VCA [AP, $15.82 
4509,6681027,AB EPSTEIN-BARR VIRUS VCA [AP, $15.82 
4509,6680235,AB HERPES SIMPLEX NON-SPEC [AP, $11.87 
4500,6544571,AB ID RBC ANTIBODIES EA PANEL, $438.00 
4500,6548424,AB ID RBC ANTIBODIES EA PANEL, $438.00 
4509,6674071,AB ID RBC ANTIBODIES EA PANEL [AP, $437.00 
4710,9420258,ABACAVIR 300MG TABLET, $34.00 
4710,9420266,ABACAVIR SULFATE 20MG/1ML, $3.00 
4710,9400078,ABCIXIMAB 10MG/5ML INJECTION," $6,348.00 "
4080,7401219,ABRASION SINGLE LESION, $238.00 
4630,5564000,ABSCESS DRAINAGE CATHETER, $549.00 
4630,5564042,ABSCESS DRAINAGE KIT, $549.00 
4630,5564083,ABSCESS DRAINAGE SUMP CATHETER, $549.00 
4470,6118236,ACCESSORY EVICEL AIRLESS SPRAY, $334.00 
4470,6110126,ACCOLADE HIP STEM SZ 9," $14,935.00 "
4470,6113278,ACCOLADE II STEM SZ6," $14,935.00 "
4470,6119234,ACCOLADE STEM 127 DEGREE SZ5," $14,935.00 "
4470,6124705,ACETAB CUP 56MM HIP (38135)," $13,691.00 "
4470,6144257,ACETABULAR AUGMENT 50X10MM TM," $12,453.00 "
4470,5115084,ACETABULAR SHELL 54MM," $13,691.00 "
4710,9420365,ACETAZOLAMIDE 125MG TAB, $7.00 
4710,9420373,ACETAZOLAMIDE 250MG TAB, $11.00 
4710,9420381,ACETAZOLAMIDE 500MG CAP, $25.00 
4710,9402041,ACETAZOLAMIDE 500MG INJECTION, $314.00 
4710,9456716,"ACETAZOLAMIDE 5MG/ML INJ, 1ML", $103.00 
4710,9419128,ACETIC ACID 0.25% IRRIG 1L, $128.00 
4710,9420431,ACETYLCHOLINE 1% INTRAOC 2ML, $488.00 
4710,9420456,ACETYLCYSTEINE 10% SOL 30ML, $29.00 
4710,9420464,ACETYLCYSTEINE 10% SOL 4ML, $16.00 
4710,9420480,ACETYLCYSTEINE 20% SOL 30ML, $76.00 
4710,9420498,ACETYLCYSTEINE 20% SOL 4ML, $45.00 
4710,9466178,ACETYLCYSTEINE 600MG CAP, $1.00 
4710,9400094,ACETYLCYSTEINE 6G/30ML INJ," $1,223.00 "
4470,6149553,ACHILLES TENDON PRE SHAPED 10MM," $14,626.00 "
4470,5101498,ACL DISPOSABLE PACK," $1,686.00 "
4710,9461377,ACLIDINIUM 30 DOSE PWD INHALER, $425.00 
4710,9446733,ACTHIB VACCINE 0.5ML INJ, $367.00 
4470,6108369,ACTIFUSE ABX BONE GRAFT," $12,360.00 "
4710,9425133,ACTIV CHARCOAL-SORBITOL 50G, $35.00 
4710,9425109,ACTIVATED CHARCOAL 50G/240ML, $35.00 
4509,6671853,ACTIVATED PROTEIN C RESISTANCE [AP, $16.68 
4650,5809181,ACUTE GASTROINTEST BLOOD LOSS IMG," $2,567.00 "
4500,6561732,ACUTE HEPATITIS PANEL, $729.00 
4470,6140305,ACUTRAK MINI DRILL BIT 2.0MM," $3,285.00 "
4710,9420514,ACYCLOVIR 200MG CAPSULE, $3.00 
4710,9420530,ACYCLOVIR 200MG/5ML SUSP, $15.00 
4710,9420548,ACYCLOVIR 400MG TABLET, $7.00 
4710,9420563,ACYCLOVIR 5% OINTMENT 15G," $1,197.00 "
4710,9454638,ACYCLOVIR 5% OINTMENT 30G," $2,304.00 "
4710,9447095,ACYCLOVIR 500MG INJECTION, $318.00 
4710,9400110,ACYCLOVIR 5MG/1ML NS INJ, $103.00 
4710,9447103,ACYCLOVIR 7MG/1ML NS INJ, $101.00 
4710,9420571,ACYCLOVIR 800MG TAB, $11.00 
4470,5147681,ADAPTER SMALL AO," $3,947.00 "
4470,6100150,ADAPTOR VALVE HEMOSTASIS, $115.00 
4471,5013222,"ADAPTOR, ""Y"" FEEDING PORT", $48.00 
4570,5965504,ADD 1/2 HR INTERVEN ENDOVASC," $3,522.00 "
4570,5965330,ADD.1/2 HR.INTERVENTIONAL RAD," $3,522.00 "
4710,9400169,ADENOSINE 60MG/20ML INJ," $1,407.00 "
4710,9461690,ADENOSINE 6MG/2ML INJ SYRINGE, $191.00 
4710,9400151,ADENOSINE 6MG/2ML INJECTION, $161.00 
4710,9400177,ADENOSINE 90MG/30ML INJ," $2,060.00 "
4471,5042908,"ADHESIVE SKIN ""DERMABOND""", $175.00 
4470,5110275,"ADHESIVE SKIN ""DERMABOND""", $175.00 
4570,5966841,"ADHESIVE SKIN ""DERMABOND""", $175.00 
4400,4001012,ADHESIVE SKIN DERMABOND PROPEN, $145.00 
4470,6141550,ADJUSTABLE FIXATION DEVICE ARTHRO," $3,693.00 "
4010,8801367,ADM OF FLU VACCINE IM, $85.00 
4010,8803421,ADMIN OF HEPATITIS B VACCINE, $85.00 
4010,8803413,ADMIN OF PNEUMOCOCCAL VACCINE, $85.00 
4470,6119507,ADMIRAL BALLOON CATH 0.035X5MM," $11,920.00 "
4470,6119481,ADMIRAL BALLOON CATH 0.035X5X120MM," $13,120.00 "
4470,6119473,ADMIRAL BALLOON CATH 0.035X6X120," $13,120.00 "
4470,6119499,ADMIRAL BALLOON CATH 0.035X80MM," $11,920.00 "
4509,6685358,ADRENOCORTICOTROPIC HRMN ACTH [AP, $42.05 
4470,6139109,AEQ REVERSED LOCK SCREW 4.5X20MM," $1,282.00 "
4471,5065511,"AFO,ALL (LEAF-SPRING ORTHOSIS)", $226.00 
4509,6681084,AGGLUTINIS FEBRILE EA ANTIGEN [AP, $15.00 
4509,6682678,AGGLUTINIS FEBRILE EA ANTIGEN [AP, $15.00 
4470,5114293,AHMED GLAUCOMA VALVE," $2,273.00 "
4570,5901277,AICD LEAD- DUAL COIL," $22,917.00 "
4570,5901293,AICD SINGLE CHAMBER GENERATOR," $74,211.00 "
4570,5903554,AICD SINGLE CHAMBER GENERATOR," $103,000.00 "
4570,5902978,AICD WRENCH KIT, $217.00 
4570,5901285,"AICD, DUAL CHAMBER GENERATOR (IMPLA"," $83,265.00 "
4470,5104849,AIRWAY ESPH 7.5MM LMA FST LMA ET T, $649.00 
4720,5201249,AIRWAY INHALATION TREATMENT INITIAL, $408.00 
4720,5201256,AIRWAY INHALATION TREATMENT INITIAL, $408.00 
4720,5202403,AIRWAY INHALATION TREATMENT INITIAL, $408.00 
4720,5202551,AIRWAY INHALATION TREATMENT INITIAL, $408.00 
4722,5311337,AIRWAY INHALATION TREATMENT INITIAL, $408.00 
4722,5320072,AIRWAY INHALATION TREATMENT INITIAL, $408.00 
4720,5202213,AIRWAY INHALATION TX SUBSEQUENT, $408.00 
4720,5202411,AIRWAY INHALATION TX SUBSEQUENT, $408.00 
4720,5202452,AIRWAY INHALATION TX SUBSEQUENT, $408.00 
4720,5202460,AIRWAY INHALATION TX SUBSEQUENT, $408.00 
4720,5202569,AIRWAY INHALATION TX SUBSEQUENT, $408.00 
4722,5310941,AIRWAY INHALATION TX SUBSEQUENT, $408.00 
4722,5310958,AIRWAY INHALATION TX SUBSEQUENT, $408.00 
4722,5312418,AIRWAY INHALATION TX SUBSEQUENT, $408.00 
4010,8802977,AIRWAY INHALATION TX SUBSEQUENT, $408.00 
4010,8802985,AIRWAY INHALATION TX SUBSEQUENT, $408.00 
