Procedure Code,Procedure Name,Charge
011000000-23299,HC BED SERVICE ONLY ROOM AVAILABLE,"$1,410.00 "
011400000-27192,HC BED SERVICE ADULT ONE TO ONE,"$2,365.00 "
011400001-24251,HC BED SERVICE PRI ADULT ROUTINE,"$1,650.00 "
011400002-26258,HC BED SERVICE PRI ADULT CONTINUOUS WATCH,"$2,008.00 "
011400003-29315,HC BED SERVICE CHILD ONE TO ONE,"$3,100.00 "
011400004-27640,HC BED SERVICE CHILD ROUTINE,"$2,500.00 "
011400005-28501,HC BED SERVICE CHILD CONTINUOUS WATCH,"$2,800.00 "
011400006-27193,HC BED SERVICE GERIATRIC ONE TO ONE,"$2,365.00 "
011400007-24249,HC BED SERVICE GERIATRIC ROUTINE,"$1,650.00 "
011400008-26257,HC BED SERVICE GERIATRIC CONTINUOUS WATCH,"$2,008.00 "
016900001-23298,HC BED SERVICE LDR ONLY ROOM AVAILABLE,"$1,410.00 "
016900002-25686,HC BED SERVICE LDR PROGRESSIVE CARE,"$1,810.00 "
017100000-22734,HC BED SERVICE NEWBORN LEVEL 1,"$1,300.00 "
017200000-24250,HC BED SERVICE NEWBORN LEVEL 2,"$1,650.00 "
017300000-26534,HC BED SERVICE NEWBORN LEVEL 3,"$2,100.00 "
017300001-29868,HC BED SERVICE NEWBORN LEVEL 4A,"$3,295.00 "
017400000-31290,HC BED SERVICE NEWBORN LEVEL 4B,"$3,995.00 "
020000003-29654,HC BED SERVICE INTENSIVE CARE,"$3,240.00 "
020600003-29655,HC BED SERVICE INTENSIVE CARE (NON ICU UNIT),"$3,240.00 "
020600004-25687,HC BED SERVICE PROGRESSIVE CARE,"$1,810.00 "
025000000-00030,ACETAMINOPHEN 325 MG TABLET,$0.28 
025000000-00092,FERROUS SULFATE 325 MG (65 MG ELEMENTAL) TABLET,$0.60 
025000000-00102,DIPHENHYDRAMINE 12.5 MG/5 ML ORAL LIQUID,$0.60 
025000000-00103,DOXYLAMINE SUCCINATE 25 MG TABLET,$0.60 
025000000-00105,CARBOXYMETHYLCELLULOSE SODIUM 0.5 % EYE DROPPERETTE,$0.60 
025000000-00111,DEXTRAN 70-HYPROMELLOSE (PF) 0.1 %-0.3 % EYE DROPS IN A DROPPERETTE,$0.60 
025000000-00113,SODIUM CHLORIDE 11.7% ORAL SOLUTION (NEONATE),$0.60 
025000000-00121,THIAMINE MONONITRATE 100 MG TABLET,$0.61 
025000000-00134,FLUORESCEIN 1 MG EYE STRIPS,$0.73 
025000000-00145,COENZYME Q10 100 MG CAPSULE,$0.77 
025000000-00160,GLUCOSAMINE SULF SOD.CHLOR-CHONDROITN SULF SODIUM 750 MG-600 MG TABLET,$0.93 
025000000-00181,SODIUM CHLORIDE 3 % FOR NEBULIZATION (RESP),$1.12 
025000000-00192,AMILORIDE 5 MG TABLET,$1.23 
025000000-00214,BECLOMETHASONE DIPROPIONATE 40 MCG/ACTUATION BREATH ACTIVATED AEROSOL (RESP),$1.37 
025000000-00220,SODIUM CHLORIDE 7 % FOR NEBULIZATION,$1.40 
025000000-00264,HYDROXYZINE HCL 25 MG TABLET,$1.83 
025000000-00272,"LIDOCAINE-EPINEPHRINE (PF) 1 %-1:200,000 INJECTION SOLUTION",$1.85 
025000000-00334,METHADONE 5 MG/5 ML ORAL SOLN,$2.21 
025000000-00336,"TOBRAMYCIN (15 MG/ML) FORTIFIED EYE SOLN, 15ML",$2.24 
025000000-00364,COENZYME Q10 200 MG CAPSULE,$2.65 
025000000-00370,UMECLIDINIUM 62.5 MCG-VILANTEROL 25 MCG/ACTUATION POWDR FOR INHALATION,$2.70 
025000000-00384,TETRACAINE 2% - PHENYLEPHRINE 0.25% NASAL SOLUTION,$2.84 
025000000-00388,LEVOTHYROXINE 500 MCG IV SOLUTION,$2.87 
025000000-00391,FLUTICASONE 220 MCG/ACTUATION INHALER (AT BEDSIDE),$2.87 
025000000-00392,FLUTICASONE 220 MCG/ACTUATION INHALER (RESP) ,$2.88 
025000000-00407,CALCIUM CHLORIDE 1 G IN 250 ML NS (CTA),$2.97 
025000000-00437,HYDROXYZINE HCL 50 MG TABLET,$3.24 
025000000-00481,ALUMINUM ACETATE SOLN 1:40 (BUROWS) TOPICAL SOL,$3.65 
025000000-00520,AMOXICILLIN 400 MG/5 ML ORAL SUSPENSION,$4.00 
025000000-00527,ESTAZOLAM 1 MG TABLET,$4.05 
025000000-00539,MAGNESIUM SULFATE (BULK) 100 % CRYSTALS,$4.15 
025000000-00540,ACARBOSE 50 MG TABLET,$4.16 
025000000-00563,"PEDI MULTIVIT NO.46  1,500 UNIT-400 UNIT-IRON 10 MG/ML ORAL DROPS",$4.38 
025000000-00582,LEVOTHYROXINE (SYNTHROID) 10 MCG/ML ORAL SYRINGE (NEONATE),$4.60 
025000000-00587,HYDROXYUREA 500 MG CAPSULE,$4.67 
025000000-00595,DEXAMETHASONE 0.5 MG/5 ML ORAL SOLN,$4.79 
025000000-00607,NORGESTREL-ETHINYL ESTRADIOL 0.3 MG-30 MCG TABLET,$4.95 
025000000-00622,BISOPROLOL 5 MG-HYDROCHLOROTHIAZIDE 6.25 MG TABLET,$5.14 
025000000-00643,RACEPINEPHRINE 2.25 % NEB SOLUTION (RESP),$5.39 
025000000-00646,NABUMETONE 500 MG TABLET,$5.44 
025000000-00674,RACEPINEPHRINE 2.25 % NEB SOLUTION,$5.70 
025000000-00680,CYCLOSPORINE 0.05 % EYE DROPPERETTE,$5.80 
025000000-00683,PEDIATRIC MULTIVITAMIN (AQUADEKS) ORAL LIQUID,$5.81 
025000000-00693,CALCIUM CHLORIDE 2 G IN 250 ML NS (CTA),$5.94 
025000000-00702,LITHIUM CARBONATE 8 MEQ/5ML ORAL SOLUTION,$6.05 
025000000-00704,CATARACT EYE GEL,$6.10 
025000000-00730,"WATER FOR INJECTION, STERILE INJECTION",$6.52 
025000000-00740,BACTERIOSTATIC SODIUM CHLORIDE 0.9 % INJECTION,$6.65 
025000000-00743,BUPIVACAINE (PF) 6.25 MG/ML (0.625 %) IN 8.25 % DEXTROSE INJECTION,$6.70 
025000000-00744,NALTREXONE 50 MG TABLET,$6.72 
025000000-00745,AMINOPHYLLINE 2.5 MG/ML IV SYRINGE (NEONATE_MAINTENANCE),$6.72 
025000000-00758,NABUMETONE 750 MG TABLET,$7.00 
025000000-00777,NORGESTREL-ETHINYL ESTRADIOL 0.5 MG-50 MCG TABLET,$7.30 
025000000-00793,"VANCOMYCIN (25 MG/ML) FORTIFIED EYE DROPS, 15ML",$7.57 
025000000-00794,"VANCOMYCIN (50 MG/ML) FORTIFIED EYE DROPS, 15ML  ",$7.57 
025000000-00822,POVIDONE-IODINE 7.5 % TOPICAL SOLUTION,$8.05 
025000000-00867,CALCIUM CHLORIDE 3 G IN 250 ML NS (CTA),$8.91 
025000000-00870,BUPIVACAINE (PF) 7.5 MG/ML (0.75 %) IN 8.25 % DEXTROSE INJECTION,$8.93 
025000000-00885,POLYVINYL ALCOHOL 1.4 % EYE DROPS,$9.15 
025000000-00897,METOPROLOL 5 MG/5 ML IV,$9.35 
025000000-00901,ANASTROZOLE 1 MG TABLET,$9.45 
025000000-00912,BUPIVACAINE (PF) 0.25 % (2.5 MG/ML) INJECTION,$9.64 
025000000-00921,GABAPENTIN 250 MG/5 ML ORAL SOLUTION,$9.76 
025000000-00940,BUMETANIDE 0.25 MG/ML INJECTION,$10.08 
025000000-00946,FOLIC ACID 5 MG/ML INJECTION,$10.20 
025000000-00947,HYDROXYZINE HCL 10 MG TABLET,$10.20 
025000000-00949,FAMOTIDINE 10 MG/ML IV,$10.20 
025000000-00951,LEVOCARNITINE (WITH SUGAR) 100 MG/ML ORAL SOLN,$10.20 
025000000-00952,TRACE ELEMENTS-PED,$10.20 
025000000-00953,"MAGNESIUM SULFATE 40 GRAM/1,000 ML (4 %) IN WATER INTRAVENOUS SOLUTION",$10.20 
025000000-00954,NITROGLYCERIN 200 MCG/ML-BOLUS FROM BOTTLE,$10.20 
025000000-00955,SODIUM CHLORIDE 0.22% (FOR FLUSHES) 100 ML (NEONATE),$10.20 
025000000-00956,NIACINAMIDE 500 MG TABLET,$10.20 
025000000-00957,SELENIUM 40 MCG/ML IV,$10.20 
025000000-00967,CITRATE DEXTROSE SOLUTION (ACD-A) (CTA),$10.36 
025000000-00969,EPHEDRINE SULFATE 50 MG/ML INJECTION,$10.39 
025000000-00970,"LIDOCAINE-EPINEPHRINE 0.5 %-1:200,000 INJECTION",$10.39 
025000000-00971,DEXTROSE 50 % IN WATER (D50W) IV,$10.40 
025000000-00981,SODIUM CHLORIDE 0.9 % INJECTION,$10.45 
025000000-00982,LIDOCAINE 20 MG/ML (2 %) IV,$10.49 
025000000-00989,HYDROXYZINE HCL 10 MG/5 ML SYRUP,$10.66 
025000000-00990,CEFTAZIDIME (FORTAZ) 280 MG/ML IM INJECTION (NEONATE),$10.66 
025000000-00992,MIRTAZAPINE 15 MG DISINTEGRATING TABLET,$10.70 
025000000-00993,"LIDOCAINE-EPINEPHRINE 2 %-1:100,000 INJECTION",$10.71 
025000000-01001,LIDOCAINE 5 MG/ML (0.5 %) INJECTION,$10.82 
025000000-01006,ESMOLOL 100 MG/10 ML (10 MG/ML) SYRINGE (ECT ANES ONLY),$10.91 
025000000-01008,"CARBAMAZEPINE ER 200 MG TABLET,EXTENDED RELEASE,12 HR",$10.95 
025000000-01021,CYSTEINE (L-CYSTEINE) 50 MG/ML IV,$11.18 
025000000-01023,ENALAPRILAT 1.25 MG/ML IV,$11.20 
025000000-01025,DEXTRAN 70-HYPROMELLOSE 0.1 %-0.3 % EYE DROPS,$11.22 
025000000-01029,"LIDOCAINE-EPINEPHRINE (PF) 1.5 %-1:200,000 INJECTION",$11.24 
025000000-01066,MIRTAZAPINE 30 MG DISINTEGRATING TABLET,$11.78 
025000000-01071,WHITE PETROLATUM-MINERAL OIL 83 %-15 % EYE OINTMENT,$11.89 
025000000-01073,KETAMINE 100 MG/ML INJECTION,$11.99 
025000000-01081,NORETHINDRONE ACETATE 5 MG TABLET,$12.05 
025000000-01084,SODIUM ACETATE 2 MEQ/ML IV,$12.08 
025000000-01085,"BUPIVACAINE-EPINEPHRINE (PF) 0.5 %-1:200,000 INJECTION",$12.08 
025000000-01088,"POTASSIUM CITRATE ER 15 MEQ (1,620 MG) TABLET,EXTENDED RELEASE",$12.10 
025000000-01091,LIDOCAINE (PF) 100 MG/5 ML (2 %) IV SYRINGE,$12.18 
025000000-01102,BUPIVACAINE (PF) 0.5 % (5 MG/ML) INJECTION,$12.34 
025000000-01104,VANCOMYCIN 20 MG/ML OPHTHALMIC INJECTION,$12.40 
025000000-01105,BUPIVACAINE (PF) 0.75 % (7.5 MG/ML) INJECTION,$12.50 
025000000-01116,"BUPIVACAINE-EPINEPHRINE (PF) 0.25 %-1:200,000 INJECTION",$12.77 
025000000-01118,LIDOCAINE (PF) 40 MG/ML (4 %) INJECTION SOLUTION,$12.84 
025000000-01119,TRICHOPHYTON FOR INTRADERMAL SKIN TESTING,$12.85 
025000000-01129,LABETALOL 5 MG/ML IV,$13.07 
025000000-01134,POTASSIUM ACETATE 2 MEQ/ML IV,$13.16 
025000000-01135,SODIUM CHLORIDE 4 MEQ/ML IV,$13.18 
025000000-01140,VECURONIUM BROMIDE 10 MG IV SOLUTION,$13.23 
025000000-01152,TRACE ELEMENTS CR-CU-MN-ZN 0.01 MG-1 MG-0.5 MG-5 MG/ML IV,$13.53 
025000000-01156,KETAMINE 100 MG/10 ML (10 MG/ML) IN N.S. SYRINGE (ECT ANES ONLY),$13.64 
025000000-01167,"GALANTAMINE ER 8 MG 24 HR CAPSULE,EXTENDED RELEASE",$13.75 
025000000-01168,POVIDONE-IODINE 10 % TOPICAL SOLN,$13.76 
025000000-01177,"LIDOCAINE-EPINEPHRINE 1 %-1:100,000 INJECTION",$13.98 
025000000-01183,ROCURONIUM 10 MG/ML IV,$14.15 
025000000-01185,DILTIAZEM 5 MG/ML IV,$14.22 
025000000-01219,DOXEPIN 150 MG CAPSULE,$15.15 
025000000-01244,NEBIVOLOL 10 MG TABLET,$15.94 
025000000-01275,CARBAMIDE PEROXIDE 6.5 % EAR DROPS,$16.93 
025000000-01276,NITROFURANTOIN MONOHYDRATE/MACROCRYSTALS 100 MG CAPSULE,$16.93 
025000000-01284,PHENYLEPHRINE 0.5 % NASAL SPRAY,$17.30 
025000000-01293,"GENTAMICIN (15 MG/ML) FORTIFIED EYE SOLN, 15 ML",$17.80 
025000000-01328,RIFAMPIN 10 MG/ML ORAL SUSPENSION,$19.08 
025000000-01333,GALANTAMINE 8 MG TABLET,$19.20 
025000000-01337,CHLORHEXIDINE GLUCONATE 4 % TOPICAL LIQUID,$19.34 
025000000-01367,CITRATE DEXTROSE SOLUTION (ACD-A) WITH HEPARIN 5000 UNITS (CTA),$20.22 
025000000-01373,FUROSEMIDE (LASIX) 5 MG/ML IV SYRINGE (NEONATE),$20.35 
025000000-01374,ENALAPRILAT (VASOTEC) 10 MCG/ML IV SYRINGE (NEONATE),$20.35 
025000000-01375,ETOMIDATE 2 MG/ML IV,$20.36 
025000000-01377,POTASSIUM ACETATE 0.2 MEQ/ML IV SYRINGE (NEONATE_CENTRAL),$20.40 
025000000-01381,METRONIDAZOLE (FLAGYL) 5 MG/ML IV SYRINGE (NEONATE),$20.50 
025000000-01385,CEFAZOLIN (ANCEF) 20 MG/ML IV SYRINGE (NEONATE),$20.60 
025000000-01387,VANCOMYCIN 10 MG/ML OPHTHALMIC INJECTION,$20.68 
025000000-01390,FLUCONAZOLE (DIFLUCAN) 2 MG/ML IV SYRINGE (NEONATE),$20.75 
025000000-01391,ADENOSINE (ADENOCARD) 0.3 MG/ML IV SYRINGE (NEONATE),$20.80 
025000000-01392,CLINDAMYCIN (CLEOCIN) 6 MG/ML IV SYRINGE (NEONATE),$20.85 
025000000-01395,MAGNESIUM SULFATE 20 GM (160 MEQ)/500 ML WATER PREMIX,$21.03 
025000000-01396,CEFOTAXIME (CLAFORAN) 20 MG/ML IV SYRINGE (NEONATE),$21.03 
025000000-01397,DEXAMETHASONE (DECADRON) 0.25 MG/ML IV SYRINGE (NEONATE),$21.03 
025000000-01398,POTASSIUM CHLORIDE 0.2 MEQ/ML IV SYRINGE (NEONATE_CENTRAL),$21.08 
025000000-01399,HYDROCORTISONE (SOLU CORTEF) 1 MG/ML IV SYRINGE (NEONATE),$21.09 
025000000-01402,GENTAMICIN (GARAMYCIN) 2 MG/ML IV SYRINGE (NEONATE),$21.17 
025000000-01403,DEXTROSE 50 % IN WATER (D50W) IV SYRINGE,$21.20 
025000000-01405,MEROPENEM (MERREM) 20 MG/ML IV SYRINGE (NEONATE),$21.21 
025000000-01406,MAGNESIUM SULFATE 2 GRAM/50 ML (4 %) IV PIGGYBACK,$21.28 
025000000-01411,VANCOMYCIN 5 MG/ML IV SYRINGE (NEONATE),$21.39 
025000000-01414,METHYLPREDNISOLONE (SOLU-MEDROL) 0.5 MG/ML IV SYRINGE (NEONATE),$21.42 
025000000-01422,CEFTAZIDIME (FORTAZ) 20 MG/ML IV SYRINGE (NEONATE),$21.69 
025000000-01425,"OXYMORPHONE ER 10 MG TABLET,EXTENDED RELEASE,12 HR",$21.75 
025000000-01430,"PENICILLIN G POTASSIUM 60,000 UNITS/ML IV SYRINGE (NEONATE)",$22.02 
025000000-01432,POTASSIUM ACETATE 0.08 MEQ/ML IV SYRINGE (NEONATE_PERIPHERA),$22.05 
025000000-01434,CAMPHOR-MENTHOL 0.5 %-0.5 % LOTION,$22.06 
025000000-01435,TOBRAMYCIN 2 MG/ML IV SYRINGE (NEONATE),$22.16 
025000000-01438,SODIUM CHLORIDE 5 % EYE DROPS,$22.25 
025000000-01443,HYDRALAZINE (APRESOLINE) 1 MG/ML IV SYRINGE (NEONATE),$22.45 
025000000-01444,AMPICILLIN 40 MG/ML IV SYRINGE (NEONATE),$22.46 
025000000-01446,POTASSIUM CHLORIDE 0.08 MEQ/ML IV SYRINGE (NEONATE_PERIPHER),$22.53 
025000000-01447,FLUMAZENIL 0.1 MG/ML IV,$22.56 
025000000-01449,NAFCILLIN (UNIPEN) 10 MG/ML IV SYRINGE (NEONATE),$22.63 
025000000-01451,SODIUM PHOSPHATE 0.1 MMOL/ML IV SYRINGE (NEO_CENTRAL),$22.70 
025000000-01460,"NITROGLYCERIN 200MCG/ML IV SYRINGE, 10ML",$22.85 
025000000-01467,POTASSIUM PHOSPHATE 0.1 MMOL/ML IV SYRINGE (NEONATE_CENTRAL,$23.00 
025000000-01471,MAGNESIUM SULFATE 10 MG/ML IV SYRINGE (NEONATE),$23.07 
025000000-01476,PHYTONADIONE 1 MG/5 ML ORAL SOLUTION,$23.20 
025000000-01478,CEFEPIME (MAXIPIME) 20 MG/ML IV SYRINGE (NEONATE),$23.34 
025000000-01483,METRONIDAZOLE (FLAGYL) 0.025 MG/ML ORAL SUSPENSION,$23.53 
025000000-01484,IVERMECTIN 3 MG TABLET,$23.56 
025000000-01487,KETAMINE 50 MG/ML INJECTION,$23.68 
025000000-01509,AZITHROMYCIN IV SYRINGE 2 MG/ML (NEONATE),$24.54 
025000000-01510,DEXTROSE 25 % IN WATER (PEDIATRIC) IV SYRINGE,$24.55 
025000000-01512,BUMETANIDE (BUMEX) 0.125 MG/ML IV SYRINGE (NEONATE),$24.68 
025000000-01517,ACETAZOLAMIDE (DIAMOX) 10 MG/ML IV SYRINGE (NEONATE),$24.89 
025000000-01528,LIPIDS 20% IV SYRINGE 25 ML(NEONATE),$25.15 
025000000-01529,AMINOCAPROIC ACID 250 MG/ML IV,$25.16 
025000000-01534,TINIDAZOLE 500 MG TABLET,$25.38 
025000000-01538,"POLYMYXIN B SULFATE 500,000 UNIT SOLUTION FOR INJECTION",$25.43 
025000000-01548,PIPERACILLIN-TAZOBACTAM (ZOSYN) 30 MG/ML IV SYRINGE (NEONAT),$25.95 
025000000-01562,METRONIDAZOLE (FLAGYL) 0.25 MG/ML ORAL SUSPENSION,$26.40 
025000000-01563,METRONIDAZOLE (FLAGYL) 2.5 MG/ML ORAL SUSPENSION,$26.40 
025000000-01564,METRONIDZOLE (FLAGYL) 25 MG/ML ORAL SUSPENSION,$26.40 
025000000-01565,"BUPIVACAINE-EPINEPHRINE 0.25 %-1:200,000 INJECTION SOLUTION",$26.42 
025000000-01584,"LANSOPRAZOLE 15 MG CAPSULE,DELAYED RELEASE",$27.28 
025000000-01619,CALCIUM GLUCONATE 0.2 MEQ/ML IV SYRINGE (CENTRAL) (NEONATE),$28.31 
025000000-01649,AMIODARONE (CORDARONE) 2 MG/ML IV SYRINGE (NEONATE),$29.35 
025000000-01672,ROCURONIUM 10 MG/ML SYRINGE,$29.90 
025000000-01682,PEDIATRIC AMINO ACID,$30.00 
025000000-01733,CALCIUM CHLORIDE 100 MG/ML (10 %) IV SYRINGE,$31.30 
025000000-01736,CALCIUM GLUCONATE 0.1 MEQ/ML IV SYRINGE (PERIPHERAL) (NEONA),$31.35 
