,,,,,,,,,,,
Service or Items Charge Description,Short Description, Estimated Charge ,,Disclaimer:  These charge amounts are an estimate. The charge amounts you receive for the services provided may vary.,,,,,,,
 ADL RETRAINING,OT ADL RETRAI, 100.00 ,,,,,,,,,
 SINGLE WOUND CAUT,ABRASION LESI, 410.00 ,,,,,,,,,
******SIMVASTATIN (ZOCOR) 40MG TAB,, 26.86 ,,,,,,,,,
*****MOXIFLOXACIN 400MG/250ML PREMIX,, 196.85 ,,,,,,,,,
****SIMVASTATIN (ZOCOR) 20MG TAB,, 26.86 ,,,,,,,,,
**ZOLPIDEM (AMBIEN) 10MG TAB-DO NOT USE,**, 16.53 ,,,,,,,,,
.CHEM 7,.CHEM 7, 140.00 ,,,,,,,,,
".HEM PROF,W/AUTO DIFF",.HEM PROF/DIF, 63.96 ,,,,,,,,,
.HEMAT. PROFILE,.HEM. PROF, 53.22 ,,,,,,,,,
.INFLUENZA A,.INFLUENZA A, 98.64 ,,,,,,,,,
.INFLUENZA B,.INFLUENZA B, 98.64 ,,,,,,,,,
.MANUAL DIFF,.MANUAL DIFF, 28.26 ,,,,,,,,,
.T3-FREE,.T3-FREE, 72.00 ,,,,,,,,,
.T-4,.T-4, 74.00 ,,,,,,,,,
.U/A - MICROSCOPIC,.U/A-MICRO, 26.10 ,,,,,,,,,
.U/A- MACRO,.U/A-MACRO, 18.48 ,,,,,,,,,
.URINALYSIS,.URINALYSIS, 90.00 ,,,,,,,,,
=>CANCEL RAD ORDER<=,=>CANCEL ORDE, 20.00 ,,,,,,,,,
1/2 NS  1000ML,0.45% NS 1000, 30.00 ,,,,,,,,,
17 ALPHA HYDROXYPROGESTERONE,17 ALPHA HYDR, 223.62 ,,,,,,,,,
17 HYDROXYCORTICOSTEROIDS,17 HYDROXYCOR, 144.24 ,,,,,,,,,
17 HYDROXYPREGNELONE,17 HYDROXYPRE, 114.00 ,,,,,,,,,
17-OH-PROGESTERONE,17-OH-PROGEST, 223.62 ,,,,,,,,,
1N/P VISIT LEVEL 3,N/P LEVEL 3, 285.42 ,,,,,,,,,
5 NUCLOTIDASE,5 NUCLOTIDASE, 91.80 ,,,,,,,,,
A.PHAGOCYTOPHILUM (PCR),A.PHAGOCYTOPH, 226.00 ,,,,,,,,,
ABDOMEN  LAT DECUB ONLY  1 VIEW,ABDOMEN LAT D, 171.00 ,,,,,,,,,
ABDOMEN - LAT DECUB/BILATERAL,ABDOMEN - LAT, 327.00 ,,,,,,,,,
ABDOMEN  LAT ONLY 1 VIEW,ABDOMEN  LAT, 167.00 ,,,,,,,,,
ABDOMEN - MULTIPLE VIEWS,ABDOMEN - MUL, 239.00 ,,,,,,,,,
ABDOMEN 1V,ABD 1V, 186.36 ,,,,,,,,,
ABDOMEN 2 VIEW,ABDOMEN 2V, 343.38 ,,,,,,,,,
ABDOMEN 3 OR MORE VIEWS,ABD 3 OR MORE, 343.38 ,,,,,,,,,
ABDOMEN ACUTE F UP PA AND CHEST,ABDOMEN ACUTE, 321.00 ,,,,,,,,,
ABDOMEN FLAT PLATE/1 VIEW,ABDOMEN FLAT, 171.00 ,,,,,,,,,
ABDOMEN IN O R,ABDOMEN IN O, 268.00 ,,,,,,,,,
ABDOMEN UPRIGHT,ABDOMEN - UPR, 171.00 ,,,,,,,,,
ABSCESS - SINGLE 10060,ABSCESS - SIN, 447.00 ,,,,,,,,,
ABSCESS -COMPLICATED 10061,ABSCESS - COM, 837.00 ,,,,,,,,,
ABSORBABLE GELATIN SPONGE SIZE 100,ABSORBABLE GE, 114.31 ,,,,,,,,,
AC JOINT  BILAT W/WO WEIGHTS,AC JOINT  BI, 257.00 ,,,,,,,,,
ACAPELLA DEVICE,ACAPELLA DEVI, 150.00 ,,,,,,,,,
ACETAMINOPH/CODEINE ORAL LIQ 5ML UDC,ACETAMINOPHEN, 12.00 ,,,,,,,,,
ACETAMINOPHEN,ACETAMINOPHEN, 705.90 ,,,,,,,,,
ACETAMINOPHEN (TYLENOL) 120MG SUPP,ACETAMINOPHEN, 5.00 ,,,,,,,,,
ACETAMINOPHEN (TYLENOL) 325MG SUPP,ACETAMINOPHEN, 5.00 ,,,,,,,,,
ACETAMINOPHEN (TYLENOL) 325MG TAB,TYLENOL 325MG, 5.00 ,,,,,,,,,
