(2) QUICK RELEASE PINS,375
(2) TROCAR POINT PIN,375
(2) TROCAR POINT PIN THREADED,375
(2)TROCAR POINT PIN 3.2MM,375
"(4) HOLDING PINS, MINI HEAD",375
(4) HOLDINGPINS MINI HEAD,375
*CATHETER BARTHOLIN GLAND,3000
*PTA FEMORAL/POPLITEAL ART LT,29968
.014 GUIDEWIRE,362.5
".035 X 4"" K-WIRE",87.5
".035 X 6"" K-WIRE",87.5
.035X4 GUIDEWIRE,100
".045 X 4"" K-WIRE",75
".045 X 6"" K-WIRE",100
".045 X 6"" K-WIRE (GUIDEWIRE)",75
".045X4"" K-WIRE",100
.045X6'' KWIRE,88.75
".062 X 2.5"" PHALANX GUIDE PIN",250
".101 X 2.5"" METATARSAL GUIDE PIN",250
.35 WIRE,84.28
.62 KWIRES,46.25
.62 WIRE,101.13
.9 GUIDEWIRE,9
.9MM KWIRE,107.5
0.045 K WIRE,25
0.062 K WIRE,25
0.14 GUIDEWIRE,362.5
"0.35X4"" K-WIRE",100
0.35X6 GUIDE WIRE,87.5
"0.35X6"" K-WIRE",100
0.45 GUIDEWIRE,52.25
0.8MM GUIDE WIRE,211.6
0.8MM K- WIRE,75
0.9 GUIDEWIRE 451-1136,107.5
0.9 GUIDEWIRE KN1115,160
0.9 K-WIRE,160
0.9 WIRE,175
0.9 WIRE KN1115 STRYKER,160
0.9MM K WIRE KN1115,160
0.9MM TROCAR TIP WIRE,84.28
1 X 8 LOW IMPEDANCE EXTENSION KIT,1625
1.0 DRILL,243.75
1.0MM DRILL BIT 60-19326 STRYKER,247.5
1.1 DRILL BIT WITH STOP,468
1.1 X 100MM OLIVE WIRE,255.98
1.15 K- WIRE,175
1.1MM DRILL BIT/K-WIRE ATTCHMT FOR THREADED HOLE/70MM,264.9
1.1MM DRILL BIT/MQC FOR THREADED HOLE/56MM,264.9
1.1MM KWIRE,107.5
1.2 K-WIRE KN1117,175
1.2 X 5 SCREW GUIDE PIN,485
1.2MM WIRE KN1117 STRYKER,160
1.3 X 140 GUIDE PIN BAY PT,75.2
1.35 PIN,19
1.35MM GUIDEWIRE,19
1.4 DRILL,247.5
1.4 DRILL 60-14326 STRYKER,247.5
1.4 DRILL 60.14326,247.5
1.4 KWIRE,238.5
1.4 X 150MM GUIDEWIRES,755
1.4MM DRILL BIT,439.5
1.4MM K-WIRE THRD,238.5
1.4MM SMOOTH K-WIRE,685
1.5 DRILL,260.48
1.5 DRILL LONG,260.48
1.5 GLENO GUIDE PIN  230796000,262.5
"1.5 MM GUIDE WIRE 12""",305.73
"1.5 MM GUIDEWIRE 12""",305.73
1.5 X 300 GLENO GUIDE PIN,262.5
1.5MM DILL LONG,260.48
1.5MM DRILL,260.48
