OSHPD Facilty No. 106364050,,,,
Canyon Ridge Hospital ,,,,
List of Charges for 25 common Outpatient procedures,,,,
(as of 06/01/2018),,,,
,,,,
,AB 1045 Reporting Requirements and Payers' Bill of Rights,,,
,,,,
#,Service Code,Description,CPT Code,PRICE
1,916100-1,ADULT PSYCH GROUP THERAP,90853, 240.00 
2,916101-9,ADULT PSYCH GRP THERAPY,90853, 240.00 
3,916102-7,ADULT ACTIVITY THERAPY,G0176, 150.00 
4,916103-5,ADULT PROCESS GROUP,G0411, 240.00 
5,916104-3,ADULT GROUP PSYCHOTHERAPY,G0410, 240.00 
6,916105-0,ADULT PATIENT EDUCATION,G0177, 180.00 
7,917100-0,IOP ADULT PSYCH GROUP THERAPY,90853, 240.00 
8,917101-8,ADULT PSYCH GROUP THERAPY,90853, 240.00 
9,917102-6,ADULT ACTIVITY THERAPY,90853, 150.00 
10,917103-4,PHP ACTIVITY THERAPY,90853, 240.00 
11,917104-2,PHP GROUP THERAPY,90853, 240.00 
12,917105-9,PHP PSYCH EDUCATION THERAPY,90853, 180.00 
13,917106-7,IOP ADOL PSYCH GROUP THERAPY,90853, 240.00 
14,917107-5,IOP ADOL EDUCATION THERAPY,90853, 240.00 
15,917110-9,GERO PHP MCR GROUP THERAPY,G0411, 240.00 
16,917111-7,GERO PHP MCR PROCESS GROUP,G0410, 240.00 
17,917116-6,GERO PHP TRAINING AND EDUCATION,90853, 180.00 
18,917117-4,GERO PHP GROUP THERAPY,90853, 240.00 
19,917118-2,GERO PHP ACTIVITY THERAPY,90853, 240.00 
20,917119-0,GERO PHP MCR TRAINING AND ED,G0177, 180.00 
21,921000-6,IOP ADOL EDUCATION THERAPY,90853, 200.00 
22,921200-2,IOP ADOL PSYCH GROUP THERAPY,90853, 200.00 
23,921500-5,IOP GERO PSYCH GROUP THERAPY,90853, 240.00 
24,921501-3,IOP GERO MCR GROUP THERAPY,90853, 240.00 
25,921600-3,IOP ADULT PSYCH GROUP THERAPY,90853, 200.00 
