Average Hospital Charges by standard diagnosis groupings (MSDRG) relevant to the CMS guidelines.,,,,
"Hospital Charges (Chargemaster Rates)  include hospital services, pharmaceuticals and supply items necessary to treat patients. ",,,,
"Drug prices may vary based on dosage, supplier's availability and cost to hospital. Supply prices may vary based on manufacturer's cost to hospital.",,,,
"Hospital charges can help patients understand potential costs for certain health care services, but they don’t provide a full picture of what patients will pay. ",,,,
The patient's financial liability will depend on the full course of treatment and on the type of insurance coverage.  ,,,,
Patients and consumers are encouraged to speak to their providers and health plan to get a full picture of what they will pay.  ,,,,
"For our patients, we offer financial counseling for those experiencing hardship during any point throughout their care.",,,,
,,,,
Facility,MS DRG,Description,Number of Claims, Average Proposed Charge 
COVENANT MEDICAL CENTER,003,"Ecmo Or Trach W Mv >96 Hrs Or Pdx Exc Face, Mouth & Neck W Maj O.R.",29," $1,097,334 "
COVENANT MEDICAL CENTER,004,"Trach W Mv >96 Hrs Or Pdx Exc Face, Mouth & Neck W/O Maj O.R.",25," $1,157,525 "
COVENANT MEDICAL CENTER,011,"Tracheostomy For Face, Mouth & Neck Diagnoses Or Laryngectomy W Mcc",4," $269,440 "
COVENANT MEDICAL CENTER,012,"Tracheostomy For Face, Mouth & Neck Diagnoses Or Laryngectomy W Cc",1," $559,086 "
COVENANT MEDICAL CENTER,016,Autologous Bone Marrow Transplant  W Cc/Mcc Or T-Cell Immunotherapy,8," $572,714 "
COVENANT MEDICAL CENTER,020,Intracranial Vascular Procedures W Pdx Hemorrhage W Mcc,3," $613,527 "
COVENANT MEDICAL CENTER,021,Intracranial Vascular Procedures W Pdx Hemorrhage W Cc,3," $729,391 "
COVENANT MEDICAL CENTER,023,Craniotomy W Major Device Implant Or Acute Cns Pdx W Mcc Or Chemotherapy Implant Or Epilepsy W Neuro,27," $324,011 "
COVENANT MEDICAL CENTER,024,Cranio W Major Dev Impl/Acute Complex Cns Pdx W/O Mcc,6," $264,664 "
COVENANT MEDICAL CENTER,025,Craniotomy & Endovascular Intracranial Procedures W Mcc,58," $283,066 "
COVENANT MEDICAL CENTER,026,Craniotomy & Endovascular Intracranial Procedures W Cc,27," $206,887 "
COVENANT MEDICAL CENTER,027,Craniotomy & Endovascular Intracranial Procedures W/O Cc/Mcc,24," $202,615 "
COVENANT MEDICAL CENTER,028,Spinal Procedures W Mcc,6," $372,555 "
COVENANT MEDICAL CENTER,029,Spinal Procedures W Cc Or Spinal Neurostimulators,9," $203,977 "
COVENANT MEDICAL CENTER,030,Spinal Procedures W/O Cc/Mcc,2," $125,635 "
COVENANT MEDICAL CENTER,031,Ventricular Shunt Procedures W Mcc,4," $1,030,222 "
COVENANT MEDICAL CENTER,032,Ventricular Shunt Procedures W Cc,3," $105,812 "
COVENANT MEDICAL CENTER,033,Ventricular Shunt Procedures W/O Cc/Mcc,4," $97,869 "
COVENANT MEDICAL CENTER,034,Carotid Artery Stent Procedure W Mcc,1," $368,871 "
COVENANT MEDICAL CENTER,035,Carotid Artery Stent Procedure W Cc,4," $134,223 "
COVENANT MEDICAL CENTER,036,Carotid Artery Stent Procedure W/O Cc/Mcc,5," $98,239 "
COVENANT MEDICAL CENTER,037,Extracranial Procedures W Mcc,3," $213,513 "
COVENANT MEDICAL CENTER,038,Extracranial Procedures W Cc,23," $147,187 "
COVENANT MEDICAL CENTER,039,Extracranial Procedures W/O Cc/Mcc,41," $118,066 "
COVENANT MEDICAL CENTER,040,Periph/Cranial Nerve & Other Nerv Syst Proc W Mcc,11," $336,383 "
COVENANT MEDICAL CENTER,041,Periph/Cranial Nerve & Other Nerv Syst Proc W Cc Or Periph Neurostim,4," $131,299 "
COVENANT MEDICAL CENTER,042,Periph/Cranial Nerve & Other Nerv Syst Proc W/O Cc/Mcc,2," $61,830 "
COVENANT MEDICAL CENTER,053,Spinal Disorders & Injuries W/O Cc/Mcc,1," $89,219 "
COVENANT MEDICAL CENTER,054,Nervous System Neoplasms W Mcc,30," $92,713 "
COVENANT MEDICAL CENTER,055,Nervous System Neoplasms W/O Mcc,7," $138,361 "
COVENANT MEDICAL CENTER,056,Degenerative Nervous System Disorders W Mcc,10," $119,424 "
COVENANT MEDICAL CENTER,057,Degenerative Nervous System Disorders W/O Mcc,14," $130,344 "
COVENANT MEDICAL CENTER,058,Multiple Sclerosis & Cerebellar Ataxia W Mcc,1," $186,329 "
COVENANT MEDICAL CENTER,059,Multiple Sclerosis & Cerebellar Ataxia W Cc,5," $133,868 "
COVENANT MEDICAL CENTER,060,Multiple Sclerosis & Cerebellar Ataxia W/O Cc/Mcc,3," $159,663 "
COVENANT MEDICAL CENTER,061,"Ischemic Stroke, Precerebral Occlusion Or Transient Ischemia W Thrombolytic Agent W Mcc",8," $212,859 "
COVENANT MEDICAL CENTER,062,"Ischemic Stroke, Precerebral Occlusion Or Transient Ischemia W Thrombolytic Agent W Cc",14," $138,681 "
COVENANT MEDICAL CENTER,063,"Ischemic Stroke, Precerebral Occlusion Or Transient Ischemia W Thrombolytic Agent W/O Cc/Mcc",3," $102,179 "
COVENANT MEDICAL CENTER,064,Intracranial Hemorrhage Or Cerebral Infarction W Mcc,143," $139,432 "
COVENANT MEDICAL CENTER,065,Intracranial Hemorrhage Or Cerebral Infarction W Cc Or Tpa In 24 Hrs,149," $91,529 "
COVENANT MEDICAL CENTER,066,Intracranial Hemorrhage Or Cerebral Infarction W/O Cc/Mcc,48," $73,376 "
COVENANT MEDICAL CENTER,067,Nonspecific Cva & Precerebral Occlusion W/O Infarct W Mcc,1," $90,069 "
COVENANT MEDICAL CENTER,069,Transient Ischemia W/O Thrombolytic,44," $63,659 "
COVENANT MEDICAL CENTER,070,Nonspecific Cerebrovascular Disorders W Mcc,37," $129,809 "
COVENANT MEDICAL CENTER,071,Nonspecific Cerebrovascular Disorders W Cc,17," $100,881 "
COVENANT MEDICAL CENTER,072,Nonspecific Cerebrovascular Disorders W/O Cc/Mcc,7," $72,343 "
COVENANT MEDICAL CENTER,073,Cranial & Peripheral Nerve Disorders W Mcc,10," $104,298 "
COVENANT MEDICAL CENTER,074,Cranial & Peripheral Nerve Disorders W/O Mcc,15," $80,325 "
COVENANT MEDICAL CENTER,075,Viral Meningitis W Cc/Mcc,2," $151,313 "
