Charge Item,CHARGE,Price
295346,Pathology Billing Surgical Pathology Level I Complexity,30.5
295348,Pathology Billing Surgical Pathology Level II Complexity,68.5
295350,Pathology Billing Surgical Pathology Level III Complexity,95.5
295352,Pathology Billing Surgical Pathology Level IV Complexity,109.5
295354,Pathology Billing Surgical Pathology Level V Complexity,145.5
295356,Pathology Billing Surgical Pathology Level VI Complexity,174
295360,Pathology Billing Decalcification,47
295362,Pathology Billing Special Stains Group I,109.5
295364,Pathology Billing Special Stains Group II,95.5
295380,Pathology Billing Non-Gyn Cytology,46.5
295386,Pathology Billing FNA Immediate Read,240.5
295388,Pathology Billing FNA Interp and Report,101.5
592809,Pathology Billing Non-Gyn Cytology Concentration Technique,46.5
592815,Pathology Billing Frozen add'l block,60.5
592817,Pathology Billing Frozen Single Specimen,73.5
592827,Pathology Billing Peripheral Smear w/ Path Interp,37
593516,Protein Urine Dipstick,33
607617,Blood Glucose Monitoring POC,42
607619,Urine Dipstick POC,33
631567,Amylase Level,45.5
631615,Emergency Department Visit Level 1,165.5
631616,Emergency Department Visit Level 2,276
631617,Emergency Department Visit Level 3,496.5
631618,Emergency Department Visit Level 4,827
631619,Emergency Department Visit Level 5,1323
633594,Glucose Random,39.5
633595,Glucose 30 Minutes,39.5
633597,Glucose 1 Hour,37.5
633600,Glucose 3 Hour,37.5
633603,Glucose Body Fluid,71.5
633604,Glucose Cerebrospinal Fluid,36.5
633605,Blood Urea Nitrogen,45.5
633606,Creatinine,45.5
633607,Creatinine Urine,39.5
633610,Electrolyte Panel,71.5
633611,Sodium Level,45.5
633612,Sodium Level Urine,25.5
633616,Potassium Level,45.5
633617,Potassium Level Urine,40
633621,Chloride Level,45.5
633622,Chloride Level Urine,25.5
633624,Chloride Level Body Fluid,45.5
633625,Chloride Level Cerebrospinal Fluid,36.5
633626,Carbon Dioxide Level,95.5
633627,Carboxyhemoglobin Level,50.5
633628,Basic Metabolic Panel,65.5
633629,Acetaminophen Level,133.5
633630,Acid Phosphatase,7.6
633631,Activated Clotting Time iSTAT,19
633632,Alanine Aminotransferase,46.5
633633,Aspartate Aminotransferase,49
633634,Albumin Level,68
633636,Albumin Level Body Fluid,2.83
633639,Aldolase,8.71
633640,Aldosterone,44.37
633642,Alkaline Phosphatase,46.5
633643,Alpha Fetoprotein Tumor Marker,12.03
633644,Aluminum Level,19.72
633645,Amikacin Level (ARUP),13.76
633648,Ammonia Level,111.5
633656,"Anti-Neutrophil Cytoplasmic Antibody, IgG",10.87
633659,Antithrombin III Assay,10.47
633660,Arsenic Level,20.66
633663,Beta-human Chorionic Gonadotropin Qualitative,45.5
633664,Beta-human Chorionic Gonadotropin Qualitative Urine,39.5
633665,Beta-Human Chorionic Gonadotropin Quantitative,133.5
633670,Bilirubin Direct,46.5
633672,Bilirubin Total,45.5
633675,Blood Gas Arterial,357
633678,Bordetella Pertussis Antibody,14.36
633684,C3 Complement,10.51
633685,C4 Complement,10.51
633689,"Calcium, Ionized, Serum",12.24
633690,Calcium Level Total,46.5
633692,Cancer Antigen 125,18.71
633694,Carbamazepine Level,102.5
633697,Carcinoembryonic Antigen,100.5
633698,Cardiolipin Antibody Screen,17.5
633700,Cell Count w/ Diff Cerebrospinal Fluid,25
633703,Cholesterol High Density Lipid,49
633705,Cholesterol Total,45.5
633707,Cold Agglutinins,54.5
633709,Comprehensive Metabolic Panel,97.5
633710,Cortisol,97.5
633712,Creatine Kinase,75
633713,CKMB,130
633714,Creatine Kinase Isoenzymes,18.1
633716,C-Reactive Protein,111.5
633717,Cryoglobulin,5.32
633718,D-Dimer,134
633719,Digoxin Level,100.5
633721,Eosinophil Smear Nasal,94.5
633722,Eosinophil Urine,23.5
633723,"Estradiol, Adult Premenopausal Female, Serum or Plasma",24.71
633724,Estriol Level,26.33
633725,Ethanol Level,77.5
633726,Ferritin,91
633728,Fibrinogen,127
633729,Folate Level,27
633730,Follicle Stimulating Hormone Level,16.41
633732,Fructosamine,16.41
633733,Gamma Glutamyl Transferase,46.5
633734,Gastrin Level,19.5
633735,Gentamicin Level,127
633738,Glucagon Level,15.55
633739,Haptoglobin,10.99
633741,Hemoglobin,72.5
633742,Hematocrit,27
633743,Hemoglobin A1c,54.5
633744,Hepatic Function Panel,100.5
633747,Hepatitis A Antibody IgM Acute Titer (ARUP),9.91
633748,Hepatitis B Core Antibody IgG + IgM,10.83
633750,Hepatitis B Core Antibody IgM Acute Titer (ARUP),10.37
633751,Hepatitis B Surface Antibody,16.58
633752,Hepatitis B Surface Antigen (ARUP),9.12
633753,Hepatitis Be Antibody,4.68
633754,Hepatitis Be Antigen,10.4
633755,Hepatitis C Antibody IgM + IgG,12.57
633756,"Hepatitis Panel, Acute",41.79
633758,Homocystine Total,15.18
633765,Iron Level,68.5
633769,Ketones Urine,25.5
633770,Lactate Dehydrogenase,46.5
633771,Lactate Dehydrogenase Body Fluid,46.5
633772,Lactic Acid,66.5
633774,Lead Level,10.63
633776,Lipase Level,45.5
633777,Lipid Panel,97.5
633778,Lithium Level,5.95
633779,Luteinizing Hormone,16.38
633780,Lupus Anticoagulant Reflexive Panel,37.5
633781,Magnesium Level,75
633784,Malaria Smear,22
633785,Mononucleosis Screen,52
633787,Occult Blood Gastric Fluid,36.5
633788,Occult Blood Stool,25
633791,Osmolality,5.92
633792,Osmolality Urine,6.02
633793,Prothrombin Time/INR,41
633794,Partial Thromboplastin Time,70
633796,pH Body Fluid,67.5
633800,Phenobarbital Level,102.5
633801,Phenytoin Level Total,102.5
633803,Phosphorus Level,45.5
633806,Phosphorus Level Urine,5.63
633807,Platelet Count,28.5
633808,Progesterone Level,18.3
633809,Prolactin Level,17.11
633810,Prostate Specific Antigen,86
633811,Protein 24 Hour Urine,81
633812,Protein Body Fluid,35
633813,Protein CSF,36.5
633818,Protein Total,25
633819,Protein Urine,68
633820,Rapid Plasma Reagin (RPR) Test,8
633822,Reticulocyte Count Manual,45.5
633829,Salicylate Level,66
633830,Sedimentation Rate Non-automated,55.5
633831,Semen Analysis Complete,89.5
633833,Triiodothyronine,12.59
633835,T3 Resin Uptake,71.5
633836,T3 Reverse,55.5
633837,"Testosterone Free, Adult Male",28.15
633838,"Testosterone Level Total, Males",22.8
633839,Theophylline Level,106.5
633840,Thyroglobulin,24
633841,Thyroglobulin Antibody,14.11
633844,Thyroid Stimulating Hormone,116.5
633845,Thyroxine,246
633846,Thyroxine Free,83
