CDMCHRG#,CDMDSC,NEWPRICE,STAT
174,2WST OVERFLOW IN SSU,6855,
554,MED SURG GYN,5006,
10033,EDIP - 2NE,6855,
10041,EDIP - ITCU OBSERVATION,504,
10108,2NE MED/SURGICAL SEMI-PRIVATE:ACUTE,6855,
10157,2W MED/SURGICAL SEMI-PRIVATE: ACUTE,6855,
10173,NORMAL/SURG OVFL IN SSU,6855,
10199,OCU STD ROOM-NO CHARGE,0,1
10306,MED/SURGICAL: OVERFLOW IN CCU,6855,
10355,MED/SURG OVERFLOW IN TCU,6855,
10371,MED/SURG OVERFLOW IN CIU,6855,
10553,OB POST PARTUM ROOM,5006,
10728,ACUTE REHABILITATION ROOM CHARGE,5491,
10959,PAR - ORPA RECOVERY ROOM,0,1
20032,EDIP - CIU,13266,
20040,EDIP - 2WOF OBSERVATION,285,
20107,2NE ONCOLOGY,7288,
20156,2W ONCOLOGY,7288,
20172,CCU OVERFLOW IN SSU,17689,
20198,2NE MD/SURG OVFL IN OCU,6855,
20552,PEDS ROOM,7164,
20958,TCU PATIENT IN ORPA AT MIDNITE,12084,
30031,EDIP - CCU CRITICAL CARE LEVEL,17689,
30049,EDIP - 2NE OBSERVATION,285,
30171,TCU OVERFLOW IN SSU,12084,
30197,2NE OBS OVFL IN OCU,285,
30205,NICU 1:3 CARE,25205,
30304,CRITICAL CARE (CCU),17689,
30551,POST PARTUM HIGH RISK,12022,
30742,2WST ONC OVFL IN 2WOF,7288,
30957,CCU PATIENT IN ORPA AT MIDNITE,17689,
40030,EDIP - 2WST,6855,
40048,EDIP - 2WST OBSERVATION,285,
40105,TCU OBS IN 2NE,504,
40170,2NE MD/SURG OVFL IN SSU,6855,
40196,CCU OBSERVATION OVERFLOW IN OCU,716,
40204,NICU 1:2 INTENSIVE CARE,28735,
40303,CCU ROOM GEN 1:1,18535,
40550,HIGH RISK LABOR ROOM,11672,
40956,CIU PATIENT IN ORPA AT MIDNITE,13266,
50039,EDIP - ITCU LEVEL,12084,
50047,EDIP - PEDS OBSERVATION,298,
50104,TCU OVERFLOW IN 2NE,12084,
50179,2NE OBS OVFL IN SSU,285,
50195,CCU OVERFLOW IN OCU,17689,
50203,NICU 1:1 INTENSIVE CARE,30690,
50302,TCU OVFL IN CCU,12084,
50351,TCU INTERMEDIATE CARE,12084,
50377,CIU CARDIAC INTERVENTION UNIT,13266,
50559,LD OBSERVATION,215,
50740,2WST ONC OBS OVFL IN 2WOF,277,
50955,2W PATIENT IN ORPA AT MIDNITE,6855,
60038,EDIP - PEDS,7164,
60046,EDIP - OBGYN OBSERVATION,209,
60103,2NE OBSERVATION,285,
60152,2W OBSERVATION,285,
60301,CCU OBSERVATION,737,
60350,TCU OBSERVATION,504,
60376,CIU OBSERVATION,553,
60558,M/S/G OBS,199,
70037,EDIP - LABOR,5006,
70045,EDIP - CCU OBSERVATION,737,
70177,2WST OBS OVFL IN SSU,285,
70300,CCU 2 NURSES TO ONE PATIENT,21467,
70375,MED/SURG OVFL OBS IN CIU,285,
70557,PEDS OBSERVATION ON OB,298,
70748,2WST OVERFLOW IN 2WOF,6855,
70953,2NE MD/SURG OVFL IN ORPA,6855,
80036,EDIP - 2WOF,6855,
80044,EDIP - CIU OBSERVATION,553,
80101,CIU OVERFLOW IN 2NE,11732,
80176,TCU OBS IN SSU,504,
80192,TCU OVERFLOW IN OCU,12084,
80358,CIU OVERFLOW IN TCU,13266,
80374,TCU OVERFLOW IN CIU,12084,
80457,NEWBORN II ON NURSERY,6955,
80556,LD ANTE/POST PARTUM HIGH RISK,12022,
80747,2WST OBS OVFL IN 2WOF,285,
80952,2WOF PATIENT IN ORPA AT MIDNITE,6855,
90035,EDIP-STD ZERO CHRG-NO DR. ORDER YET,0,1
90043,EDIP-OBS DUMMY CHRG,0,1
90175,CCU OBS OVFL IN SSU,716,
90191,TCU OBS IN OCU,504,
90373,TCU OVERFLOW OBSERVATION,489,
90456,NURSERY,3266,
90555,LD LABOR ROOM,5006,
503854,AUDITOR EVOKE POTENT LIMIT,543,
503920,AD EVOKED POTENTIALS LIM,543,
504449,ECHO NEONATAL COMPLETE,1155,
504464,DOPPLER ECHOCARDIOGRAPH COMPLETE,1573,
504480,ECHO DOPPLER COLOR FLOW,865,
504621,TRANSFUS BLOOD/BLOOD COMP,700,
504647,TRANSFUSION BLOOD/BLOOD COMP,700,
504662,TRANSFUSION BLOOD/BLOOD COMP,700,
504688,TRANSFUSION BLOOD/BLOOD COMP,700,
504720,ADMIN INFLUENZA VACCINE,145,
504746,ADMIN PNEUMO VACCINE,145,
504761,ADMIN HEP B VACCINE,145,
504787,ADMIN INFLUENZA VACCINE,145,
504803,ADMIN PNEUMO VACCINE,145,
504829,ADMIN HEP B VACCINE,145,
504845,ADMIN INFLUENZA VACCINE,145,
504860,ADMIN PNEUMO VACCINE,145,
504886,ADMIN HEP B VACCINE,145,
504902,ADMIN INFLUENZA VACCINE,145,
504928,ADMIN PNEUMO VACCINE,145,
504936,ADMIN INFLUENZA VACCINE,145,
504944,ADMIN HEP B VACCINE,145,
504951,ADMIN PNEUMO VACCINE,145,
504969,ADMIN INFLUENZA VACCINE,145,
504977,ADMIN HEP B VACCINE,145,
504985,ADMIN PNEUMO VACCINE,145,
504993,ADMIN INFLUENZA VACCINE,145,
505008,ADMIN HEP B VACCINE,145,
505016,ADMIN PNEUMO VACCINE,145,
505024,ADMIN INFLUENZA VACCINE,145,
505032,ADMIN HEP B VACCINE,145,
505040,ADMIN PNEUMO VACCINE,145,
505065,ADMIN HEP B VACCINE,145,
505107,TRANSFUSION BLOOD/BLOOD COMP,706,
505123,ADMIN INFLUENZA VACCINE,145,
505131,TRANSFUSION BLOOD/BLOOD COMP,706,
505149,ADMIN PNEUMO VACCINE,145,
505164,ADMIN HEP B VACCINE,145,
505172,DIRECT ADMISSION FOR OBSV,903,
505180,DIRECT ADMISSION FOR OBSV,903,
505198,DIRECT ADMISSION FOR OBSV,903,
505206,DIRECT ADMISSION FOR OBSV,903,
505214,DIRECT ADMISSION FOR OBSV,903,
505222,DIRECT ADMISSION FOR OBSV,903,
505230,INJ TX/DX/PROPH SUBQ/IM,243,
505248,LUMBAR PUNCTURE DIAGNOSTC,1208,
505255,LUMBAR PUNCTURE DIAGNOSTC,1208,
505263,LUMBAR PUNCTURE DIAGNOSTC,1208,
505271,LUMBAR PUNCTURE DIAGNOSTC,1208,
505289,LUMBAR PUNCTURE DIAGNOSTC,1208,
505297,LUMBAR PUNCTURE DIAGNOSTC,1208,
505305,LUMBAR PUNCTURE DIAGNOSTC,1208,
505313,THORACENTESIS W IMAGING,1563,
505321,THORACENTESIS W IMAGING,1563,
505339,THORACENTESIS W IMAGING,1563,
505347,THORACENTESIS W IMAGING,1563,
505354,THORACENTESIS W IMAGING,1563,
505362,THORACENTESIS W IMAGING,1563,
505370,THORACENTESIS W IMAGING,1563,
600197,ADMIN INFLUENZA VACCINE,145,
600213,ADMIN PNEUMO VACCINE,145,
600221,TRANSFUSION BLOOD/BLOOD COMP,706,
600239,ADMIN HEP B VACCINE,145,
600247,LUMBAR PUNCTURE DIAGNOSTC,1208,
600254,THORACENTESIS W IMAGING,1563,
1000181,OCT - STRESS TEST,1632,
1000249,FETAL NON-STRESS TEST,1172,
1000371,AMNIOINFUSION,2415,
1000447,EPIDURAL PLACEMENT,3034,
1001494,VERSION,2820,
1001809,CERCLAGE REMOVAL,3950,
1001874,OUTPATIENT LABOR EXAMINATION EST PT,413,
1001957,DELIVERY VAGINAL HIGH RSK,8598,
1001973,SURGERY LEVEL 1 1ST 30MIN,4304,
1002039,SURGERY LEVEL 3 1ST 30MIN,7272,
1002047,INSERT CERVICAL DILATOR,403,
1002054,SURGERY LEVEL 3 ADD 15MIN,2182,
1002112,DELIVERY VAGINAL ROUTINE,7219,
1002138,DELIVERY OF PLACENTA,5916,
1002153,SURGERY LEVEL 1 ADD 15MIN,1291,
1002179,DIRECT ADMISSION FOR OBSV,786,
1002187,VENIPUNCTURE,44,
1002195,INF TX/DX/PRO EA ADD HR,457,
1002211,INJ TX/DX/PRO IV PUSH SEQ,260,
1002237,TRANSFUS BLD/BLD COMP,700,
1002344,FETAL DEM <23 NEW W PROC,556,
1002351,INF IV HYDRAT 31-60 MIN,946,
1002377,INJ TX/DX/PROPH SUBQ/IM,260,
1002385,MODERATE SEDAT ADD 15MIN,324.05,
1002419,BILIRUBIN TOT TRANSCUT,25,
1002435,ANESTH GENERAL 1ST 30MIN,1931,
1002492,US PREG 1 OR >FETUSES LTD,1456,
1002526,FETAL DEM <23 EST W PROC,556,
1002534,INF TX/DX/PRO INIT 1ST HR,946,
1002542,PACU STANDARD 1ST 30MIN,2052,
1002559,INJ TX/DX/PRO INTRA-ARTER,642,
1002567,PACU STANDARD ADDL 15MIN,718,
1002575,COLLECT CAPILLAR BLOOD,63,
1002583,ANESTH MAC/REG 1ST 30MIN,1312,
1002609,ANESTH MAC/REG ADDL 15MIN,397,
1002617,ANESTH GENERAL ADDL 15MIN,580,
1002732,INJ TX/DX/PRO IVPUSH INIT,285,
1002740,SURGERY LEVEL 4 1ST 30MIN,9459,
1002765,SURGERY LEVEL 4 ADD 15MIN,2837,
1002781,PACU COMPLEX 1ST 30MIN,2663,
1002807,PACU COMPLEX ADDL 15MIN,932,
1002823,OUTPATIENT LABOR EXAM NEW PT W/PROC,413,
1002849,OUTPATIENT LABOR EXAM EST PT W/PROC,413,
1002880,LACTATION CONSULT/SESS OP,159,
1002898,INF IV HYDRAT EA ADD HR,457,
1002914,MOD SEDAT =>5YRS 1ST 15M,350,
1002922,IMP SEAL HEMO LVL 5,746,
1002930,INST/SUPP STERL LVL 8,2488,
