Name,Std Price
88264,433.83
88291,60
17 KETOSTEROIDS TOTAL,169.8
24 HR FREE KAPPA,82
3D RECONSTRUCT NON ANGIO,61
3D RENDERING W/POSTPROCESS,61
5  NUCLEOTIDASE,78.6
5-HIAA (SEROT URINE),169.8
A & D OINTMENT 2 OZ,6.9
A & D OINTMENT 4 OZ,9.2
A & D OINTMENT 5GM,3.5
AAA AORTIC EXT 12-28MMX4-5.5CM,6403.4
AAA AORTIC EXT 20-28MMX3.75CM,5183.75
AAA AORTIC EXT 23-25X23-25X49M,9768.01
AAA AORTIC EXT 23-25X23-25X70M,16761.61
AAA AORTIC EXT 28-32X28-32X70M,16980.16
AAA AORTIC EXT 28X28X49MM ENDU,9768.01
AAA AORTIC EXT 32X32X49MM ENDU,10205.11
AAA AORTIC EXT 36X36X49MM ENDU,10642.21
AAA AORTIC EXT 36X36X70MM ENDU,16980.16
AAA CONTRA LIMB 14X90MM,9766.25
AAA CONTRA LIMB 16MM X 156MM,13961
AAA CONTRA LIMB 16X10-28MM END,10841.38
AAA CONTRA LIMB 16X13-28MM END,10947.13
AAA CONTRA LIMB 16X13-28X82MM,11024.68
AAA CONTRA LIMB 16X16-20X82MM,10205.11
AAA CONTRA LIMB 16X16X93MM END,10587.58
AAA CONTRALATERAL LIMB 150MM,10236.25
AAA ENDOANCHOR APPLIER HELI-FX,15032.6
AAA EXT CUFF 16-18MMX8.5CM,8885
AAA GRAFT 20-28MMX13.5-16.5CM,18167.5
AAA GRAFT 20-28MMX16.5CM,19149.8
AAA GRAFT 26-28MM X 13.5CM,17462.5
AAA GRAFT BIFUR 23-36MM ENDURA,21522.13
AAA GRAFT THOR VALIANT,43888.25
AAA GRAFT THOR VALIANT,38600.75
AAA GRAFT THOR VALIANT 30X30,40363.25
AAA GUIDE HELI-FX,5825.3
AAA ILIAC EXT 10-13X10-13X82MM,10587.58
AAA ILIAC EXT 20X20X82MM ENDU,11024.68
AAA ILIAC EXT 24X24X82MM ENDU,11188.59
AAA ILIAC EXT 28X28X82MM ENDU,11297.86
AAA ILIAC LEG 12-16MM X 11.5CM,6123.75
AAA ILIAC LEG 14-16MM X 8.5CM,5653.75
AAA ILIAC LEG 14-16MMX13.5CM,5183.75
AAA ILIAC LIMB 12-16MM X 8.5CM,7531.4
AAA ILIAC LIMB 12-16MM X13.5CM,8546.6
AAA ILIAC LIMB 12-16MMX11.5CM,7869.8
AAA ILIAC LIMB 16-18MM X11.5CM,9392.6
AAA ILIAC LIMB 18-20MM X 8.5CM,7757
AAA ILIAC LIMB 18-20MMX11.5CM,8095.4
AAA MAIN BDY DSTL TLNT 42-46MM,29565
AAA MAIN BODY 32X16X155MM,22162.5
AAA MAIN BODY DISTAL TALENT,28625
AAA MAIN BODY PROXIMAL 42-46MM,31022
AAA MAIN BODY PROXIMAL TALENT,29565
AAA TALENT ADB OCCLUDER,6241.25
AAA TALENT AORTIC EXT 34-36MM,9061.25
AAA TALENT BFRCTD GRFT30X170MM,23337.5
AAA TALENT BIFURCATED GRAFT,21810
AAA TALENT BIFURCATED GRAFT,21457.5
AAA TALENT CONTRA LIMB 14X75MM,9296.25
AAA TALENT CONTRA LIMB 14X75MM,10118.75
AAA TALENT CONTRA LIMB 14X90MM,11058.75
AAA TALENT CONTRA LIMB 18-24MM,10588.75
AAA TALENT GRAFT 22-28X140MM,20987.5
AAA TALENT GRAFT 30-32X140-155,21692.5
AAA TALENT GRAFT 30-36X140-170,22867.5
AAA TALENT GRAFT 34-36X155MM,22397.5
AAA TALENT GRFT PROX EXT 45-54,12316
AAA TALENT HDS CONVERTER,20811.25
AAA TALENT ILIAC EXT 74-80MM,10941.25
AAA TALENT ILIAC EXT 79-81MM,9766.25
AAC TX SERVICES 30MIN,142
AAC TX SERVICES 45MIN,188
AAC TX SERVICES 60MIN,236
ABCESS IMAGING LTD AREA,1391
ABCESS IMAGING SPECT,2091
ABCESS IMAGING WHOLE BODY,2091
ABD & PELVIS W&W/O CONT CT,3909
ABD & PELVIS W/CONT CT,3008
ABD & PELVIS W/O CONT CT,2783
ABDOMEN 1 VIEW,226
ABDOMEN 2 VIEWS,242
ABDOMEN ACUTE SERIES,340
ABDOMEN MRA W&W/O CONT,4160
ABDOMEN MRA W/CONTRAST,3198
ABDOMEN MRA W/O CONTRAST,2962
ABDOMEN MRI W&W/O CONTRAST,4323
ABDOMEN MRI W/CONTRAST,3326
ABDOMEN MRI W/O CONTRAST,3079
ABDOMEN US COMPLETE,1025
ABDOMEN US LIMITED,679
ABDOMEN W&W/O CONTRAST CT,1953
ABDOMEN W/CONTRAST CT,1501
ABDOMEN W/O CONTRAST CT,1391
ABDOMINAL DOPPLER COMPLETE,695
ABDOMINAL DOPPLER LIMITED,335
ABDUCTION PILLOW MED,57.53
ABELCET 100MG VIAL,23
ABG ANALYSIS,156.6
ABG ANALYSIS DM,131
ABG CAPILLARY ANALYSIS,90
ABG DRAW ARTERIAL,151
ABG DRAW CORD BLOOD,49
ABILIFY 10MG TAB,6.86
ABILIFY 15MG TAB,6.86
ABILIFY 1MG/ML 1ML CHG,25.99
ABILIFY 20 MG TABLET,7.73
ABILIFY 2MG TABLET,6.86
ABILIFY 30 MG TABLET,7.73
ABILIFY 5MG TABLET,6.86
ABLATION ENDOMETRIAL GENESYS,3362.5
ABLATION ENDOMETRIAL MINERVA,2892.5
ABO GROUP,101.4
ABO INCOMPATABILITY/CORD,216.3
ABRASION SINGLE LESION,364
ABRAXANE 100MG VIAL,3565.61
ABREVA CREAM 2GM,61.46
ABS.CD4/8 (LABCORP),250.9
ACCESSORY NEURO PROGRM,270
ACCUPRIL 20MG TAB,3.5
ACE(ANGIO CONV ENZYME),205.3
ACETADOTE 6GM/30ML INJ,714.12
ACETAMINOPHEN (TYLENOL),205.3
ACETAMINOPHEN 1000MG/100ML IV,199.92
ACETAMINOPHEN 120MG SUPP,3.5
ACETAMINOPHEN 325MG SUPP,3.5
ACETAMINOPHEN 650MG SUPP,3.5
ACETIC ACID 0.25% 1000ML BTL,46
ACETONE SERUM QUAL,66
ACETONE URINE,12.7
ACETYLCHOLINE RECEPTORS,285.1
ACID FAST CULTURE ID,123.1
ACID PHOSPHATASE TOTAL,54.6
ACL DRILL PIN,437.5
ACL GUIDEPIN EYE LOOP 2.4,327.89
ACL TIGHTROPE,1085
ACROMIOCLAVICULAR JOINTS BIL,226
ACT (ACTIVATED CLOT TIME),81.2
ACTH,457.4
ACTHIB VACCINE .5ML,72.5
ACTIDOSE W/SORBITOL 8 OZ.,87.04
ACTIDOSE-AQUA 8 OZ,87.04
ACTIVASE 50MG VIAL,11385.47
ACTOS 15MG TAB,3.5
ACTOS 30MG TABLET,3.5
ACTOS 45MG TABLET,3.5
ACTYCHOLINE RECPT MOD AB,154.7
ACTYLCH REC BLOCK AB,124.2
ACUTE GI BLOOD LOSS IMAG,1019
ACYCLOVIR 1000MG VIAL,161
ACYCLOVIR 400MG TAB,3.5
ACYCLOVIR 500MG VIAL,86.48
ACYCLOVIR OINT 5% 15GM,517.5
ADAPTER FOR HERO GRAFT,2775
ADAPTER PACEMAKER,670
ADAPTOR FEEDING TUBE,20.88
ADAPTOR LEAD,1852
ADAPTOR LEAD/NEUROSTIM,1722
ADAPTOR STD TAPER VERSA-DIAL,875
ADDERALL 20 MG TABLET,3.5
ADENOSCAN 90MG/30ML,440.43
ADENOSINE (ADENOCARD) 6MG,27.37
ADENOVIRUS DFA,34.3
ADHESIVE SKIN OCTYLSEAL,44.86
ADRENALIN CHL 1:1000 INJ.,9.07
ADRENALIN CHL. AMP 1:1000,50.6
ADRIAMYCIN 10MG VIAL,46
ADRIAMYCIN PFS 20MG VIAL,92
ADRIAMYCIN PFS 50MG VIAL,111.37
ADVAIR HFA 115/21 8GM INHALER,733.03
ADVAIR HFA 230/21 8GM INHALER,1055.95
ADVAIR HFA 45/21 8GM INHALER,733.03
ADVANTAGE SLING SYSTEM,2945.38
ADVATE 1 UNIT CHG,7.27
ADVIL 200MG TAB,3.5
AEROSOL CONTINUOUS TX INT HR,151
AEROSOL TX,105
AEROSOL TX PENTAMIDINE,219
AFB SMEAR,63.3
AFP TUMOR SERUM,215.4
AFRIN NASAL SPRAY 30CC,10.72
AGGRENOX,22.96
AGRYLIN 0.5 MG CAPSULE,3.82
AHG TEST DIRECT COMP,66
AHG TEST DIRECT IGG,66
AHG TEST DIRECT POLY,66
AID SOCK RIGID,11.34
AID SOCK RIGID WIDE,9.79
AID TOILET 15IN,23.51
AIRCAST,77.11
AIRDUO RESPICLICK 113-14 MCG,329.13
AIRDUO RESPICLICK 232-14 MCG,329.13
AIRDUO RESPICLICK 55-14 MCG,329.13
AIRWAY INHALATION TREATMENT,105
AIRWAY SUPRAGLOTTC DISP SZ 2,148.61
AIRWAY SUPRAGLOTTC DISP SZ 2.5,143.78
AIRWAY SUPRAGLOTTC DISP SZ 3-5,136.69
AK-DILATE 2.5% DROPS 2ML,149.5
ALBENZA 200 MG TAB,847.68
ALBUMIN 25% 12.5 GM 50CC,266.16
ALBUMIN 25% 25GM 100CC,399.24
ALBUMIN 5% 250 ML,266.16
ALBUMIN 5% 500ML,317.47
ALBUMIN CSF,45.8
ALBUMIN FLUID,66
ALBUMIN SERUM,66
ALBUTEROL HFA 6.7GM   ERONLY,52.54
ALBUTEROL HFA 60INH 8GM,101.48
ALBUTEROL NEB PREMIX UD,3.5
ALCOHOL,186.7
ALCOHOL - BREATH,62
ALCOHOL URINE,46.9
ALDACTONE  25MG TAB,3.5
ALDACTONE 100 MG,4.88
ALDACTONE 50 MG,3.5
ALDARA 5% CR UD PACKETS,127.29
ALDOLASE,106.5
ALDOMET 250MG TAB,3.5
ALDOMET INJ 250MG/5ML,184
ALDOSTERONE BLOOD,332
ALDOSTERONE URINE,332
ALGRFT FLXHD .4-.8MM 3X7C,1425.5
ALGRFT FLXHD .8-1.7MM 3X7,1846.7
ALINIA 500MG TAB,390.89
ALK PHOSPHATASE,139.4
ALK PHOSPHATASE ISOENZYME,205.3
ALKA SELTZER GOLD NO ASA,3.5
ALKERAN 2 MG TAB,52.08
ALKERAN 50MG VIAL,1587.5
ALLODERM 8X16CM,11157.45
ALLODERM CYMETRA 1CC SYRINGE,1139.6
ALLODERM DERMGRAFT 2X4CM,1636.2
ALLODERM PERF,12285.45
ALOMIDE .1% OPTH 10ML,590.2
ALOPRIM 500 MG INJ,10316.52
ALOXI 0.25MG/5ML VIAL,1010.2
ALPHA 1 ANTITRYPSIN PHENOTYPE,50.7
ALPHA ANTITRYPSIN TOTAL,205.3
ALPHA FETO PROTEIN SERUM,215.4
ALPHAGAN P 0.15% 5ML DROP,483.59
ALTACE 1.25MG CAP,3.5
ALTACE 10 MG,3.5
ALTACE 2.5 MG CAPSULE,3.5
ALTACE 5 MG CAP,3.5
ALUM.HYDROXIDE GEL 30ML,3.5
ALUMINUM SERUM,201.5
ALUMINUM URINE,191.5
ALUPENT ORAL TAB 10MG,3.5
ALVEOLECTOMY,3333
AMANTADINE 100MG CAP,3.73
AMARYL 1 MG TABLET,3.5
AMARYL 2 MG,3.5
AMARYL 4MG TAB,3.5
AMBIEN 10 MG TABLET,3.5
AMBIEN 5 MG TABLET,3.5
AMBISOME 50MG VIAL IV,860.53
AMICAR 0.25 GM/ML (20ML) VIAL,3.5
AMICAR 500MG TAB,98.81
AMIDATE 20MG/10ML,25.58
AMIKACIN 250MG/ML 2ML VIAL,56.4
AMIKACIN 250MG/ML 4ML VIAL,112.75
AMIKACIN PEAK,81.2
AMIKACIN TROUGH,81.2
AMINO ACID QUANT BLOOD,498
AMINO ACIDS 4.25%/D5W 2 L BAG,298.18
AMINO ACIDS 5% DEX 15% 1000ML,176.74
AMINO ACIDS 5%/D20W 1 L BAG,180.23
AMINO ACIDS 5%/D20W 2 L BAG,327.52
AMINO LEVULINIC ACID,263.6
AMINOPHYLLINE 250MG INJ,52.31
AMINOPHYLLINE 500MG INJ,32.2
AMIODARONE,36
AMIODARONE 100MG TAB,12.84
AMIODARONE 150MG/100ML BAG,159.58
AMIODARONE 200MG U-D TAB,3.5
AMIODARONE 360MG/200ML BAG,212.25
AMIODARONE 450MG/9ML VIAL,20.15
AMIODARONE IV 50MG/ML 3ML,6.49
AMITIZA 24 MCG CAP,28.48
AMITIZA 8MCG GELCAP,28.48
AMITRIPTYLINE,186.7
AMMONIA,102.7
AMMONIA INHALANT AMP EACH,3.5
