HSP,CHARGE CODE,BILLING DESCRIPTION,HOSPITAL CHARGE,,,,,,,,,,,,,,,,,,,
FVR,0020100012,PRIVATE,"$3,903.00",,,,,,,,,,,,,,,,,,,
FVR,0020100020,SEMI-PRIVATE,"$3,448.00",,,,,,,,,,,,,,,,,,,
FVR,0020100228,ICU GEN,"$6,376.00",,,,,,,,,,,,,,,,,,,
FVR,0020100343,ICU PEDS,"$6,638.00",,,,,,,,,,,,,,,,,,,
FVR,0020100624,ICU INTERMED,"$5,725.00",,,,,,,,,,,,,,,,,,,
FVR,0020100632,ICU INTERMED SP,"$4,799.00",,,,,,,,,,,,,,,,,,,
FVR,0020100855,PRIV OTHER,"$5,022.00",,,,,,,,,,,,,,,,,,,
FVR,0021200027,SEMI-PRIVATE,"$3,448.00",,,,,,,,,,,,,,,,,,,
FVR,0021200258,SEMI-PRIV OTHER,"$3,812.00",,,,,,,,,,,,,,,,,,,
FVR,0021500012,PRIVATE,"$3,903.00",,,,,,,,,,,,,,,,,,,
FVR,0021500020,SEMI-PRIVATE,"$3,448.00",,,,,,,,,,,,,,,,,,,
FVR,0021500251,SEMI-PRIV OTHER,"$3,812.00",,,,,,,,,,,,,,,,,,,
FVR,0021500624,ICU INTERMED,"$5,725.00",,,,,,,,,,,,,,,,,,,
FVR,0021500632,ICU INTERMED SP,"$4,799.00",,,,,,,,,,,,,,,,,,,
FVR,0021500855,PRIV OTHER,"$5,022.00",,,,,,,,,,,,,,,,,,,
FVR,0021600028,SEMI-PRIVATE,"$3,448.00",,,,,,,,,,,,,,,,,,,
FVR,0021600259,SEMI-PRIV OTHER,"$3,812.00",,,,,,,,,,,,,,,,,,,
FVR,0021600622,ICU INTERMED,"$5,725.00",,,,,,,,,,,,,,,,,,,
FVR,0021600630,ICU INTERMED SP,"$4,799.00",,,,,,,,,,,,,,,,,,,
FVR,0021600853,PRIV OTHER,"$5,022.00",,,,,,,,,,,,,,,,,,,
FVR,0021700018,PRIVATE,"$3,903.00",,,,,,,,,,,,,,,,,,,
FVR,0021700026,SEMI-PRIVATE,"$3,448.00",,,,,,,,,,,,,,,,,,,
FVR,0021700216,PRIV ONCOLOGY,"$3,540.00",,,,,,,,,,,,,,,,,,,
FVR,0021700232,SEMI-PRIV ONCOL,"$3,209.00",,,,,,,,,,,,,,,,,,,
