Hospital Name: Glendale Memorial Hospital and Health Center,,,,,,,,
OSHPD Facility No: 106190522,,,,,,,,
"Effective Date of Charges: May 1, 2018",,,,,,,,
CDM ,BILL DESCRIPTION,PRICE,0 Price Indicator,REV_CODE,AU,,,
0000001,ROOM ICU GENERAL,12252,,200,601000,,,
0000002,ROOM SEMI M/S/GYN,4038,,121,617000,,,
0000003,ROOM INTER CCU/TELE,4894,,214,615010,,,
0000004,ROOM SEMI PVT PSYCH,2721,,124,634000,,,
0000005,ROOM SEMI PVT REHAB,2978,,128,644000,,,
0000006,ROOM SEMI M/S/GYN,4074,,121,617300,,,
0000007,ROOM ICU GENERAL,12252,,200,601000,,,
0000008,ROOM SEMI PVT OB,2981,,122,638000,,,
0000009,NEWBORN LEVEL I,2347,,171,653000,,,
0000010,NEWBORN NICU III,9413,,173,607000,,,
0000011,ROOM SEMI PVT OB,3205,,122,638000,,,
0000012,ROOM SEMI PVT OB,3205,,122,638000,,,
0000013,OUTPT IN A BED NC,,1,99,757010,,,
0000014,ROOM ICU GENERAL,12252,,200,601000,,,
0000015,ROOM CCU GENERAL,5159,,210,615010,,,
0000016,ROOM SEMI M/S/GYN,3668,,121,617000,,,
0000017,OUTPT IN A BED NC,,1,99,615020,,,
0000018,OUTPT IN A BED NC,,1,99,615020,,,
0000020,OUTPT IN A BED NC,,1,99,615030,,,
0000021,OUTPT IN A BED NC,,1,99,617000,,,
0000022,OUTPT IN A BED NC,,1,99,617000,,,
0000023,OUTPT IN A BED NC,,1,99,617300,,,
0000030,ROOM SEMI PVT OB,2981,,122,638000,,,
0000031,OB OVERFLOW,2575,,122,638000,,,
0000055,ROOM SEMI PVT PSYCH,3668,,124,634000,,,
0011106,NEWBORN NICU III,9413,,173,607000,,,
0011107,MEDICAL/SURGICAL-L&D,3668,,121,740000,,,
0011205,NEWBORN LEVEL I,2347,,171,653000,,,
0011304,ROOM SEMI PVT OB,2981,,122,638000,,,
0011403,ROOM SEMI PVT OB,2981,,122,638000,,,
0011502,ROOM PVT REHAB,2969,,118,644000,,,
0011601,ROOM SEMI M/S/GYN,4038,,121,617300,,,
0011700,ONCOLOGY,3245,,117,747410,,,
0011809,ROOM SEMI M/S/GYN,4038,,121,617000,,,
0011908,ROOM SEMI M/S/GYN,4038,,121,617000,,,
0012005,SUBACUTE CARE LVL I,2628,,191,658200,,,
0012104,ROOM INTER CCU/TELE,5517,,214,615010,,,
0012203,CORONARY CARE,4333,,214,747410,,,
0012302,ROOM SEMI PVT OB,2981,,122,638000,,,
0012401,ROOM ICU GENERAL,12252,,200,601000,,,
0012500,ROOM ICU GENERAL,12252,,200,601000,,,
0012609,CORONARY CARE- OVERFLOW,7280,,214,747410,,,
0012708,ROOM PVT ONCOLOGY,3586,,117,617000,,,
0012807,ROOM PVT PSYCH,3073,,114,634600,,,
0012900,ROOM PVT PSYCH,4074,,114,634000,,,
0012906,ROOM PVT PSYCH,3073,,114,634000,,,
0012950,INTERRUP STAY - LOA,1400,,180,656000,,,
0012951,SUBACU CARE LVL III,2628,,193,656000,,,
0012952,SUBACUT CARE LVL IV,2890,,194,656000,,,
0021105,NEWBORN NICU III,11299,,173,607000,,,
0021204,NEWBORN GENERAL,1935,,170,653000,,,
0021500,ROOM SEMI PVT REHAB,2949,,128,644000,,,
0021501,ROOM SEMI PVT REHAB,2949,,128,644000,,,
0021502,ROOM SEMI PVT REHAB,2949,,128,644000,,,
0021600,ROOM SEMI M/S/GYN,3182,,121,615030,,,
0021709,ROOM SEMI ONCOLOGY,4074,,127,617000,,,
0021808,ROOM SEMI M/S/GYN,3668,,121,617000,,,
0021907,ROOM SEMI M/S/GYN,3668,,121,617000,,,
0022004,TRANSITIONAL CARE,1520,,191,658200,,,
0022103,ROOM INTER CCU/TELE,5146,,214,615010,,,
0022202,ROOM INTER CCU/TELE,5146,,214,615010,,,
0022301,ROOM SEMI PVT OB,2787,,122,638000,,,
0022302,ROOM SEMI PVT OB OVRFLW 7,3052,,122,638000,,,
0022400,ROOM INTER CCU/TELE,5140,,214,601000,,,
0022500,ROOM OB LDP,2707,,122,740000,,,
0022501,NEWBORN II ON NURSY,1862,,172,740000,,,
0022509,ROOM INTER CCU/TELE,5138,,214,747410,,,
0022608,ROOM INTER CCU/TELE,4470,,214,615020,,,
0022707,ROOM SEMI ONCOLOGY,3539,,127,617000,,,
0022806,ROOM SEMI PVT PSYCH,2721,,124,634600,,,
0022900,ROOM SEMI PVT PSYCH,3668,,124,634000,,,
0022905,ROOM SEMI PVT PSYCH,2721,,124,634000,,,
0022950,ROOM SEMI PVT PSYCH,3668,,124,634000,,,
0022955,ROOM SEMI PVT PSYCH,3668,,124,634000,,,
0031104,NEWBORN NICU IV,13179,,174,607000,,,
0031203,NEWBORN II ON NICU,1955,,172,653000,,,
0031600,ROOM INTER CCU/TELE,4894,,214,615030,,,
0031708,ROOM SEMI M/S/GYN,4074,,121,617300,,,
0032102,ROOM SEMI M/S/GYN,3943,,121,615010,,,
0032201,ROOM SEMI M/S/GYN,3943,,121,615010,,,
0032409,ROOM PVT MED/SUR/GY,3952,,111,601000,,,
0032508,ROOM PVT MED/SUR/GY,3952,,111,601000,,,
0032601,ROOM SEMI M/S/GYN,3493,,121,617000,,,
0032603,OUTPT IN A BED NC,,1,99,617000,,,
0032900,ROOM SEMI PVT PSYCH,3668,,124,634000,,,
0041202,NEWBORN NICU III,5667,,173,607000,,,
0041707,ROOM PVT MED/SUR/GY,4240,,111,617300,,,
0042606,ROOM SEMI M/S/GYN,3539,,121,615020,,,
0051607,ROOM INTER CCU/TELE,5140,,214,615030,,,
0052201,ROOM CCU GENERAL,12252,,210,601000,,,
0052605,ROOM INTER CCU/TELE,5146,,214,615020,,,
0061304,ROOM SEMI OB HI RSK,3428,,122,740000,,,
0061403,ROOM SEMI OB HI RSK,3428,,122,740000,,,
0062302,ROOM SEMI OB HI RSK,3428,,122,740000,,,
0071605,ROOM INTER CCU/TELE,3997,,214,615030,,,
0090081,DESTRUCTION ANAL LESION(S),4504.08,,510,718530,,,
0100000,SURGERY OBG/INP TUBAL LIG,138,,360,740000,,,
0100001,SURGERY - OBG (MAJOR) SS TUBA,138,,360,740000,,,
0100002,INJ TX/DX/PROPH SUBQ/IM,306,,510,707550,,,
0100003,LABOR ROOM DELIVERY/OTHER,5837,,729,740000,,,
0100004,MC ANTEPARTUM 10TH VISIT,248,,514,707500,,,
0100005,INJ TX/DX/PROPH SUBQ/IM,306,,510,707500,,,
0100008,MC INIT ANTEPARTUM>16 WKS,779,,514,707500,,,
0100009,BX OF CERVIX W/SCOPE LEEP,3881,,361,707500,,,
0100010,REM IMP CONTRACEP CAP,1225,,361,707500,,,
0100011,FETAL NON STRESS TEST,261,,361,707500,,,
0100012,XR HYSTEROSALPINGOGRAM,594,,320,707500,,,
0100013,ECHO EXAM UTERUS,484,,402,707500,,,
0100014,HYSTEROSCOPY DX SEP PROC,5027,,361,707500,,,
0100015,DRAINAGE OF SKIN ABSCESS,256.67,,361,707500,,,
0100016,MC INIT ANTEPARTUM<=16WKS,1195,,514,707500,,,
0100017,I&D ABSC GLAND BARTHOLIN,505,,361,707500,,,
0100018,I&D ABSC VULVA/PERINEAL,355,,361,707500,,,
0100019,ARTIFICIAL INSEMINATION,788,,361,707500,,,
