Procedure Code,Procedure Desc,Procedure Effective Date,Charge Category,Charge Dept ID,Charge Dept Name,Charges,
43112900,AMPHOTERICIN B 50MG VIAL,01/01/1980,636,10.47100,HMA REV-DRUGS SOLD TO PT,68.50,
43124300,NON FORMULARY IV MEDICATION,15/05/2007,258,10.47100,HMA REV-DRUGS SOLD TO PT,0.00,
43300500,NON FORMULARY MEDICATION,15/05/2007,250,10.47100,HMA REV-DRUGS SOLD TO PT,0.00,
43399700,EVACUATED CONTAINER 500 ML,01/10/2017,270,10.47100,HMA REV-DRUGS SOLD TO PT,0.00,
43399800,EMPTY EVAC BTL 1000 ML,01/10/2017,270,10.47100,HMA REV-DRUGS SOLD TO PT,0.00,
43400600,SODIUM CHLORIDE 0.9 % SYG 10ML,01/01/1980,250,10.47100,HMA REV-DRUGS SOLD TO PT,0.00,
43401540,INSULIN SLIDING SCALE NOTE,12/10/2007,250,10.47100,HMA REV-DRUGS SOLD TO PT,0.00,
43403030,PHARMACY NOTE,12/10/2007,250,10.47100,HMA REV-DRUGS SOLD TO PT,0.00,
43405020,PATIENT'S OWN CONTROLLED MED,01/01/1980,250,10.47100,HMA REV-DRUGS SOLD TO PT,0.00,
43407460,PATIENT'S OWN MEDICATION,05/12/2007,250,10.47100,HMA REV-DRUGS SOLD TO PT,0.00,
43410780,ORA SWEET,14/12/2009,250,10.47100,HMA REV-DRUGS SOLD TO PT,0.00,
43411650,PROLASTIN 1000 MG VIAL,01/07/2010,636,10.47100,HMA REV-DRUGS SOLD TO PT,0.00,
43411800,PREMIX CARRIER,07/06/2014,250,10.47100,HMA REV-DRUGS SOLD TO PT,0.00,
43414640,DOPAMINE 16 MG/D5W 10 ML SYR,01/06/2012,636,10.47100,HMA REV-DRUGS SOLD TO PT,36.50,
43414980,ACYCLOVIR 500 MG VIAL,30/06/2012,636,10.47100,HMA REV-DRUGS SOLD TO PT,19.00,
43416720,SYRINGE,01/09/2013,250,10.47100,HMA REV-DRUGS SOLD TO PT,0.00,
43416930,LEVOTHYROXINE 137 MCG TAB,15/11/2013,250,10.47100,HMA REV-DRUGS SOLD TO PT,0.00,
43416940,TAPER OFF TPN,01/10/2013,250,10.47100,HMA REV-DRUGS SOLD TO PT,0.00,
43417030,BREAT MILK (DONOR) 1 UNIT,20/11/2013,250,10.47100,HMA REV-DRUGS SOLD TO PT,0.00,
43419780,DEXTROSE FOR NICU 20%,01/12/2016,258,10.47100,HMA REV-DRUGS SOLD TO PT,0.00,
43420010,ECULIZUMAB 300 MG/30 ML,01/04/2016,636,10.47100,HMA REV-DRUGS SOLD TO PT,"10,228.00",
43420520,NICU-DOPamine 3.2 MG/ML,01/06/2016,636,10.47100,HMA REV-DRUGS SOLD TO PT,36.50,
43420530,NICU-DOPamine 1.6 MG/ML,01/06/2016,636,10.47100,HMA REV-DRUGS SOLD TO PT,36.50,
43420690,ST WATER 10 ML VIAL,01/06/2016,250,10.47100,HMA REV-DRUGS SOLD TO PT,12.00,
43420790,NICU-EPINEPHrine 20 MCG/ML,01/06/2016,636,10.47100,HMA REV-DRUGS SOLD TO PT,18.50,
43420800,NICU-EPINEPHrine 40 MCG/ML,01/06/2016,636,10.47100,HMA REV-DRUGS SOLD TO PT,18.50,
