MNEMONIC,MNEM DESC,Cur Chg
01000,INTENSIVE CARE UNIT,"$9,208.00"
01100,MED/SURG ACUTE WING I,"$4,033.00"
01200,MED/SURG ACUTE WING II,"$4,033.00"
01300,MED/SURG ACUTE WING III,"$4,033.00"
01312,TREATMENT ROOM,$159.38
01315,BLOOD TRANSFUSION SERVICE,"$1,662.21"
01400,Telemetry Room Charge,"$5,987.00"
03500,DOU-TELEMETRY,$0.00
01600,LDRP ROOM AND BOARD,"$4,277.00"
6400000000,L&D TRIAGE NEW,$664.12
6400000001,L&D TRIAGE ESTABLISHED,$562.35
OB0001,OB/VAGINAL DELIVERY,"$4,072.01"
OB0002,OB/NST,"$1,295.99"
OB0003,OB/PROSTIN GEL INSERTION,$373.81
OB0004,OB/AMNIOCENTESIS,$776.09
OB0005,OB/FETAL CONT STRESS TEST,$738.14
OB0009,OB/C-SECTION DELIVERY,"$5,394.57"
OB0010,OB/VACUUM EXTRACTION,$106.26
OB0011,OB/HYSTERECTOMY W/C-SECTION,"$1,711.54"
OB0012,OB/HYSTERECTOMY W/VAG DELIVERY,"$1,711.54"
OB0013,OB/RECOVERY TIME 0-90 MIN,"$1,106.25"
OB0014,OB/RECOVERY TIME ADD'L 30,$335.86
OB0015,OB/OR SVCS C-S 0-90 MIN,"$4,557.79"
OB0016,OB/OR SVCS C/S ADD'L 30 MIN,"$1,736.22"
OB0017,OB/TUBAL LIGATION W/C-SECTION,$419.35
OB0018A,OB/CIRCUMCISION SERVICES,$425.05
OB0019,OB/DIABETIC EDUCATION,$0.00
OB0020,OB/TUBAL LIGATION FOLL NVD,"$3,330.10"
OB0022,OB/IV INFUSION UP TO 1 HOUR,$576.84
OB0023,OB/ULTRAVIOLET LIGHT THERAPY,$96.78
OB0024,OB/EPIDURAL BLOCK FIRST HOUR,"$1,047.42"
OB0025,OB/EPIDURAL BLOCK SUBSEQ 15M,$159.38
OB0026,OB/SPINAL FIRST HOUR,"$1,047.42"
OB0027,OB/BLOOD PATCH,"$1,295.99"
OB0028,OB/FOLEY CATHERIZATION,$810.24
OB0030,OB/AMNIOINFUSION,"$1,426.92"
OB0032,"OB\D & C, POSTPARTUM","$1,371.89"
OB0033,OB\SPINAL SUBSEQ 15 MIN,$159.38
OB0034,OB/GEN FIRST HOUR ANES,"$1,045.53"
OB0035,OB/GENERAL SUBSEQ 15 MIN,$159.38
OB0036,OB/IV INFUSION EACH ADDL HOUR,$576.84
OB0038,IC\THER\PROPH\DG INJ SC/IM,$157.49
01700,DAILY WELL NURSERY CARE,"$3,330.00"
01800,BOARDER BABY DAILY CARE,"$3,330.00"
09001,CCC/SUBACUTE NONVENT DEPEND,"$1,405.00"
09004,CCC/CDP SUBACUTE NONVENT,"$1,405.00"
09005,CCC/CDP SUBACUTE VENT,"$1,452.00"
09006,CCC/SUBACUTE VENT DEPEND,"$1,452.00"
90100,CCC/SUB ACUTE BEDHOLD VENT,"$1,452.00"
90101,CCC/SUB ACUTE BEDHOLD NON VENT,"$1,405.00"
09002,CCC/GENERAL SNF,$732.00
09007,CCC\CDP GENERAL SNF,"$1,405.00"
