Charge Code,NRV,CPT,Discription,Price,,,,
1110001,0301,82175,ARSENIC QUANTITATIVE,23.99,,,,
1234567,0250,J3260,TOBRAMYCIN SULFATE 40 MG/ML -30ML C,0.00,,,,
2000001,0111,,PRIVATE MED/SURG,"1,994.00",,,,
2000002,0120,,SEMI PRIVATE MED/SURG,"1,770.00",,,,
2000019,0200,,SURGICAL ICU,"5,527.00",,,,
2000022,0200,,MEDICAL ICU,"5,527.00",,,,
2000026,0210,,CCU,"5,527.00",,,,
2000042,0200,,MEDICAL ICU EDA,"5,527.00",,,,
2000062,0206,,DOU/TELE SEMI-PRIVATE,"2,878.00",,,,
2050002,0120,,SEMI PRIVATE MED/SURG,"1,770.00",,,,
2050019,0200,,SURGICAL ICU,"5,527.00",,,,
2050022,0200,,MEDICAL ICU,"5,527.00",,,,
2050026,0210,,CCU,"5,527.00",,,,
2050062,0206,,DOU/TELE SEMI-PRIVATE,"2,878.00",,,,
2150001,0111,,PRIVATE MED/SURG,"1,994.00",,,,
2150002,0120,,SEMI PRIVATE MED/SURG,"1,770.00",,,,
2150022,0200,,MEDICAL ICU,"5,527.00",,,,
2150031,0206,,DOU/TELE PRIVATE,"3,539.00",,,,
2150042,0206,,DOU/TELE SEMI-PRIVATE EDA,"2,878.00",,,,
2150062,0206,,DOU/TELE SEMI-PRIVATE,"2,878.00",,,,
2160001,0111,,PRIVATE MED/SURG,"1,994.00",,,,
2160002,0120,,SEMI PRIVATE MED/SURG,"1,770.00",,,,
2160031,0206,,DOU/TELE PRIVATE,"3,539.00",,,,
2160062,0206,,DOU-TELE SEMI-PRIVATE,"2,878.00",,,,
2170001,0111,,PRIVATE MED/SURG,"1,994.00",,,,
2170031,0206,,DOU/TELE PRIVATE,"3,539.00",,,,
2210013,0173,,NCCU 1:3,"1,994.00",,,,
2210020,0174,,NICU 1:1,"5,527.00",,,,
2210094,0173,,NICU 1:2,"2,722.00",,,,
2290002,0120,,SEMI PRIVATE MED/SURG,"1,770.00",,,,
2290019,0200,,SURGICAL ICU,"5,527.00",,,,
2290022,0200,,MEDICAL ICU,"5,527.00",,,,
2290026,0210,,CCU,"5,527.00",,,,
2290062,0206,,DOU/TELE SEMI-PRIVATE,"2,878.00",,,,
2320001,0111,,PRIVATE MED/SURG,"1,994.00",,,,
2320002,0120,,SEMI PRIVATE MED/SURG,"1,770.00",,,,
2320005,0164,,ISOLATION,"1,994.00",,,,
2320009,0140,,PRIVATE DELUXE,"2,654.00",,,,
2320031,0206,,DOU/TELE PRIVATE,"3,539.00",,,,
2320062,0206,,DOU/TELE SEMI-PRIVATE,"2,878.00",,,,
2330001,0111,,PRIVATE MED/SURG,"1,994.00",,,,
2330002,0120,,SEMI PRIVATE MED/SURG,"1,770.00",,,,
2330005,0164,,ISOLATION,"1,994.00",,,,
2330046,0140,,PRIVATE SUITE,"2,654.00",,,,
2330062,0206,,DOU/TELE SEMI-PRIVATE,"2,878.00",,,,
2340001,0111,,PRIVATE MED/SURG,"1,994.00",,,,
2340002,0120,,SEMI PRIVATE MED/SURG,"1,770.00",,,,
2340005,0164,,ISOLATION,"1,994.00",,,,
2340021,0117,,ONCOLOGY PRIVATE,"2,436.00",,,,
2340042,0120,,SEMI PRIVATE MED/SURG EDA,"1,770.00",,,,
2350001,0111,,PRIVATE MED/SURG,"1,780.00",,,,
2350002,0120,,SEMI PRIVATE MED/SURG,"1,580.00",,,,
2350005,0164,,ISOLATION,"1,780.00",,,,
2370001,0111,,PRIVATE MED/SURG,"1,994.00",,,,
2370002,0120,,SEMI PRIVATE MED/SURG,"1,770.00",,,,
2370005,0164,,ISOLATION,"1,994.00",,,,
2400045,0173,,NURSERY INTENSIVE 1:3,"1,994.00",,,,
2400048,0113,,PEDS PRIVATE,"1,994.00",,,,
2400049,0123,,PEDS SEMI-PRIVATE,"1,770.00",,,,
2500025,0122,,OB HIGH RISK SEMI-PRIVAT,"1,140.00",,,,
2500042,0122,,MATERNITY SEMI-PRIVATE,986.00,,,,
2500044,0122,,OB SEMI PRIVATE,986.00,,,,
2500045,0112,,OB PRIVATE,"1,109.00",,,,
2550010,0171,,NURSERY,616.00,,,,
2700041,0128,,REHAB SEMI PRIVATE,"1,047.00",,,,
2700065,0118,,REHAB PRIVATE,"1,232.00",,,,
2710078,0194,,SAU VENT SEMI PRIVATE,862.00,,,,
2710080,0189,,VENT DEP BED HOLD,936.00,,,,
2710082,0189,,NON VENT BED HOLD,900.00,,,,
2710084,0193,,SAU SEMI PRIVATE,739.00,,,,
3080015,0790,,LITHOTRIPSY LASER BILAT,"5,261.00",,,,
3080020,0790,,LITHOTRIPSY LASER UNILAT,"2,631.00",,,,
